,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,criterion,criterion_norm,criterion_ravg,criterion_ravg.1,criterion_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,,,
1,1,1,1,1,1,1,1,1,1,01-02,2.3083093973657163,-0.5420934754793248,,,
2,2,2,2,2,2,2,2,2,2,01-03,2.122324999336125,-0.9650175092598924,,,
3,3,3,3,3,3,3,3,3,3,01-04,2.096519423949732,-1.0236987650645084,,,
4,4,4,4,4,4,4,4,4,4,01-05,1.5445977617012423,-2.2787553085271925,-1.4544081333635788,-1.4544081333635788,-1.4544081333635788
5,5,5,5,5,5,5,5,5,5,01-06,1.8343013816918257,-1.6199762664929451,-1.5489145570415894,-1.5489145570415894,-1.5489145570415894
6,6,6,6,6,6,6,6,6,6,01-07,1.5366151937901464,-2.29690747535761,-1.6421392701152575,-1.6421392701152575,-1.6421392701152575
7,7,7,7,7,7,7,7,7,7,01-08,2.058949433205288,-1.1091320175473884,-1.6865690365071264,-1.6865690365071264,-1.6865690365071264
8,8,8,8,8,8,8,8,8,8,01-09,1.8763468932327936,-1.5243657877019006,-1.3371123113970633,-1.3371123113970629,-1.3371123113970633
9,9,9,9,9,9,9,9,9,9,01-10,1.979289245048036,-1.290277363415722,-1.1308982941107977,-1.1308982941107977,-1.1308982941107977
10,10,10,10,10,10,10,10,10,10,01-11,2.466656951518425,-0.1820149578668145,-0.6459371829025962,-0.6459371829025962,-0.6459371829025962
11,11,11,11,11,11,11,11,11,11,01-12,2.378407464206148,-0.38269216277535134,-0.38732368760555236,-0.3873236876055524,-0.38732368760555236
12,12,12,12,12,12,12,12,12,12,01-13,2.8162095388485766,0.6128591918915991,-0.012701151576860506,-0.012701151576860506,-0.012701151576860506
13,13,13,13,13,13,13,13,13,13,01-14,2.741314180583605,0.44254895423487456,0.32663535554548834,0.32663535554548834,0.32663535554548834
14,14,14,14,14,14,14,14,14,14,01-15,2.8648073440914263,0.7233694284702505,0.2960985613887853,0.2960985613887853,0.2960985613887853
15,15,15,15,15,15,15,15,15,15,01-16,2.8746457294141043,0.745741679318371,0.39888355063546865,0.3988835506354687,0.39888355063546865
16,16,16,16,16,16,16,16,16,16,01-17,2.386084080382877,-0.3652357228070325,0.3350871088740231,0.3350871088740231,0.3350871088740231
17,17,17,17,17,17,17,17,17,17,01-18,2.649610841048632,0.23401777270474866,0.378486925671222,0.3784869256712221,0.378486925671222
18,18,18,18,18,18,18,18,18,18,01-19,2.6478794104607184,0.2300805413229259,0.36953667286711694,0.36953667286711694,0.36953667286711694
19,19,19,19,19,19,19,19,19,19,01-20,2.85582678554674,0.702947855018068,0.07149675319738867,0.07149675319738867,0.07149675319738867
20,20,20,20,20,20,20,20,20,20,01-21,2.841191650770277,0.6696679116456199,-0.05727477745957533,-0.05727477745957533,-0.05727477745957533
21,21,21,21,21,21,21,21,21,21,01-22,2.0882523733346208,-1.0424978386999986,-0.17641124815925724,-0.17641124815925724,-0.17641124815925724
22,22,22,22,22,22,22,22,22,22,01-23,2.0463139037131257,-1.1378649067488165,-0.3142100727625157,-0.3142100727625157,-0.3142100727625157
23,23,23,23,23,23,23,23,23,23,01-24,2.3352632559036346,-0.4808010514933427,-0.856088536438293,-0.856088536438293,-0.856088536438293
24,24,24,24,24,24,24,24,24,24,01-25,2.284290263531516,-0.5967124062966249,-0.990903332312625,-0.9909033323126252,-0.990903332312625
25,25,25,25,25,25,25,25,25,25,01-26,1.426053136065816,-2.5483229270365952,-1.0717256220372284,-1.0717256220372284,-1.0717256220372284
26,26,26,26,26,26,26,26,26,26,01-27,2.485476014105668,-0.13922086360037247,-0.7284608641542126,-0.7284608641542126,-0.7284608641542126
27,27,27,27,27,27,27,27,27,27,01-28,1.8749986866036927,-1.5274315770476183,-0.8180660006982912,-0.8180660006982912,-0.8180660006982912
28,28,28,28,28,28,28,28,28,28,01-29,2.9520352757849286,0.9217236405492788,-0.6561165475359597,-0.6561165475359597,-0.6561165475359597
29,29,29,29,29,29,29,29,29,29,01-30,2.0988355849830964,-1.018431870757814,-0.3205267111175727,-0.3205267111175727,-0.3205267111175727
30,30,30,30,30,30,30,30,30,30,01-31,2.7116020616580614,0.3749843126773633,-0.28301969674954375,-0.2830196967495437,-0.28301969674954375
31,31,31,31,31,31,31,31,31,31,02-01,2.311523840861556,-0.5347839085262732,-0.004552847888635969,-0.004552847888635969,-0.004552847888635969
32,32,32,32,32,32,32,32,32,32,02-02,2.584440162727372,0.08582122260780117,-0.10678845908614361,-0.1067884590861436,-0.10678845908614361
33,33,33,33,33,33,33,33,33,33,02-03,2.609747508423516,0.14336951611782836,0.050159608732548135,0.050159608732548135,0.050159608732548135
34,34,34,34,34,34,34,34,34,34,02-04,2.682281460626418,0.3083099733642329,-0.14270615734359704,-0.14270615734359704,-0.14270615734359704
35,35,35,35,35,35,35,35,35,35,02-05,2.5129509756961994,-0.07674346384566343,0.05752888724873793,0.05752888724873793,0.05752888724873793
36,36,36,36,36,36,36,36,36,36,02-06,2.2027160130189025,-0.7822102837795077,0.0799223584026127,0.0799223584026127,0.0799223584026127
37,37,37,37,37,37,37,37,37,37,02-07,2.839854102445923,0.6666263590277366,0.32925961077815113,0.32925961077815113,0.32925961077815113
38,38,38,38,38,38,38,38,38,38,02-08,2.643526465510164,0.2201820495310498,0.3454635362378882,0.3454635362378882,0.3454635362378882
39,39,39,39,39,39,39,39,39,39,02-09,3.267636421118564,1.639393030371059,0.2973550486789988,0.2973550486789988,0.2973550486789988
40,40,40,40,40,40,40,40,40,40,02-10,2.7250363350005125,0.4055335261226554,0.3978471642130092,0.3978471642130092,0.3978471642130092
41,41,41,41,41,41,41,41,41,41,02-11,2.3860143055036067,-0.365394389199,0.22001722228340537,0.2200172222834053,0.22001722228340537
