,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,mth_day,nudity (topless),nudity (topless)_norm,nudity (topless)_ravg,nudity (topless)_ravg
0,0,0,0,0,01-01,,,,
1,1,1,1,1,01-02,7.834274487889933,-0.613843834793996,,
2,2,2,2,2,01-03,8.00017492348372,-0.4271405519154235,,
3,3,3,3,3,01-04,7.268460319886546,-1.250607459237422,,
4,4,4,4,4,01-05,6.2407770311427475,-2.4071556206763907,-1.4809277083238517,-1.4809277083238517
5,5,5,5,5,01-06,6.903645829279382,-1.6611673398926332,-1.6711127239552777,-1.6711127239552777
6,6,6,6,6,01-07,6.135484246209793,-2.525651443427245,-1.8933974166161815,-1.8933974166161815
7,7,7,7,7,01-08,6.820309126910673,-1.7549539285825515,-1.6520449888695443,-1.6520449888695443
8,8,8,8,8,01-09,6.8150711555250725,-1.7608487078808464,-1.3682073332589184,-1.3682073332589184
9,9,9,9,9,01-10,8.555223110902677,0.19750710724240167,-1.0172544860858814,-1.0172544860858814
10,10,10,10,10,01-11,7.754048463044027,-0.7041296870126376,-0.610865213482738,-0.610865213482738
11,11,11,11,11,01-12,8.774739770035183,0.4445497431455892,-0.43029118590185494,-0.43029118590185494
12,12,12,12,12,01-13,8.302135725691842,-0.0873158078083844,-0.454927210979821,-0.454927210979821
13,13,13,13,13,01-14,7.783033810827752,-0.6715097630972537,-0.4577605985643398,-0.4577605985643398
14,14,14,14,14,01-15,6.683724971503482,-1.9086648583486427,-0.6224282502859767,-0.6224282502859767
15,15,15,15,15,01-16,8.540116995126981,0.18050678173528825,-0.5378212831697003,-0.5378212831697003
16,16,16,16,16,01-17,6.876128116032487,-1.6921355973424586,-0.6569876953710246,-0.6569876953710246
17,17,17,17,17,01-18,9.225819123834917,0.9521915458432472,-0.6088717286817161,-0.6088717286817161
18,18,18,18,18,01-19,7.666803789770634,-0.8023142810163298,-0.3627356103063362,-0.3627356103063362
19,19,19,19,19,01-20,8.039562556644093,-0.3828139629614027,-0.23487815081778832,-0.23487815081778832
20,20,20,20,20,01-21,7.9959918569356825,-0.431848148096364,0.023001238004723756,0.023001238004723756
21,21,21,21,21,01-22,9.221784973194412,0.9476515386665758,-0.2788187357954825,-0.2788187357954825
22,22,22,22,22,01-23,8.251003874295554,-0.14485926440738595,-0.4232384549082604,-0.4232384549082604
