,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,adventure,adventure_norm,adventure_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,11.600301668893776,-0.6811420322310611,
2,2,2,2,2,2,2,2,2,2,01-03,11.028561214024803,-1.0703882705995171,
3,3,3,3,3,3,3,3,3,3,01-04,10.105310244910928,-1.6989461481070045,
4,4,4,4,4,4,4,4,4,4,01-05,10.300961676336414,-1.565744827358717,-1.5228395822580119
5,5,5,5,5,5,5,5,5,5,01-06,9.9223700782274,-1.8234935211705063,-1.7886486105475612
6,6,6,6,6,6,6,6,6,6,01-07,9.226390823589751,-2.2973226940812643,-1.8960778869276211
7,7,7,7,7,7,7,7,7,7,01-08,9.257716028818457,-2.2759962019683573,-1.64639769002982
8,8,8,8,8,8,8,8,8,8,01-09,10.08178268738472,-1.7149639288798777,-1.5490067753187908
9,9,9,9,9,9,9,9,9,9,01-10,12.305751846265533,-0.2008649667201991,-1.3047892775929804
10,10,10,10,10,10,10,10,10,10,01-11,11.159271718489435,-0.9813993390925424,-1.1048279038310982
11,11,11,11,11,11,11,11,11,11,01-12,12.074668692420492,-0.3581885348156452,-0.7765326939234608
12,12,12,12,12,12,12,12,12,12,01-13,10.988658440151124,-1.0975544515099716,-0.567820852164835
13,13,13,13,13,13,13,13,13,13,01-14,12.150994896673152,-0.30622494252253274,-0.45590161389030004
14,14,14,14,14,14,14,14,14,14,01-15,11.921168529782955,-0.4626928783281239,-0.3501298165878192
15,15,15,15,15,15,15,15,15,15,01-16,13.292100587379384,0.4706504629270109,-0.12546989850473267
16,16,16,16,16,16,16,16,16,16,01-17,12.091442815461507,-0.3467685552776574,0.25172858636993334
17,17,17,17,17,17,17,17,17,17,01-18,14.054605571873086,0.989770973682874,0.1323493110456183
18,18,18,18,18,18,18,18,18,18,01-19,14.312923834037678,1.1656364577380245,-0.08451427620520553
19,19,19,19,19,19,19,19,19,19,01-20,11.098900549476244,-1.022500594468423,-0.2026065265294744
20,20,20,20,20,20,20,20,20,20,01-21,10.009941027022565,-1.763874401833067,-0.5208404044565843
21,21,21,21,21,21,21,21,21,21,01-22,12.25134884318933,-0.23790303901860216,-1.0613024229184846
22,22,22,22,22,22,22,22,22,22,01-23,9.286834870371477,-2.256171822840317,-1.4517617994915497
23,23,23,23,23,23,23,23,23,23,01-24,9.291492100513436,-2.2530011370885283,-1.5979960877372357
24,24,24,24,24,24,24,24,24,24,01-25,10.87178966911215,-1.177119801700366,-1.72145546525672
25,25,25,25,25,25,25,25,25,25,01-26,9.810131895020245,-1.8999063239425376,-1.955568505363206
26,26,26,26,26,26,26,26,26,26,01-27,8.921888575340086,-2.5046306669499727,-1.713307083168097
27,27,27,27,27,27,27,27,27,27,01-28,10.18810121974736,-1.6425812796575183,-1.4449720214708484
28,28,28,28,28,28,28,28,28,28,01-29,11.421894512364831,-0.8026032896696647,-1.4680579243450547
29,29,29,29,29,29,29,29,29,29,01-30,11.656339774445565,-0.6429907669050364,-1.2909597013166205
30,30,30,30,30,30,30,30,30,30,01-31,10.668332680050144,-1.315635218945603,-1.0322796353552175
31,31,31,31,31,31,31,31,31,31,02-01,11.370905646080894,-0.8373169857719328,-0.5859413188654644
32,32,32,32,32,32,32,32,32,32,02-02,11.20164638414866,-0.9525502711815548,-0.7531115790697611
33,33,33,33,33,33,33,33,33,33,02-03,14.121698726019115,1.0354486192810008,-0.8722374696646549
34,34,34,34,34,34,34,34,34,34,02-04,9.948616296338047,-1.8056248508954442,-0.7975932844405649
35,35,35,35,35,35,35,35,35,35,02-05,10.606478517043897,-1.357746110474399,-0.7730600170448683
36,36,36,36,36,36,36,36,36,36,02-06,11.326174881822908,-0.8677701076010632,-0.6879242794929757
37,37,37,37,37,37,37,37,37,37,02-07,11.587118316790795,-0.6901173813977529,-0.9680264615393366
38,38,38,38,38,38,38,38,38,38,02-08,11.951951057882445,-0.4417358458702004,-0.7207242504004778
39,39,39,39,39,39,39,39,39,39,02-09,11.653146947932779,-0.6451644729971635,-0.35537216647826275
40,40,40,40,40,40,40,40,40,40,02-10,12.128100613709304,-0.3218115840622912,-0.31144017584931344
41,41,41,41,41,41,41,41,41,41,02-11,13.826341103635444,0.8343663930588912,-0.2032330441037958
42,42,42,42,42,42,42,42,42,42,02-12,11.713349279357645,-0.6041781638273672,0.22819705424199524
43,43,43,43,43,43,43,43,43,43,02-13,12.540752114002016,-0.04087459092464727,0.161708370628276
44,44,44,44,44,44,44,44,44,44,02-14,15.754161839000854,2.1468447442045457,-0.006018633157165452
45,45,45,45,45,45,45,45,45,45,02-15,11.067179509342456,-1.044096574679479,-0.44658272267335875
46,46,46,46,46,46,46,46,46,46,02-16,10.649915794145436,-1.32817360677494,-0.4073018713294603
47,47,47,47,47,47,47,47,47,47,02-17,9.943632091550057,-1.8090181440382689,-0.5093464174467712
48,48,48,48,48,48,48,48,48,48,02-18,12.059532999603267,-0.3684930557639767,-0.856562445613903
49,49,49,49,49,49,49,49,49,49,02-19,11.641429431395395,-0.6531418676285129,-0.7140612037508588
50,50,50,50,50,50,50,50,50,50,02-20,12.694133040045678,0.06354857520175397,-0.5191495473405631
51,51,51,51,51,51,51,51,51,51,02-21,12.323048676124976,-0.18908912350121287,-0.23206134356650013
52,52,52,52,52,52,52,52,52,52,02-22,12.36768004891212,-0.15870366831316596,-0.05838805211737305
53,53,53,53,53,53,53,53,53,53,02-23,12.473751959651539,-0.08648892139389139,0.107144880546993
54,54,54,54,54,54,54,54,54,54,02-24,13.590122691124805,0.6735466929307858,0.17816866501332743
55,55,55,55,55,55,55,55,55,55,02-25,13.100277814064665,0.3400557283576834,0.3023558710285283
56,56,56,56,56,56,56,56,56,56,02-26,13.320068504560455,0.4896912819997605,0.2546085936915368
57,57,57,57,57,57,57,57,57,57,02-27,13.417515509566705,0.5560341125899924,-0.012101314690449491
58,58,58,58,58,58,58,58,58,58,02-28,11.946881376413724,-0.4451873323351149,-0.2385366359349174
59,59,59,59,59,59,59,59,59,59,02-29,10.12322682714606,-1.6867483716858092,-0.3947194958352438
60,60,60,60,60,60,60,60,60,60,03-01,11.594539112318321,-0.6850652345360217,-0.609800985656744
61,61,61,61,61,61,61,61,61,61,03-02,11.723831998124016,-0.597041431044275,-0.7639338098243019
62,62,62,62,62,62,62,62,62,62,03-03,11.424546698006143,-0.8007976569292412,-0.5789365801329858
63,63,63,63,63,63,63,63,63,63,03-04,12.059136740859651,-0.3687628324153552,-0.37295460694867816
64,64,64,64,64,64,64,64,64,64,03-05,13.577269390384851,0.6647960458127818,-0.27003887770239265
65,65,65,65,65,65,65,65,65,65,03-06,11.938554228178926,-0.4508565325799636,-0.40394817623996376
66,66,66,66,66,66,66,66,66,66,03-07,12.501539566823599,-0.06757085905830902,-0.24018728850204651
67,67,67,67,67,67,67,67,67,67,03-08,10.543683972884773,-1.4004972222697016,-0.28413279708537825
68,68,68,68,68,68,68,68,68,68,03-09,12.867777977580836,0.1817676694982625,-0.44597319969898414
69,69,69,69,69,69,69,69,69,69,03-10,11.671843209050119,-0.6324358839153456,-0.47079661249032195
70,70,70,70,70,70,70,70,70,70,03-11,12.150963423329227,-0.3062463698688533,-0.7319421201133273
71,71,71,71,71,71,71,71,71,71,03-12,11.719784494446234,-0.5997970093279903,-0.6590657768894185
72,72,72,72,72,72,72,72,72,72,03-13,10.200053721649681,-1.6344439047963408,-0.7522983301889066
73,73,73,73,73,73,73,73,73,73,03-14,11.185946112120924,-0.9632391629262496,-0.8004321064415737
74,74,74,74,74,74,74,74,74,74,03-15,12.046115741529825,-0.377627650298666,-0.7777912074941313
75,75,75,75,75,75,75,75,75,75,03-16,11.247638306087728,-0.9212385414313484,-1.107350424244239
76,76,76,76,76,76,76,76,76,76,03-17,12.350498574915195,-0.17040097618419894,-0.6205178848217773
77,77,77,77,77,77,77,77,77,77,03-18,8.815365883531713,-2.5771523098286355,-0.4950971442406698
78,78,78,78,78,78,78,78,78,78,03-19,14.490528440703075,1.2865513317384278,-0.4458939092976957
79,79,79,79,79,79,79,79,79,79,03-20,12.291284135225485,-0.2107147194396045,-0.21577685721437043
80,80,80,80,80,80,80,80,80,80,03-21,12.479745826874804,-0.08240824064082106,-0.23387374817237908
81,81,81,81,81,81,81,81,81,81,03-22,13.275669126619706,0.4594637710686033,0.4621659327302902
82,82,82,82,82,82,82,82,82,82,03-23,12.191009948208132,-0.2789823219322509,0.2357292390248937
83,83,83,83,83,83,83,83,83,83,03-24,14.949591541318775,1.5990857755873804,0.31215792743160026
84,84,84,84,84,84,84,84,84,84,03-25,12.494932766343315,-0.07206883049395102,0.2699412038502234
85,85,85,85,85,85,85,85,85,85,03-26,12.964853235204707,0.24785741100063474,0.30084166049305716
86,86,86,86,86,86,86,86,86,86,03-27,12.107688146708147,-0.3357085821290822,0.3726566674520931
87,87,87,87,87,87,87,87,87,87,03-28,13.547996091843851,0.6448665109256061,0.06629001075332823
88,88,88,88,88,88,88,88,88,88,03-29,12.823918488323214,0.15190771982196466,0.09618230366581904
89,89,89,89,89,89,89,89,89,89,03-30,12.249569893451259,-0.23911416460520896,-0.017727951950718423
90,90,90,90,90,90,90,90,90,90,03-31,12.758374744128385,0.10728492698099393,-0.008819755376045938
91,91,91,91,91,91,91,91,91,91,04-01,11.960957578304994,-0.43560412269859,-0.24634138404007597
92,92,92,92,92,92,92,92,92,92,04-02,12.186196440836005,-0.2822594026810473,-0.4361657564346904
93,93,93,93,93,93,93,93,93,93,04-03,11.454708440569837,-0.7802632610585739,-0.42240314537817647
94,94,94,94,94,94,94,94,94,94,04-04,11.150988671870408,-0.9870385145457222,-0.49005825324446906
95,95,95,95,95,95,95,95,95,95,04-05,12.370860337340215,-0.15653849826612512,-0.4163817141145332
96,96,96,96,96,96,96,96,96,96,04-06,12.162127561761501,-0.2986457202167612,-0.3088925575057173
97,97,97,97,97,97,97,97,97,97,04-07,12.610271876193428,0.006455112081025367,-0.28067587808717476
98,98,98,98,98,98,98,98,98,98,04-08,13.133502694336649,0.3626755369718476,-0.14715277257899403
99,99,99,99,99,99,99,99,99,99,04-09,11.703383169347232,-0.6109631845473186,-0.07469061007229745
100,100,100,100,100,100,100,100,100,100,04-10,12.327733162433764,-0.185899881496638,-0.14462690217309634
101,101,101,101,101,101,101,101,101,101,04-11,13.009472285283847,0.2782344767740544,-0.11887344375325638
102,102,102,102,102,102,102,102,102,102,04-12,11.545776211133257,-0.7182634728215544,-0.1763166858331134
