,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,based on a book,based on a book_norm,based on a book_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,19.05688055458975,-0.6259775479702797,
2,2,2,2,2,2,2,2,2,2,01-03,17.854708101161375,-1.3015529925497231,
3,3,3,3,3,3,3,3,3,3,01-04,16.88002897401142,-1.8492857930882842,
4,4,4,4,4,4,4,4,4,4,01-05,14.942121930084989,-2.9383162470972968,-1.9585865598635948
5,5,5,5,5,5,5,5,5,5,01-06,15.758115341954873,-2.4797588159851576,-2.2397109398774897
6,6,6,6,6,6,6,6,6,6,01-07,15.621328294425053,-2.5566279624908264,-2.464442318304963
7,7,7,7,7,7,7,7,7,7,01-08,16.055350629088508,-2.3127238280536484,-2.2093313090376574
8,8,8,8,8,8,8,8,8,8,01-09,15.455279216637495,-2.649941263114564,-1.9158364625906295
9,9,9,9,9,9,9,9,9,9,01-10,19.603817386111416,-0.3186197374844513,-1.6209428359397844
10,10,10,10,10,10,10,10,10,10,01-11,18.07572978205288,-1.1773471684151309,-1.2230735487318427
11,11,11,11,11,11,11,11,11,11,01-12,18.906657795613125,-0.7103970560800874,-0.994106556606169
12,12,12,12,12,12,12,12,12,12,01-13,19.869329026106392,-0.1694122392431765,-0.7884239570100985
13,13,13,13,13,13,13,13,13,13,01-14,18.500002632530013,-0.938921875299606,-0.6828688022904398
14,14,14,14,14,14,14,14,14,14,01-15,17.65132666656689,-1.4158456655381408,-0.8228232710904383
15,15,15,15,15,15,15,15,15,15,01-16,20.73081660142782,0.31471119083350085,-0.568404900703889
16,16,16,16,16,16,16,16,16,16,01-17,16.581453382794788,-2.0170739812151224,-0.4799077191140837
17,17,17,17,17,17,17,17,17,17,01-18,21.623050988813734,0.8161131662392076,-0.35718141981678375
18,18,18,18,18,18,18,18,18,18,01-19,20.814202390882475,0.361570850295656,-0.06498538485548792
19,19,19,19,19,19,19,19,19,19,01-20,19.810336015812737,-0.2025640795158065,-0.19105740433343477
20,20,20,20,20,20,20,20,20,20,01-21,20.7710672703729,0.3373305442296342,-0.0788657862408965
21,21,21,21,21,21,21,21,21,21,01-22,19.384761381269644,-0.4417209260341802,-0.47859732508408853
22,22,22,22,22,22,22,22,22,22,01-23,17.779309289417036,-1.343924272659893,-0.8783099212957738
23,23,23,23,23,23,23,23,23,23,01-24,17.355167228802593,-1.5822760668199445,-1.3686411835681882
24,24,24,24,24,24,24,24,24,24,01-25,16.54652087898418,-2.0367047269744565,-1.7756181337968513
25,25,25,25,25,25,25,25,25,25,01-26,14.575130314170256,-3.144551653150292,-2.0997599836091836
26,26,26,26,26,26,26,26,26,26,01-27,16.425825157112616,-2.104531157142344,-1.9038284785822885
27,27,27,27,27,27,27,27,27,27,01-28,15.923939298635053,-2.386572024908174,-1.6855387302574922
28,28,28,28,28,28,28,28,28,28,01-29,19.87124551941479,-0.16833524249852388,-1.4147192338328243
29,29,29,29,29,29,29,29,29,29,01-30,19.68581963253445,-0.27253757687116736,-1.0719890606107698
30,30,30,30,30,30,30,30,30,30,01-31,19.438026848290868,-0.4117877484264481,-0.9802356078768796
31,31,31,31,31,31,31,31,31,31,02-01,18.23441760631965,-1.088170613817966,-0.562602877893602
32,32,32,32,32,32,32,32,32,32,02-02,17.4054653225626,-1.5540104407390027,-0.6417391139575966
33,33,33,33,33,33,33,33,33,33,02-03,20.38295184266141,0.11922435499149198,-0.6924615274140294
34,34,34,34,34,34,34,34,34,34,02-04,19.02631780191881,-0.6431526588824921,-0.6865372996457696
35,35,35,35,35,35,35,35,35,35,02-05,19.14426275342064,-0.5768720576097647,-0.4090060642215975
36,36,36,36,36,36,36,36,36,36,02-06,19.501279088922,-0.37624238181688985,-0.06758121487799477
37,37,37,37,37,37,37,37,37,37,02-07,21.19758397540443,0.5770167987270666,-0.1736478758959259
38,38,38,38,38,38,38,38,38,38,02-08,21.05081583454568,0.4945386553226137,0.008027526577440658
39,39,39,39,39,39,39,39,39,39,02-09,19.250491338426304,-0.5171756111160947,0.16133939913736287
40,40,40,40,40,40,40,40,40,40,02-10,20.96604340389024,0.4468997559577073,0.13989901415709602
41,41,41,41,41,41,41,41,41,41,02-11,20.781154485829237,0.3429991777497686,-0.12330164225527925
42,42,42,42,42,42,42,42,42,42,02-12,19.27236277391098,-0.5048846916984909,-0.1640219822817114
43,43,43,43,43,43,43,43,43,43,02-13,18.387423410197425,-1.002187139747185,-0.3935478715209773
44,44,44,44,44,44,44,44,44,44,02-14,20.61604984534232,0.2502166151640209,-0.7280817153997461
45,45,45,45,45,45,45,45,45,45,02-15,16.79987206024456,-1.8943309465516904,-0.905178319428449
