,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,biography,biography_norm,biography_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,4.218932658252152,-0.06607664115091656,
2,2,2,2,01-03,3.9051533011752833,-0.5682858952424223,
3,3,3,3,01-04,3.1407039891399333,-1.7918001581452818,
4,4,4,4,01-05,3.6572906095213487,-0.9649943933803056,-1.1257079399915555
5,5,5,5,01-06,3.2896394382083187,-1.553426412079845,-1.1433461816254484
6,6,6,6,01-07,3.1295426083409397,-1.8096641399505613,-1.4003985757638535
7,7,7,7,01-08,4.152810625556501,-0.17190609095427328,-1.1254757221571703
8,8,8,8,01-09,2.941518310652522,-2.1106002600728533,-1.0484835476230627
9,9,9,9,01-10,4.171331547843481,-0.14226303650518216,-0.7881667223452267
10,10,10,10,01-11,3.945917967481509,-0.5030413461756607,-0.4991667155299521
11,11,11,11,01-12,4.265512089775443,0.008474539587172245,-0.582847584190584
12,12,12,12,01-13,4.21294243335314,-0.07566409905891328,-0.42192721569758285
13,13,13,13,01-14,3.839108769757772,-0.6739913029180646,-0.3638931972085282
14,14,14,14,01-15,3.5447746945793663,-1.145078049114846,-0.46044366409440224
15,15,15,15,01-16,4.388888793494291,0.20594107442914547,-0.39554230845551547
16,16,16,16,01-17,3.5839707132869334,-1.082344147490905,-0.3047536182885065
17,17,17,17,01-18,4.508813528128586,0.3978826734204927,-0.2398727627863431
18,18,18,18,01-19,4.553290006780345,0.4690680419431408,-0.0002628051000808466
19,19,19,19,01-20,4.082333357439582,-0.2847061699050845,0.06524684987902414
20,20,20,20,01-21,4.443021684567869,0.29258169700272746,0.09735181197235283
21,21,21,21,01-22,4.6344706172564525,0.5989990043037754,0.02155291718897546
22,22,22,22,01-23,3.704325417417332,-0.8897143749309329,-0.06538427680959163
23,23,23,23,01-24,4.224659523257162,-0.056910695279771585,-0.2563417693320895
24,24,24,24,01-25,4.227380876870521,-0.05255512204826178,-0.602211248820762
25,25,25,25,01-26,3.366474156384684,-1.4304511250400718,-0.910017540063722
26,26,26,26,01-27,3.146430249555891,-1.7826351799293076,-0.8262100443333277
27,27,27,27,01-28,3.480570014467084,-1.2478387431539852,-0.7523064789986592
28,28,28,28,01-29,4.0185019712852235,-0.3868694005485671,-0.8174954391067689
29,29,29,29,01-30,4.50170833939278,0.3865106967282393,-0.5725160625482898
30,30,30,30,01-31,3.983001270267272,-0.4436888826969208,-0.38477682463975843
31,31,31,31,02-01,4.284849960661745,0.03942513431080285,-0.26048256218273486
32,32,32,32,02-02,3.8502248955817486,-0.6561997524781191,-0.28463829738042373
33,33,33,33,02-03,3.9465228830496537,-0.5020731684118437,-0.4309982693799887
34,34,34,34,02-04,3.927947235406117,-0.5318038117347005,-0.446550328671434
35,35,35,35,02-05,3.9530357985147013,-0.4916491352691501,-0.4567757810392728
36,36,36,36,02-06,3.924699893389792,-0.5370012384455929,-0.1881790608225846
37,37,37,37,02-07,4.2465169051436265,-0.02192757989622988,-0.16143783670375583
38,38,38,38,02-08,4.8571371198697335,0.9553805688220102,-0.06398177673758144
39,39,39,39,02-09,4.04677006937401,-0.3416258236988711,-0.10350273258393212
40,40,40,40,02-10,4.2932893662844025,0.0529325480623458,-0.20540528005712433
41,41,41,41,02-11,3.8048801042637335,-0.7287748703472542,-0.3524865767769098
42,42,42,42,02-12,3.5426888224650748,-1.148416523284746,-0.4534892289891088
43,43,43,43,02-13,3.6951402706418968,-0.9044153602149426,-0.6009167893045658
44,44,44,44,02-14,4.4784995657107505,0.34936465554881585,-0.7305549233283185
45,45,45,45,02-15,3.49409536597916,-1.2261911855916128,-0.7451269225492845
46,46,46,46,02-16,3.8073034548514815,-0.7248962560801705,-0.4607382352777643
47,47,47,47,02-17,3.7502527650465294,-0.81620686567305,-0.3371140623253544
48,48,48,48,02-18,4.608801787031031,0.557915600344375,-0.5515230094937909
49,49,49,49,02-19,4.158581115574221,-0.16267032250048316,-0.48573794178252166
50,50,50,50,02-20,3.674725827422187,-0.9370890274618028,-0.376801260844746
51,51,51,51,02-21,3.740709653750996,-0.8314807793239974,-0.22662875910643762
52,52,52,52,02-22,4.215684002540652,-0.07127617045351685,-0.33752236726088386
53,53,53,53,02-23,4.313217672548838,0.08482814475680069,-0.3440661933528999
54,54,54,54,02-24,4.193085133618314,-0.10744604858230256,-0.33216530248217974
55,55,55,55,02-25,4.134049697318816,-0.20193327905257924,-0.07807070439389069
56,56,56,56,02-26,3.719339747085756,-0.8656836822374816,-0.27605400161557186
57,57,57,57,02-27,4.693256493244177,0.6930868092057368,-0.464535239584369
58,58,58,58,02-28,3.473486547499032,-1.2591759537836038,-0.6403254159622731
59,59,59,59,02-29,3.606641425427847,-1.046059283055982,-0.8508177632695729
60,60,60,60,03-01,3.5340849888590817,-1.1621871068497274,-0.6552793232135815
61,61,61,61,03-02,3.34495846250476,-1.464887362896378,-0.8398762187697932
62,62,62,62,03-03,4.4523719503522035,0.3075469580984663,-0.8621955565392915
63,63,63,63,03-04,4.0012418232541265,-0.4144945641315325,-0.9707814263877791
64,64,64,64,03-05,3.38981607669064,-1.3930919804005937,-0.8706876737024607
65,65,65,65,03-06,3.1995759942223585,-1.6975745021469073,-0.9042186376091738
66,66,66,66,03-07,3.909315271166317,-0.5616245907378167,-0.8730460413706639
67,67,67,67,03-08,3.2192579795554863,-1.6660731463366567,-0.8145843777184881
68,68,68,68,03-09,4.5692314123368005,0.494582535529526,-0.4682664678303731
69,69,69,69,03-10,4.220402220060532,-0.06372458221847745,-0.40641608757028996
70,70,70,70,03-11,4.6880885823075635,0.6848154789280966,-0.5248375701052442
71,71,71,71,03-12,3.4314399719749376,-1.3264722205864088,-0.30103753559366797
72,72,72,72,03-13,3.4653782108531623,-1.272153485947542,-0.345034842941273
73,73,73,73,03-14,4.058236915575189,-0.32327293926719924,-0.5391568470750258
74,74,74,74,03-15,4.404294824249205,0.2305986914438959,-0.5679201418139614
75,75,75,75,03-16,3.492679935112787,-1.2284566070209937,-0.5424110215854644
76,76,76,76,03-17,4.580261081435372,0.5122357104944822,-0.22730162389893507
77,77,77,77,03-18,3.527068261732848,-1.1734174992154258,-0.1925761007372168
78,78,78,78,03-19,4.646656613145718,0.6185029001716338,-0.27794037167252134
79,79,79,79,03-20,4.188415548203769,-0.11491980029688965,-0.08972074310643445
80,80,80,80,03-21,4.084282249811041,-0.28158693416793146,-0.1652128875257202
81,81,81,81,03-22,4.198275463983141,-0.09913883562447223,0.13436839418293692
82,82,82,82,03-23,4.297257018719456,0.05928284397876769,0.029663908841959852
83,83,83,83,03-24,4.650135045560117,0.6240701910365168,0.2122198906595739
84,84,84,84,03-25,4.254141670511428,-0.009724011874228512,0.21774424862714628
85,85,85,85,03-26,4.872779264785106,0.9804160906087944,0.29515127509724826
86,86,86,86,03-27,4.104991897957168,-0.2484407863624972,0.12527756741907803
87,87,87,87,03-28,4.488458013999575,0.3653033231961396,0.06346853431454041
88,88,88,88,03-29,3.6604364622052814,-0.9599594020902537,0.1568844837524133
89,89,89,89,03-30,4.418426069537733,0.2532159924092912,-0.05186377245687688
90,90,90,90,03-31,4.604338282579435,0.5507716847530088,0.11080090534653231
91,91,91,91,04-01,4.09022625815731,-0.27207344664694666,0.03900756137255637
92,92,92,92,04-02,4.714787328102345,0.7275472804579579,0.15563777195675757
93,93,93,93,04-03,4.219319970870868,-0.06545674064771602,0.13054708980367283
94,94,94,94,04-04,4.0976584233065685,-0.26017813858504635,0.2730596497757292
95,95,95,95,04-05,4.324366415513351,0.10267189949078268,0.3468079804286192
96,96,96,96,04-06,5.138587690519608,1.4058470445853468,0.35214901407774324
97,97,97,97,04-07,4.366693132344456,0.1704165372703932,0.27723585466805745
98,98,98,98,04-08,4.73480973220057,0.7595934823527021,0.2639115940299809
99,99,99,99,04-09,3.9384864003462767,-0.5149356971058308,0.19390380271537158
100,100,100,100,04-10,4.0477085918073055,-0.3401237024135057,-0.0767348698244068
101,101,101,101,04-11,4.061922031184259,-0.31737484839687297,-0.14273866399272211
102,102,102,102,04-12,4.1240206193895865,-0.21798499065332355,-0.09465733305628539
103,103,103,103,04-13,4.119258885404103,-0.22560622773949865,0.21400037240158967
104,104,104,104,04-14,4.915056459863055,1.0480814679713224,0.3173031526561399
105,105,105,105,04-15,5.0955787747263,1.3370105356414197,0.4342315172795584
106,106,106,106,04-16,4.4349688389068485,0.2796929791137954,0.4520286114490986
107,107,107,107,04-17,4.500261708639514,0.3841953393436385,0.4148325897797382
