,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,cinematography,cinematography_norm,cinematography_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,10.98204190417114,-0.4119070074005188,
2,2,2,2,2,2,2,2,2,2,01-03,10.903514387819481,-0.4778614558558229,
3,3,3,3,3,3,3,3,3,3,01-04,10.401577169465273,-0.8994333319800121,
4,4,4,4,4,4,4,4,4,4,01-05,8.22480262124655,-2.727683751825093,-1.6422537387062455
5,5,5,5,5,5,5,5,5,5,01-06,8.834936592658774,-2.215238542325124,-1.7948809610427479
6,6,6,6,6,6,6,6,6,6,01-07,7.756033194638164,-3.1213983428509,-2.091722903315996
7,7,7,7,7,7,7,7,7,7,01-08,9.89170422611201,-1.3276703414195334,-1.9670217472907743
8,8,8,8,8,8,8,8,8,8,01-09,8.782936229257468,-2.258913109495312,-1.4557271652285806
9,9,9,9,9,9,9,9,9,9,01-10,11.292416738124,-0.1512263958286814,-1.0595343802441832
10,10,10,10,10,10,10,10,10,10,01-11,11.877386602502535,0.3400837405480681,-0.4886920714230573
11,11,11,11,11,11,11,11,11,11,01-12,11.665256863385167,0.1619181675812597,-0.1694536252200868
12,12,12,12,12,12,12,12,12,12,01-13,11.834013963794062,0.3036555100758559,0.11967775341363789
13,13,13,13,13,13,13,13,13,13,01-14,12.172278430710533,0.5877603357982896,0.15181947501833273
14,14,14,14,14,14,14,14,14,14,01-15,10.848431697284044,-0.524124837692964,-0.09705077449928252
15,15,15,15,15,15,15,15,15,15,01-16,11.522030627224467,0.041623933799487804,0.09922320091868679
16,16,16,16,16,16,16,16,16,16,01-17,10.099508411161464,-1.1531377565576235,0.1899971323670854
17,17,17,17,17,17,17,17,17,17,01-18,13.06739802368775,1.3395620200890757,0.08678444553590557
18,18,18,18,18,18,18,18,18,18,01-19,12.482484375091556,0.8482990987662475,0.03649237069874389
19,19,19,19,19,19,19,19,19,19,01-20,11.434948093546698,-0.031515785188789475,-0.06924648562153085
20,20,20,20,20,20,20,20,20,20,01-21,10.489155394778649,-0.8258772867159341,-0.1398613835269447
21,21,21,21,21,21,21,21,21,21,01-22,10.766653851601243,-0.5928092041221606,-0.4117941049070679
22,22,22,22,22,22,22,22,22,22,01-23,9.59505001481576,-1.5768271439901065,-0.7920828950977706
23,23,23,23,23,23,23,23,23,23,01-24,11.1247662475279,-0.29203430819166337,-1.1723908249707333
24,24,24,24,24,24,24,24,24,24,01-25,9.76577899225842,-1.4334336423779683,-1.5758932087538122
25,25,25,25,25,25,25,25,25,25,01-26,8.718105980735814,-2.3133633644265656,-1.5753731217169689
