,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,clever,clever_norm,clever_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,7.0274227836815015,-0.9708750152552448,
2,2,2,2,01-03,7.3330752722167025,-0.6712110432085279,
3,3,3,3,01-04,5.8509932477254925,-2.124255278138508,
4,4,4,4,01-05,6.104659786090593,-1.8755587181133693,-1.4688854567896803
5,5,5,5,01-06,6.405657058010753,-1.5804587550439275,-1.6979312613438096
6,6,6,6,01-07,6.3949521453710805,-1.5909539309785041,-2.005872274758576
7,7,7,7,01-08,5.625684302962115,-2.345149842580021,-1.843612923614003
8,8,8,8,01-09,5.448505637180264,-2.518857123697127,-1.7219086238902372
9,9,9,9,01-10,6.8440050027264725,-1.1506991712710697,-1.5836133402737973
10,10,10,10,01-11,6.849478493963899,-1.1453329197707758,-1.3471146722232656
11,11,11,11,01-12,7.25201100509365,-0.7506870533452891,-1.0545084834889502
12,12,12,12,01-13,7.842301439939655,-0.17196192267531296,-0.9069540323867945
13,13,13,13,01-14,7.416406273373054,-0.5895127101741281,-0.6658961121652028
14,14,14,14,01-15,6.351524806267201,-1.6335304170841929,-0.7463065461964052
15,15,15,15,01-16,8.319256485784893,0.2956483500584811,-0.39531986933669105
16,16,16,16,01-17,6.35737430610375,-1.6277955239579902,-0.17969979021201707
17,17,17,17,01-18,9.400015995326124,1.3552330078129962,-0.20845534258208379
18,18,18,18,01-19,9.16187576138673,1.1217585520727311,-0.15490576643015244
19,19,19,19,01-20,7.240425035166447,-0.7620460243945285,-0.16644040589872341
20,20,20,20,01-21,6.679243105515227,-1.3122329601726048,-0.15802088965103533
21,21,21,21,01-22,8.248665592248141,0.22644051324705536,-0.698157507574801
22,22,22,22,01-23,6.408900942605129,-1.5772784264718618,-0.14687229130775845
23,23,23,23,01-24,6.094431404229902,-1.8855866997295985,-0.38114410006193383
24,24,24,24,01-25,12.535688711148053,4.4294698496749865,-0.6183750051327007
25,25,25,25,01-26,5.806703907125204,-2.167676876919581,-1.0545952193628916
26,26,26,26,01-27,5.227412590213231,-2.735618390597206,-0.8099632351219332
27,27,27,27,01-28,5.579039481678595,-2.390880772134089,-0.558416833917196
28,28,28,28,01-29,7.906025356618358,-0.10948652102611202,-1.5278362081688688
29,29,29,29,01-30,7.633871390662086,-0.3763082925011755,-1.3793847947288833
30,30,30,30,01-31,6.602934590247568,-1.3870463958350507,-1.1407513299548397
31,31,31,31,02-01,6.715212400180072,-1.276968396279666,-0.6984778880500621
32,32,32,32,02-02,6.687826637142957,-1.303817601952945,-0.8956625780554935
33,33,33,33,02-03,8.285710768345304,0.2627598792945769,-1.022473858172771
34,34,34,34,02-04,6.69927385847417,-1.2925946610587014,-0.8173905665890402
35,35,35,35,02-05,6.857798449812106,-1.13717597320484,-0.6762461908671616
36,36,36,36,02-06,7.858024776793956,-0.15654664633266493,-0.456494695574333
37,37,37,37,02-07,7.579002519242111,-0.4301021419483951,-0.7072782752223344
38,38,38,38,02-08,8.032684831543051,0.014691369804027384,-0.604624703274076
39,39,39,39,02-09,6.750939177093202,-1.2419415985934326,-0.14372080830566936
40,40,40,40,02-10,7.327503929150555,-0.6766732293691502,-0.31850063690368885
41,41,41,41,02-11,9.678486332518904,1.6282473966055997,-0.35231103394824737
42,42,42,42,02-12,6.788388893804081,-1.2052256179207819,-0.2855140030239281
43,43,43,43,02-13,7.372086113687263,-0.6329645242157461,-0.2903651858115316
44,44,44,44,02-14,8.441476290643074,0.4154735553499431,-0.3328296861191839
45,45,45,45,02-15,6.721250401070324,-1.2710486953190538,-0.7389682142718815
46,46,46,46,02-16,7.0676252369316375,-0.931460231215064,-0.5790237431588641
47,47,47,47,02-17,7.19295727197752,-0.8085837723105862,-0.701420764157163
48,48,48,48,02-18,7.767233803772483,-0.24555879124267666,-0.8679431464823648
49,49,49,49,02-19,6.623028017675779,-1.3673466502055398,-0.7129954788507682
50,50,50,50,02-20,7.4223751913643135,-0.5836607386012674,-0.6995753678259439
51,51,51,51,02-21,7.6695153502569315,-0.3413626895294733,-0.5912353100571782
52,52,52,52,02-22,7.1497550365830325,-0.8509395650661187,-0.6991125180826633
53,53,53,53,02-23,7.855988093578754,-0.1585434256979924,-0.40549910606602985
54,54,54,54,02-24,7.107035578460058,-0.8928220393955867,-0.1297897310229636
55,55,55,55,02-25,8.419914098519781,0.3943338218942602,0.14614489745253648
56,56,56,56,02-26,9.109690273364107,1.0705955116571302,0.2356468274192034
57,57,57,57,02-27,9.358208961781731,1.3142450813235271,0.061838153528263586
58,58,58,58,02-28,7.697498312549825,-0.31392798526611715,0.1789968222433941
59,59,59,59,02-29,6.792295584781195,-1.2013954690436313,-0.08739445684515117
60,60,60,60,03-01,7.824035458058561,-0.18987002710480352,-0.501065751576789
61,61,61,61,03-02,6.789624875133352,-1.2040138526370114,-0.7204955771738849
62,62,62,62,03-03,6.5780613997284325,-1.411432256732697,-0.7398832310247955
63,63,63,63,03-04,8.015319355243209,-0.002333872259048323,-0.7223721270981088
64,64,64,64,03-05,7.578847719902684,-0.4302539083715801,-0.694503552687407
65,65,65,65,03-06,6.899461870850898,-1.0963288454835116,-0.7894456126841002
66,66,66,66,03-07,7.994588475741278,-0.02265858064059292,-0.7460179506146991
67,67,67,67,03-08,6.208588522185518,-1.7736662126171707,-0.9111150848549848
68,68,68,68,03-09,6.843834550076492,-1.1508662843162898,-0.8089619011031918
69,69,69,69,03-10,7.0049406383241175,-0.9929166777007624,-0.6255846016571072
70,70,70,70,03-11,8.204015462536653,0.1826651941391781,-0.7747212318468907
71,71,71,71,03-12,8.021713455525665,0.003934951192996637,-0.5452603359749516
72,72,72,72,03-13,7.08188652152394,-0.9174783617792942,-0.4341340674989598
73,73,73,73,03-14,7.612867322184358,-0.3969008373855355,-0.49242039831357065
74,74,74,74,03-15,7.52391671549655,-0.4841086734603389,-0.6325607150025829
75,75,75,75,03-16,6.64823385226521,-1.3426346625884276,-1.0039125573041285
