,unnamed: 0,unnamed: 0,mth_day,conspiracy,conspiracy_norm,conspiracy_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.1256149220367853,-0.2432858298513425,
2,2,2,01-03,3.06183004432718,-0.3633919958205123,
3,3,3,01-04,2.721507396098952,-1.0042154940995065,
4,4,4,01-05,2.2185433300098536,-1.9512908474967747,-0.7787953249190158
5,5,5,01-06,3.0570187559803785,-0.3724515945444819,-0.9462310074002013
6,6,6,01-07,2.8628143463517093,-0.7381361877014766,-1.1816982030081773
7,7,7,01-08,2.5920937104432973,-1.2478999247384548,-1.0797316088754323
8,8,8,01-09,2.311531531909406,-1.7761951694683684,-0.8000795701559275
9,9,9,01-10,3.0464162807381423,-0.3924159293030367,-0.7563361198973989
10,10,10,01-11,3.109633522442311,-0.2733786151797453,-0.6420855147643261
11,11,11,01-12,3.19640397086032,-0.10999089299331123,-0.5675902916771688
12,12,12,01-13,3.2268653083247387,-0.05263255690303899,-0.3882280944982878
13,13,13,01-14,2.829467137005784,-0.8009285862155112,-0.20156697142315547
14,14,14,01-15,2.883055685750984,-0.7000219863950827,-0.22604973278736085
15,15,15,01-16,3.6411979130920247,0.7275508091477574,-0.24375502935594986
16,16,16,01-17,3.0316210443813523,-0.4202751833649777,-0.23984261929164796
17,17,17,01-18,3.1399873747267137,-0.2162226724048456,-0.09008852953756813
18,18,18,01-19,3.239331908793796,-0.029158096517227644,-0.07002788382442633
19,19,19,01-20,3.3066472829740987,0.09759595230896778,-0.23577151510426383
20,20,20,01-21,2.9469774248189142,-0.5796581121162321,-0.3322902608152823
21,21,21,01-22,3.1130682954147426,-0.26691097853126755,-0.5301221086781279
22,22,22,01-23,2.7240713190770536,-0.9993876576310884,1.0588431352742511
23,23,23,01-24,2.5096110678398933,-1.4032137595819196,0.8467467218720298
24,24,24,01-25,8.302450173496279,9.504633367197046,0.7629101185405259
25,25,25,01-26,2.6308180106461903,-1.174982528104359,0.5783238875738608
26,26,26,01-27,2.6798383925500144,-1.0826777321052563,0.5829196874064594
27,27,27,01-28,2.5248981507391792,-1.3744283643312585,0.8863702859138742
28,28,28,01-29,2.7387154896540427,-0.971812858635497,-0.6161159267862618
29,29,29,01-30,3.476533581460234,0.41748983146256996,-0.36889681686972126
30,30,30,01-31,3.5148908389299236,0.4897160909962301,-0.2651791148284264
31,31,31,02-01,3.4185631143014845,0.30833213139488425,-0.26896756953458123
32,32,32,02-02,3.010327050862032,-0.4603715198574872,0.03383483385746235
33,33,33,02-03,2.5128265246978065,-1.3971590925681876,-0.17975369707372502
34,34,34,02-04,3.703572578281472,0.8450015617167644,-0.43383386895084636
35,35,35,02-05,2.7959497888287848,-0.8640413541245542,-0.5411397507707106
36,36,36,02-06,2.7052834772673577,-1.0347649402664978,-0.7274945570709384
37,37,37,02-07,3.0766409909448056,-0.33550315952430104,-0.24926089333127868
38,38,38,02-08,2.4165214738773324,-1.5785003576588534,-0.41809539003278756
39,39,39,02-09,4.036682132547983,1.4722428898697701,-0.28975244206416295
40,40,40,02-10,3.1655941503613207,-0.16800541849228895,0.039717336052184415
41,41,41,02-11,3.2049049415477686,-0.0939836663128063,0.13274478780211316
42,42,42,02-12,3.7551141501516967,0.9420537284315864,0.6212108338532986
43,43,43,02-13,3.373065970576336,0.22266155097527132,0.38991251837499724
44,44,44,02-14,3.972981798520457,1.3522959186482593,0.35483023863202084
45,45,45,02-15,3.2996674431768405,0.08445299699996238,0.019105831925767074
46,46,46,02-16,3.0538071040366064,-0.3784990969501472,-0.22908976215032828
47,47,47,02-17,2.135144364989946,-2.108330106550329,-0.14742559385637163
48,48,48,02-18,2.964257553150496,-0.5471198360249856,-0.43010678271507263
49,49,49,02-19,3.6332827019583225,0.7126465607390111,-0.4342893631200082
50,50,50,02-20,3.0722394469519445,-0.3437912145039466,-0.17842918024097787
51,51,51,02-21,3.2863399652333074,0.059357514570348976,0.1014699673533929
52,52,52,02-22,3.8690863369055672,1.1566620003240349,0.18562798400170008
53,53,53,02-23,3.02702195127036,-0.4289352209841045,0.04101924103253159
54,54,54,02-24,3.232420744784126,-0.04217173613514254,0.17072490822408615
