,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,mth_day,dark comedy,dark comedy_norm,dark comedy_ravg
0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,01-02,7.527084440292512,-1.6431607517812388,
2,2,2,2,2,2,2,2,2,01-03,8.69799739019977,-0.5539726896630105,
3,3,3,3,3,3,3,3,3,01-04,7.23400223807315,-1.915787026776264,
4,4,4,4,4,4,4,4,4,01-05,7.109247787303133,-2.031834132144414,-1.6034980172809916
5,5,5,5,5,5,5,5,5,01-06,6.941925647747005,-2.18747787743483,-1.743337013428736
6,6,6,6,6,6,6,6,6,01-07,7.908081593912597,-1.288755625886193,-2.131788570812394
7,7,7,7,7,7,7,7,7,01-08,6.625095350329546,-2.482194728667705,-1.9906198974958063
8,8,8,8,8,8,8,8,8,01-09,6.1924082742067155,-2.8846820339649577,-1.8854538867948005
9,9,9,9,9,9,9,9,9,01-10,8.144568007878716,-1.0687749868767376,-1.7587806884733475
10,10,10,10,10,10,10,10,10,01-11,7.787589286458452,-1.4008380679383805,-1.5055189592450502
11,11,11,11,11,11,11,11,11,01-12,7.7589927465121376,-1.4274386875061111,-1.0751239234757903
12,12,12,12,12,12,12,12,12,01-13,9.541669669929147,0.2308147494835906,-0.7664904256169937
13,13,13,13,13,13,13,13,13,01-14,9.401228169732338,0.10017548594785508,-0.42836322640949004
14,14,14,14,14,14,14,14,14,01-15,8.183155172672876,-1.0328810468121776,-0.49523801041481647
15,15,15,15,15,15,15,15,15,01-16,10.325555093789106,0.9599882083682841,-0.053750065918002944
16,16,16,16,16,16,16,16,16,01-17,7.356233747387616,-1.8020867719703395,-0.0617588790829531
17,17,17,17,17,17,17,17,17,01-18,10.606677013821756,1.22148897947477,-0.1465325084927225
18,18,18,18,18,18,18,18,18,01-19,9.490011246332454,0.18276187049388973,-0.02516622878830695
19,19,19,19,19,19,19,19,19,01-20,8.854421549614813,-0.4084662905107613,-0.3375173055636111
20,20,20,20,20,20,20,20,20,01-21,8.965991600267916,-0.30468336858568434,-0.26615962831628176
21,21,21,21,21,21,21,21,21,01-22,8.31082907850904,-0.9141182522835406,-0.6617780362515456
22,22,22,22,22,22,22,22,22,01-23,7.816504831529177,-1.3739407084863635,-1.028662508230844
23,23,23,23,23,23,23,23,23,01-24,8.054860299054223,-1.1522214681368133,-1.3432956075933207
24,24,24,24,24,24,24,24,24,01-25,7.123534082462385,-2.018544961381901,-1.636214480514866
25,25,25,25,25,25,25,25,25,01-26,6.8249760388193215,-2.2962648866856203,-1.7592952571221476
26,26,26,26,26,26,26,26,26,01-27,7.076607130285474,-2.062196606114956,-1.430982396021496
27,27,27,27,27,27,27,27,27,01-28,7.5169338079319825,-1.6526029119272312,-1.3669662715463193
28,28,28,28,28,28,28,28,28,01-29,9.934187502065797,0.5959364581175464,-1.1887683592292388
29,29,29,29,29,29,29,29,29,01-30,8.467776920661793,-0.7681247212857537,-0.9192416258647521
30,30,30,30,30,30,30,30,30,01-31,8.272945742957754,-0.9493574874794168,-0.642449643794642
31,31,31,31,31,31,31,31,31,02-01,8.56347659764249,-0.6791044864986998,-0.4318573891638862
32,32,32,32,32,32,32,32,32,02-02,8.861969975372599,-0.4014447136942954,-0.7370785757940691
33,33,33,33,33,33,33,33,33,02-03,8.875295361864726,-0.3890493841426971,-0.6043588341811759
34,34,34,34,34,34,34,34,34,02-04,7.965450683652811,-1.2353906616635506,-0.48491004193514264
35,35,35,35,35,35,35,35,35,02-05,9.323845415540392,0.02819372839160546,-0.25362936675695974
36,36,36,36,36,36,36,36,36,02-06,9.043413998474568,-0.2326647340032175,-0.265138696007718
37,37,37,37,37,37,37,37,37,02-07,10.05528254217018,0.7085795645703978,-0.31321751758729327
38,38,38,38,38,38,38,38,38,02-08,8.787732533007043,-0.47050068919884497,-0.15063897095600962
39,39,39,39,39,39,39,39,39,02-09,8.565177485466107,-0.6775223136201486,-0.3149684056802836
40,40,40,40,40,40,40,40,40,02-10,9.014114356613671,-0.2599193818758489,-0.4917450212849869
41,41,41,41,41,41,41,41,41,02-11,8.263888169247847,-0.9577828799540388,-0.8393971759080757
42,42,42,42,42,42,42,42,42,02-12,7.903169981937473,-1.2933244276314373,-0.7751121815327239
43,43,43,43,43,43,43,43,43,02-13,7.812857616287283,-1.3773333631681353,-0.8451847228852608
44,44,44,44,44,44,44,44,44,02-14,9.202383418469893,-0.08479072294673308,-0.9420408954134708
45,45,45,45,45,45,45,45,45,02-15,8.113195781169622,-1.0979575617353703,-0.8294793015699505
46,46,46,46,46,46,46,46,46,02-16,8.389372951693156,-0.8410564170451089,-0.6568375973883538
47,47,47,47,47,47,47,47,47,02-17,8.98993263747636,-0.28241331689291754,-0.5141163964055279
48,48,48,48,48,48,48,48,48,02-18,9.01674300472927,-0.25747420254185666,-0.5999542799977885
49,49,49,49,49,49,49,49,49,02-19,8.733437495571529,-0.5210061572711797,-0.5043507365359577
50,50,50,50,50,50,50,50,50,02-20,8.648712149091441,-0.5998180245002965,-0.11655245080967806
51,51,51,51,51,51,51,51,51,02-21,8.729857481696014,-0.5243363009643858,-0.15095794135252757
52,52,52,52,52,52,52,52,52,02-22,10.890748336724396,1.4857332973125694,-0.07631067389148032
53,53,53,53,53,53,53,53,53,02-23,8.768010441526908,-0.4888462601500146,0.1275485517184858
54,54,54,54,54,54,54,54,54,02-24,9.498232594187382,0.1904094022244268,0.4972801790417128
55,55,55,55,55,55,55,55,55,02-25,10.048369685117676,0.7021491963886172,0.5450892662840209
