,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,dark,dark_norm,dark_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,10.317457082206117,-1.0710142075837876,
2,2,2,2,2,2,2,2,2,2,01-03,10.717036449856376,-0.7522470763177276,
3,3,3,3,3,3,3,3,3,3,01-04,10.120260166803499,-1.2283293747483401,
4,4,4,4,4,4,4,4,4,4,01-05,8.19527416782887,-2.763999918072173,-1.7573887949880393
5,5,5,5,5,5,5,5,5,5,01-06,8.99732035439489,-2.12416217184923,-1.9163743377349076
6,6,6,6,6,6,6,6,6,6,01-07,8.395109393208994,-2.604580021356977,-2.2956646764948565
7,7,7,7,7,7,7,7,7,7,01-08,9.121712545107574,-2.024927464064997,-2.2607731274040384
8,8,8,8,8,8,8,8,8,8,01-09,7.8643597679987876,-3.0279891088774216,-2.072810163053896
9,9,9,9,9,9,9,9,9,9,01-10,10.382682639283775,-1.0189800802034288,-1.8267670863316192
10,10,10,10,10,10,10,10,10,10,01-11,9.60896049373826,-1.6362221319713206,-1.474316861125543
11,11,11,11,11,11,11,11,11,11,01-12,10.847832418564167,-0.6479037115155679,-1.1401272073217439
12,12,12,12,12,12,12,12,12,12,01-13,11.045919171934099,-0.4898786701205195,-0.9153460602012259
13,13,13,13,13,13,13,13,13,13,01-14,11.63518292729814,-0.01978954124220217,-0.6407796395979983
14,14,14,14,14,14,14,14,14,14,01-15,9.554958951221677,-1.6793022261543138,-0.4911628109429438
15,15,15,15,15,15,15,15,15,15,01-16,12.447721332957554,0.6284184434159364,-0.19214541485147632
16,16,16,16,16,16,16,16,16,16,01-17,10.734242091242598,-0.7385211600409938,0.1351168819258738
17,17,17,17,17,17,17,17,17,17,01-18,13.096769093536437,1.1462006650332368,0.0623210644971118
18,18,18,18,18,18,18,18,18,18,01-19,13.507288280148478,1.4736951105435812,0.14656426953380297
19,19,19,19,19,19,19,19,19,19,01-20,11.087679050466676,-0.4565644458147741,0.042282850688961114
20,20,20,20,20,20,20,20,20,20,01-21,10.188559657737992,-1.1738429959341667,-0.10252174124032513
21,21,21,21,21,21,21,21,21,21,01-22,11.663411421815901,0.0027299303468852803,-0.5390697848808546
22,22,22,22,22,22,22,22,22,22,01-23,9.645153758085725,-1.6073487116167111,-1.0587864387290662
23,23,23,23,23,23,23,23,23,23,01-24,9.813452073979942,-1.47308759680994,-1.228182308666001
24,24,24,24,24,24,24,24,24,24,01-25,9.59845267823728,-1.6446048125456891,-1.388325938633433
25,25,25,25,25,25,25,25,25,25,01-26,9.81363750816968,-1.4729396654363829,-1.606745483624212
26,26,26,26,26,26,26,26,26,26,01-27,8.98410504270691,-2.1347047757387574,-1.2344408890433203
27,27,27,27,27,27,27,27,27,27,01-28,10.020658419210456,-1.3077873395977913,-1.013839256546542
28,28,28,28,28,28,28,28,28,28,01-29,12.445290030951693,0.6264788558686398,-0.9750538514516599
29,29,29,29,29,29,29,29,29,29,01-30,11.472616752576096,-0.14947780182927045,-0.8011475863625681
30,30,30,30,30,30,30,30,30,30,01-31,9.890161191225788,-1.4118923819763958,-0.6559310960031816
31,31,31,31,31,31,31,31,31,31,02-01,11.121602137246557,-0.4295020749018315,-0.3138816881977763
32,32,32,32,32,32,32,32,32,32,02-02,10.076291300927423,-1.2634058335824383,-0.3727376393603639
33,33,33,33,33,33,33,33,33,33,02-03,12.593242716716723,0.7445091072346406,-0.4231230440683768
34,34,34,34,34,34,34,34,34,34,02-04,12.002629139511681,0.27334314889311384,-0.1237592305200202
35,35,35,35,35,35,35,35,35,35,02-05,11.09366360131359,-0.4517902300773477,0.1292181138029147
36,36,36,36,36,36,36,36,36,36,02-06,12.141703302984785,0.3842904993137435,0.5497431735206044
37,37,37,37,37,37,37,37,37,37,02-07,13.024267450440915,1.088361991035778,0.4223579174741252
38,38,38,38,38,38,38,38,38,38,02-08,13.239098020221846,1.2597445247237002,0.321354481701581
39,39,39,39,39,39,39,39,39,39,02-09,11.635166772245498,-0.0198024290442346,0.40980685133593725
40,40,40,40,40,40,40,40,40,40,02-10,11.2429732332794,-0.3326774657421516,0.09785394836803236
41,41,41,41,41,41,41,41,41,41,02-11,11.758921812571833,0.07892398772878985,-0.3330437964339455
42,42,42,42,42,42,42,42,42,42,02-12,9.795477519739773,-1.487426918493686,-0.3903518498121666
43,43,43,43,43,43,43,43,43,43,02-13,9.78344683560425,-1.4970244777760893,-0.5603704452423653
44,44,44,44,44,44,44,44,44,44,02-14,12.808079006953044,0.9158962044543736,-0.6738381236882774
45,45,45,45,45,45,45,45,45,45,02-15,10.35644165561956,-1.0399140016254271,-0.9738272180222668
46,46,46,46,46,46,46,46,46,46,02-16,10.389572639145024,-1.013483536417624,-0.933258157225588
47,47,47,47,47,47,47,47,47,47,02-17,9.502676907900632,-1.721010578275146,-0.8033183247366044
48,48,48,48,48,48,48,48,48,48,02-18,10.100601067357458,-1.2440125537136135,-0.9851043933299476
49,49,49,49,49,49,49,49,49,49,02-19,10.760735978791217,-0.7173854828421875,-0.95680142005416
50,50,50,50,50,50,50,50,50,50,02-20,11.440849668451495,-0.17482020710568555,-0.33032293183110767
51,51,51,51,51,51,51,51,51,51,02-21,10.56931085802278,-0.8700961619707017,-0.0559606799203816
52,52,52,52,52,52,52,52,52,52,02-22,15.101373580034187,2.7453873929206902,0.17307809243073125
53,53,53,53,53,53,53,53,53,53,02-23,11.566180030512495,-0.07483706681078953,0.4409702753502458
54,54,54,54,54,54,54,54,54,54,02-24,11.823222232092226,0.1302200803930636,0.6397224350204748
55,55,55,55,55,55,55,55,55,55,02-25,12.775577131784813,0.8899676146748997,0.7269644975366578
56,56,56,56,56,56,56,56,56,56,02-26,12.93568250077137,1.0176927509156886,0.18218745451840598
57,57,57,57,57,57,57,57,57,57,02-27,11.225466240811446,-0.3466437868736039,0.10551717227951103
58,58,58,58,58,58,58,58,58,58,02-28,11.004056541824413,-0.5232748651888206,-0.034633933847471904
59,59,59,59,59,59,59,59,59,59,02-29,10.989535956082857,-0.5348587602441591,-0.3057062380428152
60,60,60,60,60,60,60,60,60,60,03-01,10.769133183338397,-0.710686556368834,-0.6566964139916678
61,61,61,61,61,61,61,61,61,61,03-02,10.736818001236884,-0.7364662104971602,-0.6846325503485216
62,62,62,62,62,62,62,62,62,62,03-03,10.295853883559797,-1.088248304777427,-0.6854984872793296
63,63,63,63,63,63,63,63,63,63,03-04,11.015356051801787,-0.5142606050147264,-0.7031508475345856
64,64,64,64,64,64,64,64,64,64,03-05,10.997543752443724,-0.5284704867736686,-0.5942227855890415
65,65,65,65,65,65,65,65,65,65,03-06,10.856770970176404,-0.6407729217756951,-0.8156147426613475
66,66,66,66,66,66,66,66,66,66,03-07,11.588390914310171,-0.057118184695569785,-0.832794534299293
67,67,67,67,67,67,67,67,67,67,03-08,9.071709220570854,-2.064817952930996,-1.0054739026915744
68,68,68,68,68,68,68,68,68,68,03-09,10.166643128640578,-1.1913270546051005,-1.1396930171838722
69,69,69,69,69,69,69,69,69,69,03-10,9.716619022904457,-1.550336815368416,-0.956894702034258
70,70,70,70,70,70,70,70,70,70,03-11,9.9880697452134,-1.333785173727455,-1.2292297741909124
71,71,71,71,71,71,71,71,71,71,03-12,12.231613505884097,0.4560169691219908,-0.887598041045417
72,72,72,72,72,72,72,72,72,72,03-13,9.540134392582686,-1.691128617635496,-0.694380853077938
73,73,73,73,73,73,73,73,73,73,03-14,11.641152149470624,-0.015027554058023269,-0.6027544908974033
74,74,74,74,74,74,74,74,74,74,03-15,11.619846941980429,-0.03202392680022672,-0.3219905735582382
75,75,75,75,75,75,75,75,75,75,03-16,10.405749116991233,-1.0005786422852079,-0.811608741624383
76,76,76,76,76,76,76,76,76,76,03-17,12.099720368108208,0.3507983303075357,-0.3833611946816304
77,77,77,77,77,77,77,77,77,77,03-18,8.549151317096051,-2.4816920392748782,-0.3580652924635522
78,78,78,78,78,78,78,78,78,78,03-19,12.761022631445744,0.8783566640210201,-0.20697541295585295
79,79,79,79,79,79,79,79,79,79,03-20,11.831404900542495,0.13674785925044586,0.2135490373578864
80,80,80,80,80,80,80,80,80,80,03-21,12.756207487164447,0.8745153502459687,0.208677883320851
81,81,81,81,81,81,81,81,81,81,03-22,13.568551252903848,1.5225680595972282,0.8369531569186789
82,82,82,82,82,82,82,82,82,82,03-23,12.063083981374447,0.3215714060853232,0.818115616987928
83,83,83,83,83,83,83,83,83,83,03-24,13.27446604206335,1.2879596023120896,0.9378969699767045
84,84,84,84,84,84,84,84,84,84,03-25,12.619343802821472,0.7653314244365147,0.7251575796641948
85,85,85,85,85,85,85,85,85,85,03-26,12.732291207611587,0.8554359771831037,0.410681447555549
86,86,86,86,86,86,86,86,86,86,03-27,11.156175437729132,-0.4019209916290887,0.2780852777127687
87,87,87,87,87,87,87,87,87,87,03-28,11.203348036813306,-0.3642887330546468,-0.039419521790657996
88,88,88,88,88,88,88,88,88,88,03-29,11.065816286524136,-0.4740056129713585,-0.2960440642590107
89,89,89,89,89,89,89,89,89,89,03-30,10.88648394665192,-0.6170691947084705,-0.5579218489909311
90,90,90,90,90,90,90,90,90,90,03-31,10.689247585013074,-0.7744158303736013,-0.583232922805511
91,91,91,91,91,91,91,91,91,91,04-01,10.762684883222509,-0.715830731208419,-0.6317270017765712
92,92,92,92,92,92,92,92,92,92,04-02,10.965808579718214,-0.553787434516568,-0.6344702218980541
93,93,93,93,93,93,93,93,93,93,04-03,10.838619716178552,-0.6552532068810074,-0.5673500820599826
94,94,94,94,94,94,94,94,94,94,04-04,11.045184281766668,-0.4904649337002562,-0.3620896915097133
95,95,95,95,95,95,95,95,95,95,04-05,11.391300542890791,-0.2143483556800416,-0.5298457963736559
96,96,96,96,96,96,96,96,96,96,04-06,12.233029405942402,0.4571465129280144,-0.3848488116424839
97,97,97,97,97,97,97,97,97,97,04-07,9.500976161220231,-1.7223673603920748,-0.32578073878502467
98,98,98,98,98,98,98,98,98,98,04-08,12.056343916406712,0.3161944738704641,-0.27086115702886565
99,99,99,99,99,99,99,99,99,99,04-09,11.282875993925146,-0.300844769736252,-0.43252187165851946
100,100,100,100,100,100,100,100,100,100,04-10,11.458239385583381,-0.16094744316330206,-0.6479598189625019
101,101,101,101,101,101,101,101,101,101,04-11,10.175435797945848,-1.1843126434579645,-0.5512221923566781
102,102,102,102,102,102,102,102,102,102,04-12,10.61270126715926,-0.8354811708958797,-0.4321549910111962
103,103,103,103,103,103,103,103,103,103,04-13,10.228548533822462,-1.1419416007571326,-0.3529683991171202
