,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,drama,drama_norm,drama_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,21.939481347860365,-0.7671427545990941,
2,2,2,2,2,2,2,2,2,2,01-03,22.80086609287147,-0.3574649407480587,
3,3,3,3,3,3,3,3,3,3,01-04,20.072722115374752,-1.6549804435996045,
4,4,4,4,4,4,4,4,4,4,01-05,18.481984361521274,-2.4115412826246816,-1.7691462769568886
5,5,5,5,5,5,5,5,5,5,01-06,18.44840720141101,-2.4275107058458008,-2.0822356686406605
6,6,6,6,6,6,6,6,6,6,01-07,17.252607483762947,-2.9962375343240923,-2.5804693219716803
7,7,7,7,7,7,7,7,7,7,01-08,17.98968836367009,-2.645679104701724,-2.4795162448226633
8,8,8,8,8,8,8,8,8,8,01-09,16.51537753693213,-3.3468668607341785,-2.229233281908036
9,9,9,9,9,9,9,9,9,9,01-10,21.346300098043514,-1.0492619807055008,-1.9100282343459103
10,10,10,10,10,10,10,10,10,10,01-11,21.639440082605013,-0.9098435051369178,-1.4129412089043523
11,11,11,11,11,11,11,11,11,11,01-12,22.475352511178784,-0.5122804204730472,-0.9893351582206013
12,12,12,12,12,12,12,12,12,12,01-13,23.52363070515705,-0.013715381674743548,-0.6520132600557215
13,13,13,13,13,13,13,13,13,13,01-14,23.333709117784824,-0.1040428005992178,-0.41282305980252826
14,14,14,14,14,14,14,14,14,14,01-15,20.77087677189536,-1.3229354717448991,-0.5623086293462194
15,15,15,15,15,15,15,15,15,15,01-16,24.36381458413429,0.3858792208136579,-0.3190097703833162
16,16,16,16,16,16,16,16,16,16,01-17,19.753598308643802,-1.806756922399064,-0.14736159820434921
17,17,17,17,17,17,17,17,17,17,01-18,25.544699961838468,0.947512733304372,-0.214902942204776
18,18,18,18,18,18,18,18,18,18,01-19,25.68906576693116,1.0161736513990585,-0.07779264425035637
19,19,19,19,19,19,19,19,19,19,01-20,22.481638323431245,-0.5092908646017785,-0.23790156633304205
20,20,20,20,20,20,20,20,20,20,01-21,22.500597763105407,-0.5002736840183813,-0.15395260740448327
21,21,21,21,21,21,21,21,21,21,01-22,22.34395343921502,-0.5747743116824561,-0.5415952426799931
22,22,22,22,22,22,22,22,22,22,01-23,20.81266009040166,-1.3030631688277117,-0.9818440483406895
23,23,23,23,23,23,23,23,23,23,01-24,20.654377255757453,-1.3783430783486872,-1.3042294537075314
24,24,24,24,24,24,24,24,24,24,01-25,20.135087605789586,-1.6253191825651203,-1.603896166572394
25,25,25,25,25,25,25,25,25,25,01-26,18.414571069969615,-2.4436032968028294,-1.6869943570171688
26,26,26,26,26,26,26,26,26,26,01-27,18.720139173615774,-2.298273961207558,-1.5509075800654255
27,27,27,27,27,27,27,27,27,27,01-28,21.295624564664113,-1.0733634543511024,-1.3095974237606953
28,28,28,28,28,28,28,28,28,28,01-29,22.529468807408485,-0.4865425071172526,-1.2134097720161183
29,29,29,29,29,29,29,29,29,29,01-30,23.698636140609626,0.06951785947969434,-0.9879980531337758
30,30,30,30,30,30,30,30,30,30,01-31,21.348547154780626,-1.048193272097658,-0.7278307175230531
31,31,31,31,31,31,31,31,31,31,02-01,21.258262518624647,-1.0911329835087742,-0.6264617141354994
32,32,32,32,32,32,32,32,32,32,02-02,22.002291632963935,-0.7372699475432222,-0.6691764543166153
33,33,33,33,33,33,33,33,33,33,02-03,22.57444968307925,-0.4651494340257798,-0.6882557941674968
34,34,34,34,34,34,34,34,34,34,02-04,21.990599124914457,-0.7428309482039479,-0.5777794377458463
