,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8596650285002967,0.5465036242261128,
2,2,2,01-03,1.4961947977560481,-0.5506895600849346,
3,3,3,01-04,1.2771910957370938,-1.2117873581138483,
4,4,4,01-05,1.1698484162299652,-1.535818451663785,-0.8792384268476461
5,5,5,01-06,1.3573558899114204,-0.9697970701893928,-1.205783622859071
6,6,6,01-07,1.1638777897478914,-1.553841745260029,-1.2249469286608996
7,7,7,01-08,1.2106118292650514,-1.4127675518424363,-1.0364745427730457
8,8,8,01-09,1.4581051088231718,-0.6656693948959072,-0.8711304094498091
9,9,9,01-10,1.6518057173030818,-0.08095304278672487,-0.9116964273531333
10,10,10,01-11,1.4984924753649551,-0.5437536517243653,-0.8703104455490172
11,11,11,01-12,1.2767253860118453,-1.213193177609337,-0.47730741483845307
12,12,12,01-13,1.246138083947759,-1.3055258544353323,-0.31433381963630774
13,13,13,01-14,1.9917590563794096,0.945250632420948,-0.1788054297682141
14,14,14,01-15,1.7820373995101904,0.3121721763169647,-0.04087699120570518
15,15,15,01-16,1.9211869120214091,0.7322172964218371,0.004048106695722753
16,16,16,01-17,1.7726440948283335,0.2838169796506881,0.23343477666966836
17,17,17,01-18,1.36602015707275,-0.9436425902007692,-0.1985788882000433
18,18,18,01-19,1.7020754360418926,0.07079416540834127,-0.5597565246198318
19,19,19,01-20,1.1330728630990796,-1.6468313567973218,-0.67726072788395
20,20,20,01-21,1.064147492465634,-1.8548936422017663,-0.7513708373315472
21,21,21,01-22,1.6876312511704188,0.027192076837128758,-0.6668598856025773
22,22,22,01-23,1.6253401252089057,-0.16084367703489438,-0.8056627005120696
23,23,23,01-24,1.5339972219939078,-0.4365768798269502,-0.6750213176933332
24,24,24,01-25,1.4261858741059956,-0.7620227240486122,-0.4355412253437076
25,25,25,01-26,1.3927404635008651,-0.8629830598849039,-0.6583055617552743
26,26,26,01-27,1.5401469007902278,-0.41801308810401216,-0.8420500448220035
27,27,27,01-28,1.2448566919685575,-1.3093939416322722,-0.8319013316694588
28,28,28,01-29,1.2601228565643705,-1.2633105754352694,-0.8971314071319084
29,29,29,01-30,1.5541691761988303,-0.3756846009116823,-1.0476693399224895
30,30,30,01-31,1.2965321854822065,-1.1534031768233102,-1.230403472918985
31,31,31,02-01,1.093525751181016,-1.7662106566283906,-0.8968671253196551
32,32,32,02-02,1.1769378409738809,-1.5144178860829842,-0.9267560549838558
33,33,33,02-03,1.9078057603205232,0.6918241439637074,-1.0125250085461213
34,34,34,02-04,1.2007145245563622,-1.4426441534204746,-1.0548812295506516
35,35,35,02-05,1.3836916607289655,-0.8902983222852757,-0.8159146643669982
36,36,36,02-06,1.2123434082890374,-1.4075405028504924,-0.8188610432151391
37,37,37,02-07,1.5685044540901276,-0.33241126552647043,-1.1656065863290255
38,38,38,02-08,1.171081510392684,-1.5320961591718285,-0.9336636972022531
39,39,39,02-09,1.2186016108564572,-1.3886491147196105,-0.7734522157478487
40,40,40,02-10,1.6617327115222191,-0.050986818659840866,-0.5721415303611266
41,41,41,02-11,1.7021338729015227,0.0709705664411506,-0.39440259603056305
42,42,42,02-12,1.6124759044532764,-0.19967639053015912,-0.03254366908450701
43,43,43,02-13,1.9217848739676853,0.7340223404569107,0.26792295920183573
44,44,44,02-14,1.8903255754560493,0.6390574025045078,0.1970162502121542
45,45,45,02-15,1.8158200931208688,0.4141506549984459,0.019429655383703823
46,46,46,02-16,1.5207959380552312,-0.4764270725979301,0.12878134380611564
47,47,47,02-17,1.3491562486014967,-0.9945490025295516,-0.03726565017374308
48,48,48,02-18,1.8298273280211763,0.4564337400043118,-0.14633183669123054
49,49,49,02-19,1.5917437832322634,-0.2622596234222417,-0.19696708475337735
50,50,50,02-20,1.6735416259378135,-0.015339716600416857,-0.3103872761975601
51,51,51,02-21,1.7151756183276867,0.11033916662556488,-0.23489780731130613
52,52,52,02-22,1.2953578087735949,-1.1569482212630264,-0.30293989523363735
53,53,53,02-23,1.499201883593715,-0.5416121892120274,-0.2568463997473826
54,54,54,02-24,1.694584380373924,0.04818121247032457,-0.12966310486611274
55,55,55,02-25,1.6833609041536877,0.014301349495287066,-0.20744677712864112
56,56,56,02-26,1.9263358040186929,0.7477600526872021,-0.22643860676905123
57,57,57,02-27,1.5605699406239073,-0.3563628669496054,-0.3476102043108103
58,58,58,02-28,1.2576089521436304,-1.2708991991054868,-0.17883689032964642
59,59,59,02-29,1.2583567754691642,-1.2686417744625815,-0.05360015281991289
60,60,60,03-01,2.0300444046615773,1.060821096357308,-0.2783766817189554
