,unnamed: 0,unnamed: 0,mth_day,humorous,humorous_norm,humorous_ravg
0,0,0,01-01,,,
1,1,1,01-02,11.229157361526044,-0.6617920234905543,
2,2,2,01-03,10.657873418758456,-1.1071243895080949,
3,3,3,01-04,9.735168786877693,-1.8263993526028863,
4,4,4,01-05,9.419119229773482,-2.07276912865884,-1.6640414819139198
5,5,5,01-06,9.784912927619489,-1.7876223553277042,-1.9670741623225092
6,6,6,01-07,8.834442394592267,-2.52854164189544,-2.122182444872345
7,7,7,01-08,8.896728133450164,-2.4799881059420894,-1.956781423232285
8,8,8,01-09,9.46401178229043,-2.0377740848071118,-1.7063312663937609
9,9,9,01-10,11.008253183935855,-0.8339932227625259,-1.603225631119656
10,10,10,01-11,11.346823084020238,-0.570068187627695,-1.1631079889157718
11,11,11,01-12,10.578512472620373,-1.1689885436830747,-0.8071914280433958
12,12,12,01-13,12.222008551100734,0.11216421132786317,-0.7178703139280437
13,13,13,01-14,11.636202266126745,-0.3444887407078327,-0.5144404876320058
14,14,14,01-15,10.151512473522953,-1.5018474001149993,-0.6708776584454325
15,15,15,01-16,12.574043619724872,0.386585735013702,-0.29801180668377286
16,16,16,01-17,10.14273305296894,-1.5086912125082554,-0.2565423685616867
17,17,17,01-18,13.448444552644483,1.0682065668868832,-0.3553960008151434
18,18,18,01-19,12.541196994464073,0.36098084006037984,-0.31725000053423286
19,19,19,01-20,10.875330201574027,-0.9376105342285728,-0.381333496084359
20,20,20,01-21,10.4451205618302,-1.2729713984295359,-0.20369065743267176
21,21,21,01-22,12.080795769833404,0.0020847617129454484,-0.6813101596451191
22,22,22,01-23,11.510042177750124,-0.4428341805981319,-0.9708924499547527
23,23,23,01-24,9.772228227206238,-1.7975104463878009,-1.278871004458759
24,24,24,01-25,10.312294828068554,-1.3765129017974218,-1.496749463132281
25,25,25,01-26,8.50483279787108,-2.7854818612526104,-1.7918873497325036
26,26,26,01-27,8.768119637398415,-2.580242150470668,-1.6948452665250793
27,27,27,01-28,9.809132422861298,-1.7687425578883906,-1.473344689608093
28,28,28,01-29,12.256970828881679,0.13941831864641469,-1.475916632437106
29,29,29,01-30,11.477108436628713,-0.4685069848858818,-1.2741279057243362
30,30,30,01-31,10.29249869710591,-1.3919445587715,-1.0856720790833194
31,31,31,02-01,10.057991762265537,-1.5747495009759929,-0.6753756932651077
32,32,32,02-02,10.218655855690237,-1.449507190624567,-0.9891798104674406
33,33,33,02-03,12.967165679096096,0.6930357570208788,-1.082291186236525
34,34,34,02-04,9.841634325022133,-1.7434063845675825,-0.9566176717129456
35,35,35,02-05,10.760434267963657,-1.0271752395003877,-0.7219064238201427
36,36,36,02-06,11.259802217223227,-0.6379034716300239,-0.4868268290627435
37,37,37,02-07,11.864553925809073,-0.16648201361917506,-0.7698712783289549
38,38,38,02-08,12.028053168868116,-0.03902962208017148,-0.6086629875272878
