,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,inspirational,inspirational_norm,inspirational_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,5.497028100314775,-0.6361011875850917,
2,2,2,2,01-03,6.127663288450552,0.22408422563396785,
3,3,3,3,01-04,4.411048466546276,-2.117375714593429,
4,4,4,4,01-05,4.692101967827468,-1.734019177114308,-1.3212011675295023
5,5,5,5,01-06,4.463192413173741,-2.0462514527056483,-1.4554584820715755
6,6,6,6,01-07,4.7774946448518065,-1.6175436988125038,-1.9539805897241678
7,7,7,7,01-08,4.9064527277471655,-1.4416450748375311,-1.6889444539491472
8,8,8,8,01-09,3.934748284420316,-2.7670484202815864,-1.31810377837138
9,9,9,9,01-10,5.576897903972354,-0.5271588999433058,-0.9531651577863522
10,10,10,10,01-11,6.323367801570411,0.4910248763522955,-0.7029721665443285
11,11,11,11,01-12,6.068496098499367,0.14338027080451815,-0.5456688228011551
12,12,12,12,01-13,5.878051583001041,-0.11638575136036065,-0.27028162017048957
13,13,13,13,01-14,5.5984037112307705,-0.4978250123784909,-0.06308961017425985
14,14,14,14,01-15,5.146130326051948,-1.114725204497593,-0.2800491122936547
15,15,15,15,01-16,6.488300749425585,0.7159931600340724,-0.14451644118166293
16,16,16,16,01-17,5.368999399124143,-0.8107321363640736,0.06517719259321451
17,17,17,17,01-18,6.664681550368838,0.9565762974764688,0.10518610562102249
18,18,18,18,01-19,6.800458651204728,1.141776051288904,0.20237358283500198
19,19,19,19,01-20,5.774396198478224,-0.2577715342116431,-0.10053873784441202
20,20,20,20,01-21,5.573641711635079,-0.531600341213716,-0.19033409792778197
21,21,21,21,01-22,5.1558403374865165,-1.1014807640424116,-0.4411317467751103
22,22,22,22,01-23,4.974004694984876,-1.3495042968642932,-0.7714742585484472
23,23,23,23,01-24,5.561464824991279,-0.5482095956075013,-1.0318419235516436
24,24,24,24,01-25,5.347337436685568,-0.8402790193511179,-1.1928317970821594
25,25,25,25,01-26,4.629082579713456,-1.8199775242308216,-1.2844991072228071
26,26,26,26,01-27,4.865474302923045,-1.4975395823968105,-1.1636470499116074
27,27,27,27,01-28,4.752611239517195,-1.651484624886299,-1.248365156052315
28,28,28,28,01-29,5.505612592964672,-0.6243919529970935,-1.2439622356192248
29,29,29,29,01-30,5.188804108009697,-1.0565182324517466,-0.9663593450282558
30,30,30,30,01-31,5.366705144017024,-0.8138614967525754,-0.7659072856058534
31,31,31,31,02-01,5.850211060465468,-0.15436018068500745,-0.5566375417171315
32,32,32,32,02-02,5.7472292380571846,-0.29482722586239635,-0.663868958762042
33,33,33,33,02-03,5.67315368732163,-0.3958661615539681,-0.6578267138496726
34,34,34,34,02-04,5.033919603362941,-1.267780455266556,-0.5510401740419953
35,35,35,35,02-05,5.215382928332735,-1.02026476297753,-0.6172429602456425
36,36,36,36,02-06,5.836441193387812,-0.17314225790651178,-0.5485661647117723
37,37,37,37,02-07,5.558996125468534,-0.5515768979068905,-0.7359021517582865
38,38,38,38,02-08,6.049326924484949,0.11723354734082428,-0.5509646793743923
39,39,39,39,02-09,4.8490941511788535,-1.5198820838330531,-0.2271487915308669
40,40,40,40,02-10,5.847428476435202,-0.15815562096319058,-0.2347219887249172
41,41,41,41,02-11,6.639794620602741,0.9226305640836221,-0.1603811195244389
42,42,42,42,02-12,5.8031279711648045,-0.21858144107081345,-0.1345584737983157
43,43,43,43,02-13,5.88600912043883,-0.1055316827040206,-0.07441226840292008
44,44,44,44,02-14,6.1629164050462295,0.2721694216975635,-0.33583076692620567
45,45,45,45,02-15,5.113667204655073,-1.1590048514606794,-0.6533028220384711
46,46,46,46,02-16,4.697492417546785,-1.726666612102904,-0.6767014356592251
47,47,47,47,02-17,5.243288382806846,-0.9822017665899708,-0.854633599105937
48,48,48,48,02-18,5.700201400617978,-0.3589731227953375,-1.0095278562622634
49,49,49,49,02-19,5.103315424548078,-1.1731246633842909,-0.8539993025964838
50,50,50,50,02-20,5.48156258875182,-0.6571961212403954,-0.5819720076786203
51,51,51,51,02-21,5.797811184738072,-0.22583352946600185,-0.6453688588960947
52,52,52,52,02-22,5.894094789586121,-0.09450284259572296,-0.8186348491766648
53,53,53,53,02-23,4.96441628444054,-1.3625828738948176,-0.5430821502554757
54,54,54,54,02-24,4.938033416607122,-1.3985690644787574,-0.5292274295595109
55,55,55,55,02-25,6.315425456559732,0.4801915301428442,-0.38592599744914685
56,56,56,56,02-26,5.542507177616477,-0.5740677970646069,-0.43114428721464954
57,57,57,57,02-27,6.428170111152682,0.6339750631961824,-0.3913975482435689
58,58,58,58,02-28,5.695187129201157,-0.3658125811887391,-0.2983215604490365
59,59,59,59,02-29,5.13925551205549,-1.1241024400683342,-0.5407786535716675
60,60,60,60,03-01,5.3474590509298485,-0.8401131377115633,-0.5618155889419022
61,61,61,61,03-02,5.248897434671698,-0.9745510285929418,-0.6629571032887579
62,62,62,62,03-03,5.449969232951545,-0.7002894092860144,-0.8222500813871254
63,63,63,63,03-04,5.983265580467111,0.027125977115048255,-0.8465031570814645
64,64,64,64,03-05,4.994484078430942,-1.3215704497789442,-0.7460015426922529
65,65,65,65,03-06,5.032570306389424,-1.2696208942343694,-1.1077452826388385
66,66,66,66,03-07,5.789548769199572,-0.2371034513762943,-1.0082028669749958
67,67,67,67,03-08,3.657647492561424,-3.1450134682724555,-1.2875836799754
68,68,68,68,03-09,5.8878395971657085,-0.10303491530295852,-1.1284564164045543
69,69,69,69,03-10,4.754316317712052,-1.6491589008873755,-0.953211316331917
70,70,70,70,03-11,5.6944581788332425,-0.3668068683538709,-1.0938488129647082
71,71,71,71,03-12,5.803444061901736,-0.21815029379854475,-0.6037895386507305
72,72,72,72,03-13,5.170908047431982,-1.0809284311730416,-0.6193202660887037
73,73,73,73,03-14,5.8133359144201275,-0.2046578223885893,-0.4022680929938331
74,74,74,74,03-15,5.819522536198036,-0.19621927993079769,-0.19899165128360252
75,75,75,75,03-16,5.709092364211491,-0.3468458623181511,-0.4849954113438619
76,76,76,76,03-17,6.588637097178997,0.8528517819075123,-0.20610045838736804
77,77,77,77,03-18,4.545361567629938,-1.9341728541601009,-0.10473100297365578
78,78,78,78,03-19,6.397720093474294,0.5924412865659215,-0.011551499228119119
79,79,79,79,03-20,6.259243119566612,0.4035589100936843,0.15422939696832086
80,80,80,80,03-21,6.229403519799418,0.3628577425424223,0.02514853806121938
81,81,81,81,03-22,6.438334676779298,0.6478395148604889,0.549253724798904
82,82,82,82,03-23,6.020832083348492,0.0783666284649033,0.4313437796777946
83,83,83,83,03-24,6.8508122388127495,1.2104582662660068,0.49167001579468295
84,84,84,84,03-25,5.879054052768531,-0.11501838416073465,0.3831445155144595
85,85,85,85,03-26,6.5246080979430285,0.7655163267950142,0.6231418649670156
86,86,86,86,03-27,5.7520180754406764,-0.2882952591389185,0.6517352335709474
87,87,87,87,03-28,7.494042699478983,2.0878236115758257,0.4322839559521854
88,88,88,88,03-29,6.1466095083910455,0.2499268400884943,0.5851150061682076
89,89,89,89,03-30,5.885482934542153,-0.10624939944656507,0.6055953682837362
90,90,90,90,03-31,6.551332168334005,0.8019679171353983,0.6266145925690426
91,91,91,91,04-01,6.614697770360151,0.8883984994881859,0.3231377926411489
92,92,92,92,04-02,5.844478112018325,-0.16217991342708024,0.28584821935852295
93,93,93,93,04-03,6.159099238153633,0.2669628120084639,0.29588746995380616
94,94,94,94,04-04,5.982578939856378,0.02618940039273853,0.5210163360661771
95,95,95,95,04-05,5.929643911400893,-0.04601389587486556,0.21908064808420358
96,96,96,96,04-06,7.541636230600731,2.152741113809624,0.4189181620493738
97,97,97,97,04-07,5.2865334015910195,-0.9232156284036556,0.05475728205336377
98,98,98,98,04-08,6.723529764924582,1.0368451703639412,0.22672692075837234
99,99,99,99,04-09,4.5572167030251975,-1.9180024679675964,0.3574865073792399
100,100,100,100,04-10,6.739044491062533,1.05800723262279,-0.02132399728329193
101,101,101,101,04-11,6.504833366432076,0.7385436238503399,0.11626922792938515
102,102,102,102,04-12,5.875312457578361,-0.12012191416556678,-0.06534438693516699
103,103,103,103,04-13,5.891782884793598,-0.09765627712759307,0.2487317427483872
104,104,104,104,04-14,5.924641982699717,-0.05283651882337174,0.30375018277985505
105,105,105,105,04-15,5.938784835347184,-0.0335456898662714,0.07049429109055577
106,106,106,106,04-16,6.981061366124414,1.388117872811597,0.15853790667452525
107,107,107,107,04-17,5.4787798839245845,-0.6609917262854557,0.1543127035701498
108,108,108,108,04-18,6.262601531943152,0.4081397793382501,0.12659058199313925
109,109,109,109,04-19,5.8731969261361385,-0.1230074957538456,0.0550201314650944
110,110,110,110,04-20,5.802697026966399,-0.21916924828543505,-0.06988059098127274
111,111,111,111,04-21,5.6239584467098185,-0.4629683930345405,-0.04758469661263955
112,112,112,112,04-22,6.431644070356808,0.6387135381333943,0.031020532417475915
113,113,113,113,04-23,5.576855777728921,-0.5272163600736566,0.11560039683565744
114,114,114,114,04-24,6.60837272942733,0.8797711535189429,0.27206771558167253
115,115,115,115,04-25,6.245249541003777,0.3844716907552435,0.48412556172936855
116,116,116,116,04-26,6.490970476932692,0.7196346641906554,0.283225054404163
117,117,117,117,04-27,6.556765287973683,0.8093786838516358,0.6301731592063708
118,118,118,118,04-28,5.547916488233723,-0.5666895058178391,0.7390456543104592
119,119,119,119,04-29,7.1030222063817074,1.5544722687395909,0.7061304507699138
120,120,120,120,04-30,7.087284545724034,1.5330061241434734,0.49608158440109257
121,121,121,121,05-01,6.100461090107089,0.18698046951197086,0.42720594143263124
122,122,122,122,05-02,5.567000800224345,-0.5406585340222718,0.6867954562276197
123,123,123,123,05-03,6.253792905085852,0.3961248260408679,0.16801818186078868
124,124,124,124,05-04,6.6898071549552895,0.9908475829520916,0.05803642348302107
125,125,125,125,05-05,4.821008126673685,-1.5581913774613951,-0.0036154866325759003
126,126,126,126,05-06,6.603493266633342,0.8731155738768677,0.19328482395623495
127,127,127,127,05-07,5.829264694512467,-0.18293099118161096,0.07475945863248375
128,128,128,128,05-08,6.433132188903536,0.6407433295105933,-0.048912088686174394
129,129,129,129,05-09,5.732419734294102,-0.3150273659016393,0.09339190877344856
130,130,130,130,05-10,6.1457967940833615,0.2488182990401428,-0.021599878959977763
131,131,131,131,05-11,5.446979505620344,-0.7043673927036573,-0.006094336979692393
132,132,132,132,05-12,6.097663710050028,0.18316484747630965,-0.02653661720014122
133,133,133,133,05-13,5.897470968882719,-0.08989773929989876,0.12173245032628044
134,134,134,134,05-14,6.343210032345432,0.5180896481879004,0.12825887221021562
135,135,135,135,05-15,6.384630454382862,0.5745870392568907,0.44645317388251504
136,136,136,136,05-16,6.174505427566646,0.28797683034375393,0.7767076000198191
137,137,137,137,05-17,6.8466627847024615,1.2047984173301394,0.9787290019330359
138,138,138,138,05-18,7.550397450653925,2.164691404300133,1.2399306957575233
