,unnamed: 0,unnamed: 0,mth_day,mental illness,mental illness_norm,mental illness_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.487969641079292,-0.4187810067485595,
2,2,2,01-03,5.831928828061731,0.049798269800886835,
3,3,3,01-04,4.326134658472464,-2.001561220866057,
4,4,4,01-05,4.034614172673549,-2.3987026943455048,-1.5508832316995573
5,5,5,01-06,4.125736160745764,-2.2745662361127263,-1.7332882212477443
6,6,6,01-07,4.135337299682496,-2.2614865019253845,-2.184467894896871
7,7,7,01-08,4.684606687832073,-1.5132109440376815,-1.9583165478701057
8,8,8,01-09,3.844806458406785,-2.657279772093874,-1.6904406539728285
9,9,9,01-10,5.3221688923949015,-0.6446531387054655,-1.3302071851894146
10,10,10,01-11,5.214415063855881,-0.791447330961841,-1.0252314378241458
11,11,11,01-12,5.712305826724561,-0.11316542341224313,-0.832743374939406
12,12,12,01-13,5.478536395710597,-0.4316320177337717,-0.5724512675873871
13,13,13,01-14,5.532378336222585,-0.35828256672924186,-0.49421252009302385
14,14,14,01-15,4.991206217466108,-1.0955271279817609,-0.4158542803196359
15,15,15,01-16,5.666754374410077,-0.17522065373928586,-0.16860058912552156
16,16,16,01-17,5.5595268235261015,-0.3212978923215131,0.01997788264817435
17,17,17,01-18,6.801280728403473,1.3703567237524428,-0.06273323487093889
18,18,18,01-19,6.309089103606461,0.6998388129084038,-0.049401971630458195
19,19,19,01-20,5.168095276854965,-0.8545492718439213,-0.12482049315252652
20,20,20,01-21,5.0499208558864535,-1.0155395485388767,-0.47851271473057255
21,21,21,01-22,5.334589961969475,-0.6277317828716958,-0.9570884719496046
22,22,22,01-23,4.001766652758159,-2.4434512217897892,-1.13403056283147
23,23,23,01-24,4.693498289862021,-1.501097819561749,-1.2010554159535274
24,24,24,01-25,5.529786294858234,-0.3618137323827886,-1.3097857166708513
25,25,25,01-26,4.872898944350736,-1.2566983905762656,-1.3163632411935116
26,26,26,01-27,4.571041984710335,-1.6679213528428205,-0.5347866183201156
27,27,27,01-28,5.305620691234783,-0.6671969300076573,-0.3425623533966671
28,28,28,01-29,7.4440502519942715,2.246008515450586,-0.392403445385112
29,29,29,01-30,5.540108097725208,-0.34775223002105743,-0.3842308845021658
30,30,30,01-31,5.310272086655472,-0.6608602843134588,-0.27013577875364864
31,31,31,02-01,4.9088932045010685,-1.2076630252785885,-0.28115043694958947
32,32,32,02-02,5.073548968385626,-0.9833507183517176,-0.5913757076801844
33,33,33,02-03,5.257109033964781,-0.7332848791833022,-0.665747286302422
34,34,34,02-04,6.0777307763956605,0.3846568910670163,-0.6612495296217108
35,35,35,02-05,5.21255471671512,-0.7939817017544828,-0.5400873636359348
36,36,36,02-06,5.330081473991606,-0.6338737442291916,-0.2829001640901176
37,37,37,02-07,5.4425255120890625,-0.4806900293639315,-0.18052918755614747
38,38,38,02-08,6.2062738388855445,0.559772478923185,-0.34272727182288937
39,39,39,02-09,5.707979650162513,-0.11905901997948146,-0.045743327330585025
40,40,40,02-10,5.363364725826919,-0.5885316145334354,-0.11638360402042386
41,41,41,02-11,6.520555661784207,0.9879219651993434,-0.11023053707018049
42,42,42,02-12,5.018961797713465,-1.0577154043682246,-0.06116905603205094
43,43,43,02-13,5.469625352114925,-0.4437716276624713,-0.13169347398124567
44,44,44,02-14,6.422354420864703,0.8541413651519624,-0.23400738882477298
45,45,45,02-15,5.397370248412903,-0.5422055276746498,-0.42470463867923874
46,46,46,02-16,4.91274542538686,-1.2024151035945991,-0.3851506339318369
47,47,47,02-17,5.680671258409733,-0.15626153392745132,-0.41395401133410864
48,48,48,02-18,5.1931687760715475,-0.8203913758838135,-0.6225859929923087
49,49,49,02-19,5.3427671647884765,-0.6165918920761014,-0.728139965353563
50,50,50,02-20,5.5034804068264345,-0.3976505247972377,-0.18870552576473762
51,51,51,02-21,4.932480822015327,-1.1755293618421756,-0.1158517468580128
52,52,52,02-22,7.288566643571537,2.034191533938353,0.06258905638099783
53,53,53,02-23,6.001539821943543,0.28086113951289743,0.06139786367100933
54,54,54,02-24,5.979072336193334,0.2502534435502503,0.1653881817805329
55,55,55,02-25,5.337520816562185,-0.6237390483360324,0.4066648336212964
56,56,56,02-26,5.9614830594540615,0.2262913838599037,-0.13662452221362853
57,57,57,02-27,5.995131158787999,0.2721305492024055,-0.1667283091402617
