,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,overrated,overrated_norm,overrated_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,21.118411619460527,-0.2789704482034946,
2,2,2,2,01-03,20.87321049486256,-0.4022701163391741,
3,3,3,3,01-04,17.84331384690708,-1.925857138180315,
4,4,4,4,01-05,16.422678748016054,-2.6402251351556933,-1.7711573937144163
5,5,5,5,01-06,16.892248150144813,-2.404101620045092,-2.121724705675789
6,6,6,6,01-07,15.755891434436975,-2.97551990436273,-2.6015404676438436
7,7,7,7,01-08,16.93545636386525,-2.3823743199717318,-2.3875318843482933
8,8,8,8,01-09,15.148067862446014,-3.2811646881475003,-2.127172238892928
9,9,9,9,01-10,20.396855770796595,-0.6418056384070159,-1.7420342048375506
10,10,10,10,01-11,19.529279706357666,-1.078067262423502,-1.2993259197000808
11,11,11,11,01-12,21.487699889978114,-0.09327341571282652,-0.9009392290792849
12,12,12,12,01-13,21.03826912575862,-0.3192701935379117,-0.5419586784210987
13,13,13,13,01-14,21.688990548122234,0.007945823753044022,-0.25925170603956893
14,14,14,14,01-15,19.43140954832916,-1.127281384198383,-0.2840259411476265
15,15,15,15,01-16,23.77010414726544,1.0544361958821629,-0.09174037872651271
16,16,16,16,01-17,19.233674516105303,-1.2267126730718476,0.18025804599137316
17,17,17,17,01-18,23.782043590776766,1.0604399588138564,0.07756872819968112
18,18,18,18,01-19,24.283743536426663,1.3127203547694035,0.1503810310449789
19,19,19,19,01-20,20.463705683007426,-0.6081900829971081,-0.06157884588858383
20,20,20,20,01-21,20.300203056642026,-0.6904075671265965,-0.14137296353889153
21,21,21,21,01-22,21.24100730639321,-0.2173230657192135,-0.5001705497751092
22,22,22,22,01-23,18.281574270581785,-1.705477378973694,-0.4463220224504199
23,23,23,23,01-24,19.500885029116414,-1.0923455586034498,-0.7843808891707141
24,24,24,24,01-25,24.926262027721982,1.635811518717539,-1.1099795498125637
25,25,25,25,01-26,16.430000699685852,-2.6365432833188738,-1.3946497092405632
26,26,26,26,01-27,16.415172757819764,-2.6439995309776942,-1.1198756285291944
27,27,27,27,01-28,17.844334259986375,-1.9253440222872096,-1.0414715270668404
28,28,28,28,01-29,21.56016769842432,-0.0568328947054806,-1.6466665550437958
29,29,29,29,01-30,20.43639965664197,-0.6219209498293257,-1.3772149304771384
30,30,30,30,01-31,17.70509896841407,-1.9953586491441944,-1.1346636153941312
31,31,31,31,02-01,19.645086792008048,-1.0198335359189294,-0.8462443568602666
32,32,32,32,02-02,19.309285424803964,-1.1886916404796521,-0.9881527123325992
33,33,33,33,02-03,21.28574140815784,-0.1948284710840208,-1.0160160528066928
34,34,34,34,02-04,19.866922831939785,-0.9082830275394764,-0.7105766756278825
35,35,35,35,02-05,20.103935383739678,-0.7891009926738871,-0.5200428280975776
36,36,36,36,02-06,21.349589496888186,-0.16272238607133294,-0.24371766546336426
37,37,37,37,02-07,21.91852910023869,0.12336954926289916,-0.2686580821141818
38,38,38,38,02-08,22.606386300601987,0.4692593353256282,-0.10013437512948815
39,39,39,39,02-09,20.988153346331448,-0.344470970988926,0.21513993040241983
40,40,40,40,02-10,21.8777410165562,0.10285921436868553,0.1256047557086308
41,41,41,41,02-11,23.865775887066906,1.1025448405175606,0.0017873776378296315
42,42,42,42,02-12,20.281259345253016,-0.6999334342340671,0.13218425513891574
43,43,43,43,02-13,20.44114505824805,-0.6195347191619078,0.09640460569927783
44,44,44,44,02-14,24.162276668716178,1.251640600332145,-0.16108273260922903
45,45,45,45,02-15,20.56123198897631,-0.5591488676267534,-0.5085902103835855
46,46,46,46,02-16,18.805412313115976,-1.4420648154823557,-0.524688871211057
47,47,47,47,02-17,19.719330451575,-0.9825000261285788,-0.5119498605222526
48,48,48,48,02-18,20.08917076306445,-0.7965253991988956,-0.6116079517917278
49,49,49,49,02-19,20.593146428295046,-0.5431006550290813,-0.5284356923108294
50,50,50,50,02-20,22.973160278183517,0.6536920527152938,-0.010802905635023988
51,51,51,51,02-21,21.553640088775676,-0.060115310741363615,0.0612128855270677
52,52,52,52,02-22,24.98178618374247,1.6637319045724768,-0.04809011435083003
53,53,53,53,02-23,20.578620014089925,-0.5504052791560287,0.19590008524905766
54,54,54,54,02-24,18.78497170573203,-1.452343398466282,0.31762551468604255
55,55,55,55,02-25,23.50442780823884,0.9208405425702448,0.3414814278487672
56,56,56,56,02-26,24.42558327208528,1.3840446293372033,0.162124319698517
57,57,57,57,02-27,21.838287898015913,0.08302016823498419,0.060381836434071634
58,58,58,58,02-28,22.84170428629469,0.5875892556709755,0.15034025819832209
59,59,59,59,02-29,19.364632740983247,-1.1608601787427009,-0.21590799833139018
60,60,60,60,03-01,19.85835202461724,-0.9125928678807792,-0.6427958689511777
61,61,61,61,03-02,19.13436814428372,-1.2766489966080288,-0.6792909075993311
62,62,62,62,03-03,19.331974139024773,-1.1772825943815222,-0.8337475140605702
63,63,63,63,03-04,21.40283054501186,-0.13595006365393594,-0.7695821321788809
64,64,64,64,03-05,20.99873418693289,-0.3391503830964593,-0.6488240329949647
65,65,65,65,03-06,20.130251531473508,-0.7758678874525659,-0.7406929886791045
66,66,66,66,03-07,21.299232872323643,-0.1880442727772824,-0.6257560995528582
67,67,67,67,03-08,18.03819141047756,-1.827862730712867,-0.8698451904082735
68,68,68,68,03-09,20.70339653931228,-0.4876612596240438,-0.8499878562684752
69,69,69,69,03-10,18.49036919853118,-1.6004846087864275,-0.795553155187187
70,70,70,70,03-11,21.235671109937662,-0.22000637825766947,-1.0653964587866185
71,71,71,71,03-12,20.779764224772826,-0.4492596809648369,-0.9050960383901822
72,72,72,72,03-13,18.079473281324454,-1.8071040943738708,-0.8733173116089831
73,73,73,73,03-14,19.950889665827983,-0.866060208334249,-0.7141613970567264
74,74,74,74,03-15,21.082579046266012,-0.2969888989368489,-0.6671781976041609
75,75,75,75,03-16,20.38941125556355,-0.6455491214728879,-1.1330986484879693
76,76,76,76,03-17,21.796272781483253,0.06189281845772384,-0.779621200076531
77,77,77,77,03-18,15.220419892838962,-3.2447823862676883,-0.7239120545250609
78,78,78,78,03-19,22.29715216956589,0.3137605960947593,-0.7554355195668744
79,79,79,79,03-20,20.615608979974766,-0.5318053350254288,-0.5515825366001215
80,80,80,80,03-21,20.70644231225769,-0.48612968918773,-0.5339228690777539
81,81,81,81,03-22,22.82177695931037,0.5775687763276298,0.22771557484953617
82,82,82,82,03-23,22.00698723361361,0.16785082359192946,0.12445833509895717
83,83,83,83,03-24,24.30825958349473,1.3250482772960517,0.2921263113209614
84,84,84,84,03-25,21.065090882173145,-0.3057828424087146,0.33183279943755917
85,85,85,85,03-26,22.61621661908669,0.4742025223065963,0.4077760745963155
86,86,86,86,03-27,21.180218552886924,-0.2478907604881433,0.3608790442909029
87,87,87,87,03-28,23.727929105028505,1.0332284272801675,0.1378146790044467
88,88,88,88,03-29,21.447413728912608,-0.11353135824054605,0.20595351288713412
89,89,89,89,03-30,21.64666442822875,-0.01333791442268559,0.060527764753235715
90,90,90,90,03-31,21.87812074427029,0.10305016088740986,-0.035268617322279226
91,91,91,91,04-01,20.88100236293667,-0.3983519664967941,-0.3206524382926282
92,92,92,92,04-02,20.03717992322158,-0.8226690529412329,-0.4169017185749197
93,93,93,93,04-03,20.322740677416874,-0.6790744985419264,-0.5043263025514271
94,94,94,94,04-04,20.29897113581529,-0.6910270399342953,-0.33855011417816766
95,95,95,95,04-05,20.60351776128264,-0.5378854182817301,-0.39129230150999367
96,96,96,96,04-06,23.856155645838303,1.0977072911269663,-0.15724615098816735
97,97,97,97,04-07,20.251684676535945,-0.7148050904877503,-0.290438029049612
98,98,98,98,04-08,22.829809304151958,0.581607850189725,-0.11139512755307064
99,99,99,99,04-09,18.73350047352384,-1.4782257669105945,-0.07520025704562522
100,100,100,100,04-10,22.43530393193892,0.3832303690449531,-0.41968075263778787
101,101,101,101,04-11,21.03539351994263,-0.3207161952370575,-0.34688066166913356
102,102,102,102,04-12,19.745828041631803,-0.9691756824260094,-0.503481956246739
103,103,103,103,04-13,21.120332473221282,-0.27800454467582475,-0.16086711841995835
104,104,104,104,04-14,20.961248871288227,-0.3579999172759073,-0.2781948076248131
105,105,105,105,04-15,22.82156712330425,0.5774632600500892,-0.2610434168899262
106,106,106,106,04-16,21.03535459998189,-0.3207357661841753,-0.05791873369087545
107,107,107,107,04-17,21.240043233613502,-0.2178078508277361,-0.10127909137915488
108,108,108,108,04-18,22.16950370144978,0.2495724167682951,-0.091705732926586
109,109,109,109,04-19,20.602958405850547,-0.5381666908055014,-0.19689734658240923
110,110,110,110,04-20,21.075477804467493,-0.30055976656049394,-0.14224614461774138
111,111,111,111,04-21,21.56642496323128,-0.05368642188485041,-0.153553953272339
112,112,112,112,04-22,21.6874505732308,0.007171445603831825,-0.26173499369139364
113,113,113,113,04-23,21.105118909447686,-0.2856547027553219,-0.11200306288755624
114,114,114,114,04-24,20.878691819860233,-0.3995138257460326,-0.06668387688641149
115,115,115,115,04-25,22.38955386274629,0.36022489401752306,0.013753650935692698
116,116,116,116,04-26,21.61622453353981,-0.028644650553625393,0.022658927059961618
117,117,117,117,04-27,22.52620235339376,0.4289387450477747,0.039487288808775584
118,118,118,118,04-28,21.79370797457871,0.06060310234944535,0.18839702054156407
119,119,119,119,04-29,21.305914254074725,-0.1846845322624381,0.13112607287115696
120,120,120,120,04-30,22.655476830065584,0.4939445646506984,-0.05950882040715272
121,121,121,121,05-01,21.706199187689624,0.01659920799508028,-0.060172222858608015
122,122,122,122,05-02,19.341576551453528,-1.1724540102234835,0.06182189069355615
123,123,123,123,05-03,22.518286661667208,0.4249583303390429,-0.04413315818539659
124,124,124,124,05-04,23.249336896681232,0.7925677836624303,-0.11436948491564392
125,125,125,125,05-05,20.041662815212952,-0.8204148255361545,-0.009332096338388067
126,126,126,126,05-06,21.81741976654117,0.07252660426921449,0.2135373129551944
127,127,127,127,05-07,22.95950114024488,0.6468235394586154,0.029421606027151426
128,128,128,128,05-08,22.00084549954851,0.16476244553801134,0.09762691948201818
129,129,129,129,05-09,20.321425352426964,-0.679735911229215,0.23439449525690162
130,130,130,130,05-10,24.06315999039567,1.2017996643916309,0.38943780755606067
131,131,131,131,05-11,21.673568102336844,0.00019062911314617648,0.30605913923205413
132,132,132,132,05-12,23.667390416680185,1.0027864780641689,0.18772885101193384
133,133,133,133,05-13,21.964630178319975,0.1465515295145762,0.5000848424604115
134,134,134,134,05-14,20.58893319592508,-0.5452192837827103,0.4770403308740625
135,135,135,135,05-15,24.04844464791121,1.1944000374616517,0.9003910809593255
136,136,136,136,05-16,23.78819379256783,1.0635325948735368,1.0098430325236831
137,137,137,137,05-17,26.72497245353453,2.5402951296247247,1.2054544413444304
138,138,138,138,05-18,24.97336675962495,1.6594981874503152,1.6575305615316143
139,139,139,139,05-19,24.29865774638741,1.3202199824390588,1.7306696648290956
140,140,140,140,05-20,25.983087523338426,2.1672374373403924,1.6363001766122827
141,141,141,141,05-21,24.92113752625189,1.633234657246539,1.3455405874220094
142,142,142,142,05-22,22.662180803804496,0.4973156655726613,1.2857009772974775
143,143,143,143,05-23,23.255640572836572,0.7957375944830853,1.1777325571490265
144,144,144,144,05-24,24.259362906091784,1.3004605267031235,0.7861628889710858
145,145,145,145,05-25,23.010382841429802,0.6724094615483521,0.45907273149654343
146,146,146,146,05-26,21.310893780365923,-0.18218057172725152,0.4752959821079951
147,147,147,147,05-27,21.01831074640546,-0.32930628760071584,0.4103639133359946
148,148,148,148,05-28,22.85575598635172,0.5946551692413716,0.36773892340303066
149,149,149,149,05-29,22.48087370479372,0.4061451818510824,0.30769827959399637
150,150,150,150,05-30,23.750763217597623,1.04471058710534,0.5296576243087071
151,151,151,151,05-31,22.29398026195029,0.3121655986941459,0.5992922427782342
152,152,152,152,06-01,23.95930387401773,1.1495754965610134,0.49250928725309057
153,153,153,153,06-02,21.84918825083912,0.08850142321644637,0.6676650339293523
154,154,154,154,06-03,21.58162599823945,-0.046042563909489936,0.7419895545539036
155,155,155,155,06-04,24.570825123846483,1.4570796619086526,0.9777040159324478
156,156,156,156,06-05,24.637600448446808,1.4906577108526478,0.8484596107659637
157,157,157,157,06-06,25.106515861823425,1.7264523669654113,1.0850047431533834
158,158,158,158,06-07,22.4171647600692,0.37410906556210816,1.1981845796469615
159,159,159,159,06-08,24.671635384228612,1.5077722175409645,0.9563320085333249
160,160,160,160,06-09,22.932083316234888,0.6330364550519791,0.9834087586998916
161,161,161,161,06-10,21.68504984217822,0.005964235226833401,0.9299718896546444
162,162,162,162,06-11,24.96067915701209,1.6531182118520482,1.0479806289974178
163,163,163,163,06-12,24.46890926078356,1.4058311526939278,1.0202027350341705
164,164,164,164,06-13,23.82524035524739,1.0821615016187482,1.0710105995696757
165,165,165,165,06-14,24.340190655703157,1.3411048537614796,1.218614628069989
166,166,166,166,06-15,23.538320739785036,0.9378836422650112,1.1403757523153295
167,167,167,167,06-16,23.446255253224788,0.8915884062287124,1.049460142858863
168,168,168,168,06-17,24.02713599607449,1.1836849573240913,0.9943927843177369
169,169,169,169,06-18,23.384107816336627,0.8603374959551291,1.0286404042426118
170,170,170,170,06-19,23.168178818241525,0.7517573503719928,1.0203655586765288
171,171,171,171,06-20,24.748831897680024,1.54659057331073,1.180143326861227
172,172,172,172,06-21,23.439585610841533,0.8882345688685119,1.1707778915556737
173,173,173,173,06-22,25.352717243123934,1.8502550153369013,1.1180060445521323
174,174,174,174,06-23,23.91538799363489,1.1274923454907722,1.1456598393562565
175,175,175,175,06-24,22.754436231909914,0.5437064139338815,1.030289820850123
176,176,176,176,06-25,23.49814280052465,0.9176801191967372,1.0796994702056368
177,177,177,177,06-26,23.37224141481855,0.8543704622739297,0.7598858918282806
178,178,178,178,06-27,24.02913958634607,1.1846924650015949,0.693158084646378
179,179,179,179,06-28,21.53671431632596,-0.06862645492723637,0.824978289368349
180,180,180,180,06-29,23.119194446141105,0.7271255023993569,0.7783112652637932
181,181,181,181,06-30,24.32730968394519,1.3346276422657075,0.6017931156391342
182,182,182,182,07-01,22.941313720685482,0.637677974569402,0.5826165108493191
183,183,183,183,07-02,21.2660338578465,-0.20473843547402465,0.6070645354843102
