,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,post-apocalyptic,post-apocalyptic_norm,post-apocalyptic_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,1.918674574266436,-1.3549259781448986,
2,2,2,2,2,2,2,2,2,2,01-03,2.3228182852337254,-0.4137152664606756,
3,3,3,3,3,3,3,3,3,3,01-04,2.0089463208296907,-1.1446920130426779,
4,4,4,4,4,4,4,4,4,4,01-05,1.920758556951216,-1.3500725886880032,-1.3169749154772445
5,5,5,5,5,5,5,5,5,5,01-06,2.0083488039779267,-1.14608357066446,-1.364283108087348
6,6,6,6,6,6,6,6,6,6,01-07,1.4302750782493845,-2.4923600758627527,-1.5998434669176438
7,7,7,7,7,7,7,7,7,7,01-08,1.7967934166260393,-1.6387751338055176,-1.1779208172765876
8,8,8,8,8,8,8,8,8,8,01-09,1.7159388496770986,-1.8270774194424493,-0.8768231264867287
9,9,9,9,9,9,9,9,9,9,01-10,3.0959551058994683,1.3868438848036584,-0.7448451402220995
10,10,10,10,10,10,10,10,10,10,01-11,2.696483290693862,0.4565135560511506,-0.4707222979397738
11,11,11,11,11,11,11,11,11,11,01-12,2.348366649968223,-0.3542156530766854,-0.2797807405953088
12,12,12,12,12,12,12,12,12,12,01-13,2.136503904795392,-0.8476230221687987,-0.15304610036918512
13,13,13,13,13,13,13,13,13,13,01-14,2.2887204332128768,-0.4931257897387274,-0.5348153626738946
14,14,14,14,14,14,14,14,14,14,01-15,2.042448145671643,-1.0666695780857074,-0.47339214350479825
15,15,15,15,15,15,15,15,15,15,01-16,2.1123943931767197,-0.9037716890245984,-0.3659328727646456
16,16,16,16,16,16,16,16,16,16,01-17,2.8547293078272764,0.8250528710657289,-0.234166108979691
17,17,17,17,17,17,17,17,17,17,01-18,2.625216379251804,0.2905399713642301,-0.35001971416227734
18,18,18,18,18,18,18,18,18,18,01-19,2.475977573574045,-0.05702243945907137,-0.40015865061045613
19,19,19,19,19,19,19,19,19,19,01-20,1.9902441918387457,-1.188247420834245,-0.5912242944954582
20,20,20,20,20,20,20,20,20,20,01-21,1.9132740791938367,-1.3675031967747804,-1.0801377918227604
