,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,quirky,quirky_norm,quirky_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,9.37036879789861,-2.258128363259503,
2,2,2,2,2,2,2,2,2,2,01-03,10.273853508525221,-1.5251260271668274,
3,3,3,3,3,3,3,3,3,3,01-04,9.430570811053313,-2.20928612413708,
4,4,4,4,4,4,4,4,4,4,01-05,8.506979349578572,-2.9586011827026044,-2.2261492361386113
5,5,5,5,5,5,5,5,5,5,01-06,9.272922696035259,-2.3371869455120144,-2.308966407946633
6,6,6,6,6,6,6,6,6,6,01-07,9.604018800274494,-2.0685667740536373,-2.596336020136373
7,7,7,7,7,7,7,7,7,7,01-08,8.757895591566909,-2.7550313941076343,-2.408487700964086
8,8,8,8,8,8,8,8,8,8,01-09,8.148615663067918,-3.2493437003052668,-2.0616333289925612
9,9,9,9,9,9,9,9,9,9,01-10,10.81980036134722,-1.0821962091033577,-1.9650549970853561
10,10,10,10,10,10,10,10,10,10,01-11,11.072135882863991,-0.8774749508734581,-1.7678662661773776
11,11,11,11,11,11,11,11,11,11,01-12,9.987166364516145,-1.7577169540687834,-1.3080339003909467
12,12,12,12,12,12,12,12,12,12,01-13,11.06232523159832,-0.8854343886057672,-0.715479541366617
13,13,13,13,13,13,13,13,13,13,01-14,12.158579257765558,0.0039628006109516025,-0.2844398872112922
14,14,14,14,14,14,14,14,14,14,01-15,12.530842926741558,0.3059824538407119,-0.3704492065859324
15,15,15,15,15,15,15,15,15,15,01-16,14.007547941626791,1.5040417158285906,0.11943326336303776
16,16,16,16,16,16,16,16,16,16,01-17,10.436055194985553,-1.3935308671212991,0.24377356217351107
17,17,17,17,17,17,17,17,17,17,01-18,13.610085145066394,1.1815778656250375,0.13646386671940394
18,18,18,18,18,18,18,18,18,18,01-19,11.981882128146625,-0.13939259574292734,-0.13631626302573865
19,19,19,19,19,19,19,19,19,19,01-20,11.364971944084154,-0.6398953721136911,-0.5646561541313816
20,20,20,20,20,20,20,20,20,20,01-21,10.513501389459043,-1.3306983246301438,-0.23108864391281025
21,21,21,21,21,21,21,21,21,21,01-22,10.839766420260792,-1.0659976308052668,-0.551746485174931
22,22,22,22,22,22,22,22,22,22,01-23,12.902948932738886,0.6078741941901289,-0.8278875709795613
23,23,23,23,23,23,23,23,23,23,01-24,11.238664678928364,-0.7423691819476864,-1.1855621777877936
24,24,24,24,24,24,24,24,24,24,01-25,9.939684688529432,-1.7962391105707087,-1.3566728738065486
25,25,25,25,25,25,25,25,25,25,01-26,8.719794519249064,-2.7859430129630853,-1.5156130391070401
26,26,26,26,26,26,26,26,26,26,01-27,9.24805469114394,-2.3573625007426724,-1.5594169364198616
