,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,religion,religion_norm,religion_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,4.069699589098038,-0.5828258090520178,
2,2,2,2,01-03,4.107978938883962,-0.5184175292515525,
3,3,3,3,01-04,3.999521174025024,-0.7009069943191186,
4,4,4,4,01-05,3.1254306790220983,-2.1716390074782788,-1.315979314306899
5,5,5,5,01-06,3.5990038983751833,-1.374811564256744,-1.4007421400163196
6,6,6,6,01-07,2.9021814184351817,-2.5472749814836826,-1.5310104371423696
7,7,7,7,01-08,3.767440389110761,-1.0914027633085408,-1.5352779291332925
8,8,8,8,01-09,3.643449931698578,-1.3000273120078527,-1.2864429956526144
9,9,9,9,01-10,3.9843035511539977,-0.7265119462646563,-1.0853613789747742
10,10,10,10,01-11,4.0127612663788375,-0.6786294065942096,-0.8383480499419641
11,11,11,11,01-12,4.316048995450531,-0.16832186418970266,-0.6051577889624912
12,12,12,12,01-13,3.7830162725680965,-1.065195007286822,-0.6278470878849746
13,13,13,13,01-14,4.598983003913493,0.3077388025682969,-0.6063706726878753
14,14,14,14,01-15,3.5625412399084726,-1.4361631055427533,-0.5065374156162833
15,15,15,15,01-16,4.0608871716472965,-0.5976534550820599,-0.5222754072633263
16,16,16,16,01-17,4.368760729138959,-0.07962986416465792,-0.28759398022479593
17,17,17,17,01-18,4.259928252367364,-0.26274981407196113,-0.46792453529691214
18,18,18,18,01-19,4.619876296934357,0.3428935549443608,-0.2912646709599203
19,19,19,19,01-20,3.9559349595241287,-0.7742445278644006,-0.18438395573017904
20,20,20,20,01-21,4.1924998192438645,-0.37620391952080257,-0.4232002845136684
21,21,21,21,01-22,4.442017451448941,0.04363083629638805,-0.405363317963749
22,22,22,22,01-23,3.5171558908404483,-1.512527836865594,-0.5663764905495259
23,23,23,23,01-24,4.323533815235937,-0.15572801477244494,-0.5710458089051368
24,24,24,24,01-25,4.0457128906785265,-0.6231854805703001,-0.693546636080587
25,25,25,25,01-26,3.939284447712605,-0.8022604379980655,-0.8388592371467173
26,26,26,26,01-27,3.755669148369756,-1.1112088825735047,-0.48652072519151845
27,27,27,27,01-28,3.923841350325436,-0.8282447701003937,-0.3710229118848589
28,28,28,28,01-29,4.773574088994616,0.6015032348655989,-0.33878904501939244
