,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,mth_day,revenge,revenge_norm,revenge_ravg
0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,01-02,5.493136978370744,-1.2037237638688694,
2,2,2,2,2,2,2,2,2,01-03,5.538309558810508,-1.1407005468179776,
3,3,3,3,3,3,3,3,3,01-04,5.042861413949242,-1.8319326098764488,
4,4,4,4,4,4,4,4,4,01-05,4.440855025154913,-2.6718310380302297,-1.7175315494007544
5,5,5,5,5,5,5,5,5,01-06,4.840579395533621,-2.114149464171492,-1.7906029943761246
6,6,6,6,6,6,6,6,6,01-07,5.393415383312028,-1.3428518736395094,-2.088294088486155
7,7,7,7,7,7,7,7,7,01-08,5.178888431838981,-1.6421524337210909,-1.8031000723880328
8,8,8,8,8,8,8,8,8,01-09,4.2580694640503856,-2.92684711147816,-1.6365840765172421
9,9,9,9,9,9,9,9,9,01-10,6.269357004238981,-0.1207685132877149,-1.3131078123629054
10,10,10,10,10,10,10,10,10,01-11,5.1569679977986365,-1.672735062805487,-1.1031589356474012
11,11,11,11,11,11,11,11,11,01-12,6.231710306962673,-0.17329187924547232,-0.8329293790354374
12,12,12,12,12,12,12,12,12,01-13,6.296314311560423,-0.08315861334648414,-0.36935205484778816
13,13,13,13,13,13,13,13,13,01-14,6.341028381635449,-0.020775094049309314,-0.309870218154003
14,14,14,14,14,14,14,14,14,01-15,6.251714182314208,-0.14538316635226434,-0.12276401244540591
15,15,15,15,15,15,15,15,15,01-16,6.525162548146893,0.2361225068749956,-0.14206765351555192
16,16,16,16,16,16,16,16,16,01-17,5.961630519674567,-0.5500978285539042,-0.05212254196886582
17,17,17,17,17,17,17,17,17,01-18,6.148693731183872,-0.2891137256663482,-0.17006638869728907
18,18,18,18,18,18,18,18,18,01-19,6.6831291690017975,0.4565120559336324,-0.2601676121964432
19,19,19,19,19,19,19,19,19,01-20,5.833803125322744,-0.7284381744198486,-0.35761385054964295
20,20,20,20,20,20,20,20,20,01-21,5.864227955171902,-0.685990507347189,-0.5565662187476478
21,21,21,21,21,21,21,21,21,01-22,6.106088602396916,-0.3485549232442031,-0.739442613293129
22,22,22,22,22,22,22,22,22,01-23,5.10602279826782,-1.7438120377419326,-1.1450831514515254
23,23,23,23,23,23,23,23,23,01-24,5.362221789917936,-1.3863720929392354,-1.3584171594082621
24,24,24,24,24,24,24,24,24,01-25,4.938645402824684,-1.977331173016745,-1.5555031277207376
25,25,25,25,25,25,25,25,25,01-26,4.916346217924831,-2.0084422221602702,-1.9825801841959894
26,26,26,26,26,26,26,26,26,01-27,5.016646809009049,-1.8685063172220413,-1.7118158119542493
27,27,27,27,27,27,27,27,27,01-28,4.269415681810114,-2.911017262095713,-1.2874735818691538
28,28,28,28,28,28,28,28,28,01-29,6.270462757792799,-0.1192258042914931,-0.8977556573567539
29,29,29,29,29,29,29,29,29,01-30,7.187133410062232,1.1596812875713365,-0.6898289321209016
30,30,30,30,30,30,30,30,30,01-31,6.614652923637723,0.3609763740576552,-0.561913920002334
31,31,31,31,31,31,31,31,31,02-01,5.810548750973133,-0.7608818707451561,-0.11998003185215726
32,32,32,32,32,32,32,32,32,02-02,5.56675371672658,-1.1010162445106364,-0.1906232266481008
33,33,33,33,33,33,33,33,33,02-03,6.169981382421807,-0.25941393319465256,-0.6833383613952577
34,34,34,34,34,34,34,34,34,02-04,5.9666570605814195,-0.5430849730671544,-0.6552207124732
35,35,35,35,35,35,35,35,35,02-05,5.0681796244804005,-1.7966095209116053,-0.7727169440586669
36,36,36,36,36,36,36,36,36,02-06,6.735574718856433,0.5296822675900013,-0.5984524339112496
37,37,37,37,37,37,37,37,37,02-07,5.305248492970328,-1.4658592602579574,-0.5424336093849387
38,38,38,38,38,38,38,38,38,02-08,6.3161896837360425,-0.055429183626132,-0.2636163147722009
39,39,39,39,39,39,39,39,39,02-09,6.410894015143723,0.07669901396321302,0.05441209182415122
40,40,40,40,40,40,40,40,40,02-10,7.165729141467511,1.1298187946092724,-0.060994666971976606
41,41,41,41,41,41,41,41,41,02-11,6.435881666809004,0.1115609186665075,0.11625476988150396
42,42,42,42,42,42,42,42,42,02-12,6.239260375765928,-0.16275828518676574,0.11021894543241323
43,43,43,43,43,43,43,43,43,02-13,6.067521333250881,-0.402362639137074,0.01999843992720071
44,44,44,44,44,44,44,44,44,02-14,6.290232224418153,-0.09164413032067646,-0.24573942286773817
