,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,mth_day,satire,satire_norm,satire_ravg
0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,01-02,5.631130362931559,-0.98260157295081,
2,2,2,2,2,2,01-03,6.031541347613289,-0.4923328223660495,
3,3,3,3,3,3,01-04,5.209443687885119,-1.498920573233956,
4,4,4,4,4,4,01-05,4.782499163348863,-2.0216773571912534,-1.3404425049398176
5,5,5,5,5,5,01-06,5.112663868472239,-1.6174191233750974,-1.6947719632531753
6,6,6,6,6,6,01-07,5.26597440532438,-1.4297035805217395,-2.070215412657675
7,7,7,7,7,7,01-08,3.8948083093341435,-3.1085783228309545,-1.9487160189086332
8,8,8,8,8,8,01-09,4.191754319510175,-2.744993518793046,-1.6200636329635525
9,9,9,9,9,9,01-10,5.804827650227331,-0.7699242107397086,-1.4820479307703593
10,10,10,10,10,10,01-11,6.392995757112716,-0.04976304152076797,-1.0328703835496
11,11,11,11,11,11,01-12,5.788982762761984,-0.7893249102159391,-0.571870928587041
12,12,12,12,12,12,01-13,7.467080926167097,1.2653617028028163,-0.29167625728165864
13,13,13,13,13,13,01-14,6.153845771694933,-0.3425815930556002,0.02403017236507088
14,14,14,14,14,14,01-15,5.564793381528447,-1.0638254909607514,-0.07070506591717493
15,15,15,15,15,15,01-16,7.3518851228615585,1.1243143671406683,0.21334580236452064
16,16,16,16,16,16,01-17,5.9287642922346295,-0.6181744712142428,0.05152838975922036
17,17,17,17,17,17,01-18,7.180918362157812,0.9149802994742344,-0.04879971754890594
18,18,18,18,18,18,01-19,6.67412641569516,0.2944572271710146,0.013378780683501013
19,19,19,19,19,19,01-20,5.662207548488753,-0.944550236904358,-0.2295230627885657
20,20,20,20,20,20,01-21,5.869486923675367,-0.6907545015663097,-0.03414393004022579
21,21,21,21,21,21,01-22,6.161592253373327,-0.333096693691732,-0.45609241980441
22,22,22,22,22,22,01-23,6.886181433384844,0.5541003252757967,-0.660811865801881
23,23,23,23,23,23,01-24,5.113242499848463,-1.6167106391108708,-1.0007367526400421
24,24,24,24,24,24,01-25,5.67093890038759,-0.933859448813812,-0.9955677886514653
25,25,25,25,25,25,01-26,3.996472273772376,-2.984099557933324,-1.2625145126465114
26,26,26,26,26,26,01-27,5.894816418463463,-0.6597407176348489,-1.4368741731884642
27,27,27,27,27,27,01-28,4.853472160241607,-1.934777037662008,-1.3743029338775836
28,28,28,28,28,28,01-29,6.031766095473497,-0.4920576379759192,-1.4169734042985558
29,29,29,29,29,29,01-30,5.419860592663999,-1.241283203245587,-0.9437011637264505
30,30,30,30,30,30,01-31,5.461840624500554,-1.1898822713396455,-0.9491566577435596
31,31,31,31,31,31,02-01,6.315650116259513,-0.14446611450069374,-0.5878636604776958
32,32,32,32,32,32,02-02,5.868082839437138,-0.6924736817375036,-0.7668313416199637
33,33,33,33,33,33,02-03,6.623917671459159,0.23298094593317525,-0.6777973281998547
34,34,34,34,34,34,02-04,5.154770055890198,-1.5658637248295268,-0.4140460622921829
35,35,35,35,35,35,02-05,5.856154322678701,-0.7070791227249329,-0.3122542432124172
36,36,36,36,36,36,02-06,6.754302001659672,0.3926253241063855,-0.09381045646902036
37,37,37,37,37,37,02-07,6.814460972080848,0.4662847999779001,-0.20535076393272375
38,38,38,38,38,38,02-08,6.9385237962781,0.6181890387228776,0.020353019197355843
39,39,39,39,39,39,02-09,6.077336259244232,-0.4362608988490449,0.09075829559322175
