,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,sci-fi,sci-fi_norm,sci-fi_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,9.718461280197175,-1.3922790006225625,
2,2,2,2,2,2,2,2,2,2,01-03,10.367941335832787,-0.9407953060619132,
3,3,3,3,3,3,3,3,3,3,01-04,10.368092140907006,-0.9406904744639668,
4,4,4,4,4,4,4,4,4,4,01-05,8.75286576215447,-2.063509207238353,-1.6404292534922957
5,5,5,5,5,5,5,5,5,5,01-06,9.691288637493956,-1.4111679642053183,-1.751753415832565
6,6,6,6,6,6,6,6,6,6,01-07,7.270265226484708,-3.0941335683616606,-1.885465056478827
7,7,7,7,7,7,7,7,7,7,01-08,8.75759172028044,-2.0602239746641766,-1.6742761441972511
8,8,8,8,8,8,8,8,8,8,01-09,9.213839273867,-1.7430651499394851,-1.4844268271293097
9,9,9,9,9,9,9,9,9,9,01-10,12.190921910629768,0.3264429992254879,-1.3033584561905633
10,10,10,10,10,10,10,10,10,10,01-11,10.391507597913243,-0.9244133048307036,-0.9630955376954417
11,11,11,11,11,11,11,11,11,11,01-12,11.254139704515364,-0.32475773857284024,-0.6115163218486258
12,12,12,12,12,12,12,12,12,12,01-13,10.207168355843589,-1.0525560573909307,-0.5330468577404236
13,13,13,13,13,13,13,13,13,13,01-14,11.792168934291078,0.04925132041671866,-0.7568288635636341
14,14,14,14,14,14,14,14,14,14,01-15,9.891130868607133,-1.272248365290272,-0.646780062499517
15,15,15,15,15,15,15,15,15,15,01-16,10.259397676066973,-1.0162490357137752,-0.635919497435573
16,16,16,16,16,16,16,16,16,16,01-17,11.34136916277851,-0.26412049844600066,-0.4226373313307605
17,17,17,17,17,17,17,17,17,17,01-18,11.347880238053285,-0.2595943481891758,-0.5886449811379291
18,18,18,18,18,18,18,18,18,18,01-19,12.048065576851366,0.2271369392379441,-0.5640863224051613
19,19,19,19,19,19,19,19,19,19,01-20,10.3593111066663,-0.9467945784262928,-0.5170783002013574
20,20,20,20,20,20,20,20,20,20,01-21,10.103103427956578,-1.1248964128936656,-0.7586749221146007
21,21,21,21,21,21,21,21,21,21,01-22,10.665136885399304,-0.7342009024909518,-1.0087732280232704
22,22,22,22,22,22,22,22,22,22,01-23,9.256082061622608,-1.7137002299254611,-1.2307543304126898
23,23,23,23,23,23,23,23,23,23,01-24,9.189212756686057,-1.7601841836411931,-1.340005790777021
24,24,24,24,24,24,24,24,24,24,01-25,10.132085436701693,-1.1047496750985726,-1.5567169798708722
25,25,25,25,25,25,25,25,25,25,01-26,9.416331609370204,-1.6023033406122795,-1.5889379563332733
26,26,26,26,26,26,26,26,26,26,01-27,8.232609363449983,-2.4251635474567728,-1.37534778655065
27,27,27,27,27,27,27,27,27,27,01-28,10.387028747662923,-0.9275267612653584,-1.2264491711656775
28,28,28,28,28,28,28,28,28,28,01-29,11.099637747352949,-0.4321592112297223,-1.281139035481514
29,29,29,29,29,29,29,29,29,29,01-30,10.474397787765485,-0.8667924913313587,-0.9477132818409245
30,30,30,30,30,30,30,30,30,30,01-31,9.66004212865108,-1.4328888609935917,-0.7342541285332045
31,31,31,31,31,31,31,31,31,31,02-01,12.29422128246995,0.3982511812312566,-0.30339229499687403
32,32,32,32,32,32,32,32,32,32,02-02,10.075034209837494,-1.1444086276104526,-0.28433341971788256
33,33,33,33,33,33,33,33,33,33,02-03,14.105916109326156,1.6576442399526246,-0.16813729609938288
34,34,34,34,34,34,34,34,34,34,02-04,11.264140158301773,-0.31780595955577345,0.06255962620577853
35,35,35,35,35,35,35,35,35,35,02-05,11.477318589667195,-0.16961574962036047,-0.039154752717667086
36,36,36,36,36,36,36,36,36,36,02-06,11.651250915221233,-0.04870732716262337,0.05043806545692923
37,37,37,37,37,37,37,37,37,37,02-07,11.416296414599445,-0.21203509230941708,-0.3688751035638543
38,38,38,38,38,38,38,38,38,38,02-08,10.84833454250018,-0.6068517185628747,-0.41900793993802954
39,39,39,39,39,39,39,39,39,39,02-09,10.486708457416873,-0.8582347741720767,-0.44296476326485007
40,40,40,40,40,40,40,40,40,40,02-10,10.8314298157169,-0.618602977800825,-0.4932910539753336
41,41,41,41,41,41,41,41,41,41,02-11,11.270540637755149,-0.3133566895812834,-0.5678208182913792
42,42,42,42,42,42,42,42,42,42,02-12,11.216870814884903,-0.350665071425525,-0.10161539070208826
43,43,43,43,43,43,43,43,43,43,02-13,10.773009455743502,-0.6592136782056903,-0.18024720517835044
44,44,44,44,44,44,44,44,44,44,02-14,14.872282215865926,2.1903808469728707,-0.3783091951910024
