,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,mth_day,social commentary,social commentary_norm,social commentary_ravg
0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,01-02,6.516254154839888,-1.4956778210773232,
2,2,2,2,2,2,2,2,2,01-03,6.842285596622246,-1.132371483415154,
3,3,3,3,3,3,3,3,3,01-04,5.5300484639655325,-2.594635565074084,
4,4,4,4,4,4,4,4,4,01-05,5.583759441801324,-2.53478385708206,-2.0646167142833742
5,5,5,5,5,5,5,5,5,01-06,5.663133908162192,-2.4463345758722235,-2.066022489290338
6,6,6,6,6,6,6,6,6,01-07,5.8986456453758045,-2.1838969831793995,-2.311042244356852
7,7,7,7,7,7,7,7,7,01-08,6.50868489212967,-1.5041124711191054,-2.188734796522217
8,8,8,8,8,8,8,8,8,01-09,5.522999874437373,-2.60249001381424,-1.858376510050437
9,9,9,9,9,9,9,9,9,01-10,6.1886013614708855,-1.8607908780662727,-1.499127363441305
10,10,10,10,10,10,10,10,10,01-11,7.3625424237260475,-0.5526341382513794,-0.8764007926314156
11,11,11,11,11,11,11,11,11,01-12,7.597476996946471,-0.29083969621743005,-0.6593262655138167
12,12,12,12,12,12,12,12,12,01-13,9.251658031955047,1.5524624416799362,-0.38364212584860996
13,13,13,13,13,13,13,13,13,01-14,7.67750217463221,-0.2016653084135122,0.1443597123004312
14,14,14,14,14,14,14,14,14,01-15,7.007395078384883,-0.9483851758229994,0.01937615112062539
15,15,15,15,15,15,15,15,15,01-16,9.031577374438902,1.3072201508279742,0.15193143885273572
16,16,16,16,16,16,16,16,16,01-17,6.689580246747396,-1.3025355053302143,-0.0745635086268291
17,17,17,17,17,17,17,17,17,01-18,8.311208420184599,0.5044920301752318,-0.1291925440386704
18,18,18,18,18,18,18,18,18,01-19,8.03211738603576,0.19349275680254727,0.02186437429156533
19,19,19,19,19,19,19,19,19,01-20,7.3833572946979,-0.5294395208845598,-0.18944964988173682
20,20,20,20,20,20,20,20,20,01-21,7.8207467835819875,-0.042043665841585184,0.06233538168499784
21,21,21,21,21,21,21,21,21,01-22,7.893776975799263,0.03933600578816139,-0.21534272568551382
22,22,22,22,22,22,22,22,22,01-23,8.045292961078069,0.2081746840701936,-0.5507472169400536
23,23,23,23,23,23,23,23,23,01-24,6.816076885513907,-1.161576614047838,-0.9252888109235792
24,24,24,24,24,24,24,24,24,01-25,6.226163591213486,-1.8189341907246912,-1.2751210362130965
25,25,25,25,25,25,25,25,25,01-26,5.3666734678256915,-2.7766890847857137,-1.585181586383386
26,26,26,26,26,26,26,26,26,01-27,5.937108217951503,-2.141037017578688,-1.74194835527466
27,27,27,27,27,27,27,27,27,01-28,6.22428523730085,-1.8210272952335769,-1.645529841250231
28,28,28,28,28,28,28,28,28,01-29,7.201197104990183,-0.7324259292774485,-1.5953091787591243
29,29,29,29,29,29,29,29,29,01-30,7.335233264852299,-0.5830655299012654,-1.2530179786946862
30,30,30,30,30,30,30,30,30,01-31,6.4965720036502566,-1.5176102157780509,-1.032355844911937
31,31,31,31,31,31,31,31,31,02-01,7.209708095592546,-0.7229418843990854,-0.8424118872636591
32,32,32,32,32,32,32,32,32,02-02,7.125242629592727,-0.8170642148821924,-0.88276525709154
33,33,33,33,33,33,33,33,33,02-03,7.2470205317371486,-0.6813635493439095,-0.8582447100875982
34,34,34,34,34,34,34,34,34,02-04,6.983918197656704,-0.9745461482447336,-0.6333634666138012
35,35,35,35,35,35,35,35,35,02-05,7.467261833543347,-0.4359422478776155,-0.3984796120595431
36,36,36,36,36,36,36,36,36,02-06,7.707423812809978,-0.16832275493526844,-0.13837972559346637
37,37,37,37,37,37,37,37,37,02-07,8.474418019088551,0.6863612429264633,-0.04895575796278314
38,38,38,38,38,38,38,38,38,02-08,8.525725894558239,0.743535103914268,0.06215163618339775
39,39,39,39,39,39,39,39,39,02-09,7.728515436849009,-0.1448197435598102,0.19408548291748848
40,40,40,40,40,40,40,40,40,02-10,7.582165464234992,-0.30790178336764834,0.1848728006615712
41,41,41,41,41,41,41,41,41,02-11,8.177647166440128,0.3556608325269288,-0.15662026326699893
42,42,42,42,42,42,42,42,42,02-12,7.657818995598572,-0.2235988484707722,-0.268403785999729
43,43,43,43,43,43,43,43,43,02-13,6.63568087993899,-1.3625971406449575,-0.5442972745198369
44,44,44,44,44,44,44,44,44,02-14,7.9238380774849375,0.07283396751788765,-0.7891251914894638
45,45,45,45,45,45,45,45,45,02-15,6.242993013771138,-1.8001806746804574,-0.89085753115944
46,46,46,46,46,46,46,46,46,02-16,6.263912676158332,-1.7768692851854098,-0.9949080963450414
47,47,47,47,47,47,47,47,47,02-17,7.629878994952784,-0.2547332054929285,-0.9641333881799362
48,48,48,48,48,48,48,48,48,02-18,7.097568557843603,-0.8479022395843806,-1.11842558990886
49,49,49,49,49,49,49,49,49,02-19,6.8013843885218295,-1.1779488916543268,-0.7842572288265429
50,50,50,50,50,50,50,50,50,02-20,7.093066294490625,-0.8529192428556559,-0.1137013536041382
51,51,51,51,51,51,51,51,51,02-21,8.042290982468156,0.20482949181344529,-0.17138324160167692
52,52,52,52,52,52,52,52,52,02-22,9.874457433530843,2.2464659661490187,-0.0942848194514543
53,53,53,53,53,53,53,53,53,02-23,7.319296318698123,-0.6008245334781608,0.2987774634095719
54,54,54,54,54,54,54,54,54,02-24,7.5126977278085265,-0.3853117066830448,0.6338422352455109
55,55,55,55,55,55,55,55,55,02-25,8.917791114857723,1.1804248055118305,0.6645788568832658
56,56,56,56,56,56,56,56,56,02-26,8.897190902199444,1.1574693881599776,0.2729803613438835
57,57,57,57,57,57,57,57,57,02-27,8.207789417742818,0.3892492216399744,0.2722990980406167
58,58,58,58,58,58,58,58,58,02-28,7.765932331732677,-0.10312500708727522,0.27662561832494115
59,59,59,59,59,59,59,59,59,02-29,7.3156281208060605,-0.6049121132977614,-0.10517825091077582
60,60,60,60,60,60,60,60,60,03-01,7.535993467518586,-0.35935258497709816,-0.34303511438381956
61,61,61,61,61,61,61,61,61,03-02,6.862004253015164,-1.1103984099024713,-0.36333795262456353
62,62,62,62,62,62,62,62,62,03-03,7.616473093064108,-0.2696717926782853,-0.4368523734724125
63,63,63,63,63,63,63,63,63,03-04,8.098470703406615,0.2674321921955104,-0.5746510846808748
64,64,64,64,64,64,64,64,64,03-05,7.3701008781711925,-0.5442115321743688,-0.3909131237604304
65,65,65,65,65,65,65,65,65,03-06,6.5736639792475575,-1.431704380548535,-0.5009636030658534
66,66,66,66,66,66,66,66,66,03-07,8.52531315890388,0.743075180545568,-0.5790063931369508
67,67,67,67,67,67,67,67,67,03-08,6.269447844541763,-1.7707012857350095,-0.9457953942123054
68,68,68,68,68,68,68,68,68,03-09,7.196259063251206,-0.7379285331048697,-1.0724624385600754
69,69,69,69,69,69,69,69,69,03-10,6.1235299805991605,-1.9333018142566167,-0.9169630285486017
70,70,70,70,70,70,70,70,70,03-11,6.6880741451267225,-1.30421379826099,-1.244213199478019
71,71,71,71,71,71,71,71,71,03-12,7.4109358611846625,-0.4987079204796922,-1.0873898299444182
72,72,72,72,72,72,72,72,72,03-13,6.763265531468541,-1.2204258450309364,-0.9946460836955519
73,73,73,73,73,73,73,73,73,03-14,7.113848461440743,-0.8297610685334054,-0.8548007043815126
74,74,74,74,74,74,74,74,74,03-15,7.695629002686705,-0.1814660556116708,-0.3662937417489361
75,75,75,75,75,75,75,75,75,03-16,6.876514213207082,-1.094229538372381,-0.6347698526064308
76,76,76,76,76,76,76,76,76,03-17,9.318393732272273,1.6268279775344685,-0.5465772159101396
77,77,77,77,77,77,77,77,77,03-18,5.9653516073522965,-2.109564585624661,-0.3317609087295503
78,78,78,78,78,78,78,78,78,03-19,7.238130451497822,-0.6912700248531894,-0.17286569605936433
79,79,79,79,79,79,79,79,79,03-20,8.270506572044505,0.4591367745501306,0.02986616055278568
80,80,80,80,80,80,80,80,80,03-21,8.551185263211082,0.7719052204094451,-0.09444727090989513
