,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,superhero,superhero_norm,superhero_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,0.9283534654225842,-0.574561572433244,
2,2,2,2,2,2,2,2,2,2,01-03,1.1377869779318073,0.17328299929563554,
3,3,3,3,3,3,3,3,3,3,01-04,1.2315960889518172,0.5082562975729913,
4,4,4,4,4,4,4,4,4,4,01-05,0.9054473288482214,-0.6563547376778139,-0.5238210186153011
5,5,5,5,5,5,5,5,5,5,01-06,0.7168050530944444,-1.3299580222277594,-0.49225891721575343
6,6,6,6,6,6,6,6,6,6,01-07,0.7353910843929582,-1.2635910762216158,-0.5331757797769549
7,7,7,7,7,7,7,7,7,7,01-08,0.9813871732931758,-0.3851889640359584,-0.599995219877233
8,8,8,8,8,8,8,8,8,8,01-09,1.0690344918859,-0.07221817607157258,-0.48377290109457927
9,9,9,9,9,9,9,9,9,9,01-10,1.1193195766405852,0.10733965697132176,-0.27876213545935913
10,10,10,10,10,10,10,10,10,10,01-11,1.1007353555969848,0.04097917501810907,-0.27736053624381285
11,11,11,11,11,11,11,11,11,11,01-12,1.061284050781855,-0.09989342841643876,-0.2868238256181401
12,12,12,12,12,12,12,12,12,12,01-13,0.7377461875088108,-1.255181480928338,-0.30393758078834227
13,13,13,13,13,13,13,13,13,13,01-14,0.965486035475396,-0.4419687002819221,-0.3734624409829654
14,14,14,14,14,14,14,14,14,14,01-15,1.0402782984760932,-0.17490070709278535,-0.2521380954192156
15,15,15,15,15,15,15,15,15,15,01-16,1.0024971547546264,-0.3098095041964167,-0.3755085071754464
16,16,16,16,16,16,16,16,16,16,01-17,1.3045963032178816,0.7689252484006075,-0.39436653857848064
17,17,17,17,17,17,17,17,17,17,01-18,0.8539851040441603,-0.8401158989538234,-0.26721209434172405
18,18,18,18,18,18,18,18,18,18,01-19,0.70605909178022,-1.3683296693465432,-0.30472745500474513
19,19,19,19,19,19,19,19,19,19,01-20,1.1791432810666618,0.3209579651386172,-0.36225297303517695
20,20,20,20,20,20,20,20,20,20,01-21,0.9772413462505022,-0.3999928710709117,-0.7396053476631664
21,21,21,21,21,21,21,21,21,21,01-22,0.9058371928683718,-0.6549626123790079,-0.7549314504940993
22,22,22,22,22,22,22,22,22,22,01-23,0.6705321974425393,-1.4951889993673293,-0.46117116243693307
23,23,23,23,23,23,23,23,23,23,01-24,0.8282326976995693,-0.9320725159394198,-0.7019443699899969
24,24,24,24,24,24,24,24,24,24,01-25,1.1996636557978708,0.3942320589964536,-0.7640151093472256
25,25,25,25,25,25,25,25,25,25,01-26,0.7745727554609895,-1.1236812801797655,-0.7445357050485232
26,26,26,26,26,26,26,26,26,26,01-27,0.8729440620896293,-0.7724173072142843,-0.5359618444711889
27,27,27,27,27,27,27,27,27,27,01-28,0.938568379679822,-0.5380861865867941,-0.3945802967452634
28,28,28,28,28,28,28,28,28,28,01-29,1.0209982532755135,-0.243745835903323,-0.672593386586695
29,29,29,29,29,29,29,29,29,29,01-30,1.065795704213968,-0.08378322958386683,-0.54800516863831
30,30,30,30,30,30,30,30,30,30,01-31,0.7325190634843075,-1.2738464800521354,-0.6181398973576289
31,31,31,31,31,31,31,31,31,31,02-01,0.9839179784278907,-0.3761519724894557,-0.23797733244125552
32,32,32,32,32,32,32,32,32,32,02-02,0.7550968798821458,-1.1932256795301983,-0.25959886721914277
33,33,33,33,33,33,33,33,33,33,02-03,1.5773544400844923,1.742889202911446,-0.3067722576753775
34,34,34,34,34,34,34,34,34,34,02-04,0.984667650803628,-0.3734750445706467,-0.23545311034664843
35,35,35,35,35,35,35,35,35,35,02-05,0.986530392406904,-0.3668235723212751,-0.4369290547694169
36,36,36,36,36,36,36,36,36,36,02-06,0.8523564208620934,-0.8459315960797607,-0.29466442856866376
37,37,37,37,37,37,37,37,37,37,02-07,0.6453785306197103,-1.5850076390260666,-0.5721105062211027
38,38,38,38,38,38,38,38,38,38,02-08,0.9941437206085936,-0.3396379223256797,-0.46574333142565055
39,39,39,39,39,39,39,39,39,39,02-09,1.1111625967152858,0.07821273699681211,-0.4875132875414017
40,40,40,40,40,40,40,40,40,40,02-10,1.1633961075597747,0.26472800420206605,-0.4658601148753778
41,41,41,41,41,41,41,41,41,41,02-11,0.9499503979894572,-0.4974433090157821,-0.32498153320618195
42,42,42,42,42,42,42,42,42,42,02-12,0.8887401843860852,-0.7160125600836174,-0.07013704410065948
43,43,43,43,43,43,43,43,43,43,02-13,0.8820964047209101,-0.7397361490108912,-0.11122114346255309
44,44,44,44,44,44,44,44,44,44,02-14,1.4223581799869591,1.1894290123074551,-0.3353319355048827
45,45,45,45,45,45,45,45,45,45,02-15,1.0421291031559419,-0.16829185917454953,-0.4172170576431593
46,46,46,46,46,46,46,46,46,46,02-16,0.7868233906369981,-1.0799367480519118,-0.31348798384481785
