,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,suspense,suspense_norm,suspense_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,12.068886424820304,-0.7297629463571539,
2,2,2,2,2,2,2,2,2,2,01-03,12.728452080687275,-0.22672642362329204,
3,3,3,3,3,3,3,3,3,3,01-04,12.261232379962294,-0.5830648283216275,
4,4,4,4,4,4,4,4,4,4,01-05,10.187079752913506,-2.1649763724550963,-1.3194403067727898
5,5,5,5,5,5,5,5,5,5,01-06,10.816169139859095,-1.6851834437558038,-1.5906322048051995
6,6,6,6,6,6,6,6,6,6,01-07,9.712500399045627,-2.526927826123765,-2.074071283402915
7,7,7,7,7,7,7,7,7,7,01-08,9.935416738132897,-2.356914334551611,-2.1281429301821873
8,8,8,8,8,8,8,8,8,8,01-09,8.925231457093812,-3.1273608952095846,-1.9038124198154673
9,9,9,9,9,9,9,9,9,9,01-10,11.835850131636207,-0.9074947089972608,-1.6945225940619995
10,10,10,10,10,10,10,10,10,10,01-11,11.951890380144393,-0.8189933102547778,-1.2013585788303294
11,11,11,11,11,11,11,11,11,11,01-12,12.462654533474176,-0.42944448923499584,-0.9509781007110257
12,12,12,12,12,12,12,12,12,12,01-13,13.59222720761007,0.4320562652662551,-0.6679251684379072
13,13,13,13,13,13,13,13,13,13,01-14,11.905162752233934,-0.8546314658357889,-0.48705636213272885
14,14,14,14,14,14,14,14,14,14,01-15,11.1520120324505,-1.429043301570874,-0.5631783489225478
15,15,15,15,15,15,15,15,15,15,01-16,13.258747048244386,0.17771812883380925,-0.4672224828682592
16,16,16,16,16,16,16,16,16,16,01-17,11.353037861006491,-1.2757252309936915,-0.3594974983803927
17,17,17,17,17,17,17,17,17,17,01-18,13.217540402012167,0.1462907070907363,-0.33197754298885446
18,18,18,18,18,18,18,18,18,18,01-19,14.43970086213742,1.078406172193454,-0.24227386105308477
19,19,19,19,19,19,19,19,19,19,01-20,12.121662548255935,-0.6895117334865595,-0.2264714571751216
