,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,thought-provoking,thought-provoking_norm,thought-provoking_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,9.917197623930008,-0.030148498794580526,
2,2,2,2,2,2,2,2,2,2,01-03,9.500422544488703,-0.4112804333134456,
3,3,3,3,3,3,3,3,3,3,01-04,8.076164635149931,-1.7137339604479265,
4,4,4,4,4,4,4,4,4,4,01-05,7.121009907539348,-2.587202617899962,-1.4984361842512106
5,5,5,5,5,5,5,5,5,5,01-06,7.8222996468423895,-1.94588808595362,-1.6988392783723414
6,6,6,6,6,6,6,6,6,6,01-07,7.432486935432335,-2.302363509097729,-2.0736737567553853
7,7,7,7,7,7,7,7,7,7,01-08,8.60232986437495,-1.2325670635213657,-1.881915032869192
8,8,8,8,8,8,8,8,8,8,01-09,7.041090402153611,-2.6602873036117085,-1.542601977754839
9,9,9,9,9,9,9,9,9,9,01-10,9.334315686944443,-0.5631816171307683,-1.2688549504178128
10,10,10,10,10,10,10,10,10,10,01-11,9.34728190459904,-0.5513242872138424,-0.8100393785945016
11,11,11,11,11,11,11,11,11,11,01-12,9.61838539141643,-0.30340592193146426,-0.5045351495385398
12,12,12,12,12,12,12,12,12,12,01-13,10.442828694964478,0.4505299218421393,-0.10641249146656584
13,13,13,13,13,13,13,13,13,13,01-14,10.606778263512977,0.600458310814405,0.11677439922400419
14,14,14,14,14,14,14,14,14,14,01-15,9.653218971040834,-0.2715513551798649,0.0671911108248847
15,15,15,15,15,15,15,15,15,15,01-16,10.798670557368704,0.7759397270126519,0.2906209787505996
16,16,16,16,16,16,16,16,16,16,01-17,9.021960244199343,-0.8488240176085594,0.4259112846278042
17,17,17,17,17,17,17,17,17,17,01-18,11.08433446343822,1.0371732856228255,0.17989690977405556
18,18,18,18,18,18,18,18,18,18,01-19,11.330483958763725,1.2622717571053672,0.15156441392169426
19,19,19,19,19,19,19,19,19,19,01-20,8.992649642890154,-0.8756279383080869,-0.015750524522472997
20,20,20,20,20,20,20,20,20,20,01-21,9.467326205725143,-0.4415463302940328,-0.19225352945979166
21,21,21,21,21,21,21,21,21,21,01-22,9.700897994440107,-0.2279499036523516,-0.589819702883357
