,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,violence,violence_norm,violence_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,15.117640177584565,-1.5345685026407865,
2,2,2,2,2,2,2,2,2,2,01-03,17.697936818450547,-0.09254023794887196,
3,3,3,3,3,3,3,3,3,3,01-04,16.084395042274082,-0.9942864986914972,
4,4,4,4,4,4,4,4,4,4,01-05,14.400280428860738,-1.9354731960115743,-1.427416094544346
5,5,5,5,5,5,5,5,5,5,01-06,14.488024217345432,-1.8864365771042184,-1.6246399086091217
6,6,6,6,6,6,6,6,6,6,01-07,14.067964850005096,-2.121191554869129,-2.1351176034325055
7,7,7,7,7,7,7,7,7,7,01-08,13.000222825690255,-2.71791138702944,-2.004733355805774
8,8,8,8,8,8,8,8,8,8,01-09,12.217390090868065,-3.1554064068891763,-1.8219446358011195
9,9,9,9,9,9,9,9,9,9,01-10,17.484215188982382,-0.21198101293110888,-1.6045161721833816
10,10,10,10,10,10,10,10,10,10,01-11,16.362720965282403,-0.8387408759836481,-1.2939521892943548
11,11,11,11,11,11,11,11,11,11,01-12,16.822360990229818,-0.5818657953977912,-0.8389946510186309
12,12,12,12,12,12,12,12,12,12,01-13,17.40221517550917,-0.25780765753496754,-0.5175729664760345
13,13,13,13,13,13,13,13,13,13,01-14,17.884698823115915,0.011833842624904202,-0.39913770578547564
14,14,14,14,14,14,14,14,14,14,01-15,15.668209939134787,-1.2268762996335976,-0.3863906912540864
15,15,15,15,15,15,15,15,15,15,01-16,18.755749649724287,0.4986305512122441,-0.17563994909711092
16,16,16,16,16,16,16,16,16,16,01-17,16.49957436648855,-0.7622587887953131,0.012276241551810313
17,17,17,17,17,17,17,17,17,17,01-18,19.085004984231574,0.6826386575440619,-0.011945506911472397
18,18,18,18,18,18,18,18,18,18,01-19,19.419704821314426,0.8696894863585599,0.0787741322123931
19,19,19,19,19,19,19,19,19,19,01-20,17.62465137026355,-0.13349664815479206,-0.20122740892034766
20,20,20,20,20,20,20,20,20,20,01-21,16.64218632707429,-0.6825584648904046,-0.35899845716189716
21,21,21,21,21,21,21,21,21,21,01-22,15.749621183123953,-1.1813786955842005,-0.7431182816133539
22,22,22,22,22,22,22,22,22,22,01-23,14.805726406203735,-1.7088850782446101,-0.6051349042505739
23,23,23,23,23,23,23,23,23,23,01-24,14.961050758130972,-1.6220802891646788,-0.9988489485067779
24,24,24,24,24,24,24,24,24,24,01-25,20.901110091192084,1.6975897505352395,-1.2981187699101502
25,25,25,25,25,25,25,25,25,25,01-26,13.397692506569905,-2.495780913692016,-1.3505288191047582
26,26,26,26,26,26,26,26,26,26,01-27,13.42919140684783,-2.4781773933106384,-1.073127859224041
27,27,27,27,27,27,27,27,27,27,01-28,15.186940920070882,-1.495838990751849,-0.891262798549939
28,28,28,28,28,28,28,28,28,28,01-29,17.783934736008433,-0.04447931896030643,-1.318103048365493
29,29,29,29,29,29,29,29,29,29,01-30,16.913574782679948,-0.5308899251200677,-0.994513198657582
30,30,30,30,30,30,30,30,30,30,01-31,16.31850450812839,-0.8634517483580854,-0.7476568930979077
31,31,31,31,31,31,31,31,31,31,02-01,16.871790023228645,-0.5542418154445501,-0.3361789814519693
32,32,32,32,32,32,32,32,32,32,02-02,16.079468845681383,-0.9970395599525916,-0.3971342675308795
33,33,33,33,33,33,33,33,33,33,02-03,19.604614689193845,0.9730284791237817,-0.2374059501032162
34,34,34,34,34,34,34,34,34,34,02-04,17.12951183558336,-0.4102110354337679,-0.1737887202171607
35,35,35,35,35,35,35,35,35,35,02-05,18.628436208081318,0.42747997944591215,-0.15383125207927392
