,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,mth_day,woman director,woman director_norm,woman director_ravg
0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,01-02,2.0250411041496954,-0.3343881020237466,
2,2,2,2,2,2,2,2,2,01-03,2.1916989973734755,0.05415094253058306,
3,3,3,3,3,3,3,3,3,01-04,1.88478667490532,-0.6613712462301248,
4,4,4,4,4,4,4,4,4,01-05,1.5257297048525025,-1.4984612237061403,-0.9467674487666828
5,5,5,5,5,5,5,5,5,01-06,1.3711264276343142,-1.8588966549561003,-1.2022558817030484
6,6,6,6,6,6,6,6,6,01-07,1.5758390685912949,-1.3816384082145676,-1.434930509445243
7,7,7,7,7,7,7,7,7,01-08,1.3675139201047593,-1.86731869964194,-1.4484242296760925
8,8,8,8,8,8,8,8,8,01-09,1.5928856146316666,-1.3418968239225837,-1.0491870231670481
9,9,9,9,9,9,9,9,9,01-10,1.8500591228055712,-0.7423335676152232,-0.5749207746854834
10,10,10,10,10,10,10,10,10,01-11,2.553209943956876,0.8969620153481256,-0.1537126606035352
11,11,11,11,11,11,11,11,11,01-12,2.5917020414403207,0.9867008359332876,0.0976536709336514
12,12,12,12,12,12,12,12,12,01-13,2.6598638205774754,1.1456102762771214,0.20205668418674114
13,13,13,13,13,13,13,13,13,01-14,2.0144324292511926,-0.3591207104188204,0.24481143419504478
14,14,14,14,14,14,14,14,14,01-15,1.8615780893599,-0.7154787444040452,-0.06739275443057684
15,15,15,15,15,15,15,15,15,01-16,1.9600931077277264,-0.4858050675654012,-0.3501537287592566
16,16,16,16,16,16,16,16,16,01-17,1.7497186131177658,-0.976263116405604,-0.571348585107803
17,17,17,17,17,17,17,17,17,01-18,1.863986015038268,-0.7098650100387909,-0.5781725809851617
18,18,18,18,18,18,18,18,18,01-19,2.0905948742361398,-0.1815588618141566,-0.5730035292740912
19,19,19,19,19,19,19,19,19,01-20,1.9968701359543704,-0.4000646856829729,-0.4176338080867181
20,20,20,20,20,20,20,20,20,01-21,1.874881204403896,-0.6844644341376218,-0.17511916586201712
21,21,21,21,21,21,21,21,21,01-22,2.359953931499835,0.44641325955883737,-0.16618714532620063
22,22,22,22,22,22,22,22,22,01-23,2.3738563400550534,0.4788247369426015,-0.37371061701209934
23,23,23,23,23,23,23,23,23,01-24,1.8869735383607416,-0.6562728868238921,-0.662785714317164
24,24,24,24,24,24,24,24,24,01-25,1.556510718673433,-1.4266996919295492,-0.7238938292135675
25,25,25,25,25,25,25,25,25,01-26,1.252904029450218,-2.1345152695133613,-0.8295158282061057
26,26,26,26,26,26,26,26,26,01-27,1.7176128449391281,-1.0511131235160427,-1.0838785297161815
27,27,27,27,27,27,27,27,27,01-28,2.088124264799979,-0.18731873439639246,-1.1200896463610481
28,28,28,28,28,28,28,28,28,01-29,1.7192263478955263,-1.0473514721178534,-0.9591256875237527
29,29,29,29,29,29,29,29,29,01-30,1.7937803034069224,-0.8735395866930916,-0.6872798234719628
30,30,30,30,30,30,30,30,30,01-31,1.9707689196048737,-0.46091593890577703,-0.38663126774879425
31,31,31,31,31,31,31,31,31,02-01,1.9525288360603716,-0.5034400852026218,-0.5000103762947218
32,32,32,32,32,32,32,32,32,02-02,2.491364501559408,0.7527782108229686,-0.36664942456752597
33,33,33,33,33,33,33,33,33,02-03,1.7963308355831775,-0.8675933856719573,-0.3233439370960516
34,34,34,34,34,34,34,34,34,02-04,2.062445217113673,-0.2471857617546783,-0.46716294963188404
35,35,35,35,35,35,35,35,35,02-05,1.9052316709054424,-0.6137066618642453,-0.3281785848496222
36,36,36,36,36,36,36,36,36,02-06,1.6006350969579497,-1.3238300141207715,-0.8700348749294733
37,37,37,37,37,37,37,37,37,02-07,2.310220168506394,0.3304661034909491,-0.6070079031819671
38,38,38,38,38,38,38,38,38,02-08,1.0968385871044843,-2.4983595296561383,-0.6546001061176747
39,39,39,39,39,39,39,39,39,02-09,2.47325926664088,0.7105684448130801,-0.6949021447769672
40,40,40,40,40,40,40,40,40,02-10,1.9399615225715992,-0.5327389793689243,-0.30481502970670465
41,41,41,41,41,41,41,41,41,02-11,1.8015100045804733,-0.8555188938200008,-0.4679656300794208
42,42,42,42,42,42,42,42,42,02-12,2.6045665836262613,1.016692676300804,-0.16764185321787384
43,43,43,43,43,43,43,43,43,02-13,1.890334408492233,-0.6484374987453478,-0.44735115085490845
44,44,44,44,44,44,44,44,44,02-14,1.8697543901095344,-0.6964168684868561,-0.11666184622126707
45,45,45,45,45,45,45,45,45,02-15,1.7533970610893883,-0.9676873410091276,-0.1020956543278889
46,46,46,46,46,46,46,46,46,02-16,2.7910263037458343,1.451396848432924,-0.4117888750882461
47,47,47,47,47,47,47,47,47,02-17,1.838997678788788,-0.7681217424597317,-0.03214981719905078
48,48,48,48,48,48,48,48,48,02-18,1.8075375008455044,-0.8414666482613391,0.0037180411592165155
49,49,49,49,49,49,49,49,49,02-19,2.867376687151982,1.6293968485898238,0.17652960675231832
50,50,50,50,50,50,50,50,50,02-20,1.9620642126442718,-0.4812097183372524,-0.013008946055425167
51,51,51,51,51,51,51,51,51,02-21,2.1981463626091577,0.06918205254948334,0.033420950026679885
52,52,52,52,52,52,52,52,52,02-22,2.3032282869695964,0.31416553158646315,0.08781458098102805
53,53,53,53,53,53,53,53,53,02-23,1.9584900506174927,-0.4895423659671014,-0.13371490754569001
54,54,54,54,54,54,54,54,54,02-24,1.9475254078530209,-0.5151048625352501,-0.3262904492820978
55,55,55,55,55,55,55,55,55,02-25,2.2972465286169075,0.30021991742951554,-0.26216329095464375
56,56,56,56,56,56,56,56,56,02-26,1.466450175568055,-1.6366629687556995,-0.4618342200450774
57,57,57,57,57,57,57,57,57,02-27,2.363184557690016,0.4539450025142078,-0.6178557156536425
58,58,58,58,58,58,58,58,58,02-28,1.7893535012051498,-0.883860042956139,-0.573639353197899
59,59,59,59,59,59,59,59,59,02-29,1.5569518147024028,-1.4256713396184912,-1.028844858783223
60,60,60,60,60,60,60,60,60,03-01,2.0613210108871374,-0.24980668780078955,-1.0281792864350834
61,61,61,61,61,61,61,61,61,03-02,1.1257258033564472,-2.431013116082428,-1.2218709937741357
62,62,62,62,62,62,62,62,62,03-03,1.4681630981721074,-1.6326695346668605,-1.0099587619626895
63,63,63,63,63,63,63,63,63,03-04,1.864697947412736,-0.7082052415201067,-0.7138973898564362
64,64,64,64,64,64,64,64,64,03-05,2.334732606811715,0.3876133479125377,-0.4567758652773694
65,65,65,65,65,65,65,65,65,03-06,2.318897856909296,0.3506968930190289,-0.1113104588338724
66,66,66,66,66,66,66,66,66,03-07,2.7230511333460408,1.2929224596736115,0.009751619023597335
67,67,67,67,67,67,67,67,67,03-08,2.0148184846689854,-0.3582206774214464,-0.0919294905249589
68,68,68,68,68,68,68,68,68,03-09,1.7797294819546452,-0.9062970675220422,-0.2806555031330177
69,69,69,69,69,69,69,69,69,03-10,1.6030105869963869,-1.318291898811444,-0.4953715155228678
70,70,70,70,70,70,70,70,70,03-11,1.8490257503407848,-0.7447427277358151,-0.539864205705812
71,71,71,71,71,71,71,71,71,03-12,1.7663029179782643,-0.9375991813200716,-0.4769581740842103
