,unnamed: 0,unnamed: 0,mth_day,dvd-r,dvd-r_norm,dvd-r_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.246867519540375,-1.3213966006625684,
2,2,2,01-03,6.0398733395445285,-0.3225043714390526,
3,3,3,01-04,4.907989993268457,-1.748256176106458,
4,4,4,01-05,4.719616877247447,-1.985536202357744,-1.6109600273232767
5,5,5,01-06,4.764383589654186,-1.9291468039158224,-1.6358276477115623
6,6,6,01-07,4.423192975385689,-2.3589200094580165,-1.913424498783165
7,7,7,01-08,5.128415295442724,-1.4706023229922816,-1.7548097153058098
8,8,8,01-09,4.717593044988256,-1.9880854778686683,-1.6753019411446186
9,9,9,01-10,5.663521627751295,-0.7965674752423266,-1.3431490308889666
10,10,10,01-11,5.098337178401929,-1.5084895573905972,-0.9628235615271332
11,11,11,01-12,6.346531392538596,0.06377065761808946,-0.7123093837994318
12,12,12,01-13,6.234801686773058,-0.07696719328701526,-0.6502894813003498
13,13,13,01-14,6.3216923785133305,0.03248274337392714,-0.4292935059215231
14,14,14,01-15,5.01301316459071,-1.615966062874176,-0.28320873084916265
15,15,15,01-16,6.716194315829776,0.5294083770306338,0.0013979983220961509
16,16,16,01-17,5.794184478784465,-0.6319809069564344,0.2613124535338943
17,17,17,01-18,7.702201920603051,1.7714110326456425,0.2028853022057876
18,18,18,01-19,7.472855220414338,1.4825195379837737,0.25666511442987555
19,19,19,01-20,6.043385652158262,-0.3180801645947133,0.08298626549245207
20,20,20,01-21,5.269183166787549,-1.2932871895296485,0.17334007158598755
21,21,21,01-22,5.8889078439384415,-0.5126647165939069,-0.2383188574866328
22,22,22,01-23,6.224567809411021,-0.08985807039522146,-0.8226762659786794
23,23,23,01-24,5.741342177815618,-0.6985425417900796,-1.1859526740511679
24,24,24,01-25,4.689378811210765,-2.023624912968506,-1.3817426654902492
25,25,25,01-26,4.312986931794055,-2.4977386130296444,-1.5553567919112403
26,26,26,01-27,4.336574433828757,-2.4680271381641345,-1.7258102246408544
27,27,27,01-28,5.061929665558941,-1.5543494751198568,-1.6221130302315876
28,28,28,01-29,5.412644999884245,-1.112578666772905,-1.5466231865174953
29,29,29,01-30,6.235284224488102,-0.07635937533447852,-1.1362639152185403
30,30,30,01-31,5.048960457749435,-1.5706858506839532,-0.9191771102160672
31,31,31,02-01,6.267655999661543,-0.03558298523591411,-0.5968388745405369
32,32,32,02-02,5.370626525395561,-1.1655063081492971,-0.4983250811056773
33,33,33,02-03,6.597327115387548,0.3796799389333263,-0.6738712034021922
34,34,34,02-04,5.881896892685082,-0.5214959061637472,-0.3729883015016126
35,35,35,02-05,5.399103347787255,-1.1296361091135685,-0.4002370950813823
36,36,36,02-06,6.482159467811058,0.2346115607195251,-0.018379361396140863
37,37,37,02-07,6.137861505733127,-0.1990757467145325,-0.31660209987562443
38,38,38,02-08,7.189533889174244,1.1256400939621518,-0.4616614103623282
39,39,39,02-09,5.17679929254738,-1.4096564919435752,-0.1694299353822769
40,40,40,02-10,5.190934199635608,-1.3918517690839696,-0.4233279006578033
41,41,41,02-11,6.7910929158373845,0.623752740766739,-0.7108211589326611
42,42,42,02-12,5.27276435033847,-1.2887762309336332,-0.8606027022634426
43,43,43,02-13,4.768441540171026,-1.9240352963636789,-0.7333451076962098
44,44,44,02-14,6.476077729747442,0.22695083397746305,-0.5363253604959533
45,45,45,02-15,5.782966866060238,-0.6461109245401776,-0.8093352903062189
46,46,46,02-16,6.129400642448971,-0.20973328588243084,-0.7730000450864147
47,47,47,02-17,5.490661556429813,-1.014306838094854,-0.7567768128012474
48,48,48,02-18,5.445840444561254,-1.0707647596148089,-0.7314131763346547
49,49,49,02-19,4.845717850337645,-1.826695902652675,-0.5458504593324245
50,50,50,02-20,6.596892632973466,0.379132652777018,-0.27840986987833377
51,51,51,02-21,6.666859904288839,0.4672653774732042,-0.14425621382024645
52,52,52,02-22,7.403303498459551,1.3949102508421134,-0.10028352893458448
53,53,53,02-23,6.129677219480449,-0.2093849017463299,0.4834891260317356
54,54,54,02-24,5.655296043566034,-0.806928650300837,0.5668348840530728
55,55,55,02-25,7.626408896302206,1.6759400271452456,0.41117095726633096
56,56,56,02-26,6.993894447082818,0.8792072009050411,0.28314816613383337
57,57,57,02-27,5.925384119643617,-0.4667181832472471,0.2890563266783733
58,58,58,02-28,6.7934910552883885,0.6267735040471277,0.3199276297291583
59,59,59,02-29,6.157819629003332,-0.17393593847909006,0.009886358846509569
60,60,60,03-01,5.802345678796942,-0.6217008319961276,-0.2619250311123711
61,61,61,03-02,6.149585721238288,-0.1843075981506465,-0.12711228938600608
62,62,62,03-03,5.699172106425309,-0.7516611388482429,-0.28657845593119163
63,63,63,03-04,6.567539213088452,0.3421582671109428,-0.4555481767724814
64,64,64,03-05,6.0339040179817625,-0.33002349522398544,-0.39904848036980695
65,65,65,03-06,5.352964201491722,-1.1877542635268292,-0.6039893009239224
66,66,66,03-07,6.071471336790801,-0.28270265358008073,-0.6945370138988481
67,67,67,03-08,5.173388738013137,-1.4139525214753392,-1.0898636391295715
68,68,68,03-09,5.2678651369056935,-1.2949474166977968,-1.0970756191637976
69,69,69,03-10,4.684475322276572,-2.0298014842733982,-0.8222169557330608
70,70,70,03-11,5.999551109988833,-0.3732953754293403,-0.960376285823583
71,71,71,03-12,6.662201655157193,0.461397717057591,-0.7754900300444122
72,72,72,03-13,5.4133754002462195,-1.1116586341232144,-0.6812946171976101
73,73,73,03-14,6.0540595806662845,-0.3046349868003133,-0.5259529774508863
74,74,74,03-15,5.716547237455862,-0.7297749396169838,-0.32104079236903954
75,75,75,03-16,5.424415953332831,-1.0977516457930565,-0.8275585820519487
76,76,76,03-17,6.9756116935374015,0.8561777350617406,-0.4537061415139537
77,77,77,03-18,4.24949960340678,-2.577709021039864,-0.3331112859765027
78,78,78,03-19,7.194151058496224,1.1314560091047556,-0.2759730676401105
79,79,79,03-20,6.628490452221455,0.4189341464243927,-0.037532310818086057
80,80,80,03-21,5.9887143743690165,-0.3869456295986304,-0.1890232904410088
81,81,81,03-22,6.560183570824728,0.3328928951390903,0.4828137642372241
82,82,82,03-23,6.254012956429436,-0.05276814267579572,0.4166060052181488
83,83,83,03-24,7.449668824074963,1.4533133070295334,0.4494949610972072
84,84,84,03-25,6.878782873447639,0.7342094549903041,0.42034318822855776
85,85,85,03-26,6.785150796528432,0.6162678816987435,0.3980280803271204
86,86,86,03-27,5.8498553971623455,-0.561856266810527,0.34920020594077034
87,87,87,03-28,6.453889759007112,0.199002247730466,0.1137843162285519
88,88,88,03-29,6.021430577065607,-0.3457353889938959,0.0630569346948634
89,89,89,03-30,6.328309591107272,0.04081796875622273,0.02168986694767117
90,90,90,03-31,6.637152549697559,0.429845165788173,0.046714973169074664
91,91,91,04-01,6.588106563805572,0.3680654752155901,-0.15539265248684964
92,92,92,04-02,5.969057775352162,-0.4117056294821061,-0.2525648900731837
93,93,93,04-03,5.491188165841517,-1.0136435062050797,-0.4171348720254877
94,94,94,04-04,5.558568932769767,-0.9287688145119001,-0.4098529726388887
95,95,95,04-05,5.544411490783057,-0.9466019229576008,-0.5678100774076685
96,96,96,04-06,6.6718385053511335,0.4735365621077661,-0.5471150058993838
97,97,97,04-07,5.835707657929492,-0.579677153397089,-0.5274037792986607
98,98,98,04-08,6.0676348490624825,-0.28753520043239744,-0.17571082003676694
99,99,99,04-09,5.585078879713291,-0.8953761466007409,-0.03275558302117931
100,100,100,04-10,7.233792077308368,1.1813889410594618,-0.2231410863621106
101,101,101,04-11,6.225351826307888,-0.0888705008640748,-0.2294360629435372
102,102,102,04-12,5.764973033120119,-0.6687764579378218,-0.1268944144739634
