,unnamed: 0,unnamed: 0,mth_day,jude law,jude law_norm,jude law_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.3603148344209616,-0.6635996149301081,
2,2,2,01-03,0.5664535730913097,0.6765370776738722,
3,3,3,01-04,0.3427332474248303,-0.7778999642953179,
4,4,4,01-05,0.2759965958653507,-1.21176424460126,-0.7041208854449823
5,5,5,01-06,0.3565565436760623,-0.6880327872741379,-0.6723236336083963
6,6,6,01-07,0.2224365183372544,-1.5599657792429418,-0.8082442843291915
7,7,7,01-08,0.3896609992843731,-0.4728161039105924,-0.6099643709548581
8,8,8,01-09,0.4410103478436119,-0.13898682665089865,-0.15385266850613985
9,9,9,01-10,0.5257287797711533,0.4117795159506825,0.13091429652766162
10,10,10,01-11,0.6969489877569808,1.5249059700910497,0.4157055287726936
11,11,11,01-12,0.619372284686734,1.020569002928671,0.4239412470802073
12,12,12,01-13,0.4852746559243726,0.1487816142272503,0.385505563985344
13,13,13,01-14,0.3972618683300063,-0.4234017940655108,0.21544132479950065
14,14,14,01-15,0.4055374743218227,-0.3696009252200774,-0.08378425184546816
15,15,15,01-16,0.36877392008179904,-0.6086059191643779,-0.2809087110567317
16,16,16,01-17,0.420789175308376,-0.27044748977876304,-0.4260586301082565
17,17,17,01-18,0.4374431384713832,-0.16217775233891032,-0.4367795774768802
18,18,18,01-19,0.3513135992806098,-0.7221179000818982,-0.4463967600037276
19,19,19,01-20,0.3873673437783723,-0.4877274782772533,-0.5014059722799621
20,20,20,01-21,0.3966616310443966,-0.4273040203811621,-0.5468219521809526
21,21,21,01-22,0.31800508569444,-0.9386611928217852,-0.5404884139458931
22,22,22,01-23,0.378874080241124,-0.5429433691847061,-0.4392177982646324
23,23,23,01-24,0.44328845674511264,-0.12417652292855386,-0.4490311112004981
24,24,24,01-25,0.444777782879709,-0.11449420599433405,-0.5916857348592975
25,25,25,01-26,0.3783104887786956,-0.5466073558924471,-0.3768968967381425
26,26,26,01-27,0.26500352027640195,-1.283231762333959,-0.4848762658291794
27,27,27,01-28,0.5162369544961182,0.35007183590514546,-0.7004881346239343
28,28,28,01-29,0.2792182866059417,-1.1908195837309277,-0.7629612551868532
29,29,29,01-30,0.2442970004809949,-1.4178477356970838,-0.5783436893209967
30,30,30,01-31,0.3871203945936638,-0.4893329293718469,-0.3197621900823834
31,31,31,02-01,0.5486968338762116,0.5610980393026918,-0.5533055010653841
32,32,32,02-02,0.5036522986765929,0.2682572330977208,-0.18653401773849973
33,33,33,02-03,0.3006962989049841,-1.0511880299928595,0.14633903199705986
34,34,34,02-04,0.6177172384092051,1.0098093162303787,0.6948315853078473
35,35,35,02-05,0.5515105749851478,0.5793905627162736,0.6350548298084501
36,36,36,02-06,0.8933324716163593,2.8016223904928768,0.4491193601378359
37,37,37,02-07,0.4935279617076192,0.20243750630630875,0.6256240635727492
38,38,38,02-08,0.3320496402156673,-0.8473555849259645,0.4962924927899
39,39,39,02-09,0.4635951605043602,0.00784019061662035,0.32614359274767984
40,40,40,02-10,0.4983551747395864,0.2338198915332826,0.12069308538334338
41,41,41,02-11,0.3944775805103889,-0.4415028375370472,0.2308902228067516
42,42,42,02-12,0.7037190895740731,1.5689193463068587,0.39932141475593336
43,43,43,02-13,0.5952305672951393,0.8636203308467579,0.3904989376055827
44,44,44,02-14,0.4874973358996823,0.1632315667691258,0.1729629286921919
45,45,45,02-15,0.4554527628440702,-0.045094672285483625,0.02404276178431646
46,46,46,02-16,0.2975879004446532,-1.071396161947062,-0.11473824336045768
47,47,47,02-17,0.2570369050701021,-1.3350238389843,-0.5558575866894242
48,48,48,02-18,0.5756359999467343,0.7362333154382139,-0.4536740687940606
49,49,49,02-19,0.18811485049357096,-1.783095729127041,-0.3788150480120837
50,50,50,02-20,0.5818040507658521,0.7763326741413077,-0.2763576568857615
51,51,51,02-21,0.5245412858608226,0.40405945240637775,-0.3588227551947958
52,52,52,02-22,0.3921473770598158,-0.45665181518912895,-0.7059962483334078
53,53,53,02-23,0.18092861801147445,-1.8298144288385056,-0.5800542593048833
54,54,54,02-24,0.2552243298372562,-1.3468076433934584,-0.3260440790801041
55,55,55,02-25,0.3043486178723141,-1.0274437949558937,-0.03146042655143901
56,56,56,02-26,0.8162338896767858,2.3003937554899827,-0.1225445616972282
57,57,57,02-27,0.7964169963027328,2.1715613675783683,-0.02418624507380781
58,58,58,02-28,0.3080844504846939,-1.003156626063864,0.0014725402197923732
59,59,59,02-29,0.2717049967423365,-1.2396645290979833,-0.06049517983008624
60,60,60,03-01,0.2789052110433006,-1.1928549316318573,-0.6885058853721405
61,61,61,03-02,0.24715767136727426,-1.3992501152551653,-1.1510387639912334
62,62,62,03-03,0.2366333067226556,-1.4676704777623424,-1.2978943600654194
63,63,63,03-04,0.3695384037607681,-0.6036359041361893,-1.2720336078102974
64,64,64,03-05,0.1725491987070878,-1.8842902025089792,-1.1646776675076818
65,65,65,03-06,0.2955722763132534,-1.084500015567252,-1.1742114696199168
