,unnamed: 0,unnamed: 0,mth_day,morgan freeman,morgan freeman_norm,morgan freeman_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.9378695065820928,-0.5497197500618312,
2,2,2,01-03,2.126216778585857,-0.0353473566221767,
3,3,3,01-04,1.3401605605442206,-2.182050167609105,
4,4,4,01-05,1.7516678546747102,-1.0582325006585271,-1.00803701186174
5,5,5,01-06,1.7688524724312569,-1.0113016751055874,-1.1651490596072085
6,6,6,01-07,1.6955201744139252,-1.211570621113213,-1.5572948231510553
7,7,7,01-08,1.5926920518524317,-1.4923920365346397,-1.4534543039447303
8,8,8,01-09,1.2646668307271371,-2.3882219378852567,-1.4586179273174202
9,9,9,01-10,1.5682996920226313,-1.5590070523711577,-1.3190746330507404
10,10,10,01-11,1.7403232989990367,-1.089214240894664,-1.1113237973892809
11,11,11,01-12,2.075431120159144,-0.1740419095055076,-1.1192252580769777
12,12,12,01-13,2.151951782941868,0.03493439285554559,-0.8565170757201953
13,13,13,01-14,1.5753324277627232,-1.5398008006608208,-0.5724767989634372
14,14,14,01-15,1.841840529522528,-0.8119728437445636,-0.5097851619188792
15,15,15,01-16,2.1923403125767256,0.14523460816939174,-0.3230766146502491
16,16,16,01-17,1.8780577376904228,-0.7130644186273157,-0.15021936183706844
17,17,17,01-18,2.4856325149424885,0.9462093741062728,-0.06706308206835973
18,18,18,01-19,2.5317216822832527,1.0720779097346298,0.08739727957194726
19,19,19,01-20,1.7580279842604167,-1.0408631220485691,0.11130103997168424
20,20,20,01-21,2.181192191299606,0.1147893260972783,-0.08212095816874852
21,21,21,01-22,2.244857221952232,0.28865717056781365,-0.39423561799521706
22,22,22,01-23,1.4531067936673172,-1.8735964074699123,-0.84742448259167
23,23,23,01-24,1.7999120663283104,-0.9264785848525384,-1.0155726439816533
24,24,24,01-25,1.5360591532921164,-1.6470552778440886,-1.4111280545516731
25,25,25,01-26,1.3886040272886575,-2.049752090388468,-1.7850747711640615
26,26,26,01-27,1.31215119931722,-2.2585431373228384,-1.6180001811098081
27,27,27,01-28,1.4232908449809805,-1.95502312910652,-1.4196610758294976
28,28,28,01-29,1.820172098795022,-0.8711488671443925,-1.2278531334114442
29,29,29,01-30,2.235665966277023,0.2635560468293261,-0.8720921207736785
30,30,30,01-31,1.9574639934101588,-0.4962076233357672,-0.3851048614857575
31,31,31,02-01,2.1702161480427327,0.08481398543812403,0.11153385056349778
32,32,32,02-02,2.3820692931804395,0.6633804184046878,0.1101836531660952
33,33,33,02-03,2.514413320980432,1.0248091431890112,-0.1295802820325946
34,34,34,02-04,1.817205695468824,-0.8792500515288081,0.08136020441001175
35,35,35,02-05,1.7089011123052271,-1.1750275643628127,0.08242709573002692
36,36,36,02-06,2.420903311110706,0.7694352953198711,0.1584234750497712
37,37,37,02-07,2.1725601237950736,0.09121533335821504,-0.07184371458886417
38,38,38,02-08,2.5490344442219253,1.1193586943231533,0.21688106970457527
39,39,39,02-09,2.0085129551728134,-0.35679399464280104,0.8120244572704252
40,40,40,02-10,2.4515382472361957,0.8530986542318288,0.6379124289998342
41,41,41,02-11,3.0164397935652336,2.395832761032285,0.4769891949833463
42,42,42,02-12,2.0383766518335853,-0.2752368743036737,0.4901330741797445
43,43,43,02-13,1.8190094373787973,-0.8743240707407123,0.5715130016523112
44,44,44,02-14,2.5779117380475207,1.198221969501542,0.35814582246089777
45,45,45,02-15,2.187305839831624,0.13148557019259924,-0.2158086872673688
46,46,46,02-16,1.982767450260417,-0.4271044209166521,-0.3884135862167009
47,47,47,02-17,1.7554533851926872,-1.0478942973373144,-0.2808702978329629
48,48,48,02-18,1.6591611776025874,-1.310866267999666,-0.4018784130934565
49,49,49,02-19,2.0552836066118023,-0.2290643404382844,-0.3977604267398986
50,50,50,02-20,2.312055148265688,0.472173277938581,-0.3843296808353305
51,51,51,02-21,2.196353115763228,0.15619348831394667,-0.15236227842906902
52,52,52,02-22,2.0122749944175027,-0.3465199454892443,-0.16366363335655745
53,53,53,02-23,2.2650891431872817,0.3439101171002552,0.027506050257166282
54,54,54,02-24,1.6343319364027855,-1.3786743975645963,-0.038229412288872916
55,55,55,02-25,2.4752861828506654,0.917953761244058,0.1113936400816496
56,56,56,02-26,2.1676333806627426,0.0777605026623458,0.36660103034831504
57,57,57,02-27,2.5250771386962785,1.053931802537082,0.16852119448057293
58,58,58,02-28,2.5729693438614203,1.184724396110748,0.24559919153545626
59,59,59,02-29,1.8299048619101093,-0.8445688981061973,-0.03874572075498608
60,60,60,03-01,1.8036734173448952,-0.9162064152352968,-0.2602279994075301
61,61,61,03-02,1.8505762735969056,-0.7881157124985958,-0.2348101394980823
62,62,62,03-03,1.6810335921037776,-1.2511331692529182,-0.4776568771377949
63,63,63,03-04,2.580920546723346,1.2064389619937683,-0.3385784145319717
64,64,64,03-05,2.039431528074815,-0.2723560297275277,-0.13546197794363465
65,65,65,03-06,2.135462267716229,-0.010098122471257851,-0.23797992836037016
66,66,66,03-07,2.2499231836830296,0.30249220429472545,0.02772441556288667
67,67,67,03-08,1.625342844991357,-1.4032234149990093,-0.3653147788521345
68,68,68,03-09,2.2647899014520525,0.3430928942866229,-0.2528148299882078
69,69,69,03-10,1.7174077182420753,-1.151796204496358,-0.03994382951297417
70,70,70,03-11,2.286595552497553,0.40264366345603225,-0.19063109688913027
71,71,71,03-12,2.6031429528336263,1.267127880380144,0.1733373096236531
72,72,72,03-13,1.918861064899272,-0.6016313999622112,0.3224683784409699
73,73,73,03-14,2.424986729498726,0.7805870240776908,0.5626727973017384
74,74,74,03-15,2.592433029360812,1.237879307190524,0.32305185897358063
75,75,75,03-16,2.2451403212280816,0.2894303086682528,0.023982198420445244
76,76,76,03-17,1.760144864730787,-1.0350819665129145,0.29948899162361226
77,77,77,03-18,1.94608255741546,-0.5272900829386683,0.1647708734828414
78,78,78,03-19,2.524153497931948,1.0514093592567908,0.26528378076910303
79,79,79,03-20,2.1290090639212464,-0.027721684766934672,0.37474216005034827
80,80,80,03-21,2.8132613490372127,1.840956750908094,0.5331828430985851
81,81,81,03-22,2.485621973025685,0.9461805843557244,0.7337904440944252
82,82,82,03-23,2.108241350551028,-0.0844378682234935,0.4713917874746869
83,83,83,03-24,2.3868203754556743,0.6763555230363726,0.5328252946157399
84,84,84,03-25,1.9476598316841518,-0.5229825804616388,0.05193461145142738
85,85,85,03-26,2.2639793729100224,0.340879358079383,0.07021509616116726
86,86,86,03-27,1.7567375216170231,-1.0443873480777812,0.17493048127231706
87,87,87,03-28,2.5257844638968834,1.0558634926141637,0.16278814003846095
