,unnamed: 0,unnamed: 0,mth_day,oscar (best directing),oscar (best directing)_norm,oscar (best directing)_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.9920802006907158,-0.93061508699859,
2,2,2,01-03,1.377350811103488,0.5216321808088743,
3,3,3,01-04,1.1054340902523907,-0.5033365145818599,
4,4,4,01-05,0.8369730492222718,-1.5152792966462272,-0.5854666031575614
5,5,5,01-06,1.020047700617164,-0.8251937954236241,-0.6357278681416673
6,6,6,01-07,1.1699876079720022,-0.2600071061039413,-0.974770881635346
7,7,7,01-08,0.9120765181093888,-1.2321826769032262,-0.4912654177427262
8,8,8,01-09,0.8376769759633975,-1.5126259001531983,-0.3764054723559756
9,9,9,01-10,1.875056933446544,2.397696268773859,-0.2525185814804413
10,10,10,01-11,1.0198020849605491,-0.8261196243257236,-0.061725521609580565
11,11,11,01-12,1.217245433239453,-0.08187245017041843,0.1345737082994021
12,12,12,01-13,1.473683653136313,0.8847512531212234,0.16223065159561784
13,13,13,01-14,1.22453704383558,-0.05438729744933018,-0.3937208578597057
14,14,14,01-15,0.8817000882615044,-1.3466842403759036,-0.4411795540686092
15,15,15,01-16,0.9901176445699404,-0.9380127879580826,-0.22481769460988685
16,16,16,01-17,0.9442594087381856,-1.1108718015791448,-0.22907639102340496
17,17,17,01-18,1.5616407749069399,1.2162987065819155,-0.12681204510072228
18,18,18,01-19,1.4669048465108714,0.8591990746401147,-0.04131261963823333
19,19,19,01-20,1.3873169554269924,0.5591987780867661,0.13224831185919847
20,20,20,01-21,1.0177943329596804,-0.83368768760097,0.1629991428469562
21,21,21,01-22,1.2663843417259102,0.1033528010265081,-0.2483134180637877
22,22,22,01-23,0.9932072361005604,-0.9263668156525984,-0.32639965155822465
23,23,23,01-24,0.9069314361105164,-1.251576658882548,-0.6310254005477217
24,24,24,01-25,1.3426105964470132,0.3906816736734932,-0.7402930606674935
25,25,25,01-26,0.9024270161076868,-1.2685557158502163,-0.8442231201482363
26,26,26,01-27,0.8438668522368824,-1.4892936483196004,-0.7678745902817433
27,27,27,01-28,1.1009530201707294,-0.5202275558579497,-0.28561310988005584
28,28,28,01-29,1.114735485557104,-0.4682756364536405,-0.2753336434432294
29,29,29,01-30,1.6745741608103095,1.6419922235275766,-0.21790486219244812
30,30,30,01-31,1.358973001376084,0.4523584722944518,0.11233059461719036
31,31,31,02-01,0.993839637490632,-0.9239830283455286,0.29661519518786994
32,32,32,02-02,1.369521203993699,0.4921190925382306,0.2962475013058257
33,33,33,02-03,1.3942891845777643,0.5854800475661279,0.09232129086380662
34,34,34,02-04,1.1141502065229318,-0.4704817997459059,0.08131180908674167
35,35,35,02-05,1.3499733411656911,0.4184349608754621,-0.05206792176939394
36,36,36,02-06,1.3414485899679005,0.3863015816320621,-0.17353473151821755
37,37,37,02-07,0.7815316175159752,-1.7242614134823422,-0.3794813177580067
38,38,38,02-08,1.1761756506260241,-0.2366817659547112,-0.3422465396608367
39,39,39,02-09,1.0664724191333157,-0.6501994698726066,-0.15443499077102152
40,40,40,02-10,1.173418897209769,-0.2470731311628856,-0.2660476596080461
41,41,41,02-11,1.6489235475968194,1.545304254214353,-0.09980069142871206
42,42,42,02-12,1.163788426967311,-0.2833744313900854,0.023956641847085517
43,43,43,02-13,1.0461562678611929,-0.7267796044063379,0.03233712341255144
44,44,44,02-14,1.3731671591294288,0.5058622337000743,0.13599518761709456
45,45,45,02-15,1.0798121030281445,-0.5999165804798111,-0.3766793999653435
46,46,46,02-16,1.3384172685845754,0.37487525406437305,-0.43211025927331576
47,47,47,02-17,0.8328705695146238,-1.530743271280275,-0.21371974324591608
48,48,48,02-18,1.0755560103202657,-0.615959587237919,-0.2344708724162629
49,49,49,02-19,1.3937807362973424,0.5835634917580604,-0.20467704116639965
50,50,50,02-20,1.3401364196151422,0.3813554586779928,-0.35115783331785644
51,51,51,02-21,1.1272366200781918,-0.4211535929806312,0.0012854689729209225
52,52,52,02-22,1.1052555524349252,-0.5040094988443676,0.12307004015669187
53,53,53,02-23,1.3938743980752977,0.5839165424643888,0.441737859427274
54,54,54,02-24,1.2694073624374576,0.11474783986470675,0.3539161564063151
55,55,55,02-25,1.901022228724352,2.4955704073815532,0.21900784709833648
56,56,56,02-26,1.2003456751031965,-0.1455747594477612,0.2288727357250581
57,57,57,02-27,0.9124954758019368,-1.2306034488285027,0.024096215826869456
58,58,58,02-28,1.1209580505443928,-0.4448201670840384,-0.17001919631586754
59,59,59,02-29,1.0679200930409103,-0.6447425769247426,-0.5575785128011242
60,60,60,03-01,0.9604229422856372,-1.0499446329917153,-0.7499972124579988
61,61,61,03-02,1.2841222651574278,0.17021450847001324,-0.6485089697728531
62,62,62,03-03,0.8940620076521613,-1.3000869573890088,-0.6254073530800605
63,63,63,03-04,1.0740400202157443,-0.6216739927176284,-0.5909210815194683
64,64,64,03-05,1.1577301932588693,-0.3062104669272826,-0.4293350046478223
65,65,65,03-06,1.1228138312749072,-0.4378249475611896,-0.5526114110175797
66,66,66,03-07,1.2176285897696209,-0.08042817176183913,-0.30079515376268035
67,67,67,03-08,1.087896275061644,-0.5694439297485312,-0.4035729200371545
68,68,68,03-09,1.2948921085381921,0.21081058614038736,-0.06488952057173282
69,69,69,03-10,0.9104428685714108,-1.2383405903644729,-0.3304483025018672
70,70,70,03-11,1.696831610522538,1.7258899298652477,-0.5813810138263903
71,71,71,03-12,0.7001089808709079,-2.031177639141996,-0.5049212169305981
72,72,72,03-13,0.8182048786388457,-1.586024439708978,-0.6209772731855198
73,73,73,03-14,1.2096016345072942,-0.11068514837377796,-0.4381578110016234
74,74,74,03-15,1.1101591558519528,-0.48552575138914295,-0.8722532061612593
75,75,75,03-16,1.2014468897967931,-0.1414238172610944,-0.9405224973069428
76,76,76,03-17,1.0058575529585363,-0.8786824410925682,-0.6076221553906835
77,77,77,03-18,0.5914409101289833,-2.4407933860160966,-0.7090641889367207
78,78,78,03-19,1.3481010779148843,0.411377611788578,-0.7150470817076764
79,79,79,03-20,1.0481306437793865,-0.7193373496500021,-0.6795550717122749
80,80,80,03-21,1.1006358489014214,-0.5214231080148766,-0.5686799332922954
81,81,81,03-22,1.2579415184684613,0.07152824271131443,0.16100162411305965
82,82,82,03-23,1.18234374730955,-0.2134316105726912,-0.12329170844561975
83,83,83,03-24,1.752916088331657,1.9372959584160336,0.05368354742516542
84,84,84,03-25,0.8955753894905153,-1.2943823835634984,0.19360855059857807
85,85,85,03-26,1.329832113090053,0.3425141855747089,0.13773935201279666
86,86,86,03-27,1.3233623469833318,0.3181269110255995,0.2568808235231139
87,87,87,03-28,1.1690113725371276,-0.263686948803374,-0.1759433050532385
88,88,88,03-29,1.3719879290068837,0.5014172184892121,0.01111523204632566
89,89,89,03-30,1.0639655772947358,-0.6596488130420807,-0.24929850137330364
90,90,90,03-31,1.1933269846995371,-0.17203116096611365,-0.3742856172415349
91,91,91,04-01,0.9153169257999874,-1.2199682149430668,-0.3980246079900727
92,92,92,04-02,1.1244133243544825,-0.431795784183788,-0.689647655985385
93,93,93,04-03,1.1312246856869723,-0.406120893294601,-0.262592119862812
94,94,94,04-04,0.9077951202386616,-1.248321069482662,-0.0643795084694911
95,95,95,04-05,1.7437338952499843,1.9026844036933583,0.06088258474144866
96,96,96,04-06,1.5088331473586305,1.0172445073938117,0.03320486432599232
97,97,97,04-07,1.114703645332209,-0.4683956556774282,-0.03220309105939223
98,98,98,04-08,1.0803571399470044,-0.5978621066765261,0.3897304945204974
99,99,99,04-09,1.0271111640197268,-0.7985686256069082,-0.06315592757352602
100,100,100,04-10,1.5794105414145772,1.2832804439966763,-0.19011494946381555
101,101,101,04-11,1.0228491031529117,-0.8146341288707829,-0.2777660846721878
102,102,102,04-12,1.3067453309982893,0.2554903760520745,-0.15629381428568742
103,103,103,04-13,0.9751844032016916,-0.9943024669276618,0.07617639563162593
104,104,104,04-14,1.2737113853188204,0.130971515642476,-0.029216616500252382
105,105,105,04-15,1.397147073178013,0.5962526338969719,0.08847998764766189
106,106,106,04-16,1.411650555836118,0.6509223712054065,-0.039787675533929916
107,107,107,04-17,1.2101934081983077,-0.1084545039832972,-0.1210815764129898
108,108,108,04-18,1.1025744766858536,-0.5141156030374764,-0.3545422845326713
109,109,109,04-19,0.8457843285361842,-1.4820658722020208,-0.5849139793168837
110,110,110,04-20,0.9020988444580756,-1.2697927330756131,-0.7687105044694537
111,111,111,04-21,1.0304514885948008,-0.7859775348083027,-0.6103846650628008
112,112,112,04-22,1.1190912885254565,-0.4518567797100127,-0.1950390615808036
113,113,113,04-23,1.4622095523267442,0.8415005324566197,0.027055322119001118
114,114,114,04-24,1.7637034361943609,1.9779580178545069,0.3164933813748687
115,115,115,04-25,1.1993044514824225,-0.1494995700031927,0.569780094843286
116,116,116,04-26,1.3628136837480205,0.4668356224595926,0.8108986048068597
117,117,117,04-27,1.4336221973464165,0.733742746002201,0.6727407636349211
