,unnamed: 0,unnamed: 0,mth_day,star trek,star trek_norm,star trek_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.0,0.0,
2,2,2,01-03,0.0,0.0,
3,3,3,01-04,0.0,0.0,
4,4,4,01-05,0.0,0.0,0.0
5,5,5,01-06,0.0,0.0,0.0
6,6,6,01-07,0.0,0.0,0.0
7,7,7,01-08,0.0,0.0,0.0
8,8,8,01-09,0.0,0.0,0.0
9,9,9,01-10,0.0,0.0,0.0
10,10,10,01-11,0.0,0.0,0.0
11,11,11,01-12,0.0,0.0,0.0
12,12,12,01-13,0.0,0.0,0.0
13,13,13,01-14,0.0,0.0,0.0
14,14,14,01-15,0.0,0.0,0.0
15,15,15,01-16,0.0,0.0,0.0
16,16,16,01-17,0.0,0.0,0.0
17,17,17,01-18,0.0,0.0,0.0
18,18,18,01-19,0.0,0.0,0.0
19,19,19,01-20,0.0,0.0,0.0
20,20,20,01-21,0.0,0.0,0.0
21,21,21,01-22,0.0,0.0,0.0
22,22,22,01-23,0.0,0.0,0.0
23,23,23,01-24,0.0,0.0,0.0
24,24,24,01-25,0.0,0.0,0.0
25,25,25,01-26,0.0,0.0,0.0
26,26,26,01-27,0.0,0.0,0.0
27,27,27,01-28,0.0,0.0,0.0
28,28,28,01-29,0.0,0.0,0.0
29,29,29,01-30,0.0,0.0,0.0
30,30,30,01-31,0.0,0.0,0.0
31,31,31,02-01,0.0,0.0,0.0
32,32,32,02-02,0.0,0.0,0.0
33,33,33,02-03,0.0,0.0,0.0
34,34,34,02-04,0.0,0.0,0.0
35,35,35,02-05,0.0,0.0,0.0
36,36,36,02-06,0.0,0.0,0.0
37,37,37,02-07,0.0,0.0,0.0
38,38,38,02-08,0.0,0.0,0.0
39,39,39,02-09,0.0,0.0,0.0
40,40,40,02-10,0.0,0.0,0.0
41,41,41,02-11,0.0,0.0,0.0
42,42,42,02-12,0.0,0.0,0.0
43,43,43,02-13,0.0,0.0,0.0
44,44,44,02-14,0.0,0.0,0.0
45,45,45,02-15,0.0,0.0,0.0
46,46,46,02-16,0.0,0.0,0.0
47,47,47,02-17,0.0,0.0,0.0
48,48,48,02-18,0.0,0.0,0.0
49,49,49,02-19,0.0,0.0,0.0
50,50,50,02-20,0.0,0.0,0.0
51,51,51,02-21,0.0,0.0,0.0
52,52,52,02-22,0.0,0.0,0.0
53,53,53,02-23,0.0,0.0,0.0
54,54,54,02-24,0.0,0.0,0.0
55,55,55,02-25,0.0,0.0,0.0
56,56,56,02-26,0.0,0.0,0.0
57,57,57,02-27,0.0,0.0,0.0
58,58,58,02-28,0.0,0.0,0.0
59,59,59,02-29,0.0,0.0,0.0
60,60,60,03-01,0.0,0.0,0.0
61,61,61,03-02,0.0,0.0,0.0
62,62,62,03-03,0.0,0.0,0.0
