,unnamed: 0,unnamed: 0,mth_day,absurd,absurd_norm,absurd_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.8838974253278526,-0.8288893270352702,
2,2,2,01-03,3.1582555556672536,-0.3098551901563356,
3,3,3,01-04,2.5860000957484717,-1.3924552149697684,
4,4,4,01-05,1.8639843058615733,-2.758373702070238,-1.4781304023504076
5,5,5,01-06,2.3539748442319426,-1.8314034830820336,-1.5203344027530232
6,6,6,01-07,2.3981642059519035,-1.7478054967887993,-1.7511556118550975
7,7,7,01-08,2.7500448346724617,-1.0821133294509635,-1.6227100559883938
8,8,8,01-09,2.4261918526584894,-1.694782444768782,-1.2741300179875592
9,9,9,01-10,2.993373099419101,-0.6217818797695446,-0.9559980673806218
10,10,10,01-11,2.9695273987451185,-0.6668934740652304,-0.8231445114673211
11,11,11,01-12,3.36294994973763,0.07738822055958916,-0.7557472232732598
12,12,12,01-13,2.81951745368038,-0.950684161308995,-0.4164852293559192
13,13,13,01-14,2.9637994916211423,-0.6777296002865961,0.03948130228653751
14,14,14,01-15,3.5021821939422244,0.34078951873526203,0.25250983395085136
15,15,15,01-16,4.4394990810858355,2.1140173100851958,0.3815370104437343
16,16,16,01-17,3.645160527708292,0.6112777159206526,0.5135822585466908
17,17,17,01-18,3.772167599101795,0.8515512795168867,0.4564538192435971
18,18,18,01-19,3.238307103327408,-0.15841267269125556,0.3875233944087188
19,19,19,01-20,2.782613122370127,-1.0205002361051592,-0.07726597096824084
20,20,20,01-21,3.2835650995647616,-0.0727930302740082,-0.4859979315576828
21,21,21,01-22,2.9653909379884564,-0.6747188821765618,-0.7860955869573162
22,22,22,01-23,2.348841901828387,-1.841114047615999,-0.9344673085143734
23,23,23,01-24,2.8203893733021386,-0.949034652880914,-1.0335965954213708
24,24,24,01-25,2.7677370360126177,-1.0486430020335993,-1.0562434987206013
25,25,25,01-26,2.468218474096436,-1.6152759575471431,-1.0776463246097268
26,26,26,01-27,3.2117390487637514,-0.20867445006939128,-0.7155841053020077
27,27,27,01-28,2.8975105554352387,-0.8031358375113148,-0.8719064824218191
28,28,28,01-29,3.49714456438297,0.3312592682303153,-0.8808693088149137
29,29,29,01-30,2.3246033114292253,-1.8869689155997835,-0.7965452390736031
