,unnamed: 0,unnamed: 0,mth_day,action,action_norm,action_ravg
0,0,0,01-01,,,
1,1,1,01-02,18.100456887546827,-1.290929585015932,
2,2,2,01-03,19.8388868710074,-0.4922463490597696,
3,3,3,01-04,18.462805050445198,-1.1244567296005226,
4,4,4,01-05,17.146155728796383,-1.7293621619957045,-1.4661859655599756
5,5,5,01-06,18.040121956381814,-1.318649135715431,-1.6276459041965567
6,6,6,01-07,14.72551546974603,-2.841471831972495,-1.9490059180172343
7,7,7,01-08,15.991835202624348,-2.2596892168354183,-1.8432668849636
8,8,8,01-09,15.642014882008992,-2.420406431983836,-1.6752548577959965
9,9,9,01-10,19.843727277484337,-0.490022531278712,-1.5509040385626147
10,10,10,01-11,19.34034585920887,-0.7212899989900858,-1.18951462714527
11,11,11,01-12,19.664108910591995,-0.5725442203151404,-0.8921081336956341
12,12,12,01-13,19.445160206705786,-0.6731353634684267,-0.62577118284229
13,13,13,01-14,19.875880908452306,-0.4752502561376021,-0.565748468925652
14,14,14,01-15,19.1203010426991,-0.8223847268637716,-0.5634539916292732
15,15,15,01-16,20.62760715023344,-0.12988624777888355,-0.4004372126478883
16,16,16,01-17,19.370311091597546,-0.7075231352118133,-0.21818718303342235
17,17,17,01-18,21.793062495419406,0.40555645357316855,-0.13694035777678226
18,18,18,01-19,21.825294670820828,0.4203648142183691,-0.296759181557989
19,19,19,01-20,20.93694174505319,0.012230695402238534,-0.3682294810727616
20,20,20,01-21,17.033111859242386,-1.7812976695510123,-0.6998243653219952
21,21,21,01-22,19.69422500815321,-0.558708044867519,-1.1133442979132808
22,22,22,01-23,15.039774554536846,-2.6970924407072148,-0.9996889363809878
23,23,23,01-24,16.392607717765276,-2.0755631419745457,-1.390474493027589
24,24,24,01-25,23.30960193588255,1.1022969834121277,-1.579076082440371
25,25,25,01-26,15.83339156500356,-2.3324826444773694,-1.8003059561148371
26,26,26,01-27,14.570027798856547,-2.9129072060277053,-1.3535995871761497
27,27,27,01-28,16.805024672008965,-1.886087286914316,-1.0236496184394068
28,28,28,01-29,20.87363491823507,-0.01685422707508916,-1.4053587657143904
29,29,29,01-30,20.701662117840225,-0.0958633295540876,-1.1347301383888222
30,30,30,01-31,18.32458712617829,-1.1879579002377751,-0.8606304281236553
31,31,31,02-01,19.367725821279613,-0.7087108805239587,-0.4712931799071482
32,32,32,02-02,18.14969342846525,-1.268308944436705,-0.6493755114635159
33,33,33,02-03,21.889660348634767,0.44993620238472737,-0.8170545034725141
34,34,34,02-04,18.547929426258406,-1.0853482164132957,-0.7790542398951626
35,35,35,02-05,18.51182133354545,-1.1019372816080768,-0.8345911893548555
36,36,36,02-06,18.820859950809584,-0.9599563187736662,-0.748944087777895
37,37,37,02-07,18.64242877896661,-1.0419325772821162,-0.935902802300308
38,38,38,02-08,19.26822064432423,-0.7544263349749419,-0.861558132802644
39,39,39,02-09,19.448031775279954,-0.6718160847497499,-0.5521403910295679
40,40,40,02-10,19.51885003718481,-0.6392801994273124,-0.4989132084797899
41,41,41,02-11,22.552730586403488,0.75456916903038,-0.4326610232544161
42,42,42,02-12,19.515992082653227,-0.6405932234749983,0.17089169449666486
43,43,43,02-13,19.50766380642544,-0.6444194659298735,0.17308859947183372
44,44,44,02-14,27.15045049892845,2.8668899715315437,0.009581278869956505
45,45,45,02-15,19.476722740416406,-0.6586346548987365,-0.4392485769955283
46,46,46,02-16,17.383490115856453,-1.6203241230385756,-0.4743722644006541
47,47,47,02-17,16.691138076766748,-1.9384099661625285,-0.4362162752543071
48,48,48,02-18,19.05728653908437,-0.8513353479057528,-0.8803665009340929
49,49,49,02-19,20.005970363476397,-0.4154835310517919,-0.8440972948255355
50,50,50,02-20,21.34997265197713,0.20198861745282887,-0.4715258979741031
51,51,51,02-21,19.95038843818163,-0.4410194182473921,-0.1388651844852555
52,52,52,02-22,22.249168458216467,0.6151042580700179,-0.07911582549669031
