,unnamed: 0,unnamed: 0,mth_day,assassination,assassination_norm,assassination_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.0155160612859144,-0.7746813445906067,
2,2,2,01-03,1.8142671867773488,-1.2777434727370591,
3,3,3,01-04,1.9517881786680984,-0.9339820330057438,
4,4,4,01-05,1.9405145201214968,-0.9621628150066311,-1.018173373355544
5,5,5,01-06,1.7553091780023835,-1.4251209000048528,-1.0407722955854486
6,6,6,01-07,2.0312506074530194,-0.735349674788371,-1.03498446555754
7,7,7,01-08,1.9612721727948588,-0.910274877970034,-0.8717024215722929
8,8,8,01-09,1.8281596371979991,-1.2430164925696072,-0.7665145193045505
9,9,9,01-10,2.3437118684981857,0.04571023090573845,-0.4918685759589927
10,10,10,01-11,2.19299562444908,-0.3310354014001775,-0.5874144460289248
11,11,11,01-12,2.414538134755165,0.2227547600684948,-0.5160297308290477
12,12,12,01-13,1.8019131430762425,-1.3086248952079638,-0.4582100389859724
13,13,13,01-14,2.1326159427266806,-0.4819665867707712,-0.4599843032999627
14,14,14,01-15,1.966943464365328,-0.8960983415111553,-0.5070078178229102
15,15,15,01-16,2.3394531257748543,0.0350646450217968,-0.7179090933054181
16,16,16,01-17,2.0801257162166875,-0.6131764885378622,-0.4565185908598541
17,17,17,01-18,1.9083146452669733,-1.0426528928265524,-0.408418733938613
18,18,18,01-19,2.429325243663752,0.2597181194654199,-0.1916178778227504
19,19,19,01-20,2.248069381113178,-0.1933674452433248,-0.3800930691301842
20,20,20,01-21,2.4873276377464983,0.4047067951840204,-0.4201496688738615
21,21,21,01-22,1.8870586639238296,-1.0957865028228058,-0.41641354880320697
22,22,22,01-23,1.9839783996445883,-0.8535160869999264,-0.7207291789402682
23,23,23,01-24,1.9172824039255525,-1.0202361724026252,-0.8813150654157145
24,24,24,01-25,1.6988805375265514,-1.5661756613569469,-0.9761319837672784
25,25,25,01-26,1.8626172418211249,-1.1568827640960029,-0.8160044008635047
26,26,26,01-27,2.2597398663561505,-0.16419471492536386,-0.6620941585971509
27,27,27,01-28,2.27141074332878,-0.13502100540016276,-0.5959166179371823
28,28,28,01-29,2.353407080100856,0.06994536659819628,-0.22567846871726505
29,29,29,01-30,2.0761274629798043,-0.6231709284428134,0.2275335946223672
30,30,30,01-31,2.5875581778630674,0.655253233962557,0.21116923288664244
31,31,31,02-01,2.9504560500836234,1.5623896159417905,0.13269218955565398
32,32,32,02-02,2.220460709403908,-0.2623808853397123,0.29883476878303
33,33,33,02-03,2.0830433537582795,-0.6058832653860935,0.5127036359785223
