,unnamed: 0,unnamed: 0,mth_day,bad ending,bad ending_norm,bad ending_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.9025386814297165,-0.2967515175219603,
2,2,2,01-03,3.042696637640053,0.02260915268414557,
3,3,3,01-04,1.9845906627601184,-2.3883665951330086,
4,4,4,01-05,2.3892173502820957,-1.4663936040573538,-1.2394361966640677
5,5,5,01-06,2.3489184267822347,-1.5582177970285032,-1.5012603791190515
6,6,6,01-07,2.2649717192618457,-1.7494968189277251,-1.9558022312443368
7,7,7,01-08,2.213097324565392,-1.8676966122518648,-1.7708407523086274
8,8,8,01-09,1.8457867558159797,-2.7046419600675646,-1.7622099329553995
9,9,9,01-10,2.4716354109166123,-1.2785977215187516,-1.6408784989805427
10,10,10,01-11,2.4119442189385567,-1.4146086879379884,-1.4878686810862327
11,11,11,01-12,2.6684111019261816,-0.8302291931793604,-1.4385894057528228
12,12,12,01-13,2.6678806311640293,-0.8314379115618659,-1.2821024620190944
13,13,13,01-14,2.342860626536164,-1.5720209602514061,-0.9960576673842376
14,14,14,01-15,2.2578517140934005,-1.7657202976651958,-0.8754106419126956
15,15,15,01-16,3.224855031380584,0.4376710462903892,-0.6035240254953828
16,16,16,01-17,2.7296346941376757,-0.6907265351087367,-0.35347163257627284
17,17,17,01-18,3.384349087403252,0.8010905053245163,-0.27006984060094896
18,18,18,01-19,3.32632424567226,0.6688764459527933,0.02425483541971936
19,19,19,01-20,2.5624761108097363,-1.0716102083994632,0.017430873704674055
20,20,20,01-21,3.0328741054236232,0.00022775845881456002,-0.20620572721139588
21,21,21,01-22,3.2068860211085086,0.39672727600011737,-0.3950392249485864
22,22,22,01-23,2.140749740370619,-2.0325461406051564,-0.8949070638050736
23,23,23,01-24,2.8871084517956205,-0.3319104810986271,-0.99366447481778
24,24,24,01-25,2.0100609508052667,-2.33033058718613,-1.2464498209393644
25,25,25,01-26,2.3024258633093377,-1.6641546744757008,-1.6691847286291293
26,26,26,01-27,2.36723401675287,-1.516484318270692,-1.2591933148096812
27,27,27,01-28,2.0937309045002257,-2.1396821701384705,-1.0166307552013178
28,28,28,01-29,3.2203484007999403,0.4274023423115309,-0.7469072104654217
29,29,29,01-30,3.5258296678911814,1.1234648765515536,-0.4921537490829826
30,30,30,01-31,2.7203030870256053,-0.7119893187707538,-0.18626264193807407
31,31,31,02-01,2.9732484375823987,-0.13563390618106688,0.2837342304053651
32,32,32,02-02,3.172713396026692,0.3188623245987592,0.09363983830324228
33,33,33,02-03,3.3313372949877107,0.680299063922165,-0.34027219506169226
34,34,34,02-04,2.71978754964281,-0.7131640103012059,-0.03403398962506491
35,35,35,02-05,2.3832426912496603,-1.4800073236380535,0.0011105769813092537
36,36,36,02-06,3.52669645336878,1.1254399138490103,0.039893871011008136
37,37,37,02-07,3.0657919049593025,0.07523349345717813,-0.17096216786664478
38,38,38,02-08,3.27483844272325,0.5515620887769526,0.010723406991181015
39,39,39,02-09,2.7761064061379384,-0.5848371693437525,0.504448898263548
40,40,40,02-10,3.198206113115994,0.3769494388457489,0.2490502316082704
41,41,41,02-11,3.6833318175848495,1.4823456239961486,0.16694716925896375
42,42,42,02-12,2.854174909983733,-0.4069520860826553,0.28438205412515005
43,43,43,02-13,2.84959626490014,-0.41738488063866186,0.3071212689982805
44,44,44,02-14,3.584070636656557,1.25617139797407,0.12009796573219945
45,45,45,02-15,2.8359838208563284,-0.4484018801049697,-0.2721045178340727
46,46,46,02-16,2.7057321225166566,-0.7451903807507375,-0.4057152569635867
47,47,47,02-17,2.650575370490896,-0.8708692774014845,-0.3801581250310144
48,48,48,02-18,2.5023480908818145,-1.2086165208597397,-0.4345076020964705
49,49,49,02-19,2.91689388253018,-0.264042089043228,-0.3888028629560992
50,50,50,02-20,3.440956364851977,0.9300745355813336,-0.2878065848875177
51,51,51,02-21,2.956334573306344,-0.1741734452627421,-0.1995951834171636
52,52,52,02-22,2.9716778053674804,-0.13921271233924876,-0.2415149108889798
53,53,53,02-23,2.8828556272279946,-0.3416008685793597,-0.12886814386671155
54,54,54,02-24,2.3919641167333583,-1.4601348856906369,-0.2908100350371557
55,55,55,02-25,3.2135178963015765,0.41183851309038144,-0.1880555681956445
56,56,56,02-26,3.0145273156524373,-0.041576811441331366,0.0205003715133829
57,57,57,02-27,3.2269099585852112,0.44235335578632495,0.030321692395289018
58,58,58,02-28,3.5208520210831264,1.1121229259149157,0.13161759404420167
59,59,59,02-29,2.9087173514260085,-0.28267294328792303,-0.0700680623388825
60,60,60,03-01,2.6586987751701465,-0.8523594757971608,-0.1978115862960909
61,61,61,03-02,2.6824346659711145,-0.7982754252081236,-0.12677873633172215
62,62,62,03-03,2.678150180195018,-0.8080379551845818,-0.3912566414580328
63,63,63,03-04,3.4139552651041933,0.8685504555725376,-0.4002914126085357
64,64,64,03-05,2.8244228216822345,-0.4747445048429477,-0.20825548303009667
65,65,65,03-06,2.8849267877639515,-0.336881570190941,-0.2576176225520754
66,66,66,03-07,3.1643721267064366,0.29985610167347404,0.01994707474716471
67,67,67,03-08,2.5524531641455126,-1.094448262339996,-0.3177905377334749
68,68,68,03-09,3.409039816626997,0.8573502286108586,-0.14577532242714888
69,69,69,03-10,2.5246169479577087,-1.1578752193113,0.13841291300791408
70,70,70,03-11,3.2773771757457384,0.5573467869950083,0.015382873961250404
71,71,71,03-12,3.6332576745677883,1.3682478424194369,0.2593050342281966
72,72,72,03-13,2.8404066462833817,-0.4383241326065081,0.2628943495634866
73,73,73,03-14,3.1947545114346783,0.3690846992616813,0.6192142254426488
74,74,74,03-15,3.4184912829192746,0.8788861206225989,0.4510270549234772
75,75,75,03-16,3.4628865012144803,0.9800440359636732,0.15219239593989708
