,unnamed: 0,unnamed: 0,mth_day,bollywood,bollywood_norm,bollywood_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.060386740467223365,0.025404929097720668,
2,2,2,01-03,0.047837754272744185,-0.20578817878342973,
3,3,3,01-04,0.04570913437115757,-0.2450042750416267,
4,4,4,01-05,0.023897043424278785,-0.6468538760567074,-0.2272251662972067
5,5,5,01-06,0.06153215054866167,0.0465071051956293,-0.1274553129266758
6,6,6,01-07,0.040682202208542434,-0.3376167021948261,-0.2743431293735025
7,7,7,01-08,0.09287933137652396,0.6240240493209058,-0.27260964516840785
8,8,8,01-09,0.0,-1.0871150774643896,-0.3349540974399277
9,9,9,01-10,0.04627368760263011,-0.2346033698110587,-0.5238911278832642
10,10,10,01-11,0.0035929864903707955,-1.0209205896858262,-0.2274737838239922
11,11,11,01-12,0.0,-1.0871150774643896,-0.4627982947096618
12,12,12,01-13,0.13721805120062036,1.4408873621608056,-0.4129518395188345
13,13,13,01-14,0.016239917717750227,-0.7879230159931115,-0.5175137019139268
14,14,14,01-15,0.01623376623376624,-0.7880363463194263,-0.2337074722629145
15,15,15,01-16,0.012220457045093485,-0.8619745441816116,-0.1798194125971554
16,16,16,01-17,0.09602170524686396,0.6819167882202473,-0.3822957092654963
17,17,17,01-18,0.01755001755001755,-0.7637867194698347,-0.1966576274891552
18,18,18,01-19,0.07127649416493742,0.22602958215076005,-0.16736522050912636
19,19,19,01-20,0.07669768170728397,0.32590547466493536,-0.1815187037155287
20,20,20,01-21,0.02577358376979108,-0.6122819044392535,0.04614810653669451
21,21,21,01-22,0.0076110151723130575,-0.9468954434200256,0.07694128348855682
22,22,22,01-23,0.1701671938813682,2.0479176497335865,0.1437962262628548
23,23,23,01-24,0.02757859900717042,-0.5790276577586607,-0.07254386114186766
24,24,24,01-25,0.09304950707859172,0.6271592387965477,0.040707518477856725
25,25,25,01-26,0.006241028521500325,-0.9721350497633992,0.017337579470462754
26,26,26,01-27,0.06265677667407696,0.0672263732790928,-0.4659046450518567
27,27,27,01-28,0.0,-1.0871150774643896,-0.5348805896652076
28,28,28,01-29,0.012787069715104066,-0.8515356974003302,-0.6151524652306976
29,29,29,01-30,0.005114827886041626,-0.992883325438766,-0.4196669205567967
30,30,30,01-31,0.06690692867281703,0.14552798540360767,-0.2287947389408963
31,31,31,02-01,0.06990586932447394,0.2007782182800062,-0.07408805336135743
32,32,32,02-02,0.12481915843260373,1.2124594629744951,0.2673108017682117
33,33,33,02-03,0.05038416791894903,-0.15887496398715653,0.40626039899155614
34,34,34,02-04,0.1239722921232308,1.1968574333770845,0.4708637502004808
35,35,35,02-05,0.05036729911923856,-0.15918574209869873,0.31542813874247594
36,36,36,02-06,0.08794665351239947,0.5331480926571553,-0.010992755706655257
37,37,37,02-07,0.01928430814922496,-0.7318354504680231,-0.09435672145377688
38,38,38,02-08,0.01851188996150068,-0.7460659037202919,-0.2100521382045303
39,39,39,02-09,0.023234571682314242,-0.6590587584698863,-0.27409151060661513
40,40,40,02-10,0.08629313635057488,0.5026849328725638,-0.3713536730279981
41,41,41,02-11,0.02951124832580413,-0.5434219765112076,-0.3776858344075277
42,42,42,02-12,0.05627075595670148,-0.050424881871142566,-0.2093180952271669
43,43,43,02-13,0.01722207870489965,-0.7698284187452007,-0.2806608150595841
44,44,44,02-14,0.07334512752469402,0.2641405313618728,-0.39155372739714017
45,45,45,02-15,0.0,-1.0871150774643896,-0.27874587996086003
46,46,46,02-16,0.050178038316468485,-0.16267254115277244,-0.15528650879584602
47,47,47,02-17,0.06624999369102991,0.13342510810647354,0.0603640616224902
48,48,48,02-18,0.09647844100046027,0.6903313451189416,-0.11143318977937064
49,49,49,02-19,0.08745417314265691,0.5240750037648164,-0.054979032034289665
50,50,50,02-20,0.017394982059292997,-0.7666429770492922,-0.20905278808622585
51,51,51,02-21,0.01838573267144694,-0.7483901309939038,-0.3875103694408492
52,52,52,02-22,0.0,-1.0871150774643896,-0.6213369826034364
53,53,53,02-23,0.008130742336775338,-0.9373203800212664,-0.8898686628083041
54,54,54,02-24,0.02032685584193835,-0.7126283338565816,-0.8777324419949487
55,55,55,02-25,0.0,-1.0871150774643896,-0.9079673047203478
56,56,56,02-26,0.021347451114336925,-0.6938256521691604,-0.8169613284383397
57,57,57,02-27,0.008538980445734772,-0.9297993073462979,-0.8419271113455268
58,58,58,02-28,0.029638411381149945,-0.5410792197723409,-0.8012755898354685
59,59,59,02-29,0.0,-1.0871150774643896,-0.6126475818016853
60,60,60,03-01,0.0335660580021482,-0.4687192047962329,-0.6128939830518502
61,61,61,03-02,0.061431509539416874,0.04465297073831061,-0.4617182867112042
62,62,62,03-03,0.02126720427873802,-0.6953040596701503,-0.4332629337185032
63,63,63,03-04,0.05777319189017247,-0.02274512930242184,-0.2515202498912196
64,64,64,03-05,0.03890562099142962,-0.37034710181613467,-0.12673326166135784
65,65,65,03-06,0.059189128547948125,0.003341025499311929,-0.05671906469946227
66,66,66,03-07,0.07420611531784065,0.28000272458293746,0.08383915572355549
67,67,67,03-08,0.08423341395113591,0.464738152509684,0.05212787430417266
68,68,68,03-09,0.06704356458051036,0.14804526286795622,0.1661345505238558
69,69,69,03-10,0.047445606356463985,-0.21301281781871886,0.021037548039870384
70,70,70,03-11,0.07603479544834445,0.3136929555019642,-0.060370114899862125
71,71,71,03-12,0.011934598400763805,-0.8672409894046006,-0.09118415107393736
72,72,72,03-13,0.04769363885905235,-0.20844325305545755,-0.297044207795995
73,73,73,03-14,0.07419803915760785,0.2798539354652327,-0.4427279177369401
74,74,74,03-15,0.0,-1.0871150774643896,-0.32636748820535755
75,75,75,03-16,0.0,-1.0871150774643896,-0.3457977533132052
76,76,76,03-17,0.11393052955109664,1.0118555326914596,-0.4922430573813606
77,77,77,03-18,0.005606638259699481,-0.9838225800516864,-0.6273803522569606
78,78,78,03-19,0.0,-1.0871150774643896,-0.5717142601656816
79,79,79,03-20,0.03018714116946509,-0.5309698337883674,-0.5717142601656816
80,80,80,03-21,0.0181290790427846,-0.7531185249167154,-0.9127415554308363
81,81,81,03-22,0.0,-1.0871150774643896,-0.7357108377462659
82,82,82,03-23,0.0028663150653519807,-1.0343082388994684,-0.6572833598528005
83,83,83,03-24,0.06326119516018762,0.07836172605573567,-0.5973506195694143
84,84,84,03-25,0.02554190338214213,-0.6165502101035973,-0.5886357714925016
85,85,85,03-26,0.04970576274014312,-0.17137339208805047,-0.5102934842197202
86,86,86,03-27,0.02096729102599943,-0.7008294364552395,-0.28555630815026417
87,87,87,03-28,0.02551415888925498,-0.6170613538277007,-0.10827513283342168
88,88,88,03-29,0.07605769379792994,0.3141148175172677,0.0931726524921946
89,89,89,03-30,0.12099731996030284,1.1420487779567907,0.0419255987125523
90,90,90,03-31,0.09114849953359268,0.5921365018501002,0.2745808650475045
91,91,91,04-01,0.033015855944502966,-0.4788557147659042,0.6254532865822605
92,92,92,04-02,0.09673739729087298,0.6951021615544736,0.9051639134515492
93,93,93,04-03,0.1397846892061007,1.4881731753808356,0.844272670485202
94,94,94,04-04,0.16715257531584055,1.992378578733001,1.0958919093679491
95,95,95,04-05,0.10116653760647462,0.7767013201587071,1.7284555491566034
96,96,96,04-06,0.17309470590480064,2.1018519351465823,1.8918887265453381
97,97,97,04-07,0.2390262977501825,3.316526123966023,1.65016269545547
98,98,98,04-08,0.14996356927067306,1.6757012258868818,1.2397501436689315
99,99,99,04-09,0.061060457637249876,0.037816988841626174,1.048416354776876
100,100,100,04-10,0.03349128687316333,-0.4700967319862298,0.8363518854125082
101,101,101,04-11,0.03885382169511355,-0.3713014131936256,0.5816746696999776
102,102,102,04-12,0.1040305165061864,0.8294651189603747,0.14366554211528185
103,103,103,04-13,0.1560841834289923,1.7884628296908396,0.15567678806729487
104,104,104,04-14,0.007314753858532684,-0.9523535396212928,0.30307017221170857
105,105,105,04-15,0.06497222544931952,0.10988446455370422,0.3310126067081262
106,106,106,04-16,0.08149369212834053,0.4142635728802525,0.1386546097759128
107,107,107,04-17,0.0479539863483594,-0.20364680621511985,-0.22024538150079886
108,108,108,04-18,0.04138424119055041,-0.3246828626329059,-0.1473431391058953
109,109,109,04-19,0.03919927080316859,-0.3649371179694304,-0.05935379476823504
110,110,110,04-20,0.03105722373779525,-0.5149400852518712,-0.2472211386435937
111,111,111,04-21,0.09362819389424906,0.6378205305796658,-0.28036447269050485
112,112,112,04-22,0.020309912223518457,-0.7129404903719001,-0.3284037127027677
113,113,113,04-23,0.03716001644487487,-0.40250681049658615,-0.35041495579962256
114,114,114,04-24,0.02573904055549351,-0.6129183027064834,-0.10254955194312687
115,115,115,04-25,0.032030749519538805,-0.4970045765505597,-0.2743706752959653
116,116,116,04-26,0.11178089823461022,0.9722523378871027,0.04804654762658439
117,117,117,04-27,0.03767027392070638,-0.39310620953736464,0.2966117962633559
118,118,118,04-28,0.12531328320802007,1.221562847163398,0.3176434372261193
119,119,119,04-29,0.1181116131985369,1.0888846813240427,0.43359941400550667
120,120,120,04-30,0.03258852948293948,-0.4867284569299032,0.1281301622029952
121,121,121,05-01,0.0697947632942034,0.1987312841257646,0.10823686595008064
122,122,122,05-02,0.012297065204132474,-0.8605631729279662,-0.2765427881545505
123,123,123,05-03,0.03119151590767317,-0.512465987054852,-0.434059456564481
124,124,124,05-04,7.137148015447437e-17,-1.0871150774643883,-0.14653579521456267
125,125,125,05-05,0.06681230288450997,0.14378467086445915,0.010197983652323786
126,126,126,05-06,0.12622792444416986,1.2384135111696069,0.20867487431840184
127,127,127,05-07,0.12083910571171726,1.1391339573270831,0.3089682482767201
128,128,128,05-08,0.0769361139297239,0.330298171068502,0.4637620036518342
129,129,129,05-09,0.06385460461482458,0.08929425669505775,0.3822596290260514
130,130,130,05-10,0.05041252441294608,-0.1583525452137041,0.040183122642638604
131,131,131,05-11,0.04026898115568072,-0.3452295768902376,-0.3308583831559401
132,132,132,05-12,0.014822007665685128,-0.8140455271308696,-0.5670939245780886
133,133,133,05-13,4.411153981769595e-17,-1.087115077464389,-0.5814818260855744
134,134,134,05-14,4.411153981769595e-17,-1.087115077464389,-0.6782532526671329
135,135,135,05-15,0.059168818458661614,0.002966847650143429,-0.7903816972915552
136,136,136,05-16,0.018896447467876092,-0.7389811047030558,-0.6558187985841827
137,137,137,05-17,0.003751500600240143,-1.0180002446367713,-0.4047317029027089
138,138,138,05-18,0.058645838928924825,-0.006668134886634229,-0.3399092940369199
139,139,139,05-19,0.08177290039991504,0.4194074966244538,-0.4902575573408221
140,140,140,05-20,0.02111106653839817,-0.6981806242696548,-0.5065038094030178
141,141,141,05-21,0.010204081632653069,-0.8991227321732698,-0.3158755904108227
142,142,142,05-22,0.013605442176870751,-0.8364586170762299,-0.2796868540161559
143,143,143,05-23,0.06583442972391358,0.12576906931639892,-0.4337328427633773
144,144,144,05-24,0.07043162158242268,0.21046428348136664,-0.1954985766136458
145,145,145,05-25,0.03160390521263109,-0.5048684358588746,-0.12478379316906932
146,146,146,05-26,0.0986981160234993,0.7312249726287336,-0.16655986990042915
147,147,147,05-27,0.0332341498554764,-0.4748340315058109,-0.2394545781738377
148,148,148,05-28,3.1720657846433036e-17,-1.087115077464389,-0.23033042582461216
149,149,149,05-29,0.04209441352298498,-0.3115991803240523,-0.2469021080727833
150,150,150,05-30,0.07340313391467479,0.2652091975767197,-0.21369140888868346
151,151,151,05-31,0.026206915302572853,-0.6042985293479017,-0.14313046415240807
152,152,152,06-01,0.109514025097688,0.9304891677333328,0.04335766888324538
153,153,153,06-02,0.056214116589262966,-0.0514683630881586,-0.009740674098602443
154,154,154,06-03,0.06073460480755316,0.03181372074953183,0.0368086122099286
155,155,155,06-04,0.02480158730158735,-0.6301892382151393,0.26230443456788943
156,156,156,06-05,0.08856309322147836,0.544504915427906,-0.07396293963173088
157,157,157,06-06,0.09964536649907133,0.7486764047998632,-0.2027496658526831
158,158,158,06-07,3.1720657846433036e-17,-1.087115077464389,-0.2433181883603004
159,159,159,06-08,0.014271442842871447,-0.8241887204138718,-0.12580055681977625
160,160,160,06-09,0.04752243338399453,-0.211597414296172,-0.2664052445535381
161,161,161,06-10,0.06307419367793422,0.07491655102800572,-0.5723704915975801
162,162,162,06-11,0.04277159965782723,-0.2991232109746654,-0.4581390317852678
163,163,163,06-12,3.1720657846433036e-17,-1.087115077464389,-0.4515599987223416
164,164,164,06-13,0.037202380952380966,-0.4017263185905151,-0.5169923740602461
165,165,165,06-14,0.01641407233134544,-0.7847145220363143,-0.5028919126917665
166,166,166,06-15,0.026212715746318626,-0.6041916663235991,-0.011295557349004956
167,167,167,06-16,0.06766636764031207,0.1595193192388839,0.014177660170117047
168,168,168,06-17,0.2028724590560385,2.6504549210819044,0.18649580398023646
169,169,169,06-18,0.008296001327360277,-0.934275772349657,0.7136057240749741
170,170,170,06-19,0.09332216828210796,0.6321825442702013,0.7847066191877371
171,171,171,06-20,0.18808082756115024,2.3779449985321115,0.7202758412914818
172,172,172,06-21,0.0493685310566223,-0.17758629564702236,0.14411729415922733
173,173,173,06-22,0.046682845690289916,-0.22706534813864696,0.3036449418786797
174,174,174,06-23,0.015231770627454153,-0.806496361711623,0.025659352424137177
175,175,175,06-24,0.060250238213131135,0.022890113967057167,-0.5004665752346115
176,176,176,06-25,0.002789089083505406,-1.0357309924570537,-0.3081877268134787
177,177,177,06-26,0.01673453450103204,-0.7788105674203808,-0.2391377756322026
178,178,178,06-27,0.11198902964607556,0.9760867948797745,-0.2859075615909967
179,179,179,06-28,0.06917071893300114,0.1872343589490098,-0.3647748713151726
180,180,180,06-29,1.1102230246251563e-16,-1.0871150774643876,0.0905219312678462
181,181,181,06-30,0.0345650924059341,-0.4503137443779987,0.2132754021436606
182,182,182,07-01,0.15106807565974786,1.6960498230410592,0.17814619105049034
183,183,183,07-02,0.056712325157409725,-0.04228974216549457,0.11798325415891413
184,184,184,07-03,0.10054830836148368,0.7653115283207533,0.19344507867980268
185,185,185,07-04,0.04957712798063173,-0.17374326240044782,0.14946823652076802
186,186,186,07-05,0.02457606291472116,-0.6343441303390562,-0.31439258023013983
187,187,187,07-06,0.020242914979757186,-0.7141747973322068,0.4185530267858201
188,188,188,07-07,9.516197353929911e-17,-1.0871150774643878,0.3829498015933086
189,189,189,07-08,0.2954147083221117,4.355383899930266,0.28914924509387785
190,190,190,07-09,0.08895321232645549,0.5516921771656834,0.25750848008140864
191,191,191,07-10,0.01902859045716193,-0.7365466013970324,0.19535176672604496
192,192,192,07-11,0.014271442842871466,-0.8241887204138715,0.2553912966575093
193,193,193,07-12,4.758098676964956e-17,-1.0871150774643887,-0.29866156742592365
194,194,194,07-13,0.01955340033631853,-0.7268778978756019,-0.4935532905680764
195,195,195,07-14,0.1149732979500808,1.0310667154296689,-0.4710924963679847
196,196,196,07-15,0.02548176461219945,-0.6176581616872332,-0.5149135558764042
197,197,197,07-16,0.026343519494204475,-0.6017818361964821,0.06885865307287073
198,198,198,07-17,4.758098676964956e-17,-1.0871150774643887,0.1137949056971313
199,199,199,07-18,0.19012027109193108,2.4155181762312607,-0.2392353931185449
200,200,200,07-19,0.03418803418803425,-0.4572603821300384,-0.25131700492163345
201,201,201,07-20,6.344131569286607e-17,-1.0871150774643883,-0.2726607917224909
202,202,202,07-21,0.021547080370609848,-0.6901478325057644,-0.19784773401875014
203,203,203,07-22,0.019392372333548867,-0.7298445570016269,-0.7816199429680251
204,204,204,07-23,0.024364775495997283,-0.6382367312419444,-0.7520455994722116
205,205,205,07-24,6.344131569286607e-17,-1.0871150774643883,-0.5893665056398825
206,206,206,07-25,0.043819671522929184,-0.2798143211551584,-0.517804383249382
207,207,207,07-26,0.05298058548566428,-0.11104051447041406,-0.2476143873252057
208,208,208,07-27,0.04485310607759597,-0.26077509816276234,-0.07882593739435965
209,209,209,07-28,0.1073866181779852,0.8912954185434315,0.3055593761435888
210,210,210,07-29,0.07933502821802718,0.3744939683431319,0.510562122872637
211,211,211,07-30,0.12518485617040004,1.219196803763302,0.5219419053251639
212,212,212,07-31,0.11058403129412847,0.950202159219131,0.3842185754415599
213,213,213,08-01,0.05668670114460558,-0.04276181975525133,0.2403814266989581
214,214,214,08-02,1.5067312477055702e-16,-1.0871150774643872,0.30120822168596273
215,215,215,08-03,0.06054239145253991,0.02827252608782068,-0.08317709185198541
216,216,216,08-04,0.0991448214478167,0.7394547382651594,-0.3470253066542331
217,217,217,08-05,1.5860328923216515e-16,-1.0871150774643867,-0.4220772564329168
218,218,218,08-06,0.024655147807857325,-0.6328871295943552,-0.4220772564329168
219,219,219,08-07,0.032244124366954965,-0.4930735184273535,-0.5880430797464382
220,220,220,08-08,1.5860328923216515e-16,-1.0871150774643867,-0.721315215157608
221,221,221,08-09,0.006491398896462343,-0.9675224137933076,-0.6477891920889133
222,222,222,08-10,0.05574136008918633,-0.0601780742018594,-0.4896499056168584
223,223,223,08-11,0.0239456199247514,-0.6459589390522188,-0.3560680721276448
224,224,224,08-12,0.07615722953330663,0.3159485892379742,-0.2326769637694223
225,225,225,08-13,0.07574844678346325,0.30841748250792844,0.2165194227985789
226,226,226,08-14,0.04018545352411183,-0.34676842731505186,0.04536325558815772
227,227,227,08-15,0.1527836298019677,1.7276559056146996,0.3615449769300414
228,228,228,08-16,1.7446361815538174e-16,-1.0871150774643863,0.29479367499723313
229,229,229,08-17,0.1269182411874666,1.2511313889990832,0.3523193225956689
230,230,230,08-18,0.05441796989632111,-0.08455922235887536,0.5199617536667884
231,231,231,08-19,0.09448313738450864,0.6535713680985424,0.2278194535886137
232,232,232,08-20,0.09478247604958982,0.6590861591116652,0.5715715560903719
233,233,233,08-21,0.05764005764005785,-0.025197894854348733,0.21306317295371235
234,234,234,08-22,0.11195161728182644,0.9753975375461624,0.2442265200976703
