,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.3809457916432577,-0.6661341304548772,
2,2,2,01-03,2.1273854981613685,-1.1429384749052705,
3,3,3,01-04,2.6737296363189285,-0.11557234016329275,
4,4,4,01-05,2.6175537793440737,-0.2212075415231909,-1.0036746111072972
5,5,5,01-06,1.6562812279583043,-2.0288207226239847,-1.0721507140323971
6,6,6,01-07,1.7527727320838518,-1.8473744569731672,-0.8663877596768458
7,7,7,01-08,2.1624559105470817,-1.0769907480054774,-0.9750770683205052
8,8,8,01-09,2.7839229106411203,0.09163925122803836,-1.1120795988044123
9,9,9,01-10,2.326929612550724,-0.7677081920252488,-0.8502727628125367
10,10,10,01-11,2.1804134440062706,-1.0432227244266354,-0.6982497443996892
11,11,11,01-12,2.4916404558133034,-0.4579797066727289,-0.4679828415790047
12,12,12,01-13,2.237839635690156,-0.9352363464960822,-0.591590440619501
13,13,13,01-14,2.8971792091656785,0.30461066891863,-0.7034725449885956
14,14,14,01-15,2.3895224050153483,-0.6500063430149395,-0.6753192543970689
15,15,15,01-16,1.9699421872129848,-1.4390008182398166,-0.5008753037650019
16,16,16,01-17,2.2702434555146214,-0.8743029808774755,-0.2290164355462662
17,17,17,01-18,3.0482468689036817,0.5886839971196728,-0.37122645316116815
18,18,18,01-19,3.1052723495089194,0.6959168628163321,-0.5582584982909387
19,19,19,01-20,2.4434231028441595,-0.5486494367707814,-0.24337797862639074
20,20,20,01-21,1.792750574318786,-1.7721986137935624,-0.2252106331262714
21,21,21,01-22,2.9746460818879124,0.4502822997474709,-0.6710180731262855
22,22,22,01-23,2.3282108483508646,-0.7652989078767591,-0.9535821374196688
23,23,23,01-24,1.6257883702952587,-2.0861606428804107,-0.9941597658173852
24,24,24,01-25,2.2036820695094494,-0.9994675229439676,-0.9901148337060168
25,25,25,01-26,2.313950179808814,-0.7921152071570804,-1.216657958618773
26,26,26,01-27,1.8056569270214464,-1.7479290211253509,-1.2909144640928785
27,27,27,01-28,2.2518044143431784,-0.9089764497290641,-1.032282354387158
28,28,28,01-29,2.091277168445025,-1.2108379407213945,-1.0751974319205178
29,29,29,01-30,2.451017851579637,-0.5343679846460884,-1.0392094553110691
30,30,30,01-31,2.066750938984204,-1.2569579881441262,-0.8701436514607703
31,31,31,02-01,2.4287786877759068,-0.5761873475003895,-0.4805735666545665
32,32,32,02-02,2.3451030374562896,-0.7335341980235582,-0.4163323844078127
33,33,33,02-03,3.4948237725130893,1.4284440591081589,-0.5681547212165918
34,34,34,02-04,2.296254491496306,-0.8253908472408712,-0.5317194444151107
35,35,35,02-05,1.9665912720855137,-1.4453020054987629,-0.5259884959727142
36,36,36,02-06,2.183006668443128,-1.0383463273352391,-0.5830010701979381
37,37,37,02-07,2.4470646910713505,-0.5418016568460114,-0.927673488899226
38,38,38,02-08,2.163190369659156,-1.0756096433749012,-0.9315424258723376
39,39,39,02-09,2.3950614822795484,-0.6395904530995674,-0.5748383573064112
40,40,40,02-10,2.2839096946531154,-0.8486044690795413,-0.5699110421779321
41,41,41,02-11,3.1047435061975963,0.6949224058967964,-0.41626477817990654
42,42,42,02-12,2.198728481609429,-1.0087824365643645,0.14150668889330914
43,43,43,02-13,2.937310959737073,0.38007592714214106,0.16017965298496253
44,44,44,02-14,3.94289768818116,2.271019159064393,0.06392585317737676
45,45,45,02-15,2.4546421758327592,-0.5275526685496471,-0.2495110984048783
46,46,46,02-16,1.9767882263356509,-1.4261272679250558,-0.00595693672860657
47,47,47,02-17,2.1046456712308186,-1.1856993035967338,-0.07060245100256653
48,48,48,02-18,2.9758480540146173,0.4525425334932657,-0.2531739621333145
49,49,49,02-19,2.7310435157125763,-0.007797158501618683,-0.22416730564728607
50,50,50,02-20,3.3603582904274867,1.1755900922799054,-0.03663522793894925
51,51,51,02-21,2.547195061524314,-0.3535127296334772,0.1111165553967276
