,unnamed: 0,unnamed: 0,mth_day,cia,cia_norm,cia_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6327938637228067,-1.1805067646341896,
2,2,2,01-03,0.8358657487245723,-0.4542280754907332,
3,3,3,01-04,0.8046715258972793,-0.5657929987377807,
4,4,4,01-05,0.940302338220428,-0.08071467989190959,-0.32649126956631064
5,5,5,01-06,1.1579634403994816,0.6977417763858687,-0.3987306232656993
6,6,6,01-07,0.8578934456948766,-0.3754468750291193,-0.42655326961963547
7,7,7,01-08,0.5116025198516675,-1.6139428868305217,-0.4020895432763181
8,8,8,01-09,0.7891894742424335,-0.6211639536143504,-0.5090452896476195
9,9,9,01-10,0.8457127550862872,-0.4190106406778768,-0.6453533061942106
10,10,10,01-11,0.7608695225363584,-0.7224491581197172,-0.7114471170517973
11,11,11,01-12,0.92928819817025,-0.12010632289367792,-0.6420749888372729
12,12,12,01-13,0.7470120860314442,-0.7720097401746396,-0.3547225792045033
13,13,13,01-14,0.6279837028908278,-1.1977101175433744,-0.24734917016243696
14,14,14,01-15,1.2712622352048577,1.1029505041822671,-0.1853486402733567
15,15,15,01-16,1.0258462567228566,0.2252298135745213,-0.09239614567172336
16,16,16,01-17,0.8648838464912522,-0.3504459787852357,-0.1823804933139439
17,17,17,01-18,1.0852286538922684,0.4376086447161219,0.24067108887496044
18,18,18,01-19,0.5960511006451539,-1.3119158260279626,0.30940953929471343
19,19,19,01-20,1.3377102874563105,1.3405993755900516,0.16109966526221525
20,20,20,01-21,1.3865803375325094,1.5153812067007848,-0.017509756357559886
21,21,21,01-22,0.7770362657288491,-0.6646294306204678,-0.2176266556023494
22,22,22,01-23,0.5652422422180038,-1.4221025085038863,-0.18316412343272168
23,23,23,01-24,0.7495053298475431,-0.7630927507526151,-0.7532553040941993
24,24,24,01-25,0.6538666869282146,-1.1051406330101965,-1.1279357400459589
25,25,25,01-26,0.38130477196741,-2.0799477083788136,-0.994828190066264
26,26,26,01-27,0.7580029315914831,-0.7327014090097723,-0.8337701547932967
27,27,27,01-28,1.0003422898741143,0.13401586925770154,-0.8215186225578687
28,28,28,01-29,0.835439008058413,-0.4557542968660837,-0.6550012692338625
29,29,29,01-30,0.7700589419724625,-0.6895835573400473,-0.5600383167944829
30,30,30,01-31,0.9332222015301176,-0.1060365130661588,-0.3896144335284832
31,31,31,02-01,0.5406180442315951,-1.5101699937425366,-0.461686290012468
32,32,32,02-02,1.043912181647792,0.2898418905862267,-0.3720981708730484
33,33,33,02-03,0.8794319453695246,-0.29841526964620724,-0.3757278088876661
34,34,34,02-04,0.9857352662250451,0.08177441797043396,-0.6009790362553525
35,35,35,02-05,0.7639697303969025,-0.7113613854277533,-0.4670584343487752
36,36,36,02-06,0.5553326225769156,-1.4575438772722769,-0.6872481140768539
37,37,37,02-07,0.7652880735985285,-0.7066463823030729,-0.5033437027992145
38,38,38,02-08,0.6745140374749242,-1.031296187782245,-0.6684868979450127
39,39,39,02-09,1.1879566151681196,0.8050111980196293,-0.654331128138055
40,40,40,02-10,0.7086850889189541,-0.9090847529043556,-0.5154942495489733
41,41,41,02-11,0.7877179601163249,-0.6264267665860078,-0.5829404185747208
42,42,42,02-12,0.7882503749297776,-0.624522605737786,-0.4055609367097217
43,43,43,02-13,0.6521379491219925,-1.1113233964575575,-0.429861165125636
44,44,44,02-14,0.9720922504783376,0.032980703407749765,-0.2930234077199765
45,45,45,02-15,1.1471896759959437,0.6592098275241437,-0.4596465724318984
46,46,46,02-16,0.9382490435096098,-0.08805820847039912,-0.5314690144163174
47,47,47,02-17,0.5081849325157349,-1.6261657548575392,-0.3859268573023386
48,48,48,02-18,0.6677584571806251,-1.0554572576443004,-0.5591267150593604
49,49,49,02-19,0.8963047184420347,-0.2380704537736845,-0.8408715641173495
50,50,50,02-20,0.6815259255467616,-1.006218443134381,-0.7142509709043785
51,51,51,02-21,0.6745243607967308,-1.031259266823791,-0.5412128912761099
52,52,52,02-22,1.1506723151393317,0.6716653508074267,-0.22945713446285226
53,53,53,02-23,0.7984798526266899,-0.5879372770879284,-0.19589733497424708
54,54,54,02-24,1.1907711530719296,0.8150772832352462,-0.10493526732631164
55,55,55,02-25,0.9526058478374442,-0.0367116568420534,0.08718261710918745
56,56,56,02-26,0.8341271692597719,-0.4604460372467684,-0.05163419734625944
57,57,57,02-27,0.9968282492465992,0.12144803978920354,-0.10564966457665932
58,58,58,02-28,0.9177882231003334,-0.16123553592525466,-0.35227146358408845
59,59,59,02-29,0.7078615576358387,-0.9120300804703276,-0.6251434940207263
60,60,60,03-01,0.7770295327633686,-0.6646535108093288,-0.5097359277624164
61,61,61,03-02,0.4948258930073335,-1.6739438394618809,-0.5954034887018672
62,62,62,03-03,1.0277390626599268,0.23199936030309154,-0.6250664567116209
63,63,63,03-04,0.8531092608456463,-0.39255732584750197,-0.3730870776993389
64,64,64,03-05,0.8680245586679497,-0.3392133439837764,-0.3561399833073904
65,65,65,03-06,1.1305912472921291,0.5998461936033644,-0.07038487106221336
66,66,66,03-07,0.8054605892290451,-0.5629709444576377,-0.26491258821208263
67,67,67,03-08,0.9742189702924958,0.04058683400918103,-0.26686742967846394
68,68,68,03-09,0.7013923519780868,-0.9351669425961242,-0.2837020661976889
69,69,69,03-10,0.8498297483329564,-0.4042863746457896,-0.4464465143505318
70,70,70,03-11,0.8397821655834681,-0.4402211630991265,-0.4040403045336345
71,71,71,03-12,0.8575652944121429,-0.3766204953136925,-0.5454550308244611
72,72,72,03-13,0.8766027754891467,-0.308533685556254,-0.5358753379010753
73,73,73,03-14,0.7369765277081898,-0.8079015237357788,-0.6160255188417876
74,74,74,03-15,0.7174635901578906,-0.8776887850558093,-0.7250080542559849
75,75,75,03-16,0.7153669155099923,-0.8851874602900628,-0.941000904162358
76,76,76,03-17,0.6569491355387606,-1.0941163755843102,-0.9050483311963679
77,77,77,03-18,0.4952079032366994,-1.6725775947519308,-0.720228819686438
78,78,78,03-19,0.9369181079256051,-0.09281824776031304,-0.7049162464267761
79,79,79,03-20,1.047036402644272,0.3010155453237999,-0.6408280013089797
80,80,80,03-21,0.7431525150503544,-0.7858133454978367,-0.4662256111478356
81,81,81,03-22,0.8228836657911407,-0.500657989583284,-0.15275223640674251
82,82,82,03-23,0.9498683993903844,-0.046502034617446085,-0.25805011913893244
83,83,83,03-24,1.0211021368809263,0.20826265369462732,-0.4730911312946662
84,84,84,03-25,0.7602665840456551,-0.7246055441534528,-0.33880688508611984
85,85,85,03-26,0.6862758487914226,-0.9892305276106028,-0.3686171869862916
86,86,86,03-27,0.9684326072070258,0.01989213175344196,-0.15085622872830695
87,87,87,03-28,0.7728728287130571,-0.6795198009843149,-0.07665441749515299
88,88,88,03-29,1.315192032873771,1.2600637149304619,0.16081286779708506
89,89,89,03-30,1.1455857702539451,0.6534735210935511,0.3294993456240299
90,90,90,03-31,1.1586502621410624,0.7001981675999757,0.23289076170933545
91,91,91,04-01,0.9692703648526808,0.02288833935106597,0.3328488421175009
92,92,92,04-02,0.8063585642576546,-0.5597593717347248,0.14506989432513004
93,93,93,04-03,0.94056610772349,-0.07977131853532222,-0.19907262355879948
94,94,94,04-04,1.0001673009476535,0.13339002817623674,-0.5370229540052723
95,95,95,04-05,0.5682398765031834,-1.4113815862100259,-0.7400736658487829
96,96,96,04-06,0.5916926052531355,-1.3275038150788614,-0.8336931155215171
97,97,97,04-07,0.628625171033419,-1.1954159317099966,-0.7581361992593476
98,98,98,04-08,0.6492992006657686,-1.1214760697711303,-0.8691965275951224
99,99,99,04-09,1.067323114142402,0.373570179037695,-0.7568458768533636
100,100,100,04-10,0.8138484905968293,-0.5329719418384123,0.1955606770094848
101,101,101,04-11,0.7567233782362004,-0.7372776817594727,0.4543562765999663
102,102,102,04-12,2.1894841726394287,4.386935508098229,0.5376582135989705
103,103,103,04-13,1.062789998044781,0.3573576658328925,0.4402123802246287
104,104,104,04-14,0.7890495330675343,-0.6216644477771048,0.7043969714574846
105,105,105,04-15,0.9038444713181164,-0.2111048212083564,0.7736770891594263
106,106,106,04-16,1.257054084251363,1.052135605558723,0.12640090579479768
107,107,107,04-17,0.8729502011226306,-0.3215969755478215,0.04764094729163607
