,unnamed: 0,unnamed: 0,mth_day,comedy,comedy_norm,comedy_ravg
0,0,0,1-Jan,,,
1,1,1,2-Jan,15.27178592,-1.6099274,
2,2,2,3-Jan,16.51568108,-0.87875802,
3,3,3,4-Jan,14.43452786,-2.102072949,
4,4,4,5-Jan,12.94407741,-2.978169079,-2.139910792
5,5,5,6-Jan,14.30455399,-2.178472401,-2.410506316
6,6,6,7-Jan,12.75031319,-3.092064902,-2.6640608080000003
7,7,7,8-Jan,12.50969711,-3.233500544,-2.389465686
8,8,8,9-Jan,13.92753765,-2.400084976,-2.013445364
9,9,9,10-Jan,17.23744235,-0.454502213,-1.893510058
10,10,10,11-Jan,16.782284,-0.722047146,-1.37536817
11,11,11,12-Jan,15.52878697,-1.458860569,-0.997242632
12,12,12,13-Jan,18.039217800000007,0.016786428,-0.7446211779999999
13,13,13,14-Jan,16.36939259,-0.964747313,-0.528853169
14,14,14,15-Jan,16.50615713,-0.884356257,-0.6131448939999999
15,15,15,16-Jan,19.43988234,0.840105842,-0.169791512
16,16,16,17-Jan,15.9218809,-1.227797493,-0.175723488
17,17,17,18-Jan,20.05429205,1.201259722,-0.141692884
18,18,18,19-Jan,17.97866748,-0.018805427,-0.221858043
19,19,19,20-Jan,16.71675809,-0.76056369,-0.407432583
20,20,20,21-Jan,15.68787571,-1.365347212,-0.14038542199999998
21,21,21,22-Jan,17.54564052,-0.273341396,-0.7230034809999999
22,22,22,23-Jan,18.64774999,0.374485473,-0.495071751
23,23,23,24-Jan,14.1072505,-2.294448635,-0.810767302
24,24,24,25-Jan,20.30526799,1.3487849580000002,-0.987796731
25,25,25,26-Jan,13.49431325,-2.654737,-1.417587405
26,26,26,27-Jan,13.88085763,-2.4275237830000003,-1.654274981
27,27,27,28-Jan,13.15857603,-2.8520854410000003,-1.393646402
28,28,28,29-Jan,16.23177467,-1.045639987,-1.884602018
29,29,29,30-Jan,16.76760227,-0.730677162,-1.5658248019999998
30,30,30,31-Jan,15.29386575,-1.596948738,-1.4167637519999998
31,31,31,1-Feb,16.74821401,-0.742073702,-0.882485702
32,32,32,2-Feb,15.40239003,-1.533157485,-1.000204388
33,33,33,3-Feb,18.61218962,0.353582864,-0.972665704
34,34,34,4-Feb,15.03016771,-1.7519521059999998,-0.7470257809999999
35,35,35,5-Feb,17.04870186,-0.565445057,-0.755716072
36,36,36,6-Feb,17.59707276,-0.243109202,-0.88009472
37,37,37,7-Feb,16.65950835,-0.794215445,-1.024056757
38,38,38,8-Feb,14.13280188,-2.279429374,-0.7509621479999999
39,39,39,9-Feb,17.14270511,-0.510189359,-0.560265071
40,40,40,10-Feb,17.8177658,-0.113384447,-0.648548892
41,41,41,11-Feb,18.9952317,0.578737404,-0.6542726879999999
42,42,42,12-Feb,16.69592055,-0.772812127,-0.264269338
43,43,43,13-Feb,16.60108302,-0.8285582220000001,-0.302535419
44,44,44,14-Feb,18.11373945,0.060590725,-0.5659001770000001
45,45,45,15-Feb,16.75210621,-0.739785845,-0.827422764
46,46,46,16-Feb,15.12948462,-1.693572999,-0.793579763
47,47,47,17-Feb,16.32575439,-0.990398118,-0.83249708
48,48,48,18-Feb,17.04137111,-0.56975412,-0.931106073
49,49,49,19-Feb,16.20383666,-1.062062125,-0.7793990409999999
50,50,50,20-Feb,17.10719362,-0.531063232,-0.41811656
51,51,51,21-Feb,18.30064733,0.17045634699999998,-0.29286791100000004
52,52,52,22-Feb,18.81725552,0.474121888,-0.186086367
53,53,53,23-Feb,17.60422303,-0.238906225,0.046356438
54,54,54,24-Feb,18.1313378,0.070935144,0.333756738
55,55,55,25-Feb,18.57648371,0.332594703,0.342747173
56,56,56,26-Feb,20.04081626,1.193338569,0.192024814
57,57,57,27-Feb,18.39241669,0.224398956,0.065915711
58,58,58,28-Feb,17.278765399999994,-0.430212263,0.01329104
59,59,59,29-Feb,16.31697135,-0.995560846,-0.347227175
60,60,60,1-Mar,17.59417439,-0.24481288,-0.777979799
61,61,61,2-Mar,14.89651401,-1.830514586,-1.03791982
62,62,62,3-Mar,15.64393272,-1.3911771780000002,-1.036604384
63,63,63,4-Mar,15.73909334,-1.33524117,-1.088464499
64,64,64,5-Mar,17.29219265,-0.422319644,-1.143590004
65,65,65,6-Mar,15.7876121,-1.306721533,-1.130699226
66,66,66,7-Mar,17.03148385,-0.575565911,-0.8876390609999999
67,67,67,8-Mar,15.02809591,-1.75316992,-0.85689051
68,68,68,9-Mar,18.12495588,0.06718381400000001,-0.816368105
69,69,69,10-Mar,16.05295746,-1.150749868,-0.57368823
70,70,70,11-Mar,17.70582286,-0.17918520899999998,-0.647715106
71,71,71,12-Mar,18.26475347,0.149357712,-0.407561909
72,72,72,13-Mar,16.27585862,-1.019727165,-0.6120813039999999
73,73,73,14-Mar,17.47944636,-0.312250737,-0.571610125
74,74,74,15-Mar,16.0373355,-1.159932556,-0.554376996
75,75,75,16-Mar,16.46606477,-0.907922797,-0.969181022
76,76,76,17-Mar,17.88172907,-0.075786433,-0.733504699
77,77,77,18-Mar,14.03066437,-2.339466443,-0.590090088
78,78,78,19-Mar,18.68151163,0.394330774,-0.421315994
79,79,79,20-Mar,18.94334305,0.548236929,-0.228296958
80,80,80,21-Mar,17.76008771,-0.14728799199999998,-0.079936168
81,81,81,22-Mar,18.43629588,0.250191417,0.315440917
82,82,82,23-Mar,19.39611361,0.814378308,0.278475083
83,83,83,24-Mar,18.06645404,0.032796066,0.269007885
84,84,84,25-Mar,18.30418493,0.172535772,0.374594863
85,85,85,26-Mar,18.84670715,0.491433738,0.545078399
86,86,86,27-Mar,18.83786093,0.486233877,0.6556177670000001
87,87,87,28-Mar,20.17649712,1.273092633,0.57744173
88,88,88,29-Mar,20.52443809,1.477614516,0.627946731
89,89,89,30-Mar,17.26847648,-0.436260158,0.6344209129999999
90,90,90,31-Mar,18.81971193,0.4755657820000001,0.549202765
91,91,91,1-Apr,18.912792,0.530278826,0.252963462
92,92,92,2-Apr,17.96800141,-0.02507501,-0.017833428999999998
93,93,93,3-Apr,17.15265085,-0.504343187,0.067649339
94,94,94,4-Apr,17.76029383,-0.147166828,0.020183294
95,95,95,5-Apr,18.14103709,0.07663645,-0.041761444
96,96,96,6-Apr,18.33520492,0.190769515,-0.037666827
97,97,97,7-Apr,18.28049451,0.158610395,-0.07971626700000001
98,98,98,8-Apr,18.00979699,-0.0005073069999999999,0.06883378400000001
99,99,99,9-Apr,16.72343353,-0.7566398259999999,-0.015661959
100,100,100,10-Apr,19.27661025,0.74413348,-0.209965194
101,101,101,11-Apr,17.27855148,-0.430338011,-0.245356059
102,102,102,12-Apr,16.35186541,-0.975049896,-0.253184753
103,103,103,13-Apr,17.91924422,-0.053734793,-0.25761699600000004
104,104,104,14-Apr,17.92988603,-0.047479471,-0.2732108
105,105,105,15-Apr,16.67819165,-0.783233286,-0.308342677
106,106,106,16-Apr,19.11743736,0.650570654,-0.24845676100000005
107,107,107,17-Apr,16.91994479,-0.6411292710000001,-0.223580736
108,108,108,18-Apr,16.96314759,-0.615734396,-0.092311401
109,109,109,19-Apr,18.17316486,0.095521352,-0.1967078
110,110,110,20-Apr,19.26981049,0.74013654,-0.102023186
111,111,111,21-Apr,15.61257119,-1.409611679,-0.126306781
112,112,112,22-Apr,20.08392531,1.218678341,0.038919915
113,113,113,23-Apr,16.67207133,-0.786830847,0.072792419
114,114,114,24-Apr,18.64968993,0.37562578,-0.272396568
115,115,115,25-Apr,18.51891657,0.298756379,0.068394834
116,116,116,26-Apr,15.74631304,-1.330997384,-0.037887711
117,117,117,27-Apr,19.09118055,0.6351367379999999,0.07835281
118,118,118,28-Apr,18.99905212,0.580983068,0.141552671
119,119,119,29-Apr,17.85859,-0.08938772199999999,0.107207144
120,120,120,30-Apr,19.29479902,0.7548249509999999,0.481496246
121,121,121,1-May,18.1683365,0.092683215,0.540205987
122,122,122,2-May,19.5668483,0.914737229,0.445698684
123,123,123,3-May,19.69045697,0.98739518,0.640405378
124,124,124,4-May,18.03437406,0.013939251,0.646713868
125,125,125,5-May,19.8460478,1.078852444,0.7274483759999999
126,126,126,6-May,19.35919258,0.79267589,0.681335103
127,127,127,7-May,18.99242951,0.57709026,0.691926127
128,128,128,8-May,19.09614963,0.638057596,0.8291229509999999
129,129,129,9-May,19.79856426,1.050941324,0.8135619359999999
130,130,130,10-May,19.43480304,0.837120195,0.7899386140000001
131,131,131,11-May,19.687209600000006,0.985486354,0.7238879770000001
132,132,132,12-May,19.11805882,0.650935955,0.5930165
133,133,133,13-May,18.3182213,0.180786437,0.5486680939999999
134,134,134,14-May,17.76028629,-0.147171264,0.5556718829999999
135,135,135,15-May,19.34588036,0.784850887,0.7388596359999999
136,136,136,16-May,19.50629383,0.87914293,0.906924442
137,137,137,17-May,21.55708843,2.084612872,0.795803308
