,unnamed: 0,unnamed: 0,mth_day,conspiracy theory,conspiracy theory_norm,conspiracy theory_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.186488203114904,-0.4610743986326843,
2,2,2,01-03,1.9955889468860424,-0.9326014400922322,
3,3,3,01-04,1.4116646177151944,-2.374912514579034,
4,4,4,01-05,1.6859987458796313,-1.6972987701353086,-1.442783713281339
5,5,5,01-06,1.9045060143151795,-1.1575790883608543,-1.5821999123035977
6,6,6,01-07,1.5499934383536813,-2.0332360678879198,-1.6660455159023886
7,7,7,01-08,1.8478295936249027,-1.2975715927662357,-1.3366004911962854
8,8,8,01-09,1.7919179550948876,-1.435675061684978,-1.2170883918668378
9,9,9,01-10,2.2119259557291167,-0.3982423663424179,-1.2106632306025646
10,10,10,01-11,1.9763079184147383,-0.9802261741586228,-0.8620518726254551
11,11,11,01-12,1.9201134989171689,-1.1190281207752135,-0.9202056291327122
12,12,12,01-13,2.396812090511169,0.05843207997473679,-0.5636008657869799
13,13,13,01-14,1.7065671689318904,-1.646494131809778,-0.4439987914471253
14,14,14,01-15,2.658153544209576,0.7039535183894161,-0.3597489740896441
15,15,15,01-16,2.5024536883176967,0.3193700796967092,0.05343016016593135
16,16,16,01-17,2.180960793734599,-0.4747272700137355,0.16583490961017938
17,17,17,01-18,2.9237749963514514,1.360046684758239,0.33654705062313445
18,18,18,01-19,2.669856660753566,0.7328605766402251,0.3039631037845351
19,19,19,01-20,2.1212473617929666,-0.6222212857320478,0.2468779267764324
20,20,20,01-21,2.579003243129467,0.5084498373578202,0.12695135040439265
21,21,21,01-22,2.3637869709374004,-0.023140982351906945,-0.2493224179814407
22,22,22,01-23,1.8896448069275915,-1.1942867282459741,-0.5426831201168859
23,23,23,01-24,2.009761043290196,-0.897595925556761,-0.6536165719383907
24,24,24,01-25,1.9572484548137468,-1.0273036361724464,-1.1137093404226746
25,25,25,01-26,1.8517767493155823,-1.2878219966610776,-1.3720271749115742
26,26,26,01-27,1.4613829213588516,-2.2521067735478826,-1.2921738125622342
27,27,27,01-28,1.7363020785934904,-1.5730479892853035,-1.1085597165324752
28,28,28,01-29,2.083618167598622,-0.7151665541499334,-1.1410394075199906
29,29,29,01-30,2.4557816268399884,0.20408865062179216,-1.112494031116512
30,30,30,01-31,1.8783514036558628,-1.2221817820975385,-0.9149628019222478
31,31,31,02-01,1.9211168801466303,-1.1165497382402048,-0.6376513994240218
32,32,32,02-02,1.9412098846452344,-1.066919398382297,-0.7809169609493721
33,33,33,02-03,2.4099246176126288,0.09082042570405192,-1.1108350752994816
34,34,34,02-04,1.7356089965392876,-1.5747599233020353,-0.7829929525531448
35,35,35,02-05,1.6543710975403545,-1.7754200354788634,-0.7061363826977757
36,36,36,02-06,2.6747191012416995,0.7448709543804823,-0.6057728884915354
37,37,37,02-07,2.1078106736937845,-0.6554103191079901,-0.822805569065627
38,38,38,02-08,2.1850048068265275,-0.4647384331448553,-0.551564804662568
39,39,39,02-09,1.882726298245345,-1.2113756577404966,0.07304032831759763
40,40,40,02-10,2.3944852301043658,0.052684663116319634,0.07400746383565547
41,41,41,02-11,3.17161161405744,1.9722107624021297,0.2517781803703765
42,42,42,02-12,2.6770683890004454,0.7506737674888295,0.7703295954183313
43,43,43,02-13,2.5396369900896145,0.41121398010033583,0.9845629706250559
44,44,44,02-14,3.4446281676755466,2.6465700571428736,0.9787146173786272
45,45,45,02-15,2.4031247703215763,0.07402459349985126,0.5604487851079306
46,46,46,02-16,2.3802788811138464,0.017594543637747026,0.3060185909014453
47,47,47,02-17,2.1555939192172784,-0.5373842312220499,0.17306612416635606
48,48,48,02-18,2.05902703952654,-0.7759073977500821,-0.2601514588820708
49,49,49,02-19,2.21667955882596,-0.3865008203101998,-0.26502228949686274
50,50,50,02-20,2.392290883265892,0.04726455885231248,-0.08790814414701463
51,51,51,02-21,2.3912929406300827,0.04479960981109997,-0.02459397552479085
52,52,52,02-22,2.8105103076327502,1.0802794157368356,-0.04200392205594276
53,53,53,02-23,2.309391601674497,-0.1574992194887073,0.3019676053628809
54,54,54,02-24,2.016736198685341,-0.8803670769369935,0.3840893273970722
55,55,55,02-25,3.0522275080367454,1.677328344202742,0.5468331239776204
56,56,56,02-26,2.5917743607101698,0.5399948910574603,0.4127855658321116
57,57,57,02-27,2.7866170725431383,1.0212623892943895,0.1086798708722722
58,58,58,02-28,2.484892768455395,0.2759940668637827,-0.023551768890377744
59,59,59,02-29,1.5706825239966071,-1.982133389247744,-0.5710680230928628
60,60,60,03-01,1.6955297422860225,-1.6737569155128933,-0.8708302029877405
61,61,61,03-02,1.7222450912030718,-1.6077691810121681,-0.9629339134998208
