,unnamed: 0,unnamed: 0,mth_day,courtroom drama,courtroom drama_norm,courtroom drama_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.2719716927151998,0.42066586622918606,
2,2,2,01-03,0.833424280449948,-1.2580941610960337,
3,3,3,01-04,1.1952977114580592,0.12715777275874213,
4,4,4,01-05,0.6090900653268767,-2.1168458093264952,-0.6561635172545726
5,5,5,01-06,0.9178226450717673,-0.9350171187145084,-0.724067276262213
6,6,6,01-07,1.1164039470327176,-0.17484765337832595,-0.7521594478052859
7,7,7,01-08,1.1655395023681454,0.0132433121833432,-0.8509394551778312
8,8,8,01-09,0.7893926775957079,-1.4266471903544715,-0.3960569069400002
9,9,9,01-10,1.040470162868662,-0.4655222714765295,-0.2476387424601211
10,10,10,01-11,1.3220718894134416,0.6124494801004912,-0.29098592182168725
11,11,11,01-12,1.1504529230377558,-0.044508131835233916,-0.3286111753209144
12,12,12,01-13,1.0484616812106,-0.4349307295477229,0.1757377222531771
13,13,13,01-14,1.10656576953201,-0.2125082088120196,0.13699367764313033
14,14,14,01-15,1.5799079399671598,1.5994461950900771,-0.3389717312050997
15,15,15,01-16,0.9797428395066772,-0.6979865391368101,-0.426985957821208
16,16,16,01-17,0.5760448397555807,-2.243342972988889,-0.5218339849023682
17,17,17,01-18,1.0124996335976175,-0.5725934915318838,-0.43365248535924
18,18,18,01-19,0.8997971091769846,-1.0040188920346849,-0.5758591046793334
19,19,19,01-20,1.24478124216007,0.3165807884467496,-0.306315582856371
20,20,20,01-21,1.357013623109322,0.7462064791695163,-0.040914351181329765
21,21,21,01-22,1.4022247144533793,0.9192745918009644,0.05269777892809407
22,22,22,01-23,0.9920340989776264,-0.6509355829386421,0.2361841741896005
23,23,23,01-24,1.1592270636575406,-0.010920710875340784,0.17251829263139687
24,24,24,01-25,1.1873932486538898,0.09689947953435424,0.0443504749713385
25,25,25,01-26,1.1449914908466954,-0.06541450090247257,-0.13907158848930393
26,26,26,01-27,1.1561236905795629,-0.02280042679083388,-0.10667057692939684
27,27,27,01-28,1.1147294084881234,-0.1812577889628903,-0.15390197671853545
28,28,28,01-29,1.0428193674248876,-0.4565295135791996,-0.19900987633471653
29,29,29,01-30,1.0851966799765749,-0.2943091096101723,-0.1609229089532132
30,30,30,01-31,1.1166912340928845,-0.17374791816273225,-0.055750227908738265
31,31,31,02-01,1.2046889129236396,0.16310730338654722,-0.21467580642314152
32,32,32,02-02,1.3209711006761984,0.6082356594760158,-0.22379211989500625
33,33,33,02-03,0.8656298347582291,-1.13481126004931,-0.044985012084015084
34,34,34,02-04,1.0285304793739072,-0.5112273944103881,-0.13878618337982146
35,35,35,02-05,1.3654585154340846,0.7785335372557747,-0.12089527597866602
36,36,36,02-06,0.9696675013270946,-0.7365549459375703,-0.14792642145342325
37,37,37,02-07,1.2327310786274122,0.27045274779347955,-0.029782589575367207
38,38,38,02-08,1.2786025475575915,0.4460487866274724,0.05762927882491836
39,39,39,02-09,1.050808195817163,-0.4259482687809735,0.024339224542937892
40,40,40,02-10,1.1655396339793842,0.01324381599132532,0.05166917140256122
41,41,41,02-11,1.3132797635389966,0.5787932115638919,0.0713764063273898
42,42,42,02-12,1.0125043950255863,-0.5725752647798303,0.1859109104945995
43,43,43,02-13,1.2636201517713226,0.388696157342451,0.27202988765847635
44,44,44,02-14,1.4581236569479914,1.1332558116307303,0.10692999261493913
45,45,45,02-15,1.1857908757740712,0.09076559420228764,-0.11113190810444472
46,46,46,02-16,0.9067624512084674,-0.977355554269898,-0.010743448642232293
47,47,47,02-17,0.9714900590515836,-0.7295781927524113,-0.1102426512143765
48,48,48,02-18,1.1698530275943304,0.02975549199344425,-0.20090283568960252
49,49,49,02-19,1.1076653383368114,-0.20829905809041427,-0.14368520498749301
50,50,50,02-20,1.316023099453367,0.5892947047793741,0.03801668445404297
51,51,51,02-21,1.2754736540339489,0.4340713784149451,0.0522954057914233
52,52,52,02-22,1.1915615605079246,0.1128557823793178,0.16876186770758642
53,53,53,02-23,0.9938704929112409,-0.6439058647281294,0.3128873135493281
54,54,54,02-24,1.3524022829649245,0.7285542634904228,0.31709740172964623
55,55,55,02-25,1.333567219320401,0.6564536169600362,0.0979832908437601
56,56,56,02-26,1.3226219816527325,0.614555233861283,-0.005851884718329256
57,57,57,02-27,0.9320347178344346,-0.8806132869003718,0.16125827351981772
58,58,58,02-28,1.0288105533228789,-0.5101552709932183,-0.08365018450176083
59,59,59,02-29,1.2557985574316102,0.35875508470075257,-0.32257171530651835
60,60,60,03-01,0.9685333484215024,-0.7408964846390484,-0.35611628875277984
61,61,61,03-02,0.9590821802556221,-0.7770755678685088,-0.4601132864366354
62,62,62,03-03,1.2700442970249706,0.4132877931837139,-0.3818767926732158
63,63,63,03-04,0.7690300710406561,-1.5045952730035048,-0.5848293027228834
64,64,64,03-05,1.1514382475478404,-0.040736308412700616,-0.5382416770737012
65,65,65,03-06,0.9376912759394586,-0.8589599755972529,-0.4437903161283653
66,66,66,03-07,1.0415546820468349,-0.4613707307439557,-0.7618253734817441
67,67,67,03-08,1.107125018731489,-0.21036740219649414,-0.5349508871720642
68,68,68,03-09,0.7715569046338882,-1.4949225509365582,-0.6638967214787629
69,69,69,03-10,1.124632601219951,-0.14334835514542593,-0.649743877257212
70,70,70,03-11,0.9493288535767924,-0.8144113142528933,-0.7501631742969569
71,71,71,03-12,0.9598744103071865,-0.7740429102679482,-0.6447575853771484
72,72,72,03-13,0.8841577147324193,-1.0638865129824246,-0.6307044724970351
73,73,73,03-14,1.272337488077908,0.4220661313223564,-0.6566185349032904
74,74,74,03-15,0.7935837203342763,-1.4106038736558784,-0.5650752682092554
75,75,75,03-16,1.0840149614457275,-0.2988327295829585,-0.5683011280508519
76,76,76,03-17,1.0928135520406053,-0.2651517140886829,-0.3906420877638061
77,77,77,03-18,0.9548182052647664,-0.7933980693175269,-0.6183037099444766
78,78,78,03-19,1.1626200718837854,0.00206772873984994,-0.3480424981882156
79,79,79,03-20,0.915501203006769,-0.9439036017616668,-0.304047554872709
