,unnamed: 0,unnamed: 0,mth_day,disaster,disaster_norm,disaster_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.6014696422864072,0.4031439972077839,
2,2,2,01-03,1.1622769158307815,-0.9277145416478876,
3,3,3,01-04,1.1254110405653883,-1.0394269219627603,
4,4,4,01-05,1.0874809965524403,-1.154363986975616,-0.7980810043596657
5,5,5,01-06,1.4245836427769965,-0.13286270024125613,-0.9961273255369448
6,6,6,01-07,0.8291191595443902,-1.9372618725382569,-1.063237542760498
7,7,7,01-08,1.209329525709576,-0.7851339298558913,-1.026489913606977
8,8,8,01-09,1.0293958390750886,-1.330375844989208,-1.0434764036866262
9,9,9,01-10,1.1981729050348873,-0.8189411470416325,-1.0881482556006292
10,10,10,01-11,1.0538470256689203,-1.2562829274535117,-0.8824778697479281
11,11,11,01-12,1.336131481115385,-0.40089381172527466,-0.8261616670287422
12,12,12,01-13,1.2363552475729362,-0.7032395574220494,-0.5606060495089819
13,13,13,01-14,1.3208379958906398,-0.4472367135407751,-0.4270032192693057
14,14,14,01-15,1.5552072259910603,0.2629578601293535,-0.2678378788489689
15,15,15,01-16,1.4627121760182846,-0.017324165603575484,-0.0938795975917025
16,16,16,01-17,1.3690011511098652,-0.3012908849314909,0.09117660200746057
17,17,17,01-18,1.6805762568942129,0.6428558758183238,0.12324310828738982
18,18,18,01-19,1.6027743724155668,0.4070976401729292,0.1712058085546279
19,19,19,01-20,1.384331038508519,-0.25483767586119965,0.11323454082706705
20,20,20,01-21,1.650175406981903,0.5507340617327822,0.08457479811666517
21,21,21,01-22,1.3479266069167848,-0.3651517719689407,-0.10719558473052604
22,22,22,01-23,1.3122536448663191,-0.4732493411939022,-0.2806740589797433
23,23,23,01-24,1.3008627644210766,-0.5077664212648235,-0.31288067202316805
24,24,24,01-25,1.2592796348649289,-0.6337732053223747,-0.5506071636577466
25,25,25,01-26,1.3205605785559291,-0.4480773541217476,-0.5028022925635793
26,26,26,01-27,1.1794668697627848,-0.8756248880746895,-0.4201566322171888
27,27,27,01-28,1.4425822794502154,-0.0783225454039366,-0.3398623730311348
28,28,28,01-29,1.4758955579811428,0.022624620884441084,-0.3878422134991272
29,29,29,01-30,1.4598488034976853,-0.02600086614849972,-0.3777994131072935
30,30,30,01-31,1.1642775155495468,-0.9216522481303292,-0.6254446649242059
31,31,31,02-01,1.3404457493230564,-0.3878205517707452,-0.6930978712905841
32,32,32,02-02,0.6891187666528348,-2.3614963989761644,-0.8806129683520479
33,33,33,02-03,1.3086260611594438,-0.4842417836022045,-1.0071807146751126
34,34,34,02-04,1.1046077118626747,-1.1024659614843433,-1.0638086408552174
35,35,35,02-05,1.2092392970804189,-0.7854073440868861,-1.1894405651470064
36,36,36,02-06,1.052151819693308,-1.2614198052109598,-1.0966861102378247
37,37,37,02-07,1.0916892102230225,-1.1416120975214783,-1.193394846229375
38,38,38,02-08,0.8727765217925944,-1.8049696695210744,-0.9260845275068812
39,39,39,02-09,1.1171386617455572,-1.0644941995515065,-0.8761402915154148
