,unnamed: 0,unnamed: 0,mth_day,disturbing,disturbing_norm,disturbing_ravg
0,0,0,01-01,,,
1,1,1,01-02,9.457082036063714,0.17364405622547655,
2,2,2,01-03,8.911086580894494,-0.35298073920459244,
3,3,3,01-04,7.756744200689438,-1.4663697135566591,
4,4,4,01-05,7.417961015637454,-1.7931336524027317,-1.3865451968169775
5,5,5,01-06,7.0118165915175945,-2.18486900888275,-1.7461567327519685
6,6,6,01-07,6.482338827162549,-2.695562123080609,-2.185141225113766
7,7,7,01-08,7.22004801164129,-1.9840251593844656,-2.0392929642353583
8,8,8,01-09,6.180297528051999,-2.98688769337538,-1.8794635848235717
9,9,9,01-10,8.664021886149499,-0.591280148286212,-1.665565801923992
10,10,10,01-11,8.412210988505736,-0.8341573759320173,-1.1634365248244758
11,11,11,01-12,8.342409662873857,-0.9014823114852686,-0.9142389517940264
12,12,12,01-13,9.60593238655636,0.3172135395164867,-0.5867703311139029
13,13,13,01-14,8.7702303444277,-0.4888397212017683,-0.37072694411262974
14,14,14,01-15,8.217380249793568,-1.0220759692946406,-0.4197445433032588
15,15,15,01-16,10.007962108247042,0.7049801737214271,-0.2416015953514121
16,16,16,01-17,8.107287407842959,-1.1282629710757914,-0.2679120231899739
17,17,17,01-18,9.450582777351574,0.16737537622581106,-0.3336435150450609
18,18,18,01-19,9.442263214712517,0.15935097248511645,-0.12761729427553556
19,19,19,01-20,8.361334719392865,-0.8832286723322907,-0.2023259426661678
20,20,20,01-21,9.499006726503456,0.2140813553225113,-0.03528123350824438
21,21,21,01-22,9.543222321927539,0.2567282833776335,-0.2044902553977564
22,22,22,01-23,9.146421753226074,-0.1259947161282509,-0.4882195271109713
23,23,23,01-24,8.397984900528996,-0.847878755111261,-0.7031946767358296
24,24,24,01-25,7.677269683854822,-1.5430246577941729,-0.9665868436693764
25,25,25,01-26,7.024039677214224,-2.1730795700814407,-1.2080957755563573
26,26,26,01-27,7.860524140941433,-1.3662716462787694,-1.053992439723613
27,27,27,01-28,8.04086868794745,-1.1923253079442528,-0.9780414056222254
28,28,28,01-29,10.1050517500045,0.7986252988682171,-0.7826456240354577
29,29,29,01-30,8.870453190605168,-0.3921725505029381,-0.4080401107504697
30,30,30,01-31,8.892767430615736,-0.37064996827356667,-0.31732132719122896
31,31,31,02-01,9.354346675781244,0.07455350962848706,-0.10387514032403987
32,32,32,02-02,8.42485811023023,-0.8219589449233251,-0.19708057944138405
33,33,33,02-03,9.368652517694912,0.08835181325888143,-0.14552652160403626
34,34,34,02-04,9.52524905256149,0.23939266416415195,-0.013039586748520071
35,35,35,02-05,9.191155309293697,-0.08284820347885143,-0.1422039314148427
36,36,36,02-06,9.716928369426123,0.4242716408595305,0.3414833599049442
37,37,37,02-07,8.550854560297429,-0.7004325583694487,0.3231790300519479
38,38,38,02-08,11.433729683412158,2.0801648029953963,0.2526132537183656
39,39,39,02-09,9.254786847148663,-0.021474165859096814,0.2969628880426835
