,unnamed: 0,unnamed: 0,mth_day,experiment,experiment_norm,experiment_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4705177563558146,-0.565561724475223,
2,2,2,01-03,0.4849144856026485,-0.4769429240826592,
3,3,3,01-04,0.5138655204833864,-0.29873536476369084,
4,4,4,01-05,0.5058198109565862,-0.3482605808282257,-0.6630255904916204
5,5,5,01-06,0.452950812201918,-0.6736947240469036,-0.5340792159254607
6,6,6,01-07,0.30003612920503514,-1.61495822475302,-0.7993911969268406
7,7,7,01-08,0.5962070706164212,0.20811652292173446,-0.5474172656046092
8,8,8,01-09,0.2263040278105456,-2.0688148100909385,-0.12235470828970252
9,9,9,01-10,0.7594748347893967,1.2131082231696972,-0.017550544716633015
10,10,10,01-11,0.9201457005096793,2.2021147630612146,0.3102803339124078
11,11,11,01-12,0.5551077242940597,-0.044869742608486494,0.194148616689246
12,12,12,01-13,0.6195863179324813,0.3520270470212247,0.594137676281525
13,13,13,01-14,0.4830087278883229,-0.4886737804172358,0.10750467741721677
14,14,14,01-15,0.6161897518648015,0.3311195474627352,-0.3239076682974473
15,15,15,01-16,0.28513371329896503,-1.706689770016152,-0.4965313027654929
16,16,16,01-17,0.4996304120506405,-0.38635931122676975,-0.6015579708580701
17,17,17,01-18,0.3868443953368736,-1.08061154941676,-0.6991527085266495
18,18,18,01-19,0.5172125215690997,-0.2781329615342385,-0.8706859124555129
19,19,19,01-20,0.3878791385975919,-1.0742422064287125,-0.7774219362136576
20,20,20,01-21,0.4489893102294166,-0.6980796761104464,-1.0297649076685031
21,21,21,01-22,0.3760419319944961,-1.1471059125650198,-0.9669191095588364
22,22,22,01-23,0.25366137920768833,-1.9004171399558416,-1.0417125654095527
23,23,23,01-24,0.4481027695652369,-0.7035367607587606,-1.0568745066080074
24,24,24,01-25,0.4443082758414764,-0.7268936966385349,-1.122138178240112
25,25,25,01-26,0.3731001733222585,-1.1652138536194403,-1.012895591495346
26,26,26,01-27,0.38537413561774203,-1.0896617059030749,-0.8059374326529779
27,27,27,01-28,0.4825251569955958,-0.4916503920964244,-0.5167666634903864
28,28,28,01-29,0.4553919757681098,-0.6586681869016332,-0.4273030341617439
29,29,29,01-30,0.7299693656796558,1.031487854216789,-0.32980725953444845
30,30,30,01-31,0.5315121406993657,-0.1901119206666803,-0.3585232813294556
31,31,31,02-01,0.46813329928210495,-0.5802392058556678,-0.2617842394165702
32,32,32,02-02,0.35738345267027205,-1.2619578366731177,-0.0975868719296614
33,33,33,02-03,0.5768206645751446,0.08878385938088801,-0.1979456519286147
34,34,34,02-04,0.6154418770721402,0.3265160180198194,-0.2387513072475257
35,35,35,02-05,0.6321455510858803,0.4293351742230688,-0.20601471568403115
36,36,36,02-06,0.49173719664029797,-0.4349458525801462,-0.16266707278419631
37,37,37,02-07,0.5000429963068481,-0.3838196564747005,-0.22226170241925333
38,38,38,02-08,0.39963617617044667,-1.0018719792741084,-0.5280220187003689
39,39,39,02-09,0.5187313374603139,-0.2687839184294539,-0.6211576288683621
40,40,40,02-10,0.31740476970266096,-1.5080458796668743,-0.4659972170627602
41,41,41,02-11,0.5413624560617386,-0.12947848678489046,-0.6392817002160447
42,42,42,02-12,0.6429784069950211,0.4960166182534664,-0.5359312095034742
43,43,43,02-13,0.3311355110609942,-1.4235265553944074,-0.4000446197223995
44,44,44,02-14,0.5003761337680546,-0.3817690349986849,-0.047305100901312826
45,45,45,02-15,0.651185563833561,0.546535620256994,-0.04075997694851203
46,46,46,02-16,0.6612344305396244,0.608391233259646,-0.11880714817379047
47,47,47,02-17,0.5477422565341911,-0.09020774306808567,0.02648404351976756
48,48,48,02-18,0.5669026315861339,0.02773359090179575,0.10140391461135807
49,49,49,02-19,0.4727567882276511,-0.5517794052330591,-0.025058282369094558
50,50,50,02-20,0.5734036016102279,0.06775019155085821,0.12106748451489704
51,51,51,02-21,0.5279176792432309,-0.21223756162572188,0.3708862338057153
52,52,52,02-22,0.8036692023371884,1.4851458345635955,0.30325670775651176
53,53,53,02-23,0.7912508266157399,1.4087047526768235,0.4082510786594207
54,54,54,02-24,0.5009813617443603,-0.37804356539342543,0.4218517105492821
55,55,55,02-25,0.5750991031970377,0.07818682018439474,0.3645467693345609
56,56,56,02-26,0.5866606947351728,0.14935398289002627,0.4113256106762569
57,57,57,02-27,0.4720602052409109,-0.5560672089140489,0.5599878984523995
58,58,58,02-28,0.8492664555358566,1.7658188826137715,0.6555723876800158
59,59,59,02-29,0.9361580492488921,2.300678479333679,0.3734520471970719
60,60,60,03-01,0.5941514795192134,0.1954633699722722,0.19004084765645293
61,61,61,03-02,0.3001048487748124,-1.6145352227132688,0.2231122562907164
62,62,62,03-03,0.407882284132029,-0.951113214353687,-0.1447832935876809
63,63,63,03-04,0.5042962621820865,-0.35763875710846826,-0.4004108867666847
64,64,64,03-05,0.49066359028027295,-0.4415544166566122,-0.2515733820652579
65,65,65,03-06,0.6869873610394824,0.7669129202596565,-0.08143526186450563
66,66,66,03-07,0.7392294932681291,1.088488398180833,0.03815641280428925
67,67,67,03-08,0.4659454451434156,-0.5937065015087554,0.0787573415908102
68,68,68,03-09,0.5244531891378622,-0.2335631663409177,-0.019118596216836408
69,69,69,03-10,0.5438716509023273,-0.11403318438934255,0.09485182543326336
70,70,70,03-11,0.3952599036931406,-1.0288100435024918,-0.2895602952741806
71,71,71,03-12,0.7980790004236006,1.4507354501602552,-0.5518560772883575
72,72,72,03-13,0.36452724973669903,-1.2179843260638308,-0.6150463495212712
73,73,73,03-14,0.21027500007870087,-2.167481193593817,-0.8233002546282959
74,74,74,03-15,0.4628590418683635,-0.6127047997384001,-0.7869572539839321
75,75,75,03-16,0.3408780373706386,-1.3635566150314913,-1.1305959456316896
76,76,76,03-17,0.43068491540464987,-0.8107520396363094,-0.5240476696269881
77,77,77,03-18,0.4631202886960529,-0.6110966997262889,0.03342140992432504
78,78,78,03-19,0.9557547048201194,2.4213053299643774,-0.041958169217195314
79,79,79,03-20,0.7536629515898599,1.1773332837140622,0.4017425013003268
80,80,80,03-21,0.3893834777555493,-1.064982274587522,0.6392106726738692
81,81,81,03-22,0.7733712594713119,1.2986474080736414,0.946183366833116
82,82,82,03-23,0.6621548711834127,0.6140569886049453,0.4809694017753785
83,83,83,03-24,0.7623391504548254,1.2307394652291908,0.2315699964487989
84,84,84,03-25,0.5022915931250802,-0.3699784603820472,0.22337810692188606
85,85,85,03-26,0.5105631332509001,-0.31906314824541593,0.07181465582728619
86,86,86,03-27,0.3813985074095391,-1.114133611748999,-0.1087432873708566
87,87,87,03-28,0.6256361540901433,0.3892667015060424,-0.06506633404335145
88,88,88,03-29,0.4861576464360336,-0.4692906705839114,0.09102717930227652
89,89,89,03-30,0.8049128663207955,1.4928011851942216,0.0008096002858509385
90,90,90,03-31,0.6544423357803115,0.5665826196917205,0.038818360991787634
91,91,91,04-01,0.4226243627427877,-0.8603686223439694,0.07559493042821243
92,92,92,04-02,0.41844720369974414,-0.8860810475133789,-0.015345434822859818
93,93,93,04-03,0.6614837830667156,0.6099261181245912,-0.28227723308566216
94,94,94,04-04,0.3975143465722461,-1.0149328620903448,0.03351515912402636
95,95,95,04-05,0.5447235062795935,-0.1087896043825924,0.3218806689158618
96,96,96,04-06,0.9622581185744784,2.4613369729498515,0.4736365984971894
97,97,97,04-07,0.7037060395568168,0.8698244364070433,0.3442608843643103
98,98,98,04-08,0.5663699257478266,0.024454529974586657,0.40584603802382
99,99,99,04-09,0.535375973940259,-0.16632816667268313,0.5821785774800617
100,100,100,04-10,0.4575439190060666,-0.645421940133287,0.07334803779339816
101,101,101,04-11,0.7166020568837049,0.9492056323548584,-0.11268620296679732
102,102,102,04-12,0.4662801446047071,-0.5916462651701299,-0.2772641860354093
103,103,103,04-13,0.5223708432101798,-0.2463810081541295,-0.07757353730003504
104,104,104,04-14,0.4059490228423776,-0.9630133684370854,-0.06237574821501943
105,105,105,04-15,0.7300226306473625,1.0318157257395624,-0.2863030500057088
106,106,106,04-16,0.4723578266851295,-0.5542352056231934,-0.13203546589665574
107,107,107,04-17,0.4983309414607669,-0.3943581783892781,0.263224752120664
108,108,108,04-18,0.6166510792241898,0.3339592394841888,0.5901924765983579
109,109,109,04-19,0.90764717163929,2.125180299949789,0.4730349047854487
110,110,110,04-20,0.7246578598548259,0.9987929784290784,0.4475924829108068
111,111,111,04-21,0.6158243454210724,0.3288702948621069,0.7215584386347703
112,112,112,04-22,0.4475580557003931,-0.7068897368710445,0.6523491308439447
113,113,113,04-23,0.765376782970867,1.2494375559545028,0.2351491652948093
114,114,114,04-24,0.5491899313947336,-0.081296607260765,-0.05284931820903965
115,115,115,04-25,0.5009852724129964,-0.3780194933450229,-0.15688185366708607
116,116,116,04-26,0.4439339386008725,-0.7291979225940158,-0.04134540323277264
117,117,117,04-27,0.5144195708664749,-0.2953249178861715,-0.14732976124698507
118,118,118,04-28,0.5601761675011452,-0.013671034265163936,-0.3028267611768381
119,119,119,04-29,0.6620694870040291,0.6135314078692281,-0.3310603658313783
120,120,120,04-30,0.3976206348051886,-1.0142786068398828,-0.3013110127593828
121,121,121,05-01,0.4734648212171119,-0.5474211212722645,-0.2951389036280358
122,122,122,05-02,0.47293185187991,-0.5507018041620425,0.010422963386297505
123,123,123,05-03,0.5204357785099292,-0.2582922630980897,-0.36435280581875146
124,124,124,05-04,0.8580198382397667,1.819700167820836,-0.2962287644703924
125,125,125,05-05,0.2967601900861446,-1.6351232073610658,-0.3035905743932469
126,126,126,05-06,0.4640239289694867,-0.6055343587497284,0.0941502407604502
127,127,127,05-07,0.4662889634697833,-0.5915919808093919,0.4519987948564245
128,128,128,05-08,0.8606261199686429,1.83574308676014,0.10922801828825306
129,129,129,05-09,0.8692454253480065,1.888799061477756,0.5040960502724993
130,130,130,05-10,0.523907118899028,-0.2369244915881931,0.6721810052811079
131,131,131,05-11,0.6816542387208406,0.7340849845444117,1.006527813300606
132,132,132,05-12,0.6278632211065246,0.4029753713019242,0.8064029121147595
133,133,133,05-13,0.7921904955336558,1.4144888673075968,0.8397278111931479
134,134,134,05-14,0.6655561796066131,0.6349936796450599,0.8196982691815609
135,135,135,05-15,0.901728569810649,2.0887484559480867,0.8597257636972664
136,136,136,05-16,0.5043835036840946,-0.35710174365771485,0.8416046843532493
137,137,137,05-17,0.7206706775635464,0.974249951638644,0.5555126800223728
138,138,138,05-18,0.6101998626439494,0.29424889523782105,0.4333575802111425
139,139,139,05-19,0.5133248976386121,-0.30206315867766265,-0.10886889657259967
140,140,140,05-20,0.5464865990901645,-0.09793691922232142,0.012587481121230398
141,141,141,05-21,0.3731982077109694,-1.1646104047543662,-0.11241248063324956
142,142,142,05-22,0.6227720111258621,0.3716365225052656,-0.19829582140326488
143,143,143,05-23,0.59882809355618,0.22425018111176426,0.01314124782331914
144,144,144,05-24,0.5264858517296315,-0.22105114938227088,-0.04593191470335902
145,145,145,05-25,0.7194212716528073,0.9665592566818416,0.008350999684666979
146,146,146,05-26,0.4889055673305318,-0.4523758943823904,0.12220932948280346
147,147,147,05-27,0.42610998835197983,-0.8389129184262101,0.12443011397105096
148,148,148,05-28,0.7337543899894354,1.0547865012940845,0.04313950739442116
149,149,149,05-29,0.6009927831830699,0.2375748880412493,-0.4033016330902697
150,150,150,05-30,0.4472485669992799,-0.7087947888420497,-0.17495561180873845
151,151,151,05-31,0.2842568011972724,-1.7120875862263036,-0.17688558380409955
152,152,152,06-01,0.7114837896774334,0.9177002333067976,-0.2871238687160665
153,153,153,06-02,0.4242287655765799,-0.8504927503983766,-0.15546792682824387
154,154,154,06-03,0.6263006171907175,0.3933567918222829,0.006831421852438273
155,155,155,06-04,0.7293232237238731,1.0275105393681851,0.2844619901913428
156,156,156,06-05,0.6054483916104912,0.2650013032420431,0.11603792005177592
157,157,157,06-06,0.5548746907634144,-0.04630417619287664,0.3713780093211971
158,158,158,06-07,0.5473139481286038,-0.09284418753060368,0.3248447170607053
159,159,159,06-08,0.6731192119461994,0.6815477852181507,0.027599944820770626
160,160,160,06-09,0.5809427107417173,0.11415703825933216,-0.1630246312423834
161,161,161,06-10,0.4395865660156821,-0.7559580940714236,-0.2340974298004911
162,162,162,06-11,0.4196388073766703,-0.878746153136881,-0.2926334153387819
163,163,163,06-12,0.4855971221353224,-0.4727409675415229,-0.5159057794227497
164,164,164,06-13,0.4902565247878518,-0.4440601007603484,-0.4183780956651198
165,165,165,06-14,0.4554864911389936,-0.6580863992856564,-0.37464690472807777
166,166,166,06-15,0.6760069398382275,0.6993231408051119,-0.29147088892793105
167,167,167,06-16,0.4822131495017988,-0.4935709484491711,-0.03030869948546443
168,168,168,06-17,0.5007138777229554,-0.3796900583360007,-0.1185252153563738
169,169,169,06-18,0.7401626080767693,1.0942321691132766,0.10142573199581356
170,170,170,06-19,0.4042682725118208,-0.9733591959858048,-0.022722723921001275
171,171,171,06-20,0.6698816909783105,0.6616192848274678,-0.031429001492132486
172,172,172,06-21,0.5549943534572784,-0.045567594695777126,0.13545699035857076
173,173,173,06-22,0.4737267840544591,-0.5458086138759584,0.01806842847472445
174,174,174,06-23,0.6633844913481088,0.6216258927682188,0.1079727278766186
175,175,175,06-24,0.6257391673646056,0.3899007978101988,0.0028001960120039304
176,176,176,06-25,0.4919016765444913,-0.4339333995744399,0.3634509237627599
177,177,177,06-26,0.5673657152202423,0.03058409363977988,0.5769779121055761
178,178,178,06-27,0.906535393762552,2.1183367718087585,0.6410581702675736
179,179,179,06-28,0.6818602878558481,0.7353533161809388,0.5786319006299127
180,180,180,06-29,0.7258461443656713,1.0061074417402038,0.6197515243461271
