,unnamed: 0,unnamed: 0,mth_day,food,food_norm,food_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3084528065059289,-1.4318118483192157,
2,2,2,01-03,1.7264754360612309,-0.2901549778935682,
3,3,3,01-04,1.8373997667562392,0.012789205702524271,
4,4,4,01-05,1.409320377658205,-1.1563335668404149,-0.8947501276134721
5,5,5,01-06,1.453765189556275,-1.0349508443017186,-1.0073753095880318
6,6,6,01-07,1.2951881747088785,-1.4680387340284398,-1.2979575597495905
7,7,7,01-08,1.061023604565786,-2.1075629401665736,-1.3618037157507548
8,8,8,01-09,1.0880877061156655,-2.033648478862919,-1.4757089082528487
9,9,9,01-10,1.697134480171553,-0.3702877303044637,-1.496740451278154
10,10,10,01-11,1.1590790871802237,-1.8397647218529758,-1.1630408045160363
11,11,11,01-12,1.4075604437340086,-1.1611401024535504,-0.5393444780013322
12,12,12,01-13,2.028301638665003,0.5341591465442661,-0.1961770618077128
13,13,13,01-14,2.4312383435518745,1.6346150189216515,0.025667121011154287
14,14,14,01-15,1.8420011598566584,0.02535601829879788,0.08554806662162946
15,15,15,01-16,2.184509755821136,0.9607773666087388,0.3672436650731603
16,16,16,01-17,1.2906330995605786,-1.4804790481901249,0.5743769599874086
17,17,17,01-18,2.0264248565849226,0.5290334882556348,0.2403661444667815
18,18,18,01-19,2.483358180704078,1.7769589160297552,0.01934151583038136
19,19,19,01-20,1.697441264828281,-0.3694498742021105,-0.16030413611653646
20,20,20,01-21,1.3564263841819422,-1.300791753519603,-0.13248921913116085
21,21,21,01-22,1.7898415340793672,-0.11709654507276834,-0.3791741930877542
22,22,22,01-23,1.351740416690396,-1.3135895462778708,-0.93462602965398
23,23,23,01-24,1.4844761985086838,-0.9510763554839252,-1.1963884404491298
24,24,24,01-25,1.2630715429536292,-1.5557521033675994,-1.2927545532479223
25,25,25,01-26,1.1223685922211744,-1.9400243389730096,-1.540971959681911
26,26,26,01-27,1.1447171556963904,-1.8789884303123552,-1.3772261250702542
27,27,27,01-28,1.2445262350951052,-1.6064009836767013,-1.4400692600808065
28,28,28,01-29,1.7114779147229116,-0.3311145386079299,-1.2829061235350074
29,29,29,01-30,1.3464144749183953,-1.328135165547239,-1.1500460702199111
30,30,30,01-31,1.608347339788485,-0.6127732840928044,-1.0102449678386165
31,31,31,02-01,1.4142523111651732,-1.1428640190824322,-0.7243030466016833
32,32,32,02-02,1.4518498465041136,-1.040181816024586,-0.931602527057678
33,33,33,02-03,1.8727195053076848,0.10925054374489698,-0.7745463879680047
34,34,34,02-04,1.25605627532952,-1.5749114213438986,-0.6047315905403207
35,35,35,02-05,1.6914552062491195,-0.38579833100919786,-0.5319605447326273
36,36,36,02-06,1.9814179006391648,0.4061155004733001,-0.4196554911260873
37,37,37,02-07,1.5741249211167767,-0.7062377442362721,-0.6640310045421811
38,38,38,02-08,1.6985757500767973,-0.3663514943853457,-0.34445181188482793
39,39,39,02-09,1.3358445613727217,-1.3570025367516656,-0.3440578705677009
40,40,40,02-10,1.9581481451011091,0.34256373460022016,-0.5314514551740491
41,41,41,02-11,1.6923206662110846,-0.38343468310643575,-0.5981328795460191
42,42,42,02-12,1.5697280434070155,-0.7182460071647893,-0.6213599450491035
43,43,43,02-13,1.4276307594441644,-1.1063262904680922,-0.5109193298709025
44,44,44,02-14,1.6475476036171737,-0.505713887403852,-0.6333543273265362
45,45,45,02-15,1.5784744314979773,-0.6943588456824598,-0.6490806288361735
46,46,46,02-16,1.6891675034819564,-0.3920462501335815,-0.5144260693150609
47,47,47,02-17,1.6577711439481275,-0.4777924921642594,-0.3550041337487328
48,48,48,02-18,1.8655541598739016,0.08968134996188631,-0.25893772597024983
49,49,49,02-19,1.7778689708047428,-0.14979467707012334,-0.2873818931762487
50,50,50,02-20,1.8585984023209268,0.07068455926704545,-0.09569696594152427
51,51,51,02-21,1.515984698134243,-0.8650238489184529,0.10498880279339634
52,52,52,02-22,2.1102851233438766,0.7580633132747651,0.09518511134242806
53,53,53,02-23,2.098662947435219,0.7263221202452644,0.28668793097946993
54,54,54,02-24,1.8440161742364765,0.030859201256076562,0.6014445589930121
