,unnamed: 0,unnamed: 0,mth_day,funny,funny_norm,funny_ravg
0,0,0,1-Jan,,,
1,1,1,2-Jan,15.01959167,-1.3797707280000002,
2,2,2,3-Jan,16.16858985,-0.7233948859999999,
3,3,3,4-Jan,14.81353602,-1.497481929,
4,4,4,5-Jan,13.34992725,-2.3335819840000003,-1.802980744
5,5,5,6-Jan,13.63411476,-2.171237238,-1.999480799
6,6,6,7-Jan,12.68676826,-2.7124176980000003,-2.217097668
7,7,7,8-Jan,12.95572957,-2.55877106,-2.069528816
8,8,8,9-Jan,13.88293548,-2.029096102,-1.73687913
9,9,9,10-Jan,16.36346821,-0.612068816,-1.549042604
10,10,10,11-Jan,16.8437842,-0.337683864,-1.130485637
11,11,11,12-Jan,15.60698284,-1.044218086,-0.708360399
12,12,12,13-Jan,17.08291899,-0.201075897,-0.450594411
13,13,13,14-Jan,17.38935826,-0.026019628,-0.264733838
14,14,14,15-Jan,16.59028054,-0.482500176,-0.41503829
15,15,15,16-Jan,18.31558265,0.503094625,-0.192977574
16,16,16,17-Jan,15.26511968,-1.239510579,-0.17144541100000002
17,17,17,18-Jan,17.93931143,0.288146209,-0.302632414
18,18,18,19-Jan,17.30907372,-0.071882914,-0.516189789
19,19,19,20-Jan,16.01148646,-0.813141648,-0.656466113
20,20,20,21-Jan,14.34726349,-1.7638444290000002,-0.503105492
21,21,21,22-Jan,16.8422447,-0.33856331799999995,-0.844769867
22,22,22,23-Jan,16.87588348,-0.319346853,-0.583708114
23,23,23,24-Jan,14.35077221,-1.761840039,-0.8971240009999999
24,24,24,25-Jan,20.05103458,1.494487604,-0.908233327
25,25,25,26-Jan,12.71964427,-2.69363697,-1.248145669
26,26,26,27-Jan,14.23058099,-1.830500385,-1.395164039
27,27,27,28-Jan,13.27210726,-2.378037373,-1.272504968
28,28,28,29-Jan,15.33173306,-1.201457072,-1.795932274
29,29,29,30-Jan,15.63907418,-1.02588561,-1.441503141
30,30,30,31-Jan,14.55341891,-1.646076233,-1.410749246
31,31,31,1-Feb,16.44225318,-0.567062172,-0.98546057
32,32,32,2-Feb,14.55359259,-1.645977016,-1.016656839
33,33,33,3-Feb,17.738961899999996,0.173694686,-0.936004793
34,34,34,4-Feb,15.00407514,-1.388634691,-0.823799795
35,35,35,5-Feb,16.48617166,-0.541973335,-0.882234596
36,36,36,6-Feb,15.73192058,-0.972846244,-0.8811130490000001
37,37,37,7-Feb,15.82850592,-0.917670975,-0.960630132
38,38,38,8-Feb,14.56537233,-1.6392477330000002,-0.717396045
39,39,39,9-Feb,16.90378506,-0.303407813,-0.6927723729999999
40,40,40,10-Feb,17.55879002,0.07076983099999999,-0.7190308540000001
41,41,41,11-Feb,16.74479685,-0.394231303,-0.803525774
42,42,42,12-Feb,15.45612482,-1.13039713,-0.577971339
43,43,43,13-Feb,14.941046300000002,-1.424640498,-0.729594952
44,44,44,14-Feb,16.93439584,-0.285921122,-1.04068581
45,45,45,15-Feb,15.31126526,-1.213149493,-1.120036364
46,46,46,16-Feb,14.29136787,-1.7957753159999998,-1.066054854
47,47,47,17-Feb,15.91136909,-0.8703346240000001,-0.967977334
48,48,48,18-Feb,16.02309867,-0.806508069,-0.918937788
49,49,49,19-Feb,15.97116549,-0.83617538,-0.770160084
50,50,50,20-Feb,17.44946369,0.008316156,-0.403490694
51,51,51,21-Feb,16.87389416,-0.320483268,-0.311159366
52,52,52,22-Feb,18.14253757,0.404241022,-0.179979235
53,53,53,23-Feb,16.88113537,-0.316346659,-0.02094587
54,54,54,24-Feb,17.40089829,-0.019427281,0.116175295
55,55,55,25-Feb,17.64151074,0.11802481,0.152351528
56,56,56,26-Feb,18.88966266,0.8310431490000001,-0.00760674
57,57,57,27-Feb,17.25385718,-0.103425874,-0.208492941
58,58,58,28-Feb,16.46247795,-0.555508587,-0.270545113
59,59,59,29-Feb,14.77120509,-1.5216638619999998,-0.5498802279999999
60,60,60,1-Mar,16.74915737,-0.391740314,-0.903758798
61,61,61,2-Mar,14.70762272,-1.557985879,-1.096108344
62,62,62,3-Mar,15.17283638,-1.292228272,-1.040931197
63,63,63,4-Mar,15.23358834,-1.25752315,-1.039333418
64,64,64,5-Mar,17.04200971,-0.224445705,-1.149839303
65,65,65,6-Mar,14.78798675,-1.512077186,-1.153043444
66,66,66,7-Mar,15.58850167,-1.054775626,-1.028263895
67,67,67,8-Mar,14.67396927,-1.577210725,-0.933262457
68,68,68,9-Mar,16.48340997,-0.543550978,-0.936494266
69,69,69,10-Mar,16.2313991,-0.68751452,-0.767062502
70,70,70,11-Mar,17.00806565,-0.243836562,-0.702312128
71,71,71,12-Mar,16.56754756,-0.495486599,-0.501856135
72,72,72,13-Mar,16.26858211,-0.6662733820000001,-0.649388105
73,73,73,14-Mar,16.77938103,-0.374474769,-0.695897306
74,74,74,15-Mar,14.93386515,-1.4287428,-0.525499983
75,75,75,16-Mar,15.74290775,-0.966569725,-0.8770874359999999
76,76,76,17-Mar,18.79776783,0.778547375,-0.740809883
77,77,77,18-Mar,12.87478514,-2.6050113130000003,-0.651972928
78,78,78,19-Mar,17.69992052,0.151391937,-0.564809102
79,79,79,20-Mar,17.71244552,0.158546957,-0.379351771
80,80,80,21-Mar,15.84935658,-0.905759843,-0.33819102
81,81,81,22-Mar,17.69078689,0.146174263,0.188438702
82,82,82,23-Mar,19.23008381,1.025511881,0.081753522
83,83,83,24-Mar,18.40603613,0.554767013,0.053192568
84,84,84,25-Mar,16.57939412,-0.48871914,0.290617171
85,85,85,26-Mar,17.41246662,-0.012818768,0.34848498200000005
86,86,86,27-Mar,18.3430538,0.518787773,0.27383933
87,87,87,28-Mar,18.298579,0.493381134,0.176101683
88,88,88,29-Mar,18.44607216,0.577637969,0.292799701
89,89,89,30-Mar,17.37948667,-0.031658869,0.245076342
90,90,90,31-Mar,17.80508649,0.211468967,0.103308765
91,91,91,1-Apr,16.91122282,-0.299158924,-0.08162223
92,92,92,2-Apr,16.85405304,-0.331817691,-0.219103887
93,93,93,3-Apr,16.35622803,-0.616204835,-0.281861535
94,94,94,4-Apr,17.00208692,-0.247251969,-0.197271611
95,95,95,5-Apr,16.72033605,-0.40820476,-0.1531549
96,96,96,6-Apr,18.69354394,0.719008512,-0.095268361
97,97,97,7-Apr,17.37458558,-0.034458658,-0.12544106800000002
98,98,98,8-Apr,17.46204185,0.015501545,-0.016632285
99,99,99,9-Apr,16.0393207,-0.79724108,0.012742434
100,100,100,10-Apr,18.14491776,0.405600729,-0.280156287
101,101,101,11-Apr,17.02886202,-0.231956441,-0.262153085
102,102,102,12-Apr,15.61719584,-1.038383818,-0.335810836
103,103,103,13-Apr,17.56367524,0.073560557,-0.284138987
104,104,104,14-Apr,16.68840623,-0.426444963,-0.357475507
105,105,105,15-Apr,16.58203592,-0.487209988,-0.472542308
106,106,106,16-Apr,17.37465607,-0.03441839,-0.287777294
107,107,107,17-Apr,15.82030252,-0.922357246,-0.346352535
108,108,108,18-Apr,17.55780349,0.070206264,-0.237860576
109,109,109,19-Apr,16.94845292,-0.277890888,-0.236160337
110,110,110,20-Apr,17.82790944,0.22450679,-0.216646497
111,111,111,21-Apr,16.59989373,-0.47700855,-0.143929354
112,112,112,22-Apr,17.57961212,0.082664649,-0.210409654
113,113,113,23-Apr,16.58405881,-0.486054393,-0.032324602
114,114,114,24-Apr,16.85955344,-0.328675535,-0.209874827
115,115,115,25-Apr,18.81890019,0.790619429,-0.132527308
116,116,116,26-Apr,15.96307952,-0.840794563,-0.055766554
117,117,117,27-Apr,17.41228339,-0.012923438,0.068373912
118,118,118,28-Apr,18.38583893,0.5432291770000001,0.249575478
119,119,119,29-Apr,17.88792004,0.258788405,0.117335538
120,120,120,30-Apr,18.76273379,0.758533857,0.280891999
121,121,121,1-May,17.42996928,-0.002820209,0.490935632
122,122,122,2-May,17.68093136,0.140544203,0.361167124
123,123,123,3-May,19.61839521,1.247338362,0.476852736
124,124,124,4-May,17.02286574,-0.235381876,0.504823563
125,125,125,5-May,19.102979,0.952902078,0.612497839
126,126,126,6-May,19.05651453,0.926358823,0.636149955
127,127,127,7-May,18.56088426,0.643225443,0.625970538
128,128,128,8-May,17.92935219,0.282456904,0.7750349470000001
129,129,129,9-May,19.51147965,1.186261859,0.729210725
130,130,130,10-May,18.58850592,0.6590045729999999,0.725078532
131,131,131,11-May,18.62168207,0.677956751,0.601363214
132,132,132,12-May,19.01311364,0.90156566,0.529578451
133,133,133,13-May,17.26148841,-0.099066464,0.419305173
134,134,134,14-May,17.17538878,-0.148251674,0.404151503
