,unnamed: 0,unnamed: 0,mth_day,gangsters,gangsters_norm,gangsters_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.607693955062864,-1.7465924781873403,
2,2,2,01-03,3.555588255192444,-0.1907621413420919,
3,3,3,01-04,2.970926737459591,-1.1503988075298812,
4,4,4,01-05,2.8946181548333767,-1.2756482238364215,-0.9248528966835148
5,5,5,01-06,3.47577052885,-0.32177130559659783,-1.1173060340972931
6,6,6,01-07,3.14544993021115,-0.863944423608755,-1.4847750004526967
7,7,7,01-08,1.9041780471529623,-2.9013113026700097,-1.4109002779868192
8,8,8,01-09,2.212298834358473,-2.395575939474515,-1.4436711136968496
9,9,9,01-10,3.2409771151545685,-0.7071504727346141,-1.648099231551137
10,10,10,01-11,2.774823775030984,-1.4722732380966044,-1.4325720350591924
11,11,11,01-12,2.728479864394067,-1.5483400127223232,-0.9475417401119208
12,12,12,01-13,3.9333134764068407,0.4292187553429116,-0.7589231915007751
13,13,13,01-14,3.677215020720157,0.008870467013619973,-0.5398706164006261
14,14,14,01-15,2.901797333879,-1.2638646478076423,-0.5991031141525442
15,15,15,01-16,4.041727746308219,0.6071649778662803,-0.09574994516415784
16,16,16,01-17,2.5582983133331667,-1.8276682246081128,-0.04230167621624047
17,17,17,01-18,4.5684964338243255,1.4717790012079952,0.020996405673490537
18,18,18,01-19,4.1286945855973975,0.7499083690304158,0.30757716080670466
19,19,19,01-20,3.9086022984129407,0.3886589583520061,0.056577192296362926
20,20,20,01-21,3.9493984426287807,0.4556198829916424,0.20605458588446168
21,21,21,01-22,3.1241928435009245,-0.8988348331957702,-0.033394979028736525
22,22,22,01-23,3.1047156161388947,-0.9308038630795205,-0.3457643794344059
23,23,23,01-24,3.693184239269897,0.035081611728805896,-0.5330537442586024
24,24,24,01-25,2.9868226198669348,-1.1243080334036004,-0.8499662058393672
25,25,25,01-26,3.223962654150482,-0.7350772305931728,-0.9454190670307892
26,26,26,01-27,2.7909192349991336,-1.4458548864929472,-0.7320911669500753
27,27,27,01-28,2.7752631912952483,-1.4715520003443026,-0.6933288516375389
28,28,28,01-29,3.884539594716713,0.3491635374047637,-0.5065883006383168
29,29,29,01-30,3.8348805806039334,0.2676555036040243,-0.4576504743194518
