,unnamed: 0,unnamed: 0,mth_day,genius,genius_norm,genius_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.934890419830273,-1.0133046867231588,
2,2,2,01-03,5.610574394200347,-0.07622659863662225,
3,3,3,01-04,5.057820065324603,-0.8428186584340075,
4,4,4,01-05,4.460516614015488,-1.6711940489885195,-1.2909709970375955
5,5,5,01-06,4.330639964017417,-1.851314589779412,-1.4058281691475505
6,6,6,01-07,4.013626513695168,-2.290967399663853,-1.8509828599487443
7,7,7,01-08,4.437981027606848,-1.7024477193828855,-1.8682702759620584
8,8,8,01-09,3.6846907703229577,-2.7471547434437884,-1.7976889502657278
9,9,9,01-10,4.983029094708803,-0.9465431545138936,-1.5996589740599898
10,10,10,01-11,4.765874329252564,-1.2477060948105356,-1.1382953570197172
11,11,11,01-12,5.187381892368308,-0.6631347325449817,-0.8472550665412367
12,12,12,01-13,6.009635211506506,0.4772143025777853,-0.4960405303359153
13,13,13,01-14,5.697115752913711,0.04379402348799555,-0.12647833957015178
14,14,14,01-15,5.204158806317663,-0.6398675262118594,-0.15362145666411042
15,15,15,01-16,6.581875037271037,1.2708299900806876,0.1956616100927074
16,16,16,01-17,4.648444398056832,-1.4105647973742876,0.3420817056071935
17,17,17,01-18,6.698493764859048,1.4325636679959253,0.21278662189925346
18,18,18,01-19,6.6430960510416055,1.3557348756647016,0.4646250601901332
19,19,19,01-20,5.1377432707035116,-0.7319764787596448,0.06832009755606852
20,20,20,01-21,6.293693599929142,0.8711631035334186,0.07044247383109759
21,21,21,01-22,4.867331186852202,-1.1069997857237002,-0.4843450216420275
22,22,22,01-23,4.657626486432512,-1.3978305397241133,-0.995057218815812
23,23,23,01-24,4.298303057353253,-1.8961613048428247,-1.2782464150993402
24,24,24,01-25,4.433589384311468,-1.7085383073780056,-1.719909497268998
25,25,25,01-26,3.912574926189723,-2.4311116564608146,-1.9178825206792915
26,26,26,01-27,4.3829158078522985,-1.7788153894845262,-1.6410647482319405
27,27,27,01-28,4.0108356547728725,-2.29483792618546,-1.4065761258351424
28,28,28,01-29,5.855229984207763,0.263076094959994,-1.3388225483273497
29,29,29,01-30,5.312776918218945,-0.4892295704620378,-1.3384618038123488
30,30,30,01-31,4.726713343415472,-1.3020168423312488,-1.2489302791488033
31,31,31,02-01,3.9141356240060095,-2.42894718937081,-0.8486832805683188
32,32,32,02-02,4.770258232257532,-1.241626241503253,-1.1408429102066977
33,33,33,02-03,5.74243403169862,0.10664406529744644,-1.1200430759239743
34,34,34,02-04,4.591252634522993,-1.4898816828702788,-0.6295379328511775
35,35,35,02-05,5.402763749880459,-0.3644305647656971,-0.2202792610056453
36,36,36,02-06,6.848797737879188,1.6410140161055309,-0.01924199230992807
37,37,37,02-07,5.684721423334638,0.02660484170238344,-0.3220196527462637
38,38,38,02-08,5.6400106836430925,-0.035402629328949664,-0.24167133065975965
39,39,39,02-09,4.432519635737182,-1.7100218973205672,-0.00411739627947505
40,40,40,02-10,4.93886554506858,-1.0077917503512546,-0.4416268147592589
41,41,41,02-11,6.430499144934295,1.0608930415160105,-0.6330496140088907
42,42,42,02-12,4.95599004259055,-0.9840424947731716,-0.6419819107887091
43,43,43,02-13,4.8565642862097445,-1.1219319537954069,-0.4802147928219174
44,44,44,02-14,5.6013666696692015,-0.08899641000786103,-0.4100258948421062
45,45,45,02-15,5.1323766737779675,-0.7394191895198169,-0.6911141829410915
46,46,46,02-16,5.242525490679912,-0.5866583624723871,-0.6569632300910357
47,47,47,02-17,5.214420010871371,-0.6256366870779018,-0.6745457327434713
48,48,48,02-18,5.103738144975715,-0.7791367776728365,-0.6210004983420937
49,49,49,02-19,4.780496675051562,-1.2274269697100204,-0.5282797294610005
50,50,50,02-20,5.8330207265649925,0.2322749964004045,-0.15279170369283065
51,51,51,02-21,5.533516803425993,-0.18309457623325828,0.0178383637428442
52,52,52,02-22,6.867008518113459,1.6662697921366318,0.13073414662884025
53,53,53,02-23,5.952621043919049,0.3981437175361474,0.5090671757513104
54,54,54,02-24,5.592161931039015,-0.10176208035686032,0.7472849876673814
55,55,55,02-25,6.417288110063748,1.0425712050248013,0.7922530032878278
56,56,56,02-26,6.863628271235247,1.6615818678968302,0.6967282296053829
57,57,57,02-27,5.728063028976959,0.08671351748941962,0.4320475525845424
58,58,58,02-28,6.453737353928927,1.0931211500419626,0.4316406770331918
59,59,59,02-29,4.807526558867629,-1.189940344588896,0.012679873448769013
60,60,60,03-01,5.5904016553921565,-0.1042033336649634,-0.3416092989192266
61,61,61,03-02,4.604727740953543,-1.4711936164817356,-0.3451972535946572
62,62,62,03-03,5.330858361627984,-0.464153166311144,-0.6596016408623456
63,63,63,03-04,5.712540372930834,0.06518578943683644,-0.5141206788821849
64,64,64,03-05,5.093521965376583,-0.7933051735641674,-0.4323966864803993
65,65,65,03-06,5.4369244020291845,-0.3170545727079319,-0.5307380326182192
66,66,66,03-07,5.943966162061075,0.3861406207457512,-0.5595752818788393
67,67,67,03-08,4.179271170483598,-2.061241693308655,-0.9177559153042107
68,68,68,03-09,5.206099065014165,-0.6371766618748648,-0.8565165855228629
69,69,69,03-10,4.1629347401958015,-2.0838980111153926,-0.8238325052257863
70,70,70,03-11,5.3584631752532115,-0.4258691948760798,-1.0006114961807209
71,71,71,03-12,5.578326337819961,-0.12095009092547104,-0.6802490885594964
72,72,72,03-13,5.179162890836588,-0.6745333249838591,-0.5193697722890112
73,73,73,03-14,5.565262888178859,-0.13906724758130545,-0.13170059952457938
74,74,74,03-15,5.9021151848674105,0.3280992357480465,0.08184231753402335
75,75,75,03-16,5.84011736173656,0.24211702547119776,-0.297266092775785
76,76,76,03-17,6.282319118943218,0.8553883074755366,0.01501768491740054
77,77,77,03-18,3.938180352217127,-2.3956005527843205,0.12296104299080644
78,78,78,03-19,6.530203834332943,1.1991693411752542,0.06403451585360974
79,79,79,03-20,6.0322608776771816,0.5085929008591299,0.08926487125639289
80,80,80,03-21,5.64717990962356,-0.025459927075133577,-0.05673641233929594
81,81,81,03-22,5.949272065256301,0.3934991578878967,0.5498000279423486
82,82,82,03-23,5.6506701956533325,-0.020619394098596387,0.25902510488296804
83,83,83,03-24,6.56225378502969,1.2436180889055466,0.2491268884494563
84,84,84,03-25,5.2722171745801765,-0.5454801971810302,0.15598397853705118
85,85,85,03-26,5.9894379818865415,0.4492036022580601,0.11914628883744965
86,86,86,03-27,5.244213460909443,-0.5843173865495643,0.12934576281003138
87,87,87,03-28,5.789900267542003,0.17247301969028753,-0.09051247058982326
88,88,88,03-29,5.694796429301697,0.040577449736893895,-0.09228801343366527
89,89,89,03-30,5.6110757338284,-0.07553131149358114,-0.2188981021641562
90,90,90,03-31,5.264535600158725,-0.5561334542440823,-0.21386488230338926
91,91,91,04-01,5.441681659101632,-0.3104569301248855,-0.3599857079814681
92,92,92,04-02,5.265988803066972,-0.554118067384963,-0.4609618500361749
93,93,93,04-03,5.157734166417994,-0.7042519343781851,-0.5285228925116672
94,94,94,04-04,5.2579408768296565,-0.5652794025913469,-0.27965906272876123
95,95,95,04-05,5.318784743742564,-0.4808975663465347,-0.37350942392856606
96,96,96,04-06,6.341201272246084,0.9370495244533532,-0.2552676819801473
97,97,97,04-07,5.035654546584015,-0.8735590973237135,-0.3470318783302455
98,98,98,04-08,5.777540942543125,0.15533238430554913,-0.04574743597923594
99,99,99,04-09,4.760732479901229,-1.2548371124787745,0.07730881837105097
100,100,100,04-10,6.5613951268759045,1.2424272515147106,-0.18730539198212148
101,101,101,04-11,5.851166025948907,0.25743995975518674,-0.01341223548526682
102,102,102,04-12,5.196394343564262,-0.6506357376656816,0.08149744662216189
103,103,103,04-13,5.7879727616271675,0.16979984165741446,0.16785978929636144
104,104,104,04-14,6.188151021006247,0.7247904769501214,-0.08708465728437724
105,105,105,04-15,5.134363994772108,-0.7366630564335772,-0.16041359667828042
106,106,106,04-16,5.458422733650905,-0.28723942796972146,-0.09772354512681247
107,107,107,04-17,5.5339212423865,-0.18253367660823244,-0.14714912317678405
108,108,108,04-18,5.467611846508472,-0.274495428356874,-0.2926375513300536
109,109,109,04-19,5.574141674739609,-0.12675362664241496,-0.14603077561540834
110,110,110,04-20,5.558720876757407,-0.14814009196949554,0.1316849655222968
111,111,111,04-21,5.76863247342192,0.1429775978542942,0.19084159971566966
112,112,112,04-22,6.659911135328652,1.3790550188565094,0.5020440140006258
113,113,113,04-23,5.789852035414136,0.17240612855200496,0.7764321053546639
114,114,114,04-24,6.813974461049957,1.5927190573528622,0.9270554696096172
115,115,115,04-25,6.761233583789524,1.5195749214818133,1.1214705089154449
116,116,116,04-26,6.2103664206240525,0.7556000935602242,0.927432223981598
117,117,117,04-27,6.60973501186914,1.3094678336892605,0.870112408191336
118,118,118,04-28,5.820438558533449,0.2148253092534286,0.5510889030474122
119,119,119,04-29,5.541867914758347,-0.17151276618956734,0.3409948272102645
120,120,120,04-30,5.433775269881517,-0.3214219735106804,-0.0257114165522116
121,121,121,05-01,5.852298446208062,0.25901046645892745,-0.1711694961756891
122,122,122,05-02,4.623876231416667,-1.4446373690146326,-0.19902055297313792
123,123,123,05-03,5.9804361652068305,0.4367193559483955,-0.3369606464577517
124,124,124,05-04,5.699945850487741,0.04771896846873582,-0.2837568198737557
125,125,125,05-05,4.945094315360793,-0.99915332709725,-0.3198718487372149
126,126,126,05-06,5.663952285788759,-0.002199014006704611,-0.1150654339896552
127,127,127,05-07,5.696053113739897,0.04232029327817288,-0.2462040833827541
128,128,128,05-08,5.509935231530672,-0.21579888052927448,-0.058043879122734676
129,129,129,05-09,5.413087819693471,-0.35011254041019835,0.3476142652994713
130,130,130,05-10,6.513987943131065,1.1766801940288527,0.4082627276176834
131,131,131,05-11,6.700103064856641,1.4347955394359857,0.4223320740323673
132,132,132,05-12,5.9263372113115445,0.361691759902568,0.5033233344946066
133,133,133,05-13,5.756921671161883,0.1267363717662762,0.7380303246732866
134,134,134,05-14,5.860329702092537,0.27014868224416183,0.590111334270439
135,135,135,05-15,6.4285064104335214,1.0581294006618809,0.4547108213204664
136,136,136,05-16,5.874042397988991,0.2891662516117673,0.6166911759781494
137,137,137,05-17,6.114316514824737,0.6223924617361498,0.4722292169677285
138,138,138,05-18,6.627116780462265,1.3335738878486665,0.8308008464629707
139,139,139,05-19,5.131932365465297,-0.7400353822962494,1.284723644134662
140,140,140,05-20,7.411626910685412,2.4215784592156147,1.2126011922824202
141,141,141,05-21,8.39232370946528,3.781666186692028,1.1928229776369161
142,142,142,05-22,5.562017270979493,-0.14356845950168176,0.9794481957992026
143,143,143,05-23,6.0287495411806935,0.5037231738631255,1.2352673015235467
144,144,144,05-24,5.703988244289688,0.05332519682238555,0.7384400461673813
145,145,145,05-25,6.238688817930722,0.7948792520498159,0.2493798576107782
146,146,146,05-26,5.262191007259858,-0.5593850729213784,0.339610010574026
147,147,147,05-27,6.276490657057461,0.8473050553524082,0.10201303034067127
148,148,148,05-28,5.9523821880808105,0.3978124582778052,0.16968715860153016
149,149,149,05-29,5.000827915800148,-0.9218587075370028,0.1554578830779864
150,150,150,05-30,5.996768480173963,0.4593699663875387,0.3286900253151453
151,151,151,05-31,6.177128355294441,0.7095035989085535,0.3190976502806021
152,152,152,06-01,6.011649460147956,0.480007780501575,0.26704048523636176
153,153,153,06-02,6.234990930389709,0.7897508051451488,0.610121660585991
154,154,154,06-03,5.727166002031544,0.0854694680123629,0.7083982696110677
155,155,155,06-04,6.485108393845342,1.1366283445607728,0.5955025285669923
156,156,156,06-05,6.421944976890076,1.0490296205379988,0.5741746824801492
157,157,157,06-06,5.6887047502528665,0.0321291526441016,0.7910393158372596
158,158,158,06-07,5.919378278107168,0.35204070398051673,0.7074852998314798
159,159,159,06-08,7.173217696525612,2.090938605287811,0.44989062203938396
160,160,160,06-09,5.365684219496346,-0.41585462802231604,0.5676774169268372
161,161,161,06-10,5.370670240526352,-0.4089397221918023,0.780802745000356
162,162,162,06-11,6.9315288677718625,1.755750389862718,0.688096423561019
163,163,163,06-12,6.610754068505684,1.3108811210852145,0.4794567138606186
164,164,164,06-13,5.518300652779684,-0.2041972246555046,0.4599257728677446
165,165,165,06-14,6.270574618724184,0.8391003470854089,0.7344763955666854
166,166,166,06-15,5.281187031902091,-0.5330402739795603,0.6349206827337052
167,167,167,06-16,6.558465312907988,1.2383640140018428,0.5032109947886241
168,168,168,06-17,6.500818552974564,1.1584161128648367,0.7290990248025606
169,169,169,06-18,6.040935224941671,0.5206229934147278,0.8203939064785007
170,170,170,06-19,6.495565560514983,1.1511309554281146,1.1130066562804506
171,171,171,06-20,6.665545897690308,1.3868696371410492,1.3104479721665243
172,172,172,06-21,6.547124726430358,1.2226362248321383,1.3296089180502353
173,173,173,06-22,7.4126605057238075,2.423011909318283,1.210603492822522
174,174,174,06-23,6.5837150216808125,1.273381788167104,0.9837730155557178
175,175,175,06-24,5.52607914382048,-0.1934095579515523,0.7999191276401084
176,176,176,06-25,5.514223320184584,-0.20985190817271027,0.8349985111032961
177,177,177,06-26,5.870134326747223,0.28374630964739284,0.42899794857651
178,178,178,06-27,6.698889520879394,1.4331125256112642,0.384182521715205
179,179,179,06-28,5.6561703444091975,-0.012991465842433086,0.5846664398847478
180,180,180,06-29,6.389828944609666,1.004489226999274,0.5914879730387426
181,181,181,06-30,6.393437621293949,1.0094939510657042,0.5941530258315862
182,182,182,07-01,5.543735485871013,-0.16892270924874128,0.34580392868997784
183,183,183,07-02,5.881664209811622,0.2997366264044551,0.2527619539291205
184,184,184,07-03,5.624450749204486,-0.0569820572383867,0.12641596778313505
185,185,185,07-04,5.253640573909318,-0.5712433144075767,0.08857541136186849
186,186,186,07-05,5.843215215294022,0.2464133101233612,0.027506908447776087
187,187,187,07-06,6.229727096759294,0.7824506125381047,-0.02845325376994697
188,188,188,07-07,5.279533328447304,-0.5353337267332957,0.1190863866469971
189,189,189,07-08,5.6395623916533895,-0.03602434690188325,0.3056987106925611
190,190,190,07-09,6.262755103226558,0.8282557852632777,0.5364859253318383
191,191,191,07-10,6.0609860345315845,0.5484306298658074,0.5730399876326905
192,192,192,07-11,6.8416755852703535,1.6311365979590238,0.7099441224712497
193,193,193,07-12,6.3878718303230375,1.0017749863432186,0.7062436259328829
194,194,194,07-13,5.871825034622841,0.2860910822980594,0.3544275252500399
195,195,195,07-14,5.623552842993734,-0.058227326132084666,0.1728107100761195
196,196,196,07-15,4.740684504123107,-1.2826408188337803,-0.11907920620158945
197,197,197,07-16,5.275252766092484,-0.5412702611777149,-0.13371849037754
198,198,198,07-17,5.578865103092968,-0.1202028997072301,-0.29651246910515194
199,199,199,07-18,6.324537537228188,0.9139392812875154,-0.2837424116733254
200,200,200,07-19,5.167525463763392,-0.6906727900676127,-0.01157226685265326
201,201,201,07-20,5.678800254718554,0.01839301845887481,0.03573939061077542
202,202,202,07-21,5.9181808568517855,0.3503800500902527,0.2840194193434495
203,203,203,07-22,5.479938346656221,-0.25740031639714284,0.0010967144884305349
204,204,204,07-23,6.6530050624214185,1.369477272688814,0.04273382195732111
205,205,205,07-24,5.1005221210978915,-0.7835969478425981,-0.0937858855299318
206,206,206,07-25,5.347661099929857,-0.4408501452542693,-0.17515550264227828
207,207,207,07-26,5.088171705993114,-0.8007252264646427,-0.3380693578260009
208,208,208,07-27,5.5661494926628645,-0.13783765258382602,-0.5174346989236035
209,209,209,07-28,4.775120151353443,-1.2348834474994788,-0.4014088070935184
210,210,210,07-29,5.877012401332452,0.29328522610319874,-0.4801243899853429
211,211,211,07-30,5.602487774024423,-0.0874415968620874,-0.6702127800252126
212,212,212,07-31,5.00711194888647,-0.9131436426052169,-0.6022611677204585
213,213,213,08-01,4.265787656061812,-1.9412555667038602,-0.386225431027233
214,214,214,08-02,5.860130214551375,0.26987202124469883,-0.5715810355232993
215,215,215,08-03,5.709760841583938,0.06133097265987397,-0.3808783779661689
216,216,216,08-04,5.075103917226885,-0.8188484008731992,-0.14396221004236498
217,217,217,08-05,6.427529344535916,1.0567743484806948,0.2330645527166185
218,218,218,08-06,6.0320881593247675,0.5083533649376066,0.17031314027770425
219,219,219,08-07,5.896927758964404,0.3209050098500419,-0.09399995160850776
220,220,220,08-08,5.58864724449939,-0.1066364533887871,-0.031918429652477355
221,221,221,08-09,4.566256649088771,-1.5245475786573983,-0.3148049891800286
222,222,222,08-10,5.343688723702393,-0.4463592691370168,-0.493002797435446
223,223,223,08-11,5.203670304819681,-0.6405450086846126,-0.7475570149588618
224,224,224,08-12,5.26114662411983,-0.5608334845948979,-0.581552615218803
225,225,225,08-13,4.795643623252103,-1.2064202952904537,-0.4118028086748067
226,226,226,08-14,6.306836138287225,0.8893899450515661,-0.3753712553205368
227,227,227,08-15,5.300649387916359,-0.5060487393934204,-0.38494168535535
228,228,228,08-16,5.501303443814909,-0.2277699490113972,-0.31103473423437583
229,229,229,08-17,5.162265519340868,-0.6979675888934918,-0.2307717008116461
230,230,230,08-18,5.580892073950793,-0.1173917778690532,-0.2684546652945419
231,231,231,08-19,5.142887547366099,-0.7248420947540749,-0.15975592114039425
232,232,232,08-20,6.1438074076090325,0.6632921581541913,-0.15026637807940968
233,233,233,08-21,5.770915422686738,0.1461437255314655,-0.016443711615203898
234,234,234,08-22,5.542358286000974,-0.17083269064548964,0.10352872685335113
235,235,235,08-23,5.741225793539394,0.10496840989174287,0.18205742331834607
236,236,236,08-24,6.09993176810155,0.6024428529422768,0.31920479369211024
237,237,237,08-25,5.482628167091288,-0.25366991596410515,0.6639152187212315
238,238,238,08-26,6.7371514296282005,1.4861763803967762,0.5311246254431861
239,239,239,08-27,7.26224456345925,2.2144062757061933,0.4289537507059208
240,240,240,08-28,4.967863095264316,-0.9675762503137624,0.44197823223727867
241,241,241,08-29,5.299201439848816,-0.5080568385318484,0.5176738429059299
242,242,242,08-30,6.156279901029433,0.6805897421304236,0.4036949542429693
243,243,243,08-31,5.810111938460237,0.2005037480478022,0.056277116834607455
244,244,244,09-01,6.2440417765575695,0.8023030484190122,0.031279326395385575
245,245,245,09-02,5.759202278307919,0.1298992512560221,0.15107502911783796
246,246,246,09-03,4.859714543233181,-1.1175629929490938,-0.06421900507463317
247,247,247,09-04,5.817476517819612,0.21071737780286606,-0.08430114534405737
248,248,248,09-05,5.224848056464297,-0.6111744630244034,-0.35800350407019826
249,249,249,09-06,5.723230083957741,0.08001090643125705,0.1323665453113893
250,250,250,09-07,5.0599165693434776,-0.8399111039378331,0.11043417270357499
251,251,251,09-08,7.880702213632003,3.0721195475455474,0.0862509491440176
252,252,252,09-09,4.764827983322639,-1.2491572285959796,0.5665568619649509
253,253,253,09-10,5.71285204639802,0.06561803644552154,0.7344273810466677
254,254,254,09-11,7.302807271694551,2.270661013901196,0.5366984407558242
255,255,255,09-12,6.449492415484334,1.0872340209215576,-0.09749666493027263
256,256,256,09-13,4.204477020032221,-2.026284745682894,0.05209668416979559
257,257,257,09-14,5.136968420361668,-0.7330510865710336,0.1213031169538612
258,258,258,09-15,5.412017347438448,-0.3515971339955701,-0.10441510615089772
259,259,259,09-16,6.012261528809445,0.4808566331499154,-0.16783932796526646
260,260,260,09-17,6.326277003742598,0.9163516752726424,0.4088276149001129
261,261,261,09-18,6.175098653779572,0.7066886900353456,0.8485019658479377
262,262,262,09-19,6.699325315794338,1.4337169115093822,1.0713504662740572
263,263,263,09-20,7.039142315924409,1.9049950191159148,1.0494178730583854
264,264,264,09-21,6.376132263994429,0.9854938685611472,0.9595130448708128
265,265,265,09-22,5.9173740144777325,0.34926107385588506,1.029809429442192
266,266,266,09-23,5.937319547173232,0.3769227061472061,0.7621176701108466
267,267,267,09-24,6.479223621260301,1.1284669974636226,0.1601569774120858
268,268,268,09-25,5.541203911715039,-0.17243364447869095,-0.031211396465141726
269,269,269,09-26,4.4348650517673125,-1.70676913707665,-0.1854525448298568
270,270,270,09-27,5.5482105886889945,-0.16271637470221795,-0.2192939477816971
271,271,271,09-28,5.2500767627538165,-0.5761858163324051,-0.4696401951327741
272,272,272,09-29,5.790910658081927,0.17387428843616384,-0.6062512612939905
273,273,273,09-30,5.3961445297992165,-0.3736104866428391,-0.3203906671839865
274,274,274,10-01,4.950180115724498,-0.9921000414459901,-0.31118698937880096
275,275,275,10-02,5.671590730019653,0.008394427583374182,-0.4078716093017992
276,276,276,10-03,5.588028685028827,-0.10749430787110452,-0.4062078028752156
277,277,277,10-04,4.831787727417852,-1.156293535870394,-0.2584765847455906
278,278,278,10-05,5.798108824509183,0.18385712699566573,0.040264981225311886
279,279,279,10-06,6.035277711164179,0.5127768221349105,-0.05674662124439156
280,280,280,10-07,6.242633057508267,0.800349354379425,-0.3379609647367257
281,281,281,10-08,5.251887062096395,-0.5736751872348466,-0.2705786806054243
282,282,282,10-09,4.371404194435311,-1.7947803688251096,-0.4316946683449289
283,283,283,10-10,5.123305350908159,-0.7519998310825855,-0.5878493601030631
284,284,284,10-11,5.101068787092348,-0.7828387994413625,-0.6014397458124151
285,285,285,10-12,5.35970184986674,-0.4241513284138944,-0.809950244101422
286,286,286,10-13,6.1838366394974615,0.7188070401233129,-0.870566020364998
287,287,287,10-14,4.3498029947835954,-1.8247381769688888,-0.8375033020150714
288,288,288,10-15,4.109160679389948,-2.158475026406565,-0.8423587676291668
289,289,289,10-16,5.266345397765559,-0.5536235209830257,-0.4573630863234304
290,290,290,10-17,5.080062467478698,-0.8119715931259354,-0.4511624821410398
291,291,291,10-18,7.0253180799366834,1.885822759420524,-0.25230803586494244
292,292,292,10-19,6.210662464990884,0.7560106652176567,0.4299459960502639
293,293,293,10-20,5.2101118481600865,-0.6316114993123044,0.4318332286517349
294,294,294,10-21,7.060812980357437,1.9350491650846724,0.621002325972081
295,295,295,10-22,5.274510178316514,-0.5423001253741998,0.3014512823708588
296,296,296,10-23,5.898469358838687,0.3230429907961422,0.4258002674994712
297,297,297,10-24,5.6428365862408905,-0.03148350218681022,0.4555820443523982
298,298,298,10-25,6.748636519973763,1.5021045759893317,0.195978812294234
299,299,299,10-26,5.338957477592391,-0.4529208381947424,0.6010662911919608
300,300,300,10-27,5.9376851696033475,0.3774297727356874,0.6178350099082167
301,301,301,10-28,7.027050043599713,1.888224748012161,0.8265013691128824
302,302,302,10-29,5.971016276654872,0.4236553030936773,0.6599981051736629
303,303,303,10-30,6.545594958444264,1.2205146530411841,0.7911096187915417
304,304,304,10-31,6.028289377802713,0.5030849923540144,0.7277756220763649
305,305,305,11-01,5.9061884249378815,0.3337482435125313,0.6246777329595755
306,306,306,11-02,5.663681750951433,-0.00257420755537417,0.5720479416732714
307,307,307,11-03,6.581015124931349,1.2696374133114243,0.593752914713666
308,308,308,11-04,5.743322723692526,0.1078765553758528,0.7805343845201832
309,309,309,11-05,6.639497714045832,1.3507444912835516,0.7839194840772682
310,310,310,11-06,6.836366617866597,1.6237738111931177,0.8091091834118044
311,311,311,11-07,5.920833463925232,0.3540588408550408,0.6726929161667626
312,312,312,11-08,5.772660563128983,0.14856398845184346,0.7191808514832282
313,313,313,11-09,5.990834092255138,0.4511398098411742,0.2827081897507249
314,314,314,11-10,5.944444614989942,0.3868041672746457,0.056249513310160884
315,315,315,11-11,4.751175364824058,-1.2680914791114684,-0.09895469206639128
316,316,316,11-12,5.856632908542151,0.26502175254973365,-0.04782684653746786
317,317,317,11-13,5.249369715102024,-0.5771663914042722,-0.1251027101335679
318,318,318,11-14,5.993856211435117,0.4553310616253839,-0.15101939201074616
319,319,319,11-15,5.6565136340053215,-0.01251537173542608,-0.18123328024275254
320,320,320,11-16,5.832320640461752,0.2313040760115765,-0.2973845216354045
321,321,321,11-17,4.620460281366318,-1.4493748085035068,0.10353743091904664
322,322,322,11-18,5.3541249527379975,-0.4318856958061778,0.10077184220311826
323,323,323,11-19,6.983888161909534,1.8283653239224344,0.2242305573550979
324,324,324,11-20,5.981891377348338,0.4387375293298137,0.21485691665933426
325,325,325,11-21,6.190636092219127,0.7282369191764517,0.6251178628973171
326,326,326,11-22,5.791767229512423,0.17506223183699454,0.6634931019604434
327,327,327,11-23,6.395382244906938,1.01219086892439,0.3093565913896775
328,328,328,11-24,5.520148687860362,-0.20163426142741853,0.2484411067581659
329,329,329,11-25,5.451778716768558,-0.2964537395021618,0.3622578882540129
330,330,330,11-26,5.718351226662213,0.07324462154074445,0.5908817895120279
331,331,331,11-27,6.683044417088777,1.4111376081515343,0.4886164510829804
332,332,332,11-28,6.780868403909374,1.546805639385084,0.8696009371242983
333,333,333,11-29,5.952949210636746,0.3985988383501047,0.9779825598960056
334,334,334,11-30,7.168411185774827,2.0842726548204893,0.8151147570921451
335,335,335,12-01,5.920672781547732,0.3538359971280822,0.732019583092883
336,336,336,12-02,5.0137322688965185,-0.9039621952824192,0.5365402171093411
337,337,337,12-03,6.3235477339461275,0.9125665641559622,0.4028845864206441
338,338,338,12-04,5.935161242931104,0.3739294434838328,-0.004268405037688365
339,339,339,12-05,5.374711587398214,-0.40333494578207696,-0.05488071130114562
340,340,340,12-06,5.406935242994108,-0.3586452939295056,0.0952627571241158
341,341,341,12-07,5.7017075233719146,0.050162159547338735,-0.1936559727291124
342,342,342,12-08,5.663301627700603,-0.0031013847308507037,-0.2874655982070571
343,343,343,12-09,5.073591568249368,-0.8209458149634069,-0.3332130188121889
344,344,344,12-10,5.5293103663630525,-0.18892830938383565,-0.4414097176664786
345,345,345,12-11,5.176793403003743,-0.6778194694128679,-0.6865330459341973
346,346,346,12-12,4.938841219080679,-1.0078254870552434,-0.4029148246571292
347,347,347,12-13,4.641224474453645,-1.4205778100589732,-0.2197321072577132
348,348,348,12-14,6.8903260735346,1.6986079429315581,-0.2348331363048076
349,349,349,12-15,5.866099437776572,0.27815048943308884,-0.09417660846477173
350,350,350,12-16,5.463978415141439,-0.27953448366640204,-0.15316757496069675
351,351,351,12-17,5.785319178776278,0.1661196976273471,0.10508826894110096
352,352,352,12-18,4.68362715826347,-1.3617712860307936,-0.2717294993374299
353,353,353,12-19,5.758523046880084,0.12895725335181354,-0.37633044429766543
354,354,354,12-20,5.260090148563188,-0.5622986667396273,-0.2794319833141198
355,355,355,12-21,5.4135618118595055,-0.3494551803283245,-0.1919352935839851
356,356,356,12-22,5.8831925962865625,0.3018562822348721,-0.1501723546921977
357,357,357,12-23,6.163858247052664,0.6910998360081553,-0.350027886903062
358,358,358,12-24,4.864307181991684,-1.1111936526800692,-0.3686149506132693
359,359,359,12-25,4.893883170945139,-1.0701759399133726,-0.5015023521913408
360,360,360,12-26,5.179676480336922,-0.6738210490008707,-0.8597224180543309
