,unnamed: 0,unnamed: 0,mth_day,gothic,gothic_norm,gothic_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.0590657601987754,-0.20434668885331272,
2,2,2,01-03,2.023751031024424,-0.3016789654209103,
3,3,3,01-04,2.1473301551691453,0.03892218799162473,
4,4,4,01-05,1.4383389187204754,-1.9151556917884585,-0.8351279401583499
5,5,5,01-06,1.5738857248348652,-1.5415699520976611,-1.0041165706995618
6,6,6,01-07,1.7388380518955049,-1.0869385307813817,-1.4245010739205015
7,7,7,01-08,1.6911844407705086,-1.218278472100584,-1.3530203854925549
8,8,8,01-09,1.1085912050833506,-2.8239859847465483,-1.230951547697625
9,9,9,01-10,2.302940682861426,0.4678063185593058,-1.1120176500769412
10,10,10,01-11,1.7040777732531909,-1.1827426650188777,-1.2004822918030318
11,11,11,01-12,1.832799943154264,-0.8279665663735591,-1.1168155520717555
12,12,12,01-13,1.546254154288225,-1.617726381137925,-0.678606334510568
13,13,13,01-14,1.8733235024696744,-0.7162780337129261,-0.9194891653934456
14,14,14,01-15,2.0625547032532667,-0.19473067937942368,-0.8067845231166979
15,15,15,01-16,1.7785486372604769,-0.9774906667379608,-0.783277382108869
16,16,16,01-17,1.9494311581150758,-0.5065148113583914,-0.4462406044471064
17,17,17,01-18,1.8839740252345225,-0.6869237203265852,-0.5764597414652888
18,18,18,01-19,2.279969399301841,0.4044942848326503,-0.7167048205838497
19,19,19,01-20,1.5898417807252259,-1.4975928558220208,-0.5134873670618256
20,20,20,01-21,1.7572469166629998,-1.0362011540907892,-0.5037959858658548
21,21,21,01-22,2.2209447007891567,0.24181405439418285,-0.5147317848796883
22,22,22,01-23,1.970528897590434,-0.4483665241825663,-0.7721140604205389
23,23,23,01-24,1.8601672391961543,-0.7525385144095862,-0.53388566450495
24,24,24,01-25,1.7196587392286098,-1.1397993684124523,-0.6746950402314922
25,25,25,01-26,2.1084552302456263,-0.06822248032848753,-0.8442922636019521
26,26,26,01-27,1.4507106794957425,-1.8810574084500424,-0.6319791515827032
27,27,27,01-28,1.8517384997265385,-0.7757692858285762,-0.43783867240426017
28,28,28,01-29,2.432725836706493,0.8255121479329267,-0.3284017915051722
29,29,29,01-30,2.2828031017738093,0.4123043606610723,-0.22843925371275306
30,30,30,01-31,1.9578983415635864,-0.4831780830179246,-0.1668883084976752
31,31,31,02-01,2.3260695761261614,0.5315527464260276,-0.023045027084250585
32,32,32,02-02,1.5847045633757453,-1.511751737159575,0.03902210775099355
33,33,33,02-03,2.164879425170969,0.0872904026519714,0.038506269604183865
34,34,34,02-04,2.5678434442236053,1.1979149569443917,0.04518142807720967
35,35,35,02-05,2.2816801432797846,0.4092093317802143,0.2178052867507542
36,36,36,02-06,1.9724298878491848,-0.4431271321797699,0.5411568340643863
37,37,37,02-07,2.701864638138543,1.567295898467295,0.4109908906007779
38,38,38,02-08,2.288627623074727,0.4283575467222175,0.267609569892535
39,39,39,02-09,1.8815135036136643,-0.6937052581296789,0.44622130174529057
40,40,40,02-10,2.255708188291981,0.3376270326949342,0.534942815311661
41,41,41,02-11,2.6705105596747805,1.4808797228967483,0.0960524352119424
42,42,42,02-12,2.1655729849199044,0.08920194921845226,0.1633697137987103
43,43,43,02-13,1.746418277052835,-1.0660463821310169,0.006384962244247709
44,44,44,02-14,2.435174578260454,0.832261218242825,-0.12800085465704467
45,45,45,02-15,1.5397641365289352,-1.6356137674564544,-0.5835121508564202
46,46,46,02-16,1.9631557752937805,-0.46868786871282003,-0.8149732065052505
47,47,47,02-17,1.6788811457690949,-1.2521880542995052,-0.6792028529548274
48,48,48,02-18,1.6616917576702084,-1.29956438467453,-0.9146664773666224
49,49,49,02-19,2.041984769564241,-0.25142426082847785,-0.7187668610808765
50,50,50,02-20,1.9225799229363016,-0.580520528227945,-0.7195420298429697
51,51,51,02-21,1.9662295684570072,-0.4602160697419797,-0.2414247582618207
52,52,52,02-22,1.9614682646839536,-0.4733388812853789,-0.023549261254139475
53,53,53,02-23,2.7197228411387795,1.6165155751873892,-0.018721983678262544
54,54,54,02-24,2.1359977808244,0.007688597371557148,0.15540818549896754
55,55,55,02-25,2.0524935549078034,-0.2224605953732163,0.4342886443978152
56,56,56,02-26,2.3016541611500045,0.4642604868354357,0.35511154140624
57,57,57,02-27,2.573340892182709,1.213066683651106,-0.03746421199789418
58,58,58,02-28,1.7891029580727198,-0.9484014992348302,0.03062968140068278
59,59,59,02-29,1.8651015232706616,-0.7389389452374159,0.24705109470099426
60,60,60,03-01,2.284235394610892,0.4162519577630189,0.1488029904640444
61,61,61,03-02,2.523634097454731,1.0760678844286524,-0.23004219414451801
62,62,62,03-03,2.0877720668205844,-0.12522813858626355,-0.13434905648305973
63,63,63,03-04,1.748610459570234,-1.0600044240002684,0.12065938695312554
64,64,64,03-05,1.9974229949319031,-0.3742426732660804,0.4994974177774536
65,65,65,03-06,2.420244448189353,0.7911117153796956,0.2826770785934417
66,66,66,03-07,3.108950253728424,2.689280142708987,0.12450782218474525
67,67,67,03-08,2.051625109616664,-0.2248541506754188,0.4178211888837536
68,68,68,03-09,1.7434440812379763,-1.0742436770384418,0.31297152644147125
69,69,69,03-10,2.38714163176565,0.6998757761937816,0.17243656296248105
70,70,70,03-11,1.7691695790817252,-1.0033406479197744,-0.44801899525108135
71,71,71,03-12,2.114305595232936,-0.05209806549424579,-0.6706623795211725
72,72,72,03-13,1.7582439448413172,-1.0334532065723876,-0.4967468723938757
73,73,73,03-14,1.5669395913960693,-1.5607144562959652,-0.6842327953157671
74,74,74,03-15,2.1220510089710407,-0.030750634274660626,-0.6467254426265292
75,75,75,03-16,1.9789924652931103,-0.4250397613375671,-0.8509050601111198
76,76,76,03-17,1.8508215479235768,-0.7782965317843477,-0.7677498583391342
77,77,77,03-18,1.6698149402106042,-1.2771757704017892,-0.4603534189865699
78,78,78,03-19,1.939269409378361,-0.5345219959404741,-0.14252042842844745
79,79,79,03-20,2.236129035291788,0.2836641798194203,-0.15224150091944014
80,80,80,03-21,2.8139603968978166,1.876247309074074,0.005316301186926849
81,81,81,03-22,1.9578300890859601,-0.4833661962835235,0.493110384701799
82,82,82,03-23,2.1938184225622672,0.16705028085385445,0.6512156433899078
83,83,83,03-24,2.7317226583691347,1.6495887306874442,0.7731135048001682
84,84,84,03-25,2.2834580745474318,0.4141095561881787,0.5777205571278436
85,85,85,03-26,2.5014956812458435,1.0150513482809824,0.4637997948868311
86,86,86,03-27,2.3885979617655724,0.7038896230401275,0.34963987681414266
87,87,87,03-28,1.7098292609280148,-1.1668907697295985,-0.3319758390986932
88,88,88,03-29,1.9452969619651803,-0.5179092275822761,-0.6103467880521746
89,89,89,03-30,1.2478731939999654,-2.440105564789571,-0.917631723192458
90,90,90,03-31,1.6774559330806955,-1.2561161375327097,-1.130370955148924
91,91,91,04-01,1.8325489774481087,-0.8286582625607174,-0.9016684487716444
92,92,92,04-02,1.92547337701894,-0.5725457686986702,-0.7497097050519104
93,93,93,04-03,2.2077052395259167,0.20532426853407834,-0.12797495920602714
94,94,94,04-04,2.2761049160816227,0.39384323473612864,0.232868012374066
95,95,95,04-05,2.601364241910445,1.2903029102857284,0.4679112621477025
96,96,96,04-06,2.462996286098277,0.9089416919478492,0.6473022265920353
97,97,97,04-07,2.3442284944221567,0.5816012360811014,0.3959433710508042
98,98,98,04-08,2.3160001508139145,0.5038000179673269,0.08520029554838364
99,99,99,04-09,1.6605073178057557,-1.3028288647133088,-0.1660812345538669
100,100,100,04-10,1.5996299825141291,-1.4706152182783945,-0.6455714542873763
101,101,101,04-11,2.0543346545002694,-0.21738627032777488,-0.7572354215666802
102,102,102,04-12,1.4191657388976786,-1.967999626453207,-1.0210098018196498
103,103,103,04-13,2.101140616357561,-0.08838256759472192,-0.6842962061533143
104,104,104,04-14,1.7417741408861585,-1.0788462635504907,-0.6934370051739066
105,105,105,04-15,2.3935190088671767,0.7174527092847034,-0.5697649096682142
106,106,106,04-16,1.5797308378583357,-1.5254600124019475,-0.27918472551472284
107,107,107,04-17,2.32356373532886,0.5246463027063799,-0.3294673059931089
108,108,108,04-18,2.051746884763733,-0.2245185215322583,-0.04357156785126992
109,109,109,04-19,1.9916775004579648,-0.3900780504650378,-0.41565446475724616
110,110,110,04-20,2.36415743986726,0.6365281653005428,-0.3381983327350381
111,111,111,04-21,1.5835097993003813,-1.515044672151154,-0.4702044166883292
112,112,112,04-22,1.7483496612364609,-1.0607232202686991,-0.5470758409621939
113,113,113,04-23,2.0361919033791827,-0.2673902010133661,-0.3523179712608164
114,114,114,04-24,1.8844009461782207,-0.6857470671754469,-0.6583570538223756
115,115,115,04-25,2.4156573968883834,0.7784691677432269,-0.14180962889206505
116,116,116,04-26,1.6979229060480991,-1.1997063300688124,0.0026708589987009717
117,117,117,04-27,2.7080123627097783,1.5842398774307092,0.2188189123215296
118,118,118,04-28,2.062877759053861,-0.19384029292410296,0.4065496075794999
119,119,119,04-29,2.5067373524640635,1.0294981189236052,0.3732239162358265
120,120,120,04-30,2.2930829719896884,0.4406371043723757,0.3862519343825452
121,121,121,05-01,2.343108733329743,0.5785150196811865,0.07361440995013457
