,unnamed: 0,unnamed: 0,mth_day,great performances,great performances_norm,great performances_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.3590995892290776,-0.953753291268293,
2,2,2,01-03,3.605576632103457,-0.5380697215580618,
3,3,3,01-04,2.628869905517806,-2.18528576217748,
4,4,4,01-05,3.405718215245424,-0.8751309715119752,-1.2919461654874425
5,5,5,01-06,3.0425035590753846,-1.4876925435233137,-1.419548628270535
6,6,6,01-07,2.9096531947280178,-1.7117447028855304,-1.6706814988569754
7,7,7,01-08,2.905132966797659,-1.7193680679668502,-1.3937374620140204
8,8,8,01-09,2.712130388550715,-2.044866945076704,-1.3544135234893018
9,9,9,01-10,3.6141435927649836,-0.5236215411197505,-1.1674223787816405
10,10,10,01-11,3.545619555418715,-0.6391873403636648,-0.9055624921220904
11,11,11,01-12,3.707755126608368,-0.3657456752773461,-0.7326363528702736
12,12,12,01-13,3.8412625516663934,-0.1405853829282305,-0.5648346868424259
13,13,13,01-14,3.520345978004946,-0.6818112324559489,-0.4474512133602843
14,14,14,01-15,3.3091122484895514,-1.0380569489096172,-0.5480902194115002
15,15,15,01-16,4.031754490107448,0.18067929977309932,-0.2546755081907245
16,16,16,01-17,3.187579838429969,-1.2430213766709597,-0.07425572853402479
17,17,17,01-18,4.7516259306618025,1.394742592047307,-0.09998422537852436
18,18,18,01-19,4.48313541371138,0.941933295011968,-0.014717061119742171
19,19,19,01-20,3.428812644258959,-0.8361822135229463,-0.0532046589577253
20,20,20,01-21,3.612464125237131,-0.5264539633569242,-0.3130563739586114
21,21,21,01-22,3.8948285686563215,-0.05024628725479941,-0.8767936558879931
22,22,22,01-23,2.263114880473108,-2.802131666676276,-1.1918334007144822
23,23,23,01-24,2.746038387644109,-1.9876810995289835,-1.3536043319159914
24,24,24,01-25,3.362330017238366,-0.948305173946968,-1.6152255729756426
25,25,25,01-26,2.8532861093991237,-1.806807800732001,-1.93519581293501
26,26,26,01-27,2.6817037890353563,-2.0961814097148324,-1.4308095575204594
27,27,27,01-28,2.7564821296864106,-1.9700677270110027,-1.2683160099484196
28,28,28,01-29,4.057551443665469,0.2241858658110261,-1.2990242004488943
29,29,29,01-30,3.324135748378999,-1.0127198140967435,-1.119991345308218
30,30,30,01-31,3.253080609206344,-1.1325543169498171,-0.8519920422673494
31,31,31,02-01,3.490224760737092,-0.7326106698879409,-0.4793490549054549
32,32,32,02-02,3.635155123452372,-0.4881855914696211,-0.7610308569816117
33,33,33,02-03,4.082220478741594,0.2657901971603642,-0.948322247592718
34,34,34,02-04,3.0554223820479263,-1.4659049466459142,-0.8214968772942521
35,35,35,02-05,2.657816006958828,-2.1364681577633804,-0.6428402979903942
36,36,36,02-06,3.7042825980807854,-0.3716020951590224,-0.4907739227680304
37,37,37,02-07,4.125824749270146,0.3393288059352065,-0.737187582738429
38,38,38,02-08,4.176156113867676,0.4242126598645621,-0.40814114204563706
39,39,39,02-09,3.2055635984752704,-1.2126917626620266,0.2333130449566502
40,40,40,02-10,4.2260588889491,0.508373697510837,0.2212958593817997
41,41,41,02-11,4.939894145316699,1.7122569642503431,0.0855830057923919
42,42,42,02-12,3.6615294957694298,-0.4437052086081256,0.15052957939225126
43,43,43,02-13,3.6430040856185335,-0.4749483156012401,0.08065116783485445
44,44,44,02-14,4.407214167235657,0.8138921014637182,-0.00700177018746805
45,45,45,02-15,2.956959725292133,-1.631962232006407,-0.3253679140398672
