,unnamed: 0,unnamed: 0,mth_day,hilarious,hilarious_norm,hilarious_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.9026447502682675,-0.2982096316447749,
2,2,2,01-03,6.7528000293109045,-0.4899444243531028,
3,3,3,01-04,5.353896492659623,-2.2799205937177844,
4,4,4,01-05,4.8758526572730885,-2.8916047097662347,-1.6977178682497394
5,5,5,01-06,5.9402652328563,-1.5296286372581145,-1.9291225942176955
6,6,6,01-07,5.027940893236939,-2.696999212758425,-2.179199703867253
7,7,7,01-08,5.817559166131277,-1.6866379874525126,-1.9071069666458649
8,8,8,01-09,5.580157312234519,-1.9904070822504496,-1.558812523306586
9,9,9,01-10,6.629773229715482,-0.6473641703894601,-1.4331623990706932
10,10,10,01-11,6.5090486860992405,-0.8018380497305566,-1.0469211444287958
11,11,11,01-12,6.529454316541085,-0.7757278918427583,-0.9225037227168904
12,12,12,01-13,6.839074246965171,-0.3795516849070413,-0.6937287404637903
13,13,13,01-14,6.4009679541340585,-0.94013345718108,-0.4862648556870621
14,14,14,01-15,6.6529117005282545,-0.6177571887318486,-0.3815004012734061
15,15,15,01-16,7.60259722740453,0.5974191382709089,-0.15700832852998411
16,16,16,01-17,7.000302262441398,-0.17325132324862075,-0.12402212460104485
17,17,17,01-18,7.58212560865917,0.5712245446177734,0.09981554108159124
18,18,18,01-19,6.993750665992375,-0.18163446133340555,0.1692488051019377
19,19,19,01-20,7.450570650030325,0.4028925369147364,-0.007193769275503249
20,20,20,01-21,6.978492924217216,-0.2011576046097698,0.1433972939841872
21,21,21,01-22,6.77523601823246,-0.4612363079937368,-0.21865424396952984
22,22,22,01-23,7.7064425158845316,0.730295056309522,-0.4321285357638423
23,23,23,01-24,5.8844208495843455,-1.6010846831045291,-0.8574149561195527
24,24,24,01-25,5.9927431211337705,-1.4624802120992804,-0.9797764013095734
25,25,25,01-26,5.456349650753465,-2.1488259852195246,-1.3891295228240486
26,26,26,01-27,6.404724866220657,-0.935326275749895,-1.6166598715968998
27,27,27,01-28,4.8557282418945515,-2.917355037080587,-1.3461356357732728
28,28,28,01-29,6.639524369012842,-0.6348870363275847,-1.3423745537732523
29,29,29,01-30,7.152942688211536,0.022060731837231784,-1.1126020884194183
30,30,30,01-31,6.010379303117126,-1.4399137200991583,-1.1824940573391272
31,31,31,02-01,6.533781361554334,-0.7701911930965208,-0.5562004497223433
32,32,32,02-02,6.0769927181217085,-1.3546780892681478,-0.7519405148034406
33,33,33,02-03,7.792496979954923,0.8404066086201167,-0.8236614580642169
34,34,34,02-04,5.7216748222108205,-1.809327426814169,-0.4025223455360759
35,35,35,02-05,6.816634251607902,-0.4082649277274265,-0.2540505642145929
36,36,36,02-06,7.985153059396462,1.0869209550696886,-0.3082704975352555
37,37,37,02-07,7.229984038008702,0.12063949483237685,-0.5441938873487028
38,38,38,02-08,5.8227486970758005,-1.6799976891921231,-0.2145307655532461
39,39,39,02-09,6.686222818195788,-0.5751337302605668,-0.18687433774604972
40,40,40,02-10,7.267506263576375,0.16865130395857106,-0.5351452986004447
41,41,41,02-11,6.946318686516419,-0.2423263608842488,-0.8793186738227633
42,42,42,02-12,6.352067142866945,-1.0027048100566809,-0.6374242015615912
43,43,43,02-13,5.616112210908579,-1.9444007565015349,-0.7784265716840292
44,44,44,02-14,6.957022008198104,-0.22863085562509075,-0.8839876418105731
45,45,45,02-15,6.025045141253304,-1.4211479509951948,-0.9868407976767688
46,46,46,02-16,6.7725172569289995,-0.4647151168006928,-0.9158644939947908
47,47,47,02-17,6.4640274271371325,-0.8594452960814235,-0.8087019859906616
48,48,48,02-18,6.684883871732321,-0.5768469879648116,-0.7872760875131991
49,49,49,02-19,6.118610559241133,-1.3014257084767598,-0.5275844768075282
50,50,50,02-20,7.05749071499667,-0.10007546476031584,-0.4830252281607041
51,51,51,02-21,7.242771451376543,0.13700171323883048,-0.40401738431553375
52,52,52,02-22,6.981461124191848,-0.19735962491974812,-0.3864180283978052
53,53,53,02-23,6.834505048246792,-0.3853982330104017,-0.08332968886271579
54,54,54,02-24,6.767409443829182,-0.47125085245844,0.07935051666927441
55,55,55,02-25,7.539829536398427,0.5171043287337764,0.1891706011415438
56,56,56,02-26,7.820318462393883,0.8760057684316254,0.2192191048313317
57,57,57,02-27,7.7577315067993835,0.7959222200724466,-0.0973210163528498
58,58,58,02-28,7.122362300873914,-0.01706860278102074,-0.2466883986867544
59,59,59,02-29,5.350208991365506,-2.284638960115491,-0.5623388770161396
60,60,60,03-01,6.067007182670344,-1.3674551464618674,-0.9396756547898706
61,61,61,03-02,6.059705125678352,-1.3767985412425348,-1.226052395106843
62,62,62,03-03,6.050939309853686,-1.3880148982107612,-1.3295987563446932
63,63,63,03-04,6.414875299994344,-0.9223382218293878,-1.1708131897197445
64,64,64,03-05,6.636820515160379,-0.6383467702081214,-1.011520096984038
65,65,65,03-06,6.0947742918063215,-1.3319255603657978,-1.013865218246359
66,66,66,03-07,6.813952336262612,-0.4116965900476292,-0.6240353735780162
67,67,67,03-08,6.04870855996798,-1.3908692688164612,-0.6152582710007549
68,68,68,03-09,7.878900009215357,0.950964169799296,-0.4606366400835498
69,69,69,03-10,6.45603222726642,-0.8696756063658201,-0.3036055896745329
70,70,70,03-11,7.361860602402344,0.2893830152951096,-0.3200603265027163
71,71,71,03-12,6.831112447165812,-0.3897392579116965,-0.09964277567643824
72,72,72,03-13,6.736794025651867,-0.5104250110167299,-0.25782912541633723
73,73,73,03-14,7.0822739112888335,-0.06836396385879283,-0.19636520743103447
74,74,74,03-15,7.137144511387775,0.0018460713599017266,-0.1947702355246328
75,75,75,03-16,6.744244194724966,-0.5008920984540037,-0.5541879225211005
76,76,76,03-17,7.369339624343232,0.2989528467335198,-0.3365017905325686
77,77,77,03-18,5.145758143305426,-2.546245379890504,-0.07949722169937595
78,78,78,03-19,7.757551413813451,0.7956917809144616,0.005624505524365044
79,79,79,03-20,8.287400347370598,1.473663449140363,0.12361667027614592
80,80,80,03-21,7.536290893212807,0.5125764347023477,0.28998767744818915
81,81,81,03-22,7.297524152503371,0.2070608900566816,0.8520026410910516
82,82,82,03-23,8.149474000361701,1.2971788897657792,0.5249529633325433
83,83,83,03-24,7.781116313140695,0.8258444019666722,0.29774619029138144
84,84,84,03-25,6.2239747370711305,-1.1666062856365886,-0.05930869149404696
85,85,85,03-26,7.221999487409817,0.11042281089339212,-0.007317212254240124
86,86,86,03-27,5.862016077301072,-1.6297528560102226,-0.1241129425877462
87,87,87,03-28,7.541318674785013,0.5190097654955226,-0.2525508950229737
88,88,88,03-29,7.601804272600013,0.5964045077647427,0.1431612337194903
89,89,89,03-30,7.178854755773728,0.05521668735530734,0.2973059189944512
90,90,90,03-31,8.079518199161301,1.2076664868181952,0.4715591706118238
91,91,91,04-01,7.944803117126327,1.0352909225431577,0.283099833997049
92,92,92,04-02,6.6791112793462935,-0.5842333463059871,0.19841275342983064
93,93,93,04-03,6.65760937065857,-0.6117462541931259,0.22227720721019573
94,94,94,04-04,7.204696003087567,0.08828202436143237,0.23876396757906065
95,95,95,04-05,7.29075815213722,0.19840341003749806,0.0686479441119086
96,96,96,04-06,8.156826672143195,1.3065870490313845,0.4264102670937268
97,97,97,04-07,7.147107893216001,0.014594781740245219,0.37062291848514456
98,98,98,04-08,8.356703375147697,1.5623405915849222,0.653952610294876
99,99,99,04-09,6.396015544088322,-0.9464703458446192,0.6082780115283497
100,100,100,04-10,8.533264219897834,1.7882601752198213,0.12815210055289614
101,101,101,04-11,7.076584269233629,-0.07564418256165945,0.06972466273845146
102,102,102,04-12,5.905456470472175,-1.574168416821337,-0.06941645518656225
103,103,103,04-13,6.873134359506523,-0.33596984514642303,-0.13291865433728042
104,104,104,04-14,7.704253341598925,0.7274938840348399,-0.21196634803593786
105,105,105,04-15,6.098245822354194,-1.3274835407489285,-0.3685159012500396
106,106,106,04-16,8.162599737861425,1.3139740130278768,-0.2421485602370611
107,107,107,04-17,6.3425039141970085,-1.01494150184627,-0.2227274658559993
108,108,108,04-18,6.498008672962168,-0.8159643707434664,-0.1949064211004954
109,109,109,04-19,6.964202290176064,-0.21944327886005247,0.017973213577532118
110,110,110,04-20,7.834709685882955,0.8944201525678638,-0.15193704006695632
111,111,111,04-21,7.096464945923276,-0.05020573268076313,0.0508012969752805
112,112,112,04-22,7.3658693942805264,0.294512491160946,0.30602776001840154
113,113,113,04-23,7.293169229938662,0.20148852040715104,0.5902802270425623
114,114,114,04-24,7.69479734951112,0.7153944075152597,0.4299584328458248
115,115,115,04-25,8.297097514908867,1.4860715232849118,0.6769855618329984
116,116,116,04-26,7.082940823003521,-0.06751061261256112,0.4926519771596123
117,117,117,04-27,8.254805923764188,1.4319570412422784,0.4223977387267958
118,118,118,04-28,6.5015062549162765,-0.8114890168793709,0.2691425190980996
119,119,119,04-29,6.963738354967992,-0.22003691018974766,0.15569664526773275
120,120,120,04-30,6.976164535002941,-0.2041369102569177,0.2476684937998076
121,121,121,05-01,7.765135681552876,0.8053962803027107,-0.008487634582506712
122,122,122,05-02,7.514208276903338,0.4843204785798879,0.13160360811651822
123,123,123,05-03,7.053657930639438,-0.10497972905160713,0.2950509898037777
124,124,124,05-04,7.158411541879161,0.029058439314778695,0.3947038506542693
125,125,125,05-05,7.73016348691772,0.7606473799338092,0.4465511382328087
126,126,126,05-06,7.443449212420684,0.3937802548460321,0.4490522419550799
127,127,127,05-07,8.008254071174134,1.1164800057739472,0.687079546002515
128,128,128,05-08,7.525936263797796,0.4993271009135153,0.8202380170940211
129,129,129,05-09,8.169797608308032,1.3231840952330034,0.7512351269526696
130,130,130,05-10,7.782808199219357,0.8280092658638151,0.7325027889802364
131,131,131,05-11,7.406600339955298,0.34663003908570017,0.3070234668792376
132,132,132,05-12,7.355610946343592,0.2813862270114321,0.2816642879245191
133,133,133,05-13,6.013128531585525,-1.436395926832045,0.13542346803779234
134,134,134,05-14,7.4070239149068495,0.3471720271852042,-0.027621431410969937
135,135,135,05-15,7.4840561879126914,0.4457391759126426,0.07191694282430147
136,136,136,05-16,7.0182703566196505,-0.1502601308287585,0.10256583922975987
137,137,137,05-17,7.873348175373674,0.9438602844973286,0.2652065316033759
138,138,138,05-18,7.4993274392551355,0.4652796054441825,0.4669346901800821
139,139,139,05-19,6.775770996861311,-0.4605517725903489,0.6425219180068302
140,140,140,05-20,8.352952377994487,1.5575409786454408,0.8426789241902468
141,141,141,05-21,8.307406570565485,1.4992625428731323,0.6560981936244369
142,142,142,05-22,7.956831490430369,1.0506819062717403,0.612300621367062
143,143,143,05-23,6.998447889012438,-0.17562409889753106,0.9490880721026964
144,144,144,05-24,7.293955167457813,0.20249417189993285,0.7110503481269834
145,145,145,05-25,8.355009304043026,1.5601729318234592,0.34689619246183795
146,146,146,05-26,7.236763839984277,0.1293146347911615,0.4074283819583682
147,147,147,05-27,6.599842375136981,-0.6856623911177402,0.2761383794187243
148,148,148,05-28,8.24067446694775,1.413875043250922,0.3754940080599308
149,149,149,05-29,6.382812713450794,-0.963364114135395,0.16343010495346547
150,150,150,05-30,7.75984608602259,0.7986279437471717,0.18804753937321586
151,151,151,05-31,7.3606152474215865,0.2877895131846673,0.4126083191047304
152,152,152,06-01,7.352198056358095,0.27701924130966393,0.21623420681200345
153,153,153,06-02,7.652835842880463,0.6617022872713466,0.7585889385935737
154,154,154,06-03,7.319851793792652,0.2356303694945601,0.684998571195135
155,155,155,06-04,8.925981607184445,2.2907642765540266,0.8142624768947081
156,156,156,06-05,7.414771686779559,0.35708573935653903,0.8857691840783081
157,157,157,06-06,7.9667498025268815,1.0633729473821067,1.0758260465055225
158,158,158,06-07,7.687501913310323,0.7060594844112638,1.2412601137745678
159,159,159,06-08,8.544036144531322,1.802043461834632,0.9020689822251268
160,160,160,06-09,8.095592741899509,1.228234773108833,1.4262227288461116
161,161,161,06-10,7.335472141261188,0.25561748725738165,1.5217496599301612
162,162,162,06-11,9.872593893956873,3.502008219082447,1.5025169036799422
163,163,163,06-12,8.414687481338609,1.6365345338864052,1.4861624032807328
164,164,164,06-13,7.597317123595944,0.5906629469099476,1.5153388682729227
165,165,165,06-14,8.467347855021618,1.7039164594393772,1.7828621923818782
166,166,166,06-15,8.232404820506266,1.403293563061972,1.3125188919628228
167,167,167,06-16,8.589922331060823,1.8607574319111129,1.0903942481795244
168,168,168,06-17,7.667095571719482,0.6799484165681158,1.087652106854592
169,169,169,06-18,7.373117358504571,0.30378667118661457,0.8528458930354722
170,170,170,06-19,7.584458881358651,0.5742100989603537,0.92538902018577
171,171,171,06-20,7.366312270656778,0.29507917652465954,0.9009376971217326
172,172,172,06-21,8.572568579780159,1.8385523259637588,0.8815389556633885
173,173,173,06-22,8.475267031524991,1.7140494935268882,0.9761433988568844
174,174,174,06-23,7.576132456688873,0.5635559678180518,0.958493360537647
175,175,175,06-24,7.8167293766912005,0.8714133303475904,1.106741087133177
176,176,176,06-25,7.5016956531680465,0.4683098690449282,0.9040224570224676
177,177,177,06-26,8.061464326592606,1.1845655360978409,0.7377289048244878
178,178,178,06-27,7.621995672295156,0.622240545299501,0.9125529407517936
179,179,179,06-28,7.6954958515278,0.7162881803390108,1.1670721534184163
180,180,180,06-29,8.395904137461006,1.6125001833818842,1.066277350950515
181,181,181,06-30,9.010201668128726,2.398528606347328,0.8089537978894498
182,182,182,07-01,7.0290562692645375,-0.1364589457624792,0.8154886788993027
183,183,183,07-02,6.854842133733258,-0.3593757822685509,0.6799788288640393
184,184,184,07-03,7.6526385433436275,0.6614498313586187,0.5016904950295463
185,185,185,07-04,7.060073285429512,-0.09677091987256976,0.10778708363776236
186,186,186,07-05,7.559887932284623,0.542770180374927,0.1779931189763705
187,187,187,07-06,7.163139506992077,0.03510813799662425,0.3251189801065884
188,188,188,07-07,7.358261113922224,0.2847772662691697,0.09594664058154233
189,189,189,07-08,7.544733622761218,0.5233793845127569,-0.016600056825936283
190,190,190,07-09,6.578020897306397,-0.7135842057916579,0.1149665559981835
191,191,191,07-10,6.532327802323025,-0.7720511043174414,0.23268275429135435
