,unnamed: 0,unnamed: 0,mth_day,hitman,hitman_norm,hitman_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.149584643920333,-1.4434213278214367,
2,2,2,01-03,2.8708227515563807,0.003719268321748568,
3,3,3,01-04,2.5382224459556277,-0.6636323308638059,
4,4,4,01-05,2.348601311740829,-1.0441009144060147,-0.7690168449244993
5,5,5,01-06,2.4987039718456745,-0.7429248523995724,-0.6774371387978616
6,6,6,01-07,2.508265025301779,-0.7237409123779144,-1.0000129481038391
7,7,7,01-08,2.4234382312801594,-0.8939430910616112,-0.8997261639165481
8,8,8,01-09,1.906214474130972,-1.931735587514116,-0.9055998547775062
9,9,9,01-10,2.8381130743061136,-0.06191162574006185,-0.903205573641327
10,10,10,01-11,2.331037034879188,-1.0793430595717637,-0.7771685525228508
11,11,11,01-12,2.5058636637252696,-0.7285591655824981,-0.4065981175313053
12,12,12,01-13,2.8851573722341017,0.032481214332943424,-0.18232988005590914
13,13,13,01-14,3.5315663011780387,1.3294795188876622,-0.0699975853883681
14,14,14,01-15,2.5768506222594105,-0.5861261626617384,-0.07086876893063059
15,15,15,01-16,3.1740237598954333,0.6120821422651844,0.10243849535523226
16,16,16,01-17,2.3284319081716682,-1.0845701608253384,0.2192720704269523
17,17,17,01-18,3.024109660000597,0.31128442013267904,-0.15333847950066934
18,18,18,01-19,3.2345283738533968,0.7334826647632634,-0.1827579832349934
19,19,19,01-20,2.4173376133867337,-0.9061837806780676,-0.3971381808103121
20,20,20,01-21,2.488876583285649,-0.7626431850676829,-0.39574749459964603
21,21,21,01-22,2.5329561189518595,-0.6741990431867271,-0.7540125459777941
22,22,22,01-23,2.3325905195473804,-1.0762260435613429,-1.0772399217285369
23,23,23,01-24,1.9527787538947463,-1.838305888136208,-1.2888253911924417
24,24,24,01-25,2.2679716974229125,-1.2058815897411927,-1.483719294748558
25,25,25,01-26,1.7846271331218342,-2.175696597461497,-1.5746795667961262
26,26,26,01-27,1.906079401455884,-1.9320066064043813,-1.4274985040550925
