,unnamed: 0,unnamed: 0,mth_day,intense,intense_norm,intense_ravg
0,0,0,01-01,,,
1,1,1,01-02,9.750044145184775,-0.3965297250782277,
2,2,2,01-03,10.468971047099233,0.2061667686897947,
3,3,3,01-04,8.545612512194396,-1.4062383898305908,
4,4,4,01-05,8.752321779366186,-1.232948239994718,-1.080272539479706
5,5,5,01-06,8.060366807312963,-1.8130334119242728,-1.345038706934763
6,6,6,01-07,8.0293302329382,-1.8390522387402224,-1.81051463368446
7,7,7,01-08,7.855085181907724,-1.9851267298085704,-1.5433430476565608
8,8,8,01-09,7.137511487660782,-2.586688791808387,-1.4459274259688728
9,9,9,01-10,10.457787306062091,0.1967911263368021,-1.2972673738744251
10,10,10,01-11,9.449535502911989,-0.6484545098685883,-0.8485926700472523
11,11,11,01-12,9.12434224233687,-0.9210730993575872,-0.5361969767658286
12,12,12,01-13,11.240541694679434,0.8529959842228151,-0.28666752887291563
13,13,13,01-14,10.090933609079856,-0.1107525701200281,-0.28592347587978817
14,14,14,01-15,8.92341966630492,-1.089512104450909,-0.4780548923024757
15,15,15,01-16,10.463112570623009,0.20125544429556666,-0.15063695835224625
16,16,16,01-17,8.074430997767504,-1.8012430084047133,-0.17671666064983366
17,17,17,01-18,11.467706406423126,1.0434345043437894,-0.3747771159786051
18,18,18,01-19,11.053886556285294,0.6965177704372908,-0.3070158960171745
19,19,19,01-20,8.673394356600786,-1.2991153020926574,-0.34491185041494954
20,20,20,01-21,9.408393756320773,-0.6829447846823251,-0.3424929533855109
21,21,21,01-22,10.19188728852502,-0.026120282091083236,-0.8187806833319059
22,22,22,01-23,8.091743295072094,-1.7867296262280818,-1.150070942506271
23,23,23,01-24,8.058865648421047,-1.8142918753345807,-1.3686867393834816
24,24,24,01-25,8.682807758328963,-1.291223784608898,-1.6382419923380172
25,25,25,01-26,7.108738389456698,-2.6108100833559216,-1.8820900092825728
26,26,26,01-27,7.479158810653796,-2.3002763024095385,-1.5548173589617107
27,27,27,01-28,8.446641701341543,-1.4892083837584158,-1.3366968743012355
28,28,28,01-29,10.434067649131512,0.17690627569709075,-1.3619510625940714
29,29,29,01-30,9.619976614578995,-0.5055689673717321,-1.1402453701155364
30,30,30,01-31,8.50206090941777,-1.4427489143659118,-0.9039834710001248
31,31,31,02-01,8.695509060384884,-1.280575928484713,-0.5658397731384525
32,32,32,02-02,9.170109764519925,-0.8827049077170691,-0.7634594221943823
33,33,33,02-03,10.866771271889453,0.5396538034116175,-0.7926076528509056
34,34,34,02-04,9.01968329293628,-1.0088116186384883,-0.6421450879506639
35,35,35,02-05,9.411359699974069,-0.6804583513108715,-0.4372765455194669
36,36,36,02-06,9.57893711583023,-0.5399735249644618,-0.13820604846129614
37,37,37,02-07,10.161774499451603,-0.05136467389753011,-0.5117985802345403
38,38,38,02-08,11.310588378156627,0.9117180746319552,-0.2452483970491333
39,39,39,02-09,8.192930714759939,-1.7019013872278472,-0.0016767732705777472
40,40,40,02-10,10.927410642111532,0.5904894804739537,-0.11908645864118425
41,41,41,02-11,11.154627112557918,0.7809713913604618,-0.3312032465884249
42,42,42,02-12,8.73862380160614,-1.2444316371881008,-0.1821985810890346
43,43,43,02-13,8.643632614309157,-1.3240654015809736,-0.07582944454963995
44,44,44,02-14,12.377030247116707,1.8057460676282968,-0.3703935901204675
45,45,45,02-15,8.954225674153047,-1.063686567991479,-0.6409405252057501
46,46,46,02-16,8.819184454170674,-1.1768953929510115,-0.5225297587948434
47,47,47,02-17,9.2182945948694,-0.8423102191512328,-0.4647409265728564
48,48,48,02-18,9.586101956823764,-0.5339670387226614,-0.8306733621297754
