,unnamed: 0,unnamed: 0,mth_day,island,island_norm,island_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0569358579379748,-1.5927773269994925,
2,2,2,01-03,1.2482345996557676,-1.017888699376886,
3,3,3,01-04,1.3735975764556194,-0.6411494221605722,
4,4,4,01-05,1.3315475500654927,-0.7675176446895858,-1.2114279249576316
5,5,5,01-06,0.9940797395692852,-1.7816717614436437,-1.295873375187374
6,6,6,01-07,1.0986020179223048,-1.467562695075609,-1.2947249494697315
7,7,7,01-08,0.8883365056820774,-2.0994500283779467,-1.3391604824752184
8,8,8,01-09,1.2505274861473634,-1.0109981450710321,-1.371072670170703
9,9,9,01-10,1.2848799242731936,-0.9077626201934934,-1.1603414755181412
10,10,10,01-11,1.2678333516108753,-0.9589907708624936,-0.7713305217309273
11,11,11,01-12,1.414814578709496,-0.517284593528272,-0.42323935505510185
12,12,12,01-13,1.8752808638581961,0.8665030276476731,-0.2473415584602421
13,13,13,01-14,1.583317053099106,-0.010903028322993186,-0.05362048997397013
14,14,14,01-15,1.6017157915972142,0.04438863449812621,-0.055889048486541804
15,15,15,01-16,1.6716532385991587,0.2545637907241384,-0.10486427232849647
16,16,16,01-17,1.2633040667916977,-0.9726021219379236,-0.2996918568771689
17,17,17,01-18,1.3170332181521591,-0.8111359365799999,-0.4852289452621392
18,18,18,01-19,1.4862983376578918,-0.30246247964436124,-0.7104393169506666
19,19,19,01-20,1.2128834437566622,-1.1241255586328156,-0.6516364894046026
20,20,20,01-21,1.152072587792942,-1.3068735956330375,-0.7504389063145248
21,21,21,01-22,1.7890558767295643,0.6073807560005221,-0.7989093642465944
22,22,22,01-23,1.066040348651642,-1.5654166233974571,-0.8287101788847004
23,23,23,01-24,1.2202596467085738,-1.1019586841724178,-0.7938972915160883
24,24,24,01-25,1.4267995957953838,-0.4812673674729967,-0.7485637717613945
25,25,25,01-26,1.282389026882066,-0.9152482344211428,-0.9240316195889692
26,26,26,01-27,1.2425831131714813,-1.0348724771048752,-0.4666275303158765
27,27,27,01-28,1.4387259844147051,-0.44542633096492623,-0.3778488039727767
28,28,28,01-29,1.9792693380268505,1.1790079122410992,-0.4000224493622582
29,29,29,01-30,1.3975105905406942,-0.5692863261138196,-0.1691705832835939
30,30,30,01-31,1.3825288596024012,-0.6143092398098864,0.059637093163958974
31,31,31,02-01,1.743295742188079,0.4698629620508429,0.2445976892620985
32,32,32,02-02,1.6994085067869125,0.33797358158044205,0.1281982054845527
33,33,33,02-03,1.8080085995250643,0.6643372456239109,0.15110392138600293
34,34,34,02-04,1.7468722400846453,0.4806110095758243,0.04954574164352887
35,35,35,02-05,1.4432429402816862,-0.4318520307051183,-0.02331017954710301
36,36,36,02-06,1.1797631300777762,-1.2236583182647307,-0.2860771878166804
37,37,37,02-07,1.5978354351220518,0.03272743490705168,-0.525405417237134
38,38,38,02-08,1.1747816942358305,-1.2386284680370223,-0.4943308260124283
