,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7654886609591307,-0.2696812576413502,
2,2,2,01-03,0.8152633678054081,-0.03778649287250272,
3,3,3,01-04,0.7347937049669422,-0.4126856076495117,
4,4,4,01-05,0.8391111232427901,0.07331751934189136,-0.23029744730604795
5,5,5,01-06,0.6944488318133936,-0.6006478371100527,-0.3052979167803021
6,6,6,01-07,0.7945471532891816,-0.13430100790476188,-0.5289919361102641
7,7,7,01-08,0.6688984757050042,-0.7196840744868755,-0.4609801868493769
8,8,8,01-09,0.5271765475657266,-1.3799506088522746,-0.4409362315272039
9,9,9,01-10,0.8223833894931352,-0.00461511208418881,-0.385916092233126
10,10,10,01-11,0.8649249530943315,0.19358125127492948,-0.13156725007496764
11,11,11,01-12,0.7653071275597573,-0.2705270013455854,-0.08007691756525298
12,12,12,01-13,1.1221131266150226,1.3917920450441883,-0.026097766169980014
13,13,13,01-14,0.7352108706909739,-0.4107420794285876,-0.02198710578485578
14,14,14,01-15,0.5966941955175137,-1.0560757004806371,-0.21776601627618708
15,15,15,01-16,0.8276773489963121,0.020048850226556603,-0.19250908179971016
16,16,16,01-17,0.6127889149365945,-0.9810922116730584,-0.5147505238985576
17,17,17,01-18,0.7978345503497131,-0.11898539448672392,-0.4699506993117301
18,18,18,01-19,0.7071109165346028,-0.5416566075488959,-0.4280714728293224
19,19,19,01-20,0.7929068209500515,-0.1419431319076228,-0.516127496446828
20,20,20,01-21,0.6506288211617421,-0.8048003415861905,-0.3469086566082041
21,21,21,01-22,0.7142734237465336,-0.5082872914784772,-0.3696850763647012
22,22,22,01-23,0.8307192719473842,0.034220827358685146,-0.6188772625883133
23,23,23,01-24,0.7685016859139644,-0.2556439130257067,-0.8397121865571108
24,24,24,01-25,0.3861859996648231,-2.0368097248905683,-0.8237845652336134
25,25,25,01-26,0.5085021183361655,-1.4669526757204083,-0.7692127922351165
26,26,26,01-27,0.6711413846840585,-0.7092346136452063,-0.6191456708684578
27,27,27,01-28,0.7845542859934079,-0.1808566534874952,-0.8055264865298921
28,28,28,01-29,1.0239848762158323,0.9346235555586366,-0.6894300014559337
29,29,29,01-30,0.5284690882682528,-1.373928806994312,-0.6508232173354146
30,30,30,01-31,0.5357021437537076,-1.3402308144468176,-0.24180171595482186
31,31,31,02-01,0.5582222928418343,-1.2353119709972935,-0.27743855053236194
32,32,32,02-02,1.197904255212947,1.7448943946383504,-0.2463591170029025
33,33,33,02-03,0.7386589938993116,-0.3946776609527355,-0.05128954336456426
34,34,34,02-04,1.0640108688962422,1.121100156735393,0.17814577747208926
35,35,35,02-05,0.7796915991038481,-0.2035113651642826,0.1611726287588363
36,36,36,02-06,0.8311829627245769,0.03638111057310338,-0.3677865773114141
37,37,37,02-07,0.5363632352912451,-1.337150863276811,-0.2201686049615128
38,38,38,02-08,0.5166782833709991,-1.4288608417831519,-0.5240575569830278
39,39,39,02-09,0.9287704344818276,0.4910301731466724,-0.6245331072928996
40,40,40,02-10,0.6726441164185587,-0.7022335553936966,-0.6449471140622555
41,41,41,02-11,0.650293048855142,-0.8063646670235134,-0.5725138598903047
42,42,42,02-12,0.8048925580184044,-0.08610293004303203,-0.5535914061618681
43,43,43,02-13,0.6296472038859966,-0.9025513382451068,-0.7557998368961538
44,44,44,02-14,0.5410477749742448,-1.3153261194125323,-0.6251641550124271
45,45,45,02-15,0.6683540674712785,-0.7222204112590425,-0.5284735518313105
46,46,46,02-16,0.840884726142739,0.0815805359086635,-0.6770708692688353
47,47,47,02-17,0.7748171130252105,-0.2262210479368137,-0.658866616475718
48,48,48,02-18,0.6135198570183952,-0.9776868346681812,-0.4985337292382918
49,49,49,02-19,0.653091752460506,-0.7933258214864023,-0.4664311804702183
50,50,50,02-20,0.7475342595142935,-0.3533287959879745,-0.7040907774012756
51,51,51,02-21,0.7096976904428957,-0.5296051186506014,-0.6289247848930684
52,52,52,02-22,0.5348121821185722,-1.3443770456776791,-0.6869289157438289
53,53,53,02-23,0.8716204689518063,0.22477490711242928,-0.5862652795233635
54,54,54,02-24,0.5388185946975933,-1.3257116197727443,-0.5552469560510821
55,55,55,02-25,0.7827325312322503,-0.1893440041636102,-0.5660368469623224
56,56,56,02-26,0.7874815509307634,-0.1672188551542857,-0.3826865906750279
57,57,57,02-27,0.6958018099331572,-0.5943444641180436,-0.42595787074846747
58,58,58,02-28,0.7709418403103879,-0.2442755079539122,-0.2344919879972016
59,59,59,02-29,0.8158930716731604,-0.034852773328208235,-0.4782381887598432
60,60,60,03-01,0.7854000523128429,-0.17691632326514928,-0.7633743265885705
61,61,61,03-02,0.4688212870535061,-1.6518212087394597,-0.8528407334130598
62,62,62,03-03,0.4202658179015564,-1.8780356821266493,-0.7909656599318312
63,63,63,03-04,0.5805815070500543,-1.1311429050649802,-0.7943959212003399
64,64,64,03-05,0.8506283389691219,0.1269749329334604,-0.8672885714972577
65,65,65,03-06,0.8114753717078415,-0.05543434093926082,-0.6150462888444489
