,unnamed: 0,unnamed: 0,mth_day,love,love_norm,love_ravg
0,0,0,01-01,,,
1,1,1,01-02,10.494114331525457,0.10828760650677507,
2,2,2,01-03,9.152424112711016,-1.1649286484864083,
3,3,3,01-04,8.370684997109812,-1.90677124015928,
4,4,4,01-05,7.608149317595043,-2.6303904546068337,-1.7788174712675109
5,5,5,01-06,7.7250101684969605,-2.5194936672156816,-2.1417022885899537
6,6,6,01-07,7.682738028066425,-2.5596084236436383,-2.5069019405556907
7,7,7,01-08,8.199709081600059,-2.069021297427878,-2.509484980314506
8,8,8,01-09,6.84338289978922,-3.3561265602808303,-2.1391435683686075
9,9,9,01-10,8.354353258496102,-1.9222694787121752,-1.7667482839717588
10,10,10,01-11,9.949700243045973,-0.4083419829314424,-1.3402884113099771
11,11,11,01-12,10.079547076025914,-0.2851219608345897,-1.0684841536240506
12,12,12,01-13,10.379108126814,-0.000849187672949666,-0.6202183074721469
13,13,13,01-14,9.918240929771976,-0.4381957513123185,-0.19316439919909945
14,14,14,01-15,9.677625231452547,-0.6665314833694086,-0.3454070528185169
15,15,15,01-16,11.054479255424232,0.6400539709261098,-0.19367491298527206
16,16,16,01-17,8.987118379455387,-1.3217979046479469,-0.2993863121260409
17,17,17,01-18,11.038901123363958,0.6252708781648786,-0.4424593753121708
18,18,18,01-19,9.710728581604133,-0.6351175825175623,-0.5771191742554872
19,19,19,01-20,9.013635469231364,-1.2966341304290978,-0.6097696292450859
20,20,20,01-21,8.82621416408096,-1.4744902770293074,-0.6441975999042641
21,21,21,01-22,10.84804081610528,0.4441512409885174,-1.0787921245529033
22,22,22,01-23,8.769441274065478,-1.528365728603015,-1.2855561530166106
23,23,23,01-24,8.291098208102655,-1.982296269726958,-1.497356866756839
24,24,24,01-25,8.403425410578036,-1.8757017532998053,-1.7351054050161567
25,25,25,01-26,7.674486939598255,-2.5674384128704686,-2.1517740591038725
26,26,26,01-27,7.3230057951853,-2.9009815065852127,-2.125639914133001
27,27,27,01-28,8.213577477373905,-2.0558606835377766,-1.938802171456975
28,28,28,01-29,8.934679158267722,-1.3715608587777857,-1.6557550261428264
29,29,29,01-30,9.472413813542213,-0.8612698136708046,-1.4678671805100445
30,30,30,01-31,10.19304246035428,-0.17741888141491294,-1.0035346375670458
31,31,31,02-01,8.862442011948337,-1.4401113390737752,-0.5817309927162518
32,32,32,02-02,10.258832739118844,-0.11498624892722148,-0.4788131959662794
33,33,33,02-03,10.880507729028388,0.4749611855669874,-0.5519564097398959
34,34,34,02-04,9.585395644331326,-0.7540540782779512,-0.5494689379358498
35,35,35,02-05,9.009952543002242,-1.3001290963125036,-0.4849262777014005
36,36,36,02-06,10.20876995319445,-0.16249405059063676,-0.6331129147238526
37,37,37,02-07,9.270524718683598,-1.0528553776670784,-0.94671425012398
38,38,38,02-08,9.32189577806931,-1.004106071061934,-0.7932163022030854
39,39,39,02-09,8.897706256002497,-1.4066468268337775,-0.5985788956653377
40,40,40,02-10,10.555914334424498,0.16693360924741735,-0.7143812205654921
41,41,41,02-11,10.240582941615104,-0.13230465708601832,-0.5545731363379951
42,42,42,02-12,9.476588694785958,-0.8573079999915636,-0.16259668913538625
43,43,43,02-13,10.280940393104856,-0.09400687230209576,-0.08153164314104906
44,44,44,02-14,11.800238148369276,1.347752612153719,-0.06604212713604254
45,45,45,02-15,9.410254751382462,-0.9202565508677548,-0.2093244582256188
46,46,46,02-16,10.65384961621148,0.2598707052774565,-0.14598606394271732
47,47,47,02-17,9.334654346698542,-0.9919986436234759,-0.17652621239393534
48,48,48,02-18,9.877057211040816,-0.4772776342941548,-0.5406098244609752
49,49,49,02-19,10.087844750644528,-0.277247763009404,-0.4891430744131324
