,unnamed: 0,unnamed: 0,mth_day,mad scientist,mad scientist_norm,mad scientist_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.212312848205742,-0.5576860706741775,
2,2,2,01-03,0.932622747453025,-1.475638225933484,
3,3,3,01-04,0.958187956540712,-1.3917323647015716,
4,4,4,01-05,1.12539035172731,-0.8429685771631781,-0.8577836029216644
5,5,5,01-06,1.4463630051528964,0.21047428047951608,-0.8557107792231724
6,6,6,01-07,1.0503813318909514,-1.0891506595370912,-0.7243328013165785
7,7,7,01-08,1.2161022500765406,-0.5452491284832255,-0.2532202495372925
8,8,8,01-09,1.1727994472964078,-0.6873703584939211,-0.20546900204174032
9,9,9,01-10,1.8194453738347318,1.4349429459741443,-0.2682282405719976
10,10,10,01-11,1.2126860859107078,-0.5564610921898651,-0.05049357915625844
11,11,11,01-12,1.3316306349713611,-0.1660811507020278,-0.0074584841155831425
12,12,12,01-13,1.4484297206211294,0.217257308957344,-0.09041564988742927
13,13,13,01-14,1.294776220166599,-0.2870385582391737,-0.298060959147028
14,14,14,01-15,1.0211425362910629,-1.185113353124998,-0.01571320972286359
15,15,15,01-16,1.4398416844600452,0.1890710904165525,0.0119218255245151
16,16,16,01-17,1.7288559322232735,1.1376254043551208,0.028554818828873764
17,17,17,01-18,1.3821512143830028,-0.0002709392177556684,-0.22490168610306066
18,18,18,01-19,1.4788370803933903,0.31705526878349594,-0.20710673358976392
19,19,19,01-20,0.8314234735466891,-1.80777758783078,-0.3628910149424461
20,20,20,01-21,1.0536741145404405,-1.0783436380452174,-0.6938923933659255
21,21,21,01-22,1.1550469633130824,-0.7456345976995398,-0.9172441857117386
22,22,22,01-23,1.1237406763781614,-0.8483828661857558,-1.2038936328206609
23,23,23,01-24,0.97383395113618,-1.3403816932926351,-1.0135246377512062
24,24,24,01-25,0.9548031493223909,-1.4028414138700376,-1.0389687181065053
25,25,25,01-26,1.1794437256226504,-0.6655636174140518,-0.9515220135999152
26,26,26,01-27,1.0071588967873526,-1.2310081201770118,-0.996268341774246
27,27,27,01-28,1.3149113579036629,-0.22095437065999954,-0.7815876019210733
28,28,28,01-29,1.0419383408401568,-1.1168608352317404,-0.6221638339054506
29,29,29,01-30,1.3662993585009475,-0.0522972541735988,-0.4735182915811216
30,30,30,01-31,1.2462513439795837,-0.4462988057763009,-0.6651541165856548
31,31,31,02-01,1.4511878669982303,0.2263096365319224,-0.6285602130661714
32,32,32,02-02,0.6568227083732153,-2.380823070204211,-0.5230749302914645
33,33,33,02-03,1.3818099593416104,-0.001390949543098549,-0.6133966137858085
34,34,34,02-04,1.234779694486867,-0.4839491385834993,-0.4197319256116601
35,35,35,02-05,1.2011791137564796,-0.5942273551396632,-0.4414617991365859
36,36,36,02-06,1.600296568476301,0.7156893232685895,0.10784465350885576
37,37,37,02-07,1.411462721320152,0.0959303953823673,0.03538792283076786
38,38,38,02-08,1.6610291446517274,0.9150156456684392,0.1000462401059128
39,39,39,02-09,1.249349262861135,-0.4361313336116258,0.12481198178703795
40,40,40,02-10,1.3529838372817249,-0.09599923493262967,0.10079562547816708
41,41,41,02-11,1.2464542367331426,-0.4456329050529122,-0.08156999157041549
42,42,42,02-12,1.5563914232423834,0.571591185415364,-0.4445594465289897
43,43,43,02-13,1.0780737259531257,-0.998263306909128,-0.554679934808339
44,44,44,02-14,0.9974353615910504,-1.2629210840830056,-0.6127837647684812
45,45,45,02-15,1.0480341270864002,-1.096854263287722,-0.7669954753204878
46,46,46,02-16,1.246762183162419,-0.4446222146934828,-0.9808400818685984
47,47,47,02-17,0.9645343875487,-1.3709031683649524,-1.0468883693470918
48,48,48,02-18,1.1654545805658445,-0.7114764538732997,-0.7475555622233436
49,49,49,02-19,0.9573285297668214,-1.3945530317800892,-0.5945056130932493
50,50,50,02-20,1.5446561889731822,0.5330757586594835,-0.4194018963985341
51,51,51,02-21,1.3278301193751407,-0.17855456850715634,-0.2187397309358053
52,52,52,02-22,1.5668754432093042,0.6060000854748094,0.3228566642650872
53,53,53,02-23,1.331371946264438,-0.16693017558857998,0.6908507342650669
54,54,54,02-24,2.1555659897923243,2.538101917332056,0.8675766277757418
55,55,55,02-25,1.6300714255158208,0.8134113882197902,0.5188832503950142
56,56,56,02-26,1.8677350074829675,1.5934311197235331,0.2520799537331909
57,57,57,02-27,0.6903714982956698,-2.2707148327915228,0.30515786343292306
58,58,58,02-28,1.0791229574378238,-0.99481969449613,-0.005553706687952964
59,59,59,02-29,1.4284055388756007,0.15153728260981325,-0.1380916829911413
60,60,60,03-01,1.5875432457686287,0.6738324966067986,-0.387455115506728
61,61,61,03-02,1.3877740918252968,0.01818353040066012,-0.15969199817169444
62,62,62,03-03,1.411864950434344,0.09725052463001237,-0.09794626203088433
63,63,63,03-04,1.1067532598300285,-0.9041361287813214,0.035105746376357494
64,64,64,03-05,1.192002508272772,-0.6243452776512692,0.060499989412927335
65,65,65,03-06,1.6716425927257157,0.949849333053264,0.11038110944564876
66,66,66,03-07,1.6339673541673776,0.8261979548262176,0.030546687523221806
67,67,67,03-08,1.4789635208669611,0.3174702505969887,0.2694877539292312
68,68,68,03-09,1.2659168372363678,-0.3817560069045493,0.3301860952354479
69,69,69,03-10,1.5435698230081836,0.5295102696547348,0.29688356605864136
70,70,70,03-11,1.3029672797907141,-0.260155229813969,-0.005781751600286193
71,71,71,03-12,1.6107610684278606,0.7500341579924251,-0.22043407598590986
72,72,72,03-13,1.0806542471255471,-0.9897939511273478,-0.530589732928386
73,73,73,03-14,1.0865500608173306,-0.9704436957167532,-0.931774857894275
74,74,74,03-15,0.6989103776365543,-2.2426899485594056,-0.6179967201674396
75,75,75,03-16,0.8101491928850102,-1.8776004801406,-0.9714102283800716
76,76,76,03-17,1.8765961238563027,1.6225135965470443,-0.9627871072282248
77,77,77,03-18,0.9646734102441517,-1.3704468912833674,-0.7573202195730303
78,78,78,03-19,1.096418478038529,-0.9380552242162674,-0.42197815916280695
79,79,79,03-20,1.4621713010772552,0.26235763021441416,-0.08681992649188615
80,80,80,03-21,1.3119609868130062,-0.23063758609806584,-0.3987774619730539
81,81,81,03-22,1.4228637401090036,0.13334891588492565,0.018731658525053724
82,82,82,03-23,1.3062955867570676,-0.2492316163399622,0.2562497596391906
83,83,83,03-24,1.7279365104498974,1.1346078317052783,0.3301901869392365
84,84,84,03-25,1.5306336683440058,0.4870533824685538,0.4686513995659642
85,85,85,03-26,1.5973443955098745,0.7060001940146889,0.2482561652273759
86,86,86,03-27,1.5650867970507305,0.6001296896623005,0.17863011550918875
87,87,87,03-28,1.019951464489374,-1.189022490146604,-0.2401625558116201
88,88,88,03-29,1.1790097576485181,-0.6669879146490849,-0.2950872312839267
89,89,89,03-30,0.9623269058635101,-1.3781481962195747,-0.2896265064990152
