,unnamed: 0,unnamed: 0,mth_day,mentor,mentor_norm,mentor_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0665330752883533,-0.31820446700746485,
2,2,2,01-03,1.1600904122846851,0.05973437058026077,
3,3,3,01-04,1.3532901792196963,0.8401936876352244,
4,4,4,01-05,0.7591656586061805,-1.5598610585985406,-0.520742150805772
5,5,5,01-06,0.9669700870405904,-0.7204040298979247,-0.5283551712781899
6,6,6,01-07,0.7923243906487354,-1.4259114075461867,-0.8449950660906956
7,7,7,01-08,1.0552256278752623,-0.3638825898419725,-1.2676563958299916
8,8,8,01-09,0.689792325940272,-1.8401049982947744,-1.042620012064915
9,9,9,01-10,0.7255208494393199,-1.6957742908005506,-0.984970271639494
10,10,10,01-11,1.0934071183099576,-0.2096427560080812,-0.8549427980347177
11,11,11,01-12,1.0525959448194466,-0.3745055873453984,-0.9353936065658216
12,12,12,01-13,0.9854512613001264,-0.6457465659175299,-0.6925838253249159
13,13,13,01-14,0.9357338584649584,-0.8465874410285962,-0.3897480391870325
14,14,14,01-15,1.0504322116088838,-0.38324631084934063,-0.4095758233746302
15,15,15,01-16,1.1753160048526532,0.12124042602675104,-0.2880028440571108
16,16,16,01-17,1.063957358148185,-0.3286094611336677,-0.07118356456706854
17,17,17,01-18,1.2331655460002264,0.3549322885597179,0.14875066715117527
18,18,18,01-19,1.307488041558411,0.6551691110227237,0.5586443622277256
19,19,19,01-20,1.2623972069352014,0.4730179492808667,0.4699888696028196
20,20,20,01-21,1.6592380619054468,2.0761158596099607,0.8143945313801431
21,21,21,01-22,1.0436380034116048,-0.4106925297226856,0.9002759075735719
22,22,22,01-23,1.5754953112414511,1.7378245095302738,0.5017521594208432
23,23,23,01-24,1.3607232149424502,0.8702205457202906,0.20461092892853
24,24,24,01-25,0.7155697167054663,-1.7359733778936486,-0.3767317185461776
25,25,25,01-26,0.8210600464447108,-1.3098294336730123,-0.4540161769747838
26,26,26,01-27,0.7957829537623545,-1.4119400252382843,-0.8347061790468082
27,27,27,01-28,0.9288491423154376,-0.8743992802943222,-0.8074018055768512
28,28,28,01-29,1.01006504677355,-0.5463155029018724,-0.7135833660487142
29,29,29,01-30,1.4012777843512028,1.034046786540033,-0.5626247288775961
30,30,30,01-31,0.8549161266075683,-1.173062740724826,-0.16443167269669634
31,31,31,02-01,1.045275501735891,-0.4040776106463032,-0.2656432102726052
32,32,32,02-02,1.3872101092962443,0.9772183118471138,-0.33040347232887995
33,33,33,02-03,0.7785219308119374,-1.4816685057497754,-0.4815591558574846
34,34,34,02-04,0.9138780917650434,-0.9348770752395212,-0.19934748812075
35,35,35,02-05,1.176769660554363,0.12711268536840475,-0.1658156679709834
36,36,36,02-06,1.2740787446321924,0.5202072656955814,-0.6065534047430733
37,37,37,02-07,1.0950795570884808,-0.2028866897477036,-0.4229867827453482
38,38,38,02-08,0.7325923002977338,-1.6672081087854254,-0.37698656488758187
39,39,39,02-09,1.0511692897095206,-0.3802687737634253,-0.4777092617443644
40,40,40,02-10,0.9822011767090421,-0.6588757680929227,-0.7054583525186447
41,41,41,02-11,1.0271685131334336,-0.4772234957722906,-0.5904849522514356
42,42,42,02-12,0.9358081624579284,-0.8462872789501008,-0.3117776249877942
43,43,43,02-13,1.2658469525179057,0.4869537118555515,-0.2577959346198629
44,44,44,02-14,1.1465500005422693,0.005035854796423028,-0.33201534076568634
45,45,45,02-15,1.1313470755589872,-0.056378631555837576,-0.4865045917094664
46,46,46,02-16,0.8719647685625947,-1.1041922049678636,-0.3565097642851707
47,47,47,02-17,0.7977091169235407,-1.4041590014349714,-0.3025184040276891
48,48,48,02-18,1.128886544474571,-0.06631831440432613,-0.447175668084596
49,49,49,02-19,1.3460391008359849,0.8109018734004413,-0.3660789021848641
50,50,50,02-20,0.931693832458756,-0.8629077295450183,0.14571306866183276
51,51,51,02-21,1.251798270863826,0.4302019638425541,0.32455297100436825
52,52,52,02-22,1.632117827096679,1.9665596201123168,0.35552279301365264
53,53,53,02-23,1.0633359858419995,-0.33111958737975833,0.4660785648061012
54,54,54,02-24,1.1748853218365267,0.11950061765138015,0.4701033033437614
55,55,55,02-25,1.5102450924375983,1.4742365041551324,0.19550745622056984
56,56,56,02-26,0.9376716857340645,-0.8387592983190564,-0.1565332643145744
57,57,57,02-27,0.8439472592386812,-1.2173731188965955,-0.20374373006283064
58,58,58,02-28,1.1092396936226163,-0.14568470309854845,-0.3697863710593272
59,59,59,02-29,0.9932153470324758,-0.6143823818692958,-0.7379868012857146
60,60,60,03-01,0.9282659362456352,-0.8767552283275993,-0.7671650085768061
61,61,61,03-02,0.9633653070296468,-0.7349660772031922,-0.6218343160216906
62,62,62,03-03,0.8943339532601244,-1.0138285420656048,-0.609795430962906
63,63,63,03-04,1.0598036554652237,-0.3453889635659028,-0.525537684982598
64,64,64,03-05,1.1271207777741232,-0.07345139274584121,-0.4084967109014932
65,65,65,03-06,1.1183614746791408,-0.10883590598744776,-0.4730680321875632
66,66,66,03-07,1.1021042523770352,-0.1745093838409703,-0.39262583497518505
67,67,67,03-08,0.8674589814810268,-1.1223940049196124,-0.5119992929327449
68,68,68,03-09,1.0138129324731604,-0.5311753587913363,-0.7501371948514404
69,69,69,03-10,0.8825009536973404,-1.0616297113112625,-0.9527857644833808
70,70,70,03-11,0.7734199289763027,-1.5022788042580135,-1.1186875598586885
71,71,71,03-12,0.8173721298122604,-1.3247273237790909,-1.1034554595910329
72,72,72,03-13,0.8556940616071387,-1.1699201560928163,-1.031241750654165
73,73,73,03-14,0.8900828760825789,-1.0310014033136787,-0.8147470341706781
74,74,74,03-15,1.121070323841837,-0.09789310517012753,-0.6241641228020843
75,75,75,03-16,1.2040556678503047,0.2373385875896577,-0.6460301818822428
76,76,76,03-17,1.0564884240554528,-0.3587813360464509,-0.5436499796164861
77,77,77,03-18,0.7848949659748302,-1.455923678260042,-0.2041419611326496
78,78,78,03-19,1.0077570643871587,-0.5556389424982755,-0.15449326068083302
79,79,79,03-20,1.3943464701760466,1.0060467075893391,-0.13414849638327028
80,80,80,03-21,1.1948124176035928,0.19999909754077205,-0.060249890866302926
81,81,81,03-22,1.2342732868965007,0.35940717337503403,0.0931286098712485
82,82,82,03-23,1.1662483542712263,0.08461029705535328,0.1457272461894631
83,83,83,03-24,1.01270458998307,-0.5356526738347334,0.0034086751426372817
84,84,84,03-25,1.0858806312845952,-0.24004712458898803,0.010632970047950873
85,85,85,03-26,1.1829639100149951,0.15213528130838455,0.2447037661568513
86,86,86,03-27,1.2055424997089084,0.2433448669726536,0.3565507761767562
87,87,87,03-28,1.5819333552663233,1.7638319500284367,0.705209685152297
88,88,88,03-29,1.3323721928571786,0.7556923571747824,0.7772420426866199
89,89,89,03-30,1.5305597951056666,1.5563007800185111,0.7350062270584239
90,90,90,03-31,1.1928686655098095,0.19214702061695066,0.7204276210955988
91,91,91,04-01,1.1202320067060394,-0.10127961246079152,0.4130831178588628
92,92,92,04-02,1.1838892254430555,0.15587323119570268,0.3651345425207824
93,93,93,04-03,1.1254415041485075,-0.08023506939197884,0.24755013907754198
94,94,94,04-04,1.2611552565396849,0.4680009051462998,0.4799341528469847
95,95,95,04-05,1.3559143356127927,0.8507943593590687,0.4059159371305286
96,96,96,04-06,1.5380233941567387,1.5864511032336068,0.2568874849397939
97,97,97,04-07,1.0102944221616474,-0.5453889067595279,0.007956166827020524
98,98,98,04-08,0.9625406303215408,-0.7382974819487057,-0.1337881160821294
99,99,99,04-09,0.7557094379824544,-1.573822978068619,-0.3262633438326694
100,100,100,04-10,1.0506256735826562,-0.3824647923085997,-0.3364532189739985
101,101,101,04-11,1.0700352257381995,-0.3040570071441713,-0.2489530073264772
102,102,102,04-12,1.5228886026867845,1.5253118523856322,-0.4802958178808147
103,103,103,04-13,1.140256510852106,-0.02038763687439997,0.021669912822678643
104,104,104,04-14,0.6189323773006528,-2.1263543452747307,0.4328149987018537
105,105,105,04-15,1.501267803898776,1.4379714061523408,0.46288944405458793
