,unnamed: 0,unnamed: 0,mth_day,mockumentary,mockumentary_norm,mockumentary_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4717004273358802,-0.4223366182762395,
2,2,2,01-03,0.3660902038672943,-1.07033151906129,
3,3,3,01-04,0.4884219890182333,-0.3197377755936414,
4,4,4,01-05,0.42020585385718606,-0.7382929711403206,-0.8978256866296874
5,5,5,01-06,0.3149186505508461,-1.38430591022591,-0.9973440798394008
6,6,6,01-07,0.30389412521494563,-1.4519493254807228,-0.8253393044706074
7,7,7,01-08,0.3743833675869905,-1.01944697753452,-0.8753612885240826
8,8,8,01-09,0.5342902567598831,-0.03830286684852922,-0.6665544706602233
9,9,9,01-10,0.4395064845181575,-0.6198696799144923,-0.4345298157119976
10,10,10,01-11,0.6243938930190699,0.5145479360428348,-0.2901257915621453
11,11,11,01-12,0.5418109513663311,0.007842019463444198,-0.25312011722612365
12,12,12,01-13,0.44510395178999584,-0.5855251805816094,-0.31688206228701404
13,13,13,01-14,0.4105704813883321,-0.7974129315183901,0.14618419863625454
14,14,14,01-15,0.4719387173402288,-0.42087453721387147,0.24559039677130964
15,15,15,01-16,0.8923297820868952,2.15852788562512,0.32188329777718583
16,16,16,01-17,0.7216012394332493,1.1109851248531653,0.3165740366165914
17,17,17,01-18,0.6164162636723612,0.4655994254987013,0.4929930640753695
18,18,18,01-19,0.4399121307715512,-0.6173807475451762,0.6849402481692772
19,19,19,01-20,0.5830871437089132,0.2611012332342785,0.21027702399536405
20,20,20,01-21,0.659640055561541,0.7308085673495754,0.10422899279364632
21,21,21,01-22,0.4281660445334562,-0.68945145941836,-0.12344083449249488
22,22,22,01-23,0.617898976405731,0.4746969376428589,-0.03381624284586852
23,23,23,01-24,0.3937824623173141,-0.9004195382181459,-0.2904325487099861
24,24,24,01-25,0.5275542385160448,-0.07963319766541804,-0.3347924843783117
25,25,25,01-26,0.33214715598531513,-1.278596601950427,-0.346680345027549
26,26,26,01-27,0.6162613556985493,0.4646489533396218,-0.3744214420853517
27,27,27,01-28,0.41654114176145896,-0.7607786233137839,-0.1802440337305676
28,28,28,01-29,0.5907715086803936,0.3082503552960428,-0.2487998142360104
29,29,29,01-30,0.5836646925390806,0.26464491191055883,0.03713743106713404
30,30,30,01-31,0.4605149026465347,-0.4909678806980747,-0.3053027347598737
31,31,31,02-01,0.6117595079146775,0.4370268698684399,-0.27746673797154964
32,32,32,02-02,0.28139592024099674,-1.589992041622425,-0.5093497747936462
33,33,33,02-03,0.44376141004805386,-0.5937626425838394,-0.7178975474948763
34,34,34,02-04,0.3640176934171522,-1.0830478656365363,-0.442423449683534
35,35,35,02-05,0.3797299684957007,-0.9866417242968212,-0.6567415219949013
36,36,36,02-06,0.7298955504980847,1.161876706169979,-0.5298545428702436
