,unnamed: 0,unnamed: 0,mth_day,movie to see,movie to see_norm,movie to see_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.665371910655282,-0.8671980332912006,
2,2,2,01-03,4.8152549309937385,-0.6404505109881322,
3,3,3,01-04,4.940729412864687,-0.4506289567370058,
4,4,4,01-05,3.778994123278165,-2.2081368978696525,-1.2918089728976745
5,5,5,01-06,3.706474731388638,-2.3178464059429733,-1.2985705119292132
6,6,6,01-07,4.4013666937954765,-1.2665930325570818,-1.5739323308133883
7,7,7,01-08,4.638555126545189,-0.9077672674804323,-1.5654356354159986
8,8,8,01-09,3.72314876777612,-2.292621424293184,-1.2424544681096563
9,9,9,01-10,4.974427960644744,-0.3996487843526677,-0.9269332292703067
10,10,10,01-11,5.059962286721496,-0.2702498940315989,-0.6885282452307894
11,11,11,01-12,4.957856244478704,-0.4247189729068761,-0.5795420541023728
12,12,12,01-13,5.346899206132892,0.16383687168002226,-0.3042341983136339
13,13,13,01-14,5.0708027472184884,-0.2538501207099328,-0.07550203491490114
14,14,14,01-15,4.8150409092046935,-0.6407742895607499,-0.034708644300097964
15,15,15,01-16,5.881597321982119,0.9727441960397292,0.032735611224031035
16,16,16,01-17,5.221752013015067,-0.02548955034277987,0.05676513772928175
17,17,17,01-18,5.2253453518284285,-0.020053439762102002,0.1121100206318623
18,18,18,01-19,5.442202157362393,0.3080140307115265,0.3159255435228017
19,19,19,01-20,5.290304811685492,0.07821917670555055,0.15592732887051886
20,20,20,01-21,5.623388956913671,0.5821188477848863,-0.03312943021892507
21,21,21,01-22,5.2470320905581085,0.0127549081260321,-0.16320161684337284
22,22,22,01-23,4.471938358252794,-1.1598301048794433,-0.35226359072636554
23,23,23,01-24,4.709469050417511,-0.8004865595087887,-0.7016805164857777
24,24,24,01-25,4.692367820327621,-0.8263578125864294,-0.9580640618913976
25,25,25,01-26,3.904490395944294,-2.0182823778509227,-1.1545469955738874
26,26,26,01-27,4.606552086719853,-0.9561824246488326,-0.9560260791399544
27,27,27,01-28,4.467765655904056,-1.1661426939689077,-0.8232864066118384
28,28,28,01-29,5.259287589325032,0.03129539372415573,-0.744868980849504
29,29,29,01-30,5.235924806189594,-0.0040485243400928145,-0.27140194805092577
30,30,30,01-31,5.003377365244696,-0.3558532580124228,-0.2502968563655029
31,31,31,02-01,5.782297082052732,0.8225198189405467,-0.17598367017736935
32,32,32,02-02,4.690256504414082,-0.8295518745362952,-0.23066176341332506
33,33,33,02-03,4.762497470842192,-0.7202635768401062,-0.09793414552843642
34,34,34,02-04,5.042430063986371,-0.2967731656915781,-0.16272308107833974
35,35,35,02-05,5.762332752319013,0.7923171829692387,-0.27702550106968016
36,36,36,02-06,4.746419461243777,-0.7445868713118426,0.2342663714289764
37,37,37,02-07,5.3289648886169445,0.1367052989925042,0.5745193518533015
38,38,38,02-08,6.718079415453652,2.2381993604556443,0.6237908608081292
39,39,39,02-09,6.111966974204496,1.3212543057058437,0.6629965343512945
40,40,40,02-10,5.237844660020955,-0.0011441119626121304,0.8048874353183099
41,41,41,02-11,5.917825470529152,1.02755122422823,0.5398775819732436
42,42,42,02-12,5.309169693205886,0.10675853449024984,0.10122513585561864
43,43,43,02-13,4.277915417327384,-1.4533538210778936,-0.2466632206242877
44,44,44,02-14,4.978350059158814,-0.3937153162501055,-0.4128498795691644
45,45,45,02-15,4.732214981851617,-0.7660758331735947,-0.7432106274084446
46,46,46,02-16,4.57873558232204,-0.9982640656318722,-0.9488710044751476
47,47,47,02-17,4.607589322821919,-0.9546132628074508,-0.7087744736675682
48,48,48,02-18,4.4935048118714125,-1.1272037279099696,-0.6808184880739218
49,49,49,02-19,5.230156734314106,-0.012774636232416692,-0.5776771235520703
50,50,50,02-20,5.089225649280065,-0.2259794026882275,0.05414347343158237
51,51,51,02-21,5.141281570434724,-0.14722764604248634,0.07168649037442662
52,52,52,02-22,7.084584689543116,2.792659516270044,0.3878871142440133
53,53,53,02-23,4.677166277979851,-0.8493551611503851,0.5572220922254839
54,54,54,02-24,5.74758081827114,0.7700000153075505,0.7780008247458889
55,55,55,02-25,5.90175228758023,1.0032352316564073,0.6138950837604256
56,56,56,02-26,5.964851091725037,1.0986929924342028,0.2962851957548843
57,57,57,02-27,4.490425573492738,-1.1318620919552669,0.5956050304249839
58,58,58,02-28,5.824919433135112,0.8870001882367966,0.6104447453227015
59,59,59,02-29,5.864291775411261,0.9465638468702128,0.33593234597819777
60,60,60,03-01,5.806436269494778,0.8590383046938559,0.2344583905734993
61,61,61,03-02,4.813014987621113,-0.6438391644106155,0.5516321358331271
62,62,62,03-03,5.5623975760103015,0.4898492600060116,0.5608158176352945
63,63,63,03-04,5.748361054208582,0.7711803796025003,0.32050929002829226
64,64,64,03-05,5.861342621861197,0.9421022790498008,0.10917892524842898
65,65,65,03-06,4.911217594958446,-0.495275318771801,0.04523999411584837
