,unnamed: 0,unnamed: 0,mth_day,noir thriller,noir thriller_norm,noir thriller_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.9588278317162477,-0.996053928075833,
2,2,2,01-03,3.5471260241382683,0.023667295231848587,
3,3,3,01-04,2.7670013530990567,-1.3285545781849295,
4,4,4,01-05,2.3955664391580207,-1.9723778462180752,-1.2663672501258645
5,5,5,01-06,2.6337583488640512,-1.5595101055448424,-1.321173160823415
6,6,6,01-07,2.51499102986748,-1.7653743379633549,-1.5428293276636538
7,7,7,01-08,2.769115874406032,-1.3248893922611362,-1.4699097234660157
8,8,8,01-09,2.7798579553125977,-1.3062697058095831,-1.3028189236983043
9,9,9,01-10,3.0194142892687053,-0.8910369529991021,-0.9837080895451332
10,10,10,01-11,2.973955198125927,-0.9698330476118072,-0.6262105650881024
11,11,11,01-12,3.7383680556561334,0.35515489937418565,-0.3389401771209549
12,12,12,01-13,3.7524771738817204,0.3796108087788289,-0.4632423660102569
13,13,13,01-14,3.763509122960312,0.3987329355417489,-0.1586057850412113
14,14,14,01-15,2.34958298584315,-2.052082839145396,-0.213591996190314
15,15,15,01-16,4.073921026012212,0.9367825328151717,-0.006127225402324485
16,16,16,01-17,2.783619126534376,-1.2997503145064233,0.08455378101964363
17,17,17,01-18,4.456512271091351,1.5999435241021225,-0.11392426009715935
18,18,18,01-19,4.066371624319906,0.9236968473106376,0.09295357926027424
19,19,19,01-20,3.0764726850264497,-0.7921353111590691,-0.054456674192190635
20,20,20,01-21,3.0656955242369617,-0.8108158030007934,-0.052130895310248435
21,21,21,01-22,3.563656944015813,0.05232101210038236,-0.40086933183071205
22,22,22,01-23,2.79166986519282,-1.28579564121477,-0.7379547890388866
23,23,23,01-24,3.2493459173250763,-0.4924870950206584,-0.8172121186796891
24,24,24,01-25,2.8995423343062936,-1.0988158959384102,-1.0006979604649964
25,25,25,01-26,2.8021215622011195,-1.2676792890038844,-1.331180706710301
26,26,26,01-27,2.430554939202229,-1.9117308537126376,-1.2082803956219486
27,27,27,01-28,2.419683094307396,-1.9305754653714444,-1.1673820556711163
