,unnamed: 0,unnamed: 0,mth_day,perrot library,perrot library_norm,perrot library_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.2201465547530965,-0.7847556564568972,
2,2,2,01-03,1.9902277643660409,-1.328350124172028,
3,3,3,01-04,1.9497945517854225,-1.4239459240358547,
4,4,4,01-05,1.885748335088174,-1.5753696898624718,-1.3621054961823702
5,5,5,01-06,2.0625290606529973,-1.1574089644518577,-1.45530065119535
6,6,6,01-07,1.7472572589865856,-1.9028026181151123,-1.5546176631268434
7,7,7,01-08,1.9836395417154207,-1.3439265865347756,-1.4099546509654328
8,8,8,01-09,1.7381849426928202,-1.9242521957609875,-1.158117489401678
9,9,9,01-10,2.3169146762013644,-0.5559678510673912,-0.9598333060324188
10,10,10,01-11,2.5248508168109067,-0.06434672047994312,-0.7210124363252769
11,11,11,01-12,2.5657268925010888,0.032296135763698296,-0.3993158651180471
12,12,12,01-13,2.353327505209464,-0.4698773998722614,-0.028571553271029376
13,13,13,01-14,2.8000284961636144,0.5862528407086035,0.23683544644616536
14,14,14,01-15,2.6790453316629814,0.3002136753211188,0.20014692822093705
15,15,15,01-16,2.990454161528284,1.0364741472357772,0.3163417800904667
16,16,16,01-17,2.4317441327025047,-0.2844778298313131,0.2786029944529884
17,17,17,01-18,2.860601635101069,0.7294652469808763,0.1301757187978693
18,18,18,01-19,2.257555493611372,-0.6963101136971311,-0.1506664783567391
19,19,19,01-20,2.423355571335893,-0.30431081322211123,-0.3226612356478613
20,20,20,01-21,1.966335007025144,-1.3848395076065316,-0.4129534796924159
21,21,21,01-22,2.5539726051705762,0.004505603489044161,-0.7974521981453194
22,22,22,01-23,2.2026040133854408,-0.8262312940986406,-0.6769299268923349
23,23,23,01-24,1.884835851939432,-1.5775270637365448,-0.8666430191258273
24,24,24,01-25,2.5634121915758734,0.02682351382077579,-0.7407987931384956
25,25,25,01-26,1.9419091187597348,-1.442589366623065,-0.9402120836856008
26,26,26,01-27,2.2856975532021075,-0.6297741516825416,-0.7370930925259972
27,27,27,01-28,2.047909369364579,-1.1919741397935883,-0.6349295959295159
28,28,28,01-29,2.7180714310177554,0.39248265285898304,-0.5864925378337975
29,29,29,01-30,2.1441023708711646,-0.964546084157658,-0.5184276151255904
30,30,30,01-31,2.686333859863836,0.3174458623950871,-0.3125660743135663
31,31,31,02-01,2.1146416128482555,-1.0341998303738231,0.08733178903341769
32,32,32,02-02,2.8081249058901783,0.6053950931896034,-0.14325090515682434
33,33,33,02-03,3.0627544991051887,1.2074130402883156,0.03260953869632425
34,34,34,02-04,2.1329077038527693,-0.9910135122824694,-0.08113174083660511
35,35,35,02-05,2.5903941151297074,0.09061657896123376,0.13868831671880294
36,36,36,02-06,2.3976856970095564,-0.3650018148024891,0.2012015753113273
37,37,37,02-07,2.6724923424377787,0.2847205149586257,0.1569601062130781
38,38,38,02-08,2.966768604298218,0.9804746447447494,0.3852246492506093
39,39,39,02-09,2.950480232193264,0.9419642256988204,0.3338764988857686
40,40,40,02-10,2.7121885178467737,0.37857374594271775,0.2487387596884577
41,41,41,02-11,2.460084790936765,-0.21747232322781013,0.05003500142250917
42,42,42,02-12,2.181626478142092,-0.875828249986355,-0.3656585858007588
43,43,43,02-13,2.16822972985567,-0.9075020346370652,-0.7678191690170809
44,44,44,02-14,1.9118377053754283,-1.5136868785948585,-1.026011743136622
45,45,45,02-15,1.9298928606208376,-1.4709992735991109,-1.2792525823542726
46,46,46,02-16,2.0569575191428537,-1.1705816987745294,-1.0477474608475619
47,47,47,02-17,1.817420111059585,-1.736917358533714,-1.0781956756189497
48,48,48,02-18,2.769131105210427,0.5132024790539101,-0.8226962739847498
49,49,49,02-19,2.090959443359472,-1.090191323265392,-0.5989553176943802
50,50,50,02-20,2.5602340764636238,0.01930953121034006,-0.3461759152231642
51,51,51,02-21,2.4976938934004767,-0.12855353585689294,0.11626753250070812
52,52,52,02-22,2.6984511829238658,0.3460947160527664,0.061607585160514136
53,53,53,02-23,2.9909909743172816,1.0377433278095198,0.42855573087576704
54,54,54,02-24,2.6304172324085044,0.1852427950127462,0.649596530494391
55,55,55,02-25,3.0221860706529293,1.111497551026125,0.4885792752929958
56,56,56,02-26,3.1211827574329205,1.3455543289220846,0.3025353003786993
57,57,57,02-27,2.0890706117513043,-1.0946570670652649,0.2893965167171729
58,58,58,02-28,2.2263160725256026,-0.7701691334330125,0.5109104852802181
59,59,59,02-29,2.9576478839141047,0.9589106258403616,0.22040532099886656
60,60,60,03-01,3.1925667029863565,1.5143266063910168,-0.2701093033989644
61,61,61,03-02,2.2849534466325867,-0.6315334346619843,-0.13391417187294352
62,62,62,03-03,1.8763739618311432,-1.5975334174649012,0.3938987530590936
63,63,63,03-04,2.4347012804594184,-0.2774862779091393,0.12094805494727445
64,64,64,03-05,3.565779033888444,2.39670841615921,-0.10149356441659718
65,65,65,03-06,2.264964296360828,-0.6787935628305529,-0.1958435073520318
66,66,66,03-07,2.628063076551208,0.17967689020778702,-0.22209558659866727
67,67,67,03-08,2.0455158580495008,-1.197633092274592,-0.3107022558018981
68,68,68,03-09,1.809752463666508,-1.7550458929447144,-0.8584981949628597
69,69,69,03-10,2.209838746934421,-0.8091262931285238,-0.9219412355000604
70,70,70,03-11,2.1756039619430934,-0.89006721880656,-1.1214564495105015
71,71,71,03-12,2.1039610337621264,-1.0594518060537563,-1.1229552374209433
72,72,72,03-13,2.121741183373284,-1.0174143938548592,-0.7116266058639219
73,73,73,03-14,2.0417122928123788,-1.2066258197372426,-0.6439633644536641
74,74,74,03-15,2.853606149116966,0.7129258963974138,-0.6992886550410086
75,75,75,03-16,2.381551869962742,-0.4031468446669769,-0.832212116605071
76,76,76,03-17,2.0352016071164734,-1.2220189623306263,-0.403291445062324
77,77,77,03-18,1.7666330809005617,-1.856992575438131,-0.1613629088982356
78,78,78,03-19,3.210239258649413,1.5561096354016226,-0.131958024671486
79,79,79,03-20,2.6556690532123888,0.244945397247288,0.11302815047351332
80,80,80,03-21,2.9282287122343145,0.8893552017579113,0.1035688272119688
81,81,81,03-22,3.0032681867712587,1.066770206203019,0.36000151527064345
82,82,82,03-23,2.011196107156372,-1.2787749018998935,-0.023377902491586482
83,83,83,03-24,2.417397909710948,-0.318396447086083,0.16035445404545098
84,84,84,03-25,2.2373139929267496,-0.7441668711717572,0.032806500133590516
85,85,85,03-26,3.1219378290612614,1.3473395364695129,-0.2785020337033125
86,86,86,03-27,2.604542512081959,0.12406747828674868,-0.28468398771744546
87,87,87,03-28,2.2132415865617343,-0.8010809968183988,-0.030156945189119256
88,88,88,03-29,1.9955077864661472,-1.3158666259846914,-0.11060465120146178
89,89,89,03-30,3.0633266659569536,1.208765808083874,-0.5012592215124709
90,90,90,03-31,2.033156956522204,-1.226853107245812,-0.6226010327889634
91,91,91,04-01,2.1305499662382914,-0.9965878853965424,-0.16329290757840148
92,92,92,04-02,2.296606017555096,-0.6039833893722064,0.08442769631912535
93,93,93,04-03,3.378855751186014,1.9547677544449729,-0.2560949530768105
94,94,94,04-04,2.6241634294288465,0.1704569974004696,0.016653202477169244
95,95,95,04-05,2.199161627880761,-0.8343700882917406,0.09988036492761372
96,96,96,04-06,2.7253265395077446,0.4096358260780661,0.24289182799716666
97,97,97,04-07,2.3417605982933005,-0.4972249106938756,-0.1931424799117092
98,98,98,04-08,2.65953490539285,0.2540853890451112,-0.2479683270791545
99,99,99,04-09,2.27230496824976,-0.6614380930082824,-0.062263655274562166
100,100,100,04-10,2.485028542545224,-0.15849808560420234,-0.10111012897854643
101,101,101,04-11,2.670435668140997,0.2798579425358137,-0.09230778937784384
102,102,102,04-12,2.6267434805333125,0.17655698385416052,-0.3738105895512336
103,103,103,04-13,2.3640988308593123,-0.44441087308966,-0.16774009748422727
104,104,104,04-14,1.9451481282961487,-1.4349314119952272,-0.2348337271129203
105,105,105,04-15,2.7952625892460854,0.5749848593937555,-0.3372805838988261
106,106,106,04-16,2.314760957978964,-0.5610598633763604,-0.3892607926260561
107,107,107,04-17,2.4104500488224976,-0.33482319817962136,-0.2712713637430653
108,108,108,04-18,2.4948301433921287,-0.13532426850921964,0.034366806163719316
109,109,109,04-19,2.663527780693141,0.2635257002082853,-0.048657153666389286
110,110,110,04-20,2.7207847010867368,0.3988976074454802,0.148185574656053
111,111,111,04-21,2.584567636839556,0.07684110041310395,0.13413424279353578
112,112,112,04-22,2.8143007216849587,0.6199965065582934,0.30075152071553163
113,113,113,04-23,2.3747911293481727,-0.4191311893547248,0.4521182315933174
114,114,114,04-24,2.9176649432946684,0.8643793990227553,0.5690476661188962
115,115,115,04-25,3.047660289062879,1.1717259654749996,0.5184265696196717
116,116,116,04-26,3.017523638770541,1.1004742145989528,0.20007788302627733
117,117,117,04-27,2.4561034014610525,-0.2268854785822429,0.04167073766425105
118,118,118,04-28,2.0064078976407846,-1.2900956130020726,-0.15485053973176402
119,119,119,04-29,1.972791682186141,-1.3695740615268823,-0.3220085361475524
120,120,120,04-30,2.418940945155424,-0.31474826535333505,-0.4747239917796728
121,121,121,05-01,2.623453274951958,0.16877798698026955,-0.2609751902990794
122,122,122,05-02,2.6299683388066097,0.18418148080623054,-0.3064578022038502
123,123,123,05-03,2.9985467352536452,1.0556073303013171,-0.2497339393928855
124,124,124,05-04,1.8909839071420191,-1.5629912844306977,0.0494287702805383
125,125,125,05-05,2.116743278806284,-1.0292308846610942,0.010234133799749771
126,126,126,05-06,3.1781443486721037,1.4802279926872075,-0.08775222174398174
127,127,127,05-07,2.5239866621234506,-0.0663898319044616,-0.32607340311766736
128,128,128,05-08,2.3813024047795888,-0.4037366524561585,-0.07902268059226047
129,129,129,05-09,2.393744578505794,-0.3743197579407968,0.2515998569387748
130,130,130,05-10,2.517939551404276,-0.08068694927825598,0.1459891509454939
131,131,131,05-11,2.9557842008747257,0.9545043405251172,0.3983965824205941
132,132,132,05-12,2.9101296367936555,0.8465637567275223,0.8837370694622072
133,133,133,05-13,3.164536352484216,1.4480547569461393,0.8917523587944515
134,134,134,05-14,3.612980477319687,2.50830626979352,1.0153607541005734
135,135,135,05-15,2.414085465736872,-0.3262280219473318,1.0162070110490775
136,136,136,05-16,2.8316280940775447,0.6609634225584751,0.8848615306481453
137,137,137,05-17,2.957931798602582,0.9595818822161424,1.3282382422485948
138,138,138,05-18,2.5768062227031208,0.05849087432192876,1.5355386565829594
139,139,139,05-19,4.2897203998360816,4.108315026548836,1.7305426195721711
140,140,140,05-20,4.139059346858182,3.752108755799709,1.680517836107614
141,141,141,05-21,2.90895888282239,0.8437957559879391,1.5511604443075881
142,142,142,05-22,2.704677158555081,0.36081472177113344,1.6620074557400528
